Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
junior adamu,Freiburg,36,11,0.06,5.5,5.5,0.16,-3.5,2024-2025,bundesliga
karim adeyemi,Dortmund,46,18,0.15,5.5,5.5,0.12,1.5,2024-2025,bundesliga
amine adli,Leverkusen,20,7,0.1,2.7,2.7,0.14,-0.7,2024-2025,bundesliga
oladapo afolayan,St. Pauli,38,13,0.08,3.1,3.1,0.08,-0.1,2024-2025,bundesliga
felix agu,Werder Bremen,9,4,0.33,1.4,1.4,0.15,1.6,2024-2025,bundesliga
erik ahlstrand,St. Pauli,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,5,1,0.0,0.1,0.1,0.02,-0.1,2024-2025,bundesliga
andreas albers,St. Pauli,3,1,0.33,0.6,0.6,0.2,0.4,2024-2025,bundesliga
ben alexander voll,St. Pauli,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
skelly alvero,Werder Bremen,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
nadiem amiri,Mainz 05,60,24,0.08,5.5,3.9,0.07,1.5,2024-2025,bundesliga
mohamed amoura,Wolfsburg,73,25,0.11,8.7,7.2,0.1,1.3,2024-2025,bundesliga
robert andrich,Leverkusen,21,5,0.1,1.3,1.3,0.06,0.7,2024-2025,bundesliga
waldemar anton,Dortmund,19,3,0.11,1.7,1.7,0.09,0.3,2024-2025,bundesliga
maximilian arnold,Wolfsburg,27,12,0.11,0.9,0.9,0.03,2.1,2024-2025,bundesliga
jannfiete arp,Holstein Kiel,20,9,0.05,3.8,2.2,0.11,-1.8,2024-2025,bundesliga
arthur,Leverkusen,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,bundesliga
noah atubolu,Freiburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
ayman azhil,Dortmund,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
adam aznou,Bayern Munich,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
aliou badara balde,Bochum,4,1,0.0,0.2,0.2,0.05,-0.2,2024-2025,bundesliga
ridle baku,Wolfsburg,18,6,0.11,1.5,1.5,0.08,0.5,2024-2025,bundesliga
ridle baku,RB Leipzig,17,5,0.12,1.4,1.4,0.08,0.6,2024-2025,bundesliga
samuel bamba,Bochum,2,1,0.0,0.1,0.1,0.05,-0.1,2024-2025,bundesliga
noahkai banks,Augsburg,1,0,0.0,0.1,0.1,0.07,-0.1,2024-2025,bundesliga
scott banks,St. Pauli,3,0,0.0,0.3,0.3,0.09,-0.3,2024-2025,bundesliga
aymen barkok,Mainz 05,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
michy batshuayi,Eint Frankfurt,5,3,0.6,1.2,1.2,0.24,1.8,2024-2025,bundesliga
maximilian bauer,Augsburg,1,1,0.0,0.2,0.2,0.18,-0.2,2024-2025,bundesliga
oliver baumann,Hoffenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
christoph baumgartner,RB Leipzig,39,15,0.05,4.5,4.5,0.12,-2.5,2024-2025,bundesliga
ihlas bebou,Hoffenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
adrian beck,Heidenheim,39,13,0.1,3.3,3.3,0.08,0.7,2024-2025,bundesliga
timo becker,Holstein Kiel,17,4,0.0,1.4,1.4,0.09,-1.4,2024-2025,bundesliga
hannes behrens,Hoffenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
kevin behrens,Wolfsburg,9,3,0.11,2.3,2.3,0.26,-1.3,2024-2025,bundesliga
maximilian beier,Dortmund,42,13,0.19,7.7,7.7,0.18,0.3,2024-2025,bundesliga
stefan bell,Mainz 05,12,3,0.0,0.8,0.8,0.06,-0.8,2024-2025,bundesliga
jeanuel belocian,Leverkusen,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
laszlo benes,Union Berlin,19,7,0.11,0.9,0.9,0.05,1.1,2024-2025,bundesliga
ramy bensebaini,Dortmund,20,2,0.05,1.3,1.3,0.06,-0.3,2024-2025,bundesliga
mergim berisha,Hoffenheim,11,3,0.09,1.0,1.0,0.09,0.0,2024-2025,bundesliga
mergim berisha,Augsburg,3,1,0.0,0.2,0.2,0.06,-0.2,2024-2025,bundesliga
bernardo,Bochum,8,2,0.0,0.7,0.7,0.09,-0.7,2024-2025,bundesliga
alexander bernhardsson,Holstein Kiel,27,14,0.26,4.1,4.1,0.15,2.9,2024-2025,bundesliga
matus bero,Bochum,31,12,0.16,4.0,3.0,0.1,1.0,2024-2025,bundesliga
janniklas beste,Freiburg,6,2,0.0,0.9,0.9,0.15,-0.9,2024-2025,bundesliga
el bilal toure,Stuttgart,14,4,0.14,1.6,1.6,0.12,0.4,2024-2025,bundesliga
tom bischof,Hoffenheim,51,18,0.1,2.2,2.2,0.04,2.8,2024-2025,bundesliga
leonardo bittencourt,Werder Bremen,27,9,0.07,1.6,1.6,0.06,0.4,2024-2025,bundesliga
myron boadu,Bochum,27,13,0.3,7.7,6.9,0.26,1.3,2024-2025,bundesliga
sacha boey,Bayern Munich,3,1,0.0,0.1,0.1,0.05,-0.1,2024-2025,bundesliga
victor boniface,Leverkusen,50,17,0.16,7.8,7.1,0.14,0.2,2024-2025,bundesliga
sebastiaan bornauw,Wolfsburg,8,3,0.25,1.2,1.2,0.15,0.8,2024-2025,bundesliga
carlo boukhalfa,St. Pauli,21,4,0.1,1.5,1.5,0.07,0.5,2024-2025,bundesliga
julian brandt,Dortmund,45,15,0.11,4.8,4.8,0.11,0.2,2024-2025,bundesliga
tim breithaupt,Augsburg,1,0,0.0,0.1,0.1,0.05,-0.1,2024-2025,bundesliga
maximilian breunig,Heidenheim,10,2,0.1,3.4,2.7,0.27,-1.4,2024-2025,bundesliga
moritz broschinski,Bochum,38,11,0.03,4.2,4.2,0.11,-3.2,2024-2025,bundesliga
nathaniel brown,Eint Frankfurt,13,5,0.23,2.2,2.2,0.17,0.8,2024-2025,bundesliga
jacob bruun larsen,Hoffenheim,14,6,0.14,2.3,2.3,0.16,-0.3,2024-2025,bundesliga
jacob bruun larsen,Stuttgart,6,3,0.17,0.6,0.6,0.1,0.4,2024-2025,bundesliga
emi buendia,Leverkusen,7,4,0.29,0.9,0.9,0.13,1.1,2024-2025,bundesliga
marius bulter,Hoffenheim,37,15,0.19,3.7,3.7,0.1,3.3,2024-2025,bundesliga
jonathan burkardt,Mainz 05,70,28,0.23,14.8,13.2,0.19,3.2,2024-2025,bundesliga
oliver burke,Werder Bremen,35,12,0.14,4.1,4.1,0.12,0.9,2024-2025,bundesliga
marnon busch,Heidenheim,13,3,0.0,0.4,0.4,0.03,-0.4,2024-2025,bundesliga
anthony caci,Mainz 05,32,12,0.03,3.1,3.1,0.1,-2.1,2024-2025,bundesliga
cole campbell,Dortmund,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
emre can,Dortmund,7,1,0.14,2.0,0.4,0.06,1.0,2024-2025,bundesliga
tiago cardoso,Gladbach,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
abdoulie ceesay,St. Pauli,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
julian chabot,Stuttgart,19,3,0.16,2.0,1.8,0.1,1.0,2024-2025,bundesliga
el chadaille bitshiabu,RB Leipzig,5,3,0.0,0.3,0.3,0.06,-0.3,2024-2025,bundesliga
fares chaibi,Eint Frankfurt,25,6,0.04,2.6,2.6,0.1,-1.6,2024-2025,bundesliga
timothy chandler,Eint Frankfurt,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
anrie chase,Stuttgart,5,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,bundesliga
arthur chaves,Hoffenheim,10,2,0.1,0.8,0.8,0.08,0.2,2024-2025,bundesliga
fabio chiarodia,Gladbach,4,1,0.25,0.3,0.3,0.07,0.7,2024-2025,bundesliga
carney chukwuemeka,Dortmund,8,2,0.13,0.6,0.6,0.08,0.4,2024-2025,bundesliga
alexis claudemaurice,Augsburg,59,22,0.15,4.7,4.7,0.08,4.3,2024-2025,bundesliga
nnamdi collins,Eint Frankfurt,5,2,0.2,0.8,0.8,0.16,0.2,2024-2025,bundesliga
kingsley coman,Bayern Munich,44,17,0.11,4.3,4.3,0.1,0.7,2024-2025,bundesliga
sirlord conteh,Heidenheim,13,5,0.08,2.1,2.1,0.16,-1.1,2024-2025,bundesliga
danny da costa,Mainz 05,5,1,0.0,0.1,0.1,0.02,-0.1,2024-2025,bundesliga
yan couto,Dortmund,6,2,0.0,0.3,0.3,0.04,-0.3,2024-2025,bundesliga
tomas cvancara,Gladbach,24,9,0.08,3.8,3.8,0.16,-1.8,2024-2025,bundesliga
finn dahmen,Augsburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
thomas dahne,Holstein Kiel,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
mahmoud dahoud,Eint Frankfurt,7,2,0.14,0.5,0.5,0.08,0.5,2024-2025,bundesliga
ameen aldakhil,Stuttgart,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,bundesliga
bence dardai,Wolfsburg,11,1,0.09,1.0,1.0,0.1,0.0,2024-2025,bundesliga
lukas daschner,Bochum,8,4,0.13,2.7,1.9,0.24,-1.7,2024-2025,bundesliga
alphonso davies,Bayern Munich,17,3,0.06,1.2,1.2,0.07,-0.2,2024-2025,bundesliga
olivier deman,Werder Bremen,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
ermedin demirovic,Stuttgart,64,27,0.23,14.1,12.4,0.19,0.9,2024-2025,bundesliga
justin diehl,Stuttgart,7,1,0.14,1.0,1.0,0.14,0.0,2024-2025,bundesliga
eric dier,Bayern Munich,9,5,0.22,1.1,1.1,0.12,0.9,2024-2025,bundesliga
