Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
max aarons,Valencia,0,0,,0.0,0.0,,0.0,2024-2025,laliga
rodrigo abajas,Valencia,1,0,0.0,0.1,0.1,0.07,-0.1,2024-2025,laliga
abel,Osasuna,12,4,0.17,0.5,0.5,0.04,1.5,2024-2025,laliga
nabil aberdin,Getafe,2,0,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
abdel abqar,Alavés,12,1,0.0,0.9,0.9,0.08,-0.9,2024-2025,laliga
akor adams,Sevilla,2,1,0.0,0.4,0.4,0.22,-0.4,2024-2025,laliga
adrian,Betis,0,0,,0.0,0.0,,0.0,2024-2025,laliga
julen agirrezabala,Athletic Club,0,0,,0.0,0.0,,0.0,2024-2025,laliga
lucien agoume,Sevilla,10,2,0.1,0.9,0.9,0.09,0.1,2024-2025,laliga
alvaro aguado,Espanyol,10,1,0.0,0.6,0.6,0.06,-0.6,2024-2025,laliga
lorenzo aguado,Real Madrid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
nayef aguerd,Real Sociedad,15,5,0.0,2.4,2.4,0.16,-2.4,2024-2025,laliga
joseph aidoo,Valladolid,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,laliga
joseph aidoo,Celta Vigo,0,0,,0.0,0.0,,0.0,2024-2025,laliga
ilias akhomach,Villarreal,17,6,0.06,0.6,0.6,0.03,0.4,2024-2025,laliga
david alaba,Real Madrid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
ibrahim alani,Valladolid,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
raul albiol,Villarreal,2,0,0.0,0.1,0.1,0.05,-0.1,2024-2025,laliga
omar alderete,Getafe,38,10,0.03,1.7,1.7,0.04,-0.7,2024-2025,laliga
carles alena,Getafe,5,1,0.0,0.9,0.9,0.18,-0.9,2024-2025,laliga
carles alena,Alavés,15,4,0.0,0.7,0.7,0.05,-0.7,2024-2025,laliga
alfon,Celta Vigo,46,19,0.11,4.6,4.6,0.1,0.4,2024-2025,laliga
tadeo allende,Celta Vigo,0,0,,0.0,0.0,,0.0,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,18,5,0.0,1.2,1.2,0.07,-1.2,2024-2025,laliga
iker almena,Girona,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
marcos alonso,Celta Vigo,31,10,0.0,4.0,1.6,0.05,-1.0,2024-2025,laliga
adria altimira,Leganés,7,2,0.0,0.3,0.3,0.04,-0.3,2024-2025,laliga
sergi altimira,Betis,21,4,0.0,1.7,1.6,0.08,-1.7,2024-2025,laliga
hugo alvarez,Celta Vigo,25,9,0.16,2.5,2.5,0.1,1.5,2024-2025,laliga
julian alvarez,Atlético Madrid,70,36,0.19,14.1,11.0,0.16,2.9,2024-2025,laliga
yeray alvarez,Athletic Club,9,2,0.11,0.5,0.5,0.05,0.5,2024-2025,laliga
selim amallah,Valladolid,21,7,0.1,3.5,2.7,0.13,-0.5,2024-2025,laliga
amath,Valladolid,5,1,0.0,0.4,0.4,0.07,-0.4,2024-2025,laliga
marcos andre,Valladolid,22,2,0.05,2.7,2.7,0.12,-1.7,2024-2025,laliga
leandro antonetti,Sevilla,1,1,0.0,0.1,0.1,0.14,-0.1,2024-2025,laliga
antoniu,Espanyol,10,4,0.0,0.9,0.9,0.09,-0.9,2024-2025,laliga
antony,Betis,43,17,0.12,2.9,2.9,0.07,2.1,2024-2025,laliga
anuar,Valladolid,11,5,0.18,1.7,1.7,0.15,0.3,2024-2025,laliga
aritz arambarri,Leganés,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
mauro arambarri,Getafe,53,16,0.13,8.2,5.8,0.11,1.8,2024-2025,laliga
jon aramburu,Real Sociedad,11,3,0.09,0.4,0.4,0.04,0.6,2024-2025,laliga
ronald araujo,Barcelona,4,2,0.25,1.0,1.0,0.24,0.0,2024-2025,laliga
adu ares,Athletic Club,0,0,,0.0,0.0,,0.0,2024-2025,laliga
jesus areso,Osasuna,8,0,0.0,0.2,0.2,0.03,-0.2,2024-2025,laliga
david arguelles,Getafe,0,0,,0.0,0.0,,0.0,2024-2025,laliga
jose arnaiz,Osasuna,6,3,0.0,0.3,0.3,0.05,-0.3,2024-2025,laliga
sergio arribas,Betis,0,0,,0.0,0.0,,0.0,2024-2025,laliga
takuma asano,Mallorca,28,8,0.07,2.7,2.7,0.1,-0.7,2024-2025,laliga
raul asencio,Real Madrid,3,1,0.0,0.1,0.1,0.04,-0.1,2024-2025,laliga
iago aspas,Celta Vigo,46,18,0.11,8.7,4.0,0.09,1.3,2024-2025,laliga
yaser asprilla,Girona,38,11,0.08,2.1,2.1,0.05,0.9,2024-2025,laliga
ezequiel avila,Betis,20,10,0.1,1.5,1.5,0.08,0.5,2024-2025,laliga
adam aznou,Valladolid,4,1,0.0,0.3,0.3,0.07,-0.3,2024-2025,laliga
cesar azpilicueta,Atlético Madrid,5,2,0.2,0.2,0.2,0.05,0.8,2024-2025,laliga
papa ba,Girona,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,laliga
loic bade,Sevilla,13,4,0.08,0.6,0.6,0.05,0.4,2024-2025,laliga
alex baena,Villarreal,69,17,0.1,7.1,6.3,0.09,-0.1,2024-2025,laliga
juma bah,Valladolid,3,1,0.0,0.3,0.3,0.09,-0.3,2024-2025,laliga
eric bailly,Villarreal,4,0,0.0,0.3,0.3,0.08,-0.3,2024-2025,laliga
stefan bajcetic,Las Palmas,5,2,0.2,0.3,0.3,0.05,0.7,2024-2025,laliga
cedric bakambu,Betis,24,11,0.08,3.2,3.2,0.13,-1.2,2024-2025,laliga
alejandro balde,Barcelona,12,3,0.0,0.5,0.5,0.04,-0.5,2024-2025,laliga
ivan balliu,Rayo Vallecano,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,laliga
jonathan bamba,Celta Vigo,13,6,0.0,0.8,0.8,0.06,-0.8,2024-2025,laliga
adrian baquerin,Valladolid,3,0,0.0,0.4,0.4,0.13,-0.4,2024-2025,laliga
valentin barco,Sevilla,7,0,0.0,0.3,0.3,0.04,-0.3,2024-2025,laliga
borna barisic,Leganés,0,0,,0.0,0.0,,0.0,2024-2025,laliga
kike barja,Osasuna,4,1,0.0,0.2,0.2,0.05,-0.2,2024-2025,laliga
enzo barrenechea,Valencia,16,3,0.06,1.3,1.3,0.08,-0.3,2024-2025,laliga
ander barrenetxea,Real Sociedad,25,8,0.04,1.6,1.6,0.07,-0.6,2024-2025,laliga
pablo barrios,Atlético Madrid,29,8,0.03,1.3,1.3,0.05,-0.3,2024-2025,laliga
thierno barry,Villarreal,71,24,0.14,12.5,11.7,0.17,-1.5,2024-2025,laliga
marc bartra,Betis,18,5,0.11,1.2,1.2,0.07,0.8,2024-2025,laliga
aboubacar bassinga,Las Palmas,0,0,,0.0,0.0,,0.0,2024-2025,laliga
augusto batalla,Rayo Vallecano,0,0,,0.0,0.0,,0.0,2024-2025,laliga
rafael bauza,Espanyol,3,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
sheraldo becker,Real Sociedad,22,13,0.09,2.0,2.0,0.09,0.0,2024-2025,laliga
donny van de beek,Girona,18,5,0.11,1.5,1.5,0.08,0.5,2024-2025,laliga
luken beitia,Real Sociedad,0,0,,0.0,0.0,,0.0,2024-2025,laliga
ismael bekhoucha,Getafe,0,0,,0.0,0.0,,0.0,2024-2025,laliga
hector bellerin,Betis,1,1,0.0,0.2,0.2,0.2,-0.2,2024-2025,laliga
jude bellingham,Real Madrid,60,22,0.13,11.4,9.9,0.17,-2.4,2024-2025,laliga
fran beltran,Celta Vigo,23,4,0.09,1.0,1.0,0.04,1.0,2024-2025,laliga
carlos benavidez,Alavés,5,2,0.2,0.3,0.3,0.05,0.7,2024-2025,laliga
iker benito,Osasuna,0,0,,0.0,0.0,,0.0,2024-2025,laliga
yuri berchiche,Athletic Club,16,4,0.0,0.6,0.6,0.04,-0.6,2024-2025,laliga
alex berenguer,Athletic Club,51,18,0.12,6.8,6.0,0.12,-0.8,2024-2025,laliga
marc bernal,Barcelona,2,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
juan bernat,Villarreal,2,1,0.0,0.3,0.3,0.14,-0.3,2024-2025,laliga
juan bernat,Getafe,4,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
juan berrocal,Getafe,4,0,0.0,0.4,0.4,0.09,-0.4,2024-2025,laliga
antonio blanco,Alavés,25,3,0.0,0.8,0.8,0.03,-0.8,2024-2025,laliga
daley blind,Girona,10,4,0.0,0.5,0.5,0.05,-0.5,2024-2025,laliga
adama boiro,Athletic Club,5,0,0.0,0.3,0.3,0.05,-0.3,2024-2025,laliga
enzo boyomo,Osasuna,12,3,0.17,1.5,1.5,0.12,0.5,2024-2025,laliga
enzo boyomo,Valladolid,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
darko brasanac,Leganés,12,3,0.08,1.8,1.8,0.15,-0.8,2024-2025,laliga
tajon buchanan,Villarreal,7,2,0.14,0.9,0.9,0.13,0.1,2024-2025,laliga
ante budimir,Osasuna,91,29,0.14,18.3,12.3,0.14,2.7,2024-2025,laliga
manu bueno,Sevilla,4,1,0.25,0.1,0.1,0.03,0.9,2024-2025,laliga
endika bujan,Athletic Club,0,0,,0.0,0.0,,0.0,2024-2025,laliga
pau cabanes,Villarreal,4,2,0.25,0.5,0.5,0.12,0.5,2024-2025,laliga
pau cabanes,Alavés,2,1,0.0,0.0,0.0,0.02,0.0,2024-2025,laliga
leandro cabrera,Espanyol,19,6,0.21,1.1,1.1,0.06,2.9,2024-2025,laliga
fernando calero,Espanyol,2,1,0.5,0.3,0.3,0.14,0.7,2024-2025,laliga
eduardo camavinga,Real Madrid,8,2,0.13,0.4,0.4,0.05,0.6,2024-2025,laliga
sergio camello,Rayo Vallecano,32,9,0.09,4.1,4.1,0.13,-1.1,2024-2025,laliga
jose campana,Las Palmas,5,3,0.0,0.1,0.1,0.02,-0.1,2024-2025,laliga
peio canales,Athletic Club,3,0,0.0,0.2,0.2,0.06,-0.2,2024-2025,laliga
antonio candela,Valladolid,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,laliga
sergi canos,Valencia,11,3,0.0,0.5,0.5,0.05,-0.5,2024-2025,laliga
dani cardenas,Rayo Vallecano,0,0,,0.0,0.0,,0.0,2024-2025,laliga
irvin cardona,Espanyol,10,3,0.1,1.1,1.1,0.11,-0.1,2024-2025,laliga
marc cardona,Las Palmas,4,0,0.0,0.4,0.4,0.09,-0.4,2024-2025,laliga
sergi cardona,Villarreal,20,6,0.05,2.4,2.4,0.12,-1.4,2024-2025,laliga
johnny cardoso,Betis,19,7,0.16,2.0,2.0,0.11,1.0,2024-2025,laliga
jose carlos gonzalez,Las Palmas,0,0,,0.0,0.0,,0.0,2024-2025,laliga
carmona,Sevilla,19,4,0.0,0.5,0.5,0.03,-0.5,2024-2025,laliga
sergio carreira,Celta Vigo,13,3,0.0,0.6,0.6,0.05,-0.6,2024-2025,laliga
dani carvajal,Real Madrid,3,1,0.33,1.3,1.3,0.44,-0.3,2024-2025,laliga
william carvalho,Betis,4,1,0.0,0.2,0.2,0.06,-0.2,2024-2025,laliga
marc casado,Barcelona,14,1,0.07,1.1,1.1,0.08,-0.1,2024-2025,laliga
catena,Osasuna,20,5,0.05,2.2,2.2,0.11,-1.2,2024-2025,laliga
maximiliano caufriez,Valencia,0,0,,0.0,0.0,,0.0,2024-2025,laliga
dani ceballos,Real Madrid,7,2,0.0,0.4,0.4,0.05,-0.4,2024-2025,laliga
franco cervi,Celta Vigo,0,0,,0.0,0.0,,0.0,2024-2025,laliga
raul chasco,Valladolid,0,0,,0.0,0.0,,0.0,2024-2025,laliga
