Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
james abankwah,Udinese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
oliver abildgaard,Hellas Verona,3,2,0.0,0.1,0.1,0.05,-0.1,2022-2023,serie-a
tammy abraham,Roma,62,28,0.13,10.8,10.8,0.17,-2.8,2022-2023,serie-a
christian acella,Cremonese,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
francesco acerbi,Inter,18,2,0.0,1.0,1.0,0.06,-1.0,2022-2023,serie-a
yacine adli,Milan,2,2,0.0,0.1,0.1,0.04,-0.1,2022-2023,serie-a
michel aebischer,Bologna,15,2,0.07,1.5,1.5,0.1,-0.5,2022-2023,serie-a
felix afenagyan,Cremonese,21,2,0.0,1.9,1.9,0.09,-1.9,2022-2023,serie-a
kevin agudelo,Spezia,28,7,0.0,1.5,1.5,0.05,-1.5,2022-2023,serie-a
ola aina,Torino,8,3,0.13,0.8,0.8,0.1,0.2,2022-2023,serie-a
emanuel aiwum,Cremonese,3,1,0.0,0.2,0.2,0.05,-0.2,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,14,5,0.07,1.5,1.5,0.1,-0.5,2022-2023,serie-a
luis alberto,Lazio,45,17,0.11,4.4,2.7,0.06,1.6,2022-2023,serie-a
agustin alvarez,Sassuolo,14,4,0.07,1.5,1.5,0.11,-0.5,2022-2023,serie-a
kelvin amian,Spezia,26,7,0.0,2.7,2.7,0.1,-2.7,2022-2023,serie-a
bruno amione,Hellas Verona,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
bruno amione,Sampdoria,12,2,0.08,0.9,0.9,0.07,0.1,2022-2023,serie-a
ethan ampadu,Spezia,16,5,0.0,1.1,1.1,0.07,-1.1,2022-2023,serie-a
sofyan amrabat,Fiorentina,13,4,0.0,0.5,0.5,0.04,-0.5,2022-2023,serie-a
felipe anderson,Lazio,41,23,0.22,6.0,6.0,0.15,3.0,2022-2023,serie-a
janis antiste,Sassuolo,1,1,1.0,0.2,0.2,0.18,0.8,2022-2023,serie-a
marcos antonio,Lazio,3,1,0.33,1.2,1.2,0.41,-0.2,2022-2023,serie-a
valentin antov,Monza,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
marko arnautovic,Bologna,28,15,0.25,7.2,4.8,0.17,2.8,2022-2023,serie-a
tolgay arslan,Udinese,25,5,0.04,2.2,2.2,0.09,-1.2,2022-2023,serie-a
santiago ascacibar,Cremonese,14,3,0.0,0.4,0.4,0.03,-0.4,2022-2023,serie-a
kristoffer askildsen,Lecce,10,3,0.0,0.5,0.5,0.05,-0.5,2022-2023,serie-a
kristjan asllani,Inter,11,0,0.0,0.5,0.5,0.05,-0.5,2022-2023,serie-a
emil audero,Sampdoria,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
tommaso augello,Sampdoria,11,4,0.18,1.0,1.0,0.09,1.0,2022-2023,serie-a
carlos augusto,Monza,42,16,0.14,4.4,4.4,0.11,1.6,2022-2023,serie-a
kaan ayhan,Sassuolo,1,1,0.0,0.0,0.0,0.01,0.0,2022-2023,serie-a
jaime baez,Cremonese,2,0,0.0,0.1,0.1,0.06,-0.1,2022-2023,serie-a
nedim bajrami,Empoli,21,7,0.05,1.2,1.2,0.06,-0.2,2022-2023,serie-a
nedim bajrami,Sassuolo,23,8,0.04,1.9,1.9,0.08,-0.9,2022-2023,serie-a
tiemoue bakayoko,Milan,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
tommaso baldanzi,Empoli,33,12,0.12,2.4,2.4,0.07,1.6,2022-2023,serie-a
fode ballotoure,Milan,5,3,0.2,0.6,0.6,0.12,0.4,2022-2023,serie-a
lameck banda,Lecce,36,12,0.06,3.3,3.3,0.09,-1.3,2022-2023,serie-a
filippo bandinelli,Empoli,24,7,0.08,1.7,1.7,0.07,0.3,2022-2023,serie-a
antonin barak,Hellas Verona,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
antonin barak,Fiorentina,32,7,0.06,2.6,2.6,0.08,-0.6,2022-2023,serie-a
andrea barberis,Monza,2,0,0.0,0.1,0.1,0.05,-0.1,2022-2023,serie-a
tommaso barbieri,Juventus,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
francesco bardi,Bologna,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
nicolo barella,Inter,33,13,0.18,3.2,3.2,0.1,2.8,2022-2023,serie-a
enzo barrenechea,Juventus,2,0,0.0,0.1,0.1,0.03,-0.1,2022-2023,serie-a
musa barrow,Bologna,65,16,0.05,3.0,3.0,0.05,0.0,2022-2023,serie-a
federico baschirotto,Lecce,21,6,0.14,1.9,1.9,0.09,1.1,2022-2023,serie-a
toma basic,Lazio,11,5,0.09,1.8,1.8,0.17,-0.8,2022-2023,serie-a
alberto basso,Cremonese,1,1,0.0,0.0,0.0,0.04,0.0,2022-2023,serie-a
alessandro bastoni,Inter,12,3,0.0,1.0,1.0,0.09,-1.0,2022-2023,serie-a
simone bastoni,Spezia,22,7,0.09,1.1,1.1,0.05,0.9,2022-2023,serie-a
brian bayeye,Torino,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
rodrigo becao,Udinese,19,5,0.11,1.5,1.5,0.08,0.5,2022-2023,serie-a
julius beck,Spezia,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
raoul bellanova,Inter,4,1,0.0,0.6,0.6,0.16,-0.6,2022-2023,serie-a
andrea belotti,Roma,19,9,0.0,3.5,2.7,0.14,-3.5,2022-2023,serie-a
marco benassi,Fiorentina,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
marco benassi,Cremonese,19,8,0.0,1.3,1.3,0.07,-1.3,2022-2023,serie-a
ismael bennacer,Milan,16,3,0.13,1.0,1.0,0.06,1.0,2022-2023,serie-a
domenico berardi,Sassuolo,75,19,0.07,11.4,5.1,0.07,0.6,2022-2023,serie-a
bartosz bereszynski,Sampdoria,3,0,0.0,0.1,0.1,0.04,-0.1,2022-2023,serie-a
bartosz bereszynski,Napoli,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
marco bertini,Lazio,0,0,,0.0,0.0,,0.0,2022-2023,serie-a
beto,Udinese,60,20,0.15,10.9,10.1,0.17,-0.9,2022-2023,serie-a
matteo bianchetti,Cremonese,7,4,0.14,0.8,0.8,0.11,0.2,2022-2023,serie-a
alessandro bianco,Fiorentina,2,1,0.0,0.1,0.1,0.03,-0.1,2022-2023,serie-a
jaka bijol,Udinese,20,7,0.15,2.2,2.2,0.11,0.8,2022-2023,serie-a
cristiano biraghi,Fiorentina,24,5,0.08,1.8,1.1,0.04,0.2,2022-2023,serie-a
samuele birindelli,Monza,14,4,0.0,1.1,1.1,0.08,-1.1,2022-2023,serie-a
kristijan bistrovic,Lecce,8,1,0.0,0.3,0.3,0.04,-0.3,2022-2023,serie-a
alexis blin,Lecce,22,4,0.05,2.8,2.8,0.13,-1.8,2022-2023,serie-a
jeremie boga,Atalanta,13,3,0.15,1.9,1.9,0.14,0.1,2022-2023,serie-a
emil bohinen,Salernitana,4,0,0.0,0.1,0.1,0.04,-0.1,2022-2023,serie-a
giacomo bonaventura,Fiorentina,49,14,0.1,4.3,4.3,0.09,0.7,2022-2023,serie-a
federico bonazzoli,Salernitana,32,7,0.06,2.4,2.4,0.07,-0.4,2022-2023,serie-a
warren bondo,Monza,1,0,0.0,0.1,0.1,0.06,-0.1,2022-2023,serie-a
kevin bonifazi,Bologna,2,0,0.0,0.2,0.2,0.1,-0.2,2022-2023,serie-a
leonardo bonucci,Juventus,4,1,0.25,1.1,0.3,0.07,-0.1,2022-2023,serie-a
erik botheim,Salernitana,7,1,0.14,0.6,0.6,0.08,0.4,2022-2023,serie-a
mehdi bourabia,Spezia,33,5,0.03,2.1,2.1,0.06,-1.1,2022-2023,serie-a
edoardo bove,Roma,7,2,0.14,0.8,0.5,0.07,0.2,2022-2023,serie-a
jayden braaf,Hellas Verona,9,3,0.0,0.8,0.8,0.08,-0.8,2022-2023,serie-a
domagoj bradaric,Salernitana,7,0,0.0,0.2,0.2,0.03,-0.2,2022-2023,serie-a
