Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
junior adamu,Freiburg,2001.0,25,19,1545,2,2,5,1,8,14,84,2024-2025,bundesliga
karim adeyemi,Dortmund,2002.0,25,17,1433,7,6,4,0,68,28,153,2024-2025,bundesliga
amine adli,Leverkusen,2000.0,20,6,766,2,0,3,0,37,24,100,2024-2025,bundesliga
oladapo afolayan,St. Pauli,1998.0,32,17,1639,3,1,3,0,53,32,108,2024-2025,bundesliga
felix agu,Werder Bremen,1999.0,22,21,1751,3,0,1,0,33,43,105,2024-2025,bundesliga
erik ahlstrand,St. Pauli,2001.0,5,0,43,0,0,0,0,1,1,3,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,1995.0,32,23,2220,0,0,3,0,14,98,16,2024-2025,bundesliga
andreas albers,St. Pauli,1990.0,14,0,62,1,0,0,0,1,3,6,2024-2025,bundesliga
ben alexander voll,St. Pauli,2000.0,2,1,91,0,0,1,0,0,0,0,2024-2025,bundesliga
skelly alvero,Werder Bremen,2002.0,12,1,236,0,0,1,0,1,8,0,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,2003.0,8,1,96,0,0,1,0,1,2,1,2024-2025,bundesliga
nadiem amiri,Mainz 05,1996.0,30,30,2473,7,5,9,2,50,204,64,2024-2025,bundesliga
mohamed amoura,Wolfsburg,2000.0,31,29,2467,10,9,6,0,81,61,244,2024-2025,bundesliga
robert andrich,Leverkusen,1994.0,23,19,1598,2,2,7,0,8,65,17,2024-2025,bundesliga
waldemar anton,Dortmund,1996.0,26,22,1949,2,2,4,0,32,117,28,2024-2025,bundesliga
maximilian arnold,Wolfsburg,1994.0,28,27,2356,3,5,7,1,9,128,16,2024-2025,bundesliga
jannfiete arp,Holstein Kiel,2000.0,23,3,713,2,0,8,1,14,21,66,2024-2025,bundesliga
arthur,Leverkusen,2003.0,20,7,752,0,1,1,0,15,25,53,2024-2025,bundesliga
noah atubolu,Freiburg,2002.0,26,26,2307,0,0,2,0,0,2,0,2024-2025,bundesliga
ayman azhil,Dortmund,2001.0,1,0,24,0,0,1,0,0,1,1,2024-2025,bundesliga
adam aznou,Bayern Munich,2006.0,2,0,17,0,0,0,0,0,1,2,2024-2025,bundesliga
aliou badara balde,Bochum,2002.0,5,0,91,0,0,1,0,2,1,5,2024-2025,bundesliga
ridle baku,Wolfsburg,1998.0,15,14,1170,2,1,2,0,16,44,78,2024-2025,bundesliga
ridle baku,RB Leipzig,1998.0,19,15,1275,2,3,1,0,21,41,97,2024-2025,bundesliga
samuel bamba,Bochum,2004.0,5,0,27,0,0,0,0,3,5,8,2024-2025,bundesliga
noahkai banks,Augsburg,2006.0,8,2,278,0,0,2,0,2,8,3,2024-2025,bundesliga
scott banks,St. Pauli,2001.0,12,0,116,0,0,1,0,3,1,8,2024-2025,bundesliga
aymen barkok,Mainz 05,1998.0,4,0,73,0,0,0,0,2,5,6,2024-2025,bundesliga
michy batshuayi,Eint Frankfurt,1993.0,10,3,300,3,0,2,0,3,8,15,2024-2025,bundesliga
maximilian bauer,Augsburg,2000.0,11,8,658,0,0,1,0,4,30,7,2024-2025,bundesliga
oliver baumann,Hoffenheim,1990.0,28,28,2520,0,0,1,0,0,1,0,2024-2025,bundesliga
christoph baumgartner,RB Leipzig,1999.0,31,18,1610,2,1,5,0,37,53,95,2024-2025,bundesliga
ihlas bebou,Hoffenheim,1994.0,1,0,9,0,0,0,0,0,0,0,2024-2025,bundesliga
adrian beck,Heidenheim,1997.0,32,18,1598,4,1,1,0,37,69,83,2024-2025,bundesliga
timo becker,Holstein Kiel,1997.0,30,28,2445,0,2,2,0,28,57,38,2024-2025,bundesliga
hannes behrens,Hoffenheim,,1,0,29,0,0,0,0,0,1,7,2024-2025,bundesliga
kevin behrens,Wolfsburg,1991.0,18,0,170,1,0,2,0,2,4,18,2024-2025,bundesliga
maximilian beier,Dortmund,2002.0,29,17,1591,8,5,2,0,24,33,124,2024-2025,bundesliga
stefan bell,Mainz 05,1991.0,18,15,1436,0,1,4,0,8,38,5,2024-2025,bundesliga
jeanuel belocian,Leverkusen,2005.0,5,1,68,0,0,1,0,0,3,1,2024-2025,bundesliga
laszlo benes,Union Berlin,1997.0,23,3,589,2,1,4,0,6,28,34,2024-2025,bundesliga
ramy bensebaini,Dortmund,1995.0,31,23,2022,1,6,6,0,26,128,58,2024-2025,bundesliga
mergim berisha,Hoffenheim,1998.0,11,3,333,1,1,1,0,2,7,18,2024-2025,bundesliga
mergim berisha,Augsburg,1998.0,2,0,40,0,0,1,0,2,0,8,2024-2025,bundesliga
bernardo,Bochum,1995.0,21,19,1782,0,0,5,0,14,100,14,2024-2025,bundesliga
alexander bernhardsson,Holstein Kiel,1998.0,19,15,1263,7,2,3,0,25,33,72,2024-2025,bundesliga
matus bero,Bochum,1995.0,30,29,2565,5,2,11,0,29,143,111,2024-2025,bundesliga
janniklas beste,Freiburg,1999.0,12,0,212,0,1,0,0,5,8,20,2024-2025,bundesliga
el bilal toure,Stuttgart,2001.0,12,3,356,2,1,0,0,6,7,25,2024-2025,bundesliga
tom bischof,Hoffenheim,2005.0,31,30,2559,5,2,5,0,47,138,102,2024-2025,bundesliga
leonardo bittencourt,Werder Bremen,1993.0,27,10,982,2,1,3,0,19,64,38,2024-2025,bundesliga
myron boadu,Bochum,2001.0,19,11,1042,9,1,2,0,12,18,70,2024-2025,bundesliga
sacha boey,Bayern Munich,2000.0,13,6,593,0,2,1,0,18,39,63,2024-2025,bundesliga
victor boniface,Leverkusen,2000.0,19,12,1008,8,1,2,0,26,23,61,2024-2025,bundesliga
sebastiaan bornauw,Wolfsburg,1999.0,15,8,788,2,1,2,0,3,21,1,2024-2025,bundesliga
