Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
james abankwah,Udinese,2004,2,1,63,0,0,0,0,0,0,0,2022-2023,serie-a
oliver abildgaard,Hellas Verona,1996,13,6,592,0,0,2,0,2,15,8,2022-2023,serie-a
tammy abraham,Roma,1997,38,24,2189,8,3,2,0,35,54,141,2022-2023,serie-a
christian acella,Cremonese,2002,1,0,15,0,0,0,0,0,0,0,2022-2023,serie-a
francesco acerbi,Inter,1988,31,25,2425,0,2,4,0,39,100,32,2022-2023,serie-a
yacine adli,Milan,2000,6,1,144,0,0,1,0,7,10,8,2022-2023,serie-a
michel aebischer,Bologna,1997,32,18,1542,1,0,4,0,14,46,85,2022-2023,serie-a
felix afenagyan,Cremonese,2003,23,7,817,0,0,4,0,22,8,54,2022-2023,serie-a
kevin agudelo,Spezia,1998,34,23,2131,0,1,5,0,81,110,100,2022-2023,serie-a
ola aina,Torino,1996,19,9,876,1,1,5,0,35,43,43,2022-2023,serie-a
emanuel aiwum,Cremonese,2000,23,17,1653,0,0,3,0,19,46,7,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,1992,24,16,1356,1,1,9,2,19,39,37,2022-2023,serie-a
luis alberto,Lazio,1992,35,27,2442,6,7,4,0,73,248,94,2022-2023,serie-a
agustin alvarez,Sassuolo,2001,22,1,368,1,1,1,0,2,6,19,2022-2023,serie-a
kelvin amian,Spezia,1998,30,26,2372,0,1,7,1,53,102,72,2022-2023,serie-a
bruno amione,Hellas Verona,2002,1,1,58,0,0,1,0,0,0,0,2022-2023,serie-a
bruno amione,Sampdoria,2002,26,25,2086,1,1,10,1,11,54,9,2022-2023,serie-a
ethan ampadu,Spezia,2000,31,31,2639,0,1,10,1,28,125,10,2022-2023,serie-a
sofyan amrabat,Fiorentina,1996,29,24,1998,0,1,11,0,36,176,24,2022-2023,serie-a
felipe anderson,Lazio,1993,38,35,2958,9,2,3,0,83,114,224,2022-2023,serie-a
janis antiste,Sassuolo,2002,2,0,52,1,0,0,0,0,1,2,2022-2023,serie-a
marcos antonio,Lazio,2000,16,6,594,1,1,2,0,1,25,8,2022-2023,serie-a
valentin antov,Monza,2000,9,2,306,0,0,2,0,2,14,3,2022-2023,serie-a
marko arnautovic,Bologna,1989,21,18,1530,10,0,5,0,13,36,116,2022-2023,serie-a
tolgay arslan,Udinese,1990,36,12,1211,1,0,3,0,45,77,37,2022-2023,serie-a
santiago ascacibar,Cremonese,1997,13,7,727,0,0,1,0,1,41,6,2022-2023,serie-a
kristoffer askildsen,Lecce,2001,21,7,728,0,0,3,0,10,24,17,2022-2023,serie-a
kristjan asllani,Inter,2002,20,5,592,0,0,2,0,6,29,6,2022-2023,serie-a
emil audero,Sampdoria,1997,25,25,2250,0,0,1,0,0,0,0,2022-2023,serie-a
tommaso augello,Sampdoria,1994,37,35,3061,2,5,3,0,84,119,153,2022-2023,serie-a
carlos augusto,Monza,1999,35,35,3083,6,5,4,0,87,101,151,2022-2023,serie-a
kaan ayhan,Sassuolo,1994,10,5,545,0,0,1,0,8,15,0,2022-2023,serie-a
jaime baez,Cremonese,1995,2,1,96,0,0,0,0,5,4,8,2022-2023,serie-a
nedim bajrami,Empoli,1999,19,8,940,1,1,1,0,22,29,47,2022-2023,serie-a
nedim bajrami,Sassuolo,1999,18,7,819,1,0,0,0,23,44,96,2022-2023,serie-a
