player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Gianluigi Donnarumma,315858,Man City,Goalkeeper,,25/02/1999 (26),26,1.96,Italy,€40.00m,01/09/2025,30/06/2030,03/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858,196.0
Matvey Safonov,318470,PSG,Goalkeeper,,25/02/1999 (26),26,1.92,Russia,€18.00m,01/07/2024,30/06/2029,10/10/2025,['Russia'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470,192.0
Arnau Tenas,466783,Villarreal,Goalkeeper,,30/05/2001 (24),24,1.85,Spain,€4.00m,28/08/2025,30/06/2029,02/10/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,185.0
Louis Mouquet,810067,Padova,Goalkeeper,,21/07/2004 (21),21,1.87,Portugal,€150k,14/08/2025,30/06/2028,06/10/2025,"['France', 'Portugal']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/louis-mouquet/profil/spieler/810067,187.0
Willian Pacho,661171,PSG,Centre-Back,,16/10/2001 (24),24,1.88,Ecuador,€65.00m,09/08/2024,30/06/2029,03/06/2025,['Ecuador'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/willian-pacho/profil/spieler/661171,188.0
Marquinhos,181767,PSG,Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",14/05/1994 (31),31,1.83,Brazil,€35.00m,19/07/2013,30/06/2028,03/06/2025,"['Portugal', 'Brazil']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/marquinhos/profil/spieler/181767,183.0
Lucas Beraldo,872171,PSG,Centre-Back,"           0
0  Left-Back",24/11/2003 (22),22,1.86,Brazil,€25.00m,01/01/2024,30/06/2028,03/06/2025,['Brazil'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,186.0
Milan Škriniar,204069,Fenerbahçe,Centre-Back,,11/02/1995 (30),30,1.88,Slovakia,€12.00m,30/07/2025,30/06/2029,01/10/2025,['Slovakia'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/milan-skriniar/profil/spieler/204069,188.0
Presnel Kimpembe,282041,Qatar SC,Centre-Back,,13/08/1995 (30),30,1.83,France,€5.00m,07/09/2025,30/06/2026,03/06/2025,"['France', 'DR Congo']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,183.0
Axel Tape,1077670,Leverkusen,Centre-Back,"                  0
0  Central Midfield",10/08/2007 (18),18,1.8,France,€8.00m,01/07/2025,30/06/2030,14/10/2025,"['France', ""Cote d'Ivoire""]",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/axel-tape/profil/spieler/1077670,180.0
Noham Kamara,1275040,PSG,Centre-Back,,22/01/2007 (18),18,1.85,France,€1.00m,01/07/2025,30/06/2028,10/10/2025,"['France', 'Senegal']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/noham-kamara/profil/spieler/1275040,185.0
Naoufel El Hannach,1053148,Montpellier,Centre-Back,"            0
0  Right-Back
1   Left-Back",07/12/2006 (18),18,1.83,Morocco,€1.00m,01/07/2025,30/06/2026,26/08/2025,"['France', 'Morocco']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148,183.0
Nuno Mendes,616341,PSG,Left-Back,"               0
0  Left Midfield",19/06/2002 (23),23,1.8,Portugal,€75.00m,01/07/2022,30/06/2029,10/10/2025,['Portugal'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,180.0
Lucas Hernández,281963,PSG,Left-Back,"             0
0  Centre-Back",14/02/1996 (29),29,1.84,France,€25.00m,09/07/2023,30/06/2028,03/06/2025,"['France', 'Spain']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,184.0
Achraf Hakimi,398073,PSG,Right-Back,"                0
0  Right Midfield
1       Left-Back",04/11/1998 (27),27,1.81,Morocco,€80.00m,06/07/2021,30/06/2029,03/06/2025,"['Spain', 'Morocco']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,181.0
Yoram Zague,1047097,Copenhagen,Right-Back,"                0
0  Right Midfield",15/05/2006 (19),19,1.68,France,€2.50m,01/07/2025,30/06/2026,03/06/2025,"['France', ""Cote d'Ivoire""]",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097,168.0
Vitinha,487469,PSG,Defensive Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",13/02/2000 (25),25,1.72,Portugal,€90.00m,01/07/2022,30/06/2029,10/10/2025,['Portugal'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/vitinha/profil/spieler/487469,172.0
Gabriel Moscardo,1086636,Braga,Defensive Midfield,,28/09/2005 (20),20,1.85,Brazil,€8.00m,19/07/2025,30/06/2026,03/06/2025,['Brazil'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/gabriel-moscardo/profil/spieler/1086636,185.0
João Neves,670681,PSG,Central Midfield,"                    0
0  Defensive Midfield",27/09/2004 (21),21,1.74,Portugal,€90.00m,05/08/2024,30/06/2029,10/10/2025,['Portugal'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/joao-neves/profil/spieler/670681,174.0
