player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Ederson,238223,Fenerbahçe,Goalkeeper,,17/08/1993 (32),32,1.88,Brazil,€18.00m,02/09/2025,30/06/2028,01/10/2025,"['Portugal', 'Brazil']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/ederson/profil/spieler/238223,188.0
Stefan Ortega,85941,Man City,Goalkeeper,,06/11/1992 (33),33,1.85,Germany,€6.00m,01/07/2022,30/06/2026,17/10/2025,"['Spain', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,185.0
Zack Steffen,221624,Colorado,Goalkeeper,,02/04/1995 (30),30,1.91,United States,€2.00m,31/01/2024,31/12/2026,05/06/2025,['United States'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,191.0
Scott Carson,14555,Retired,Goalkeeper,,03/09/1985 (40),40,1.88,England,,,,,['England'],Man City,23/10/2025,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/scott-carson/profil/spieler/14555,188.0
Rúben Dias,258004,Man City,Centre-Back,,14/05/1997 (28),28,1.87,Portugal,€60.00m,29/09/2020,30/06/2029,17/10/2025,['Portugal'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,187.0
Nathan Aké,177476,Man City,Centre-Back,"           0
0  Left-Back",18/02/1995 (30),30,1.8,Netherlands,€22.00m,05/08/2020,30/06/2027,17/10/2025,"['Netherlands', ""Cote d'Ivoire""]",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,180.0
John Stones,186590,Man City,Centre-Back,"                    0
0          Right-Back
1  Defensive Midfield",28/05/1994 (31),31,1.88,England,€22.00m,09/08/2016,30/06/2026,17/10/2025,['England'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/john-stones/profil/spieler/186590,188.0
Manuel Akanji,284730,Inter,Centre-Back,"            0
0  Right-Back
1   Left-Back",19/07/1995 (30),30,1.88,Switzerland,€22.00m,01/09/2025,30/06/2026,07/10/2025,"['Switzerland', 'Nigeria']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,188.0
Aymeric Laporte,176553,Athletic Club,Centre-Back,,27/05/1994 (31),31,1.91,Spain,€10.00m,01/09/2025,30/06/2028,02/10/2025,"['France', 'Spain']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,191.0
Luke Mbete,609883,Man City U21,Centre-Back,"           0
0  Left-Back",18/09/2003 (22),22,1.85,England,€1.00m,01/07/2020,30/06/2027,18/06/2025,"['England', 'DR Congo']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/luke-mbete/profil/spieler/609883,185.0
Sergio Gómez,366930,Real Sociedad,Left-Back,"               0
0  Left Midfield
1    Left Winger",04/09/2000 (25),25,1.71,Spain,€15.00m,12/07/2024,30/06/2030,02/10/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,171.0
Josh Wilson-Esbrand,576121,Radomiak,Left-Back,"               0
0  Left Midfield",26/12/2002 (22),22,1.76,England,€4.00m,08/09/2025,30/06/2026,27/05/2025,"['England', 'Jamaica']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,176.0
Benjamin Mendy,157495,Pogon Szczecin,Left-Back,"               0
0  Left Midfield",17/07/1994 (31),31,1.85,France,€1.00m,16/09/2025,30/06/2026,10/06/2025,"['France', 'Senegal']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,185.0
Nico O'Reilly,743413,Man City,Left-Back,"                    0
0  Attacking Midfield
1    Central Midfield",21/03/2005 (20),20,1.93,England,€30.00m,01/07/2024,30/06/2030,17/10/2025,"['England', 'Jamaica']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,193.0
João Cancelo,182712,Al-Hilal,Right-Back,"                0
0       Left-Back
1  Right Midfield",27/05/1994 (31),31,1.82,Portugal,€15.00m,27/08/2024,30/06/2027,27/05/2025,['Portugal'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,182.0
Rico Lewis,701057,Man City,Right-Back,"                    0
0  Defensive Midfield
1           Left-Back",21/11/2004 (21),21,1.7,England,€40.00m,01/07/2022,30/06/2030,30/05/2025,"['England', 'Jamaica']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,170.0
Kyle Walker,95424,Burnley,Right-Back,"             0
0  Centre-Back",28/05/1990 (35),35,1.83,England,€3.00m,05/07/2025,30/06/2027,17/10/2025,['England'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,183.0
Rodri,357565,Man City,Defensive Midfield,"                  0
0  Central Midfield",22/06/1996 (29),29,1.91,Spain,€90.00m,04/07/2019,30/06/2027,17/10/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/rodri/profil/spieler/357565,191.0
Kalvin Phillips,351749,Man City,Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",02/12/1995 (29),29,1.79,England,€10.00m,04/07/2022,30/06/2028,17/10/2025,"['England', 'Jamaica']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,179.0
Máximo Perrone,668547,Como,Defensive Midfield,"                  0
0  Central Midfield",07/01/2003 (22),22,1.77,Argentina,€15.00m,18/07/2025,30/06/2029,07/10/2025,"['Spain', 'Argentina']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547,177.0
Claudio Gomes,395239,Palermo,Defensive Midfield,"                  0
0        Right-Back
1  Central Midfield",23/07/2000 (25),25,1.71,France,€2.80m,01/09/2022,30/06/2027,02/06/2025,"['France', 'Guinea-Bissau']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239,171.0
