player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Manuel Neuer,17259,Bayern Munich,Goalkeeper,,27/03/1986 (39),39,1.93,Germany,€4.00m,01/07/2011,30/06/2026,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259,193.0
Daniel Peretz,468539,Hamburg,Goalkeeper,,10/07/2000 (25),25,1.9,Israel,€2.00m,21/07/2025,30/06/2026,14/10/2025,"['Israel', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/daniel-peretz/profil/spieler/468539,190.0
Sven Ulreich,40680,Bayern Munich,Goalkeeper,,03/08/1988 (37),37,1.92,Germany,€500k,01/07/2021,30/06/2026,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680,192.0
Max Schmitt,937713,SSV Ulm 1846,Goalkeeper,,18/01/2006 (19),19,1.89,Germany,€600k,01/07/2025,30/06/2026,10/10/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/max-schmitt/profil/spieler/937713,189.0
Tom Ritzy Hülsmann,639582,TSV Hartberg,Goalkeeper,,11/04/2004 (21),21,2.05,Germany,€500k,15/07/2025,30/06/2027,22/09/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/tom-ritzy-hulsmann/profil/spieler/639582,205.0
Matthijs de Ligt,326031,Man Utd,Centre-Back,,12/08/1999 (26),26,1.89,Netherlands,€38.00m,13/08/2024,30/06/2029,30/05/2025,['Netherlands'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/matthijs-de-ligt/profil/spieler/326031,189.0
Benjamin Pavard,353366,Marseille,Centre-Back,"            0
0  Right-Back",28/03/1996 (29),29,1.86,France,€20.00m,01/09/2025,30/06/2026,10/10/2025,['France'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366,186.0
Dayot Upamecano,344695,Bayern Munich,Centre-Back,,27/10/1998 (27),27,1.86,France,€60.00m,05/07/2021,30/06/2026,14/10/2025,"['France', 'Guinea-Bissau']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695,186.0
Min-jae Kim,503482,Bayern Munich,Centre-Back,,15/11/1996 (29),29,1.9,"Korea, South",€32.00m,18/07/2023,30/06/2028,14/10/2025,"['Korea, South']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482,190.0
Eric Dier,175722,Monaco,Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",15/01/1994 (31),31,1.91,England,€8.00m,01/07/2025,30/06/2028,05/06/2025,"['England', 'Portugal']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/eric-dier/profil/spieler/175722,191.0
