comp_name,region,country,season_start_year,squad,player_num,player_name,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,Season,Liga
Premier League,Europe,England,2024,Chelsea FC,-,Aarón Anselmino,Defensive Midfield,,,England,Chelsea FC U21,, ,,,,,https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,2024-2025,Premier-League
Serie A,Europe,Italy,2024,Torino FC,3,Aaron Ciammaglichella,Centre-Back,,,Netherlands,Torino FC,1.91,right,,Ajax Amsterdam,,5000000,https://www.transfermarkt.com/aaron-ciammaglichella/profil/spieler/724108,2024-2025,Serie-A
Premier League,Europe,England,2024,West Ham United,-,Aaron Cresswell,Central Midfield,,,England,Stevenage FC,1.82,right,,,,,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2024-2025,Premier-League
Premier League,Europe,England,2024,Brentford FC,14,Aaron Hickey,Attacking Midfield,,,Portugal,Brentford FC,1.7,right,,Liverpool FC,,14000000,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,2024-2025,Premier-League
Ligue 1,Europe,France,2024,LOSC Lille,-,Aaron Malouda,Defensive Midfield,,,France,LOSC Lille,1.88,left,,LOSC Lille B,,4000000,https://www.transfermarkt.com/aaron-malouda/profil/spieler/974996,2024-2025,Ligue-1
Serie A,Europe,Italy,2024,Genoa CFC,-,Aarón Martín,Attacking Midfield,,,Uruguay,SSC Bari,1.88,left,,Without Club,,,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,2024-2025,Serie-A
Premier League,Europe,England,2024,Arsenal FC,32,Aaron Ramsdale,Goalkeeper,,,Brazil,Botafogo de Futebol e Regatas,1.9,right,,AFC Bournemouth,,1500000,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,2024-2025,Premier-League
Premier League,Europe,England,2024,West Ham United,7,Aaron Wan-Bissaka,Left Winger,,,Netherlands,West Ham United,1.74,right,,Leeds United,,22000000,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,2024-2025,Premier-League
Ligue 1,Europe,France,2024,RC Strasbourg Alsace,-,Abakar Sylla,Left-Back,,,United States,Watford FC,1.8,left,,Chelsea FC,,8000000,https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Stade Brestois 29,22,Abdallah Sima,Left-Back,,,Mali,Kocaelispor,1.79,left,,RC Lens,,1500000,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798,2024-2025,Ligue-1
LaLiga,Europe,Spain,2024,Real Betis Balompié,14,Abde Ezzalzouli,Defensive Midfield,,,Portugal,CF Pachuca,1.87,right,,Sporting CP,,1500000,https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Deportivo Alavés,23,Abde Rebbach,Defensive Midfield,,,Uruguay,Deportivo Alavés,1.85,right,,CA Independiente,,1200000,https://www.transfermarkt.com/abde-rebbach/profil/spieler/718034,2024-2025,La-Liga
LaLiga,Europe,Spain,2024,Deportivo Alavés,4,Abdel Abqar,Centre-Back,,,Serbia,Tractor FC,1.8,right,,RCD Mallorca,,,https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979,2024-2025,La-Liga
Ligue 1,Europe,France,2024,Stade Rennais FC,32,Abdelhamid Ait Boudlal,Central Midfield,,,France,Crystal Palace,1.83,right,,Crystal Palace,,3500000,https://www.transfermarkt.com/abdelhamid-ait-boudlal/profil/spieler/1134251,2024-2025,Ligue-1
Bundesliga,Europe,Germany,2024,SV Werder Bremen,29,Abdenego Nankishi,Right-Back,,,Burkina Faso,Wrexham AFC,1.8,right,,Manchester City,,4000000,https://www.transfermarkt.com/abdenego-nankishi/profil/spieler/455662,2024-2025,Bundesliga
LaLiga,Europe,Spain,2024,RCD Mallorca,7,Abdón Prats,Centre-Forward,,,Kosovo,RCD Mallorca,1.94,left,,SS Lazio,,5000000,https://www.transfermarkt.com/abdon-prats/profil/spieler/177452,2024-2025,La-Liga
Serie A,Europe,Italy,2024,Hellas Verona,15,Abdou Harroui,Centre-Back,,,France,RAAL La Louvière ,1.89,left,,SC Bastia,,,https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386,2024-2025,Serie-A
Ligue 1,Europe,France,2024,Stade Reims,3,Abdoul Koné,Right-Back,,,Japan,Stade Reims,1.87,right,,Kashiwa Reysol,,1200000,https://www.transfermarkt.com/abdoul-kone/profil/spieler/1130445,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,RC Strasbourg Alsace,7,Abdoul Ouattara,Left Midfield,,,Belgium,RC Strasbourg Alsace,1.79,left,,Chelsea FC,,18000000,https://www.transfermarkt.com/abdoul-ouattara/profil/spieler/991487,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Angers SCO,-,Abdoulaye Bamba,Right-Back,,,Bosnia-Herzegovina,Without Club,1.82,right,,FK Sarajevo,,,https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Montpellier HSC,16,Abdoulaye Camara,Goalkeeper,,,DR Congo,Without Club,1.83,right,,Montpellier HSC B,,1000000,https://www.transfermarkt.com/abdoulaye-camara/profil/spieler/1210116,2024-2025,Ligue-1
Premier League,Europe,England,2024,Everton FC,-,Abdoulaye Doucouré,Centre-Back,,,England,Everton FC U21,, ,,,,,https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187,2024-2025,Premier-League
LaLiga,Europe,Spain,2024,Getafe CF,12,Abdoulaye Keita,Right-Back,,,Cameroon,Getafe CF,1.89,right,,Without Club,,,https://www.transfermarkt.com/abdoulaye-keita/profil/spieler/949489,2024-2025,La-Liga
Ligue 1,Europe,France,2024,Stade Brestois 29,-,Abdoulaye Ndiaye,Centre-Back,,,France,Stade Brest 29 B,1.96,right,,,,,https://www.transfermarkt.com/abdoulaye-ndiaye/profil/spieler/673514,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Le Havre AC,10,Abdoulaye Touré,Right Winger,,,Haiti,AJ Auxerre,1.78,right,,AC Le Havre B,,4000000,https://www.transfermarkt.com/abdoulaye-toure/profil/spieler/181382,2024-2025,Ligue-1
Bundesliga,Europe,Germany,2024,FC St. Pauli,17,Abdoulie Ceesay,Right Winger,,,England,FC St. Pauli,1.8,right,,Bolton Wanderers,,4000000,https://www.transfermarkt.com/abdoulie-ceesay/profil/spieler/1280281,2024-2025,Bundesliga
