club,club_id,player,player_id,market_value_str,market_value_eur,player_url,player_norm,club_norm,season,competition_code
Real Madrid,418,Thibaut Courtois,108390,€20.00m,20000000.0,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,thibaut courtois,real madrid,2025,ES1
Real Madrid,418,Andriy Lunin,404839,€18.00m,18000000.0,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,andriy lunin,real madrid,2025,ES1
Real Madrid,418,Dean Huijsen,890290,€70.00m,70000000.0,https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,dean huijsen,real madrid,2025,ES1
Real Madrid,418,Éder Militão,401530,€30.00m,30000000.0,https://www.transfermarkt.com/eder-militao/profil/spieler/401530,eder militao,real madrid,2025,ES1
Real Madrid,418,Raúl Asencio,935245,€30.00m,30000000.0,https://www.transfermarkt.com/raul-asencio/profil/spieler/935245,raul asencio,real madrid,2025,ES1
Real Madrid,418,Antonio Rüdiger,86202,€15.00m,15000000.0,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,antonio rudiger,real madrid,2025,ES1
Real Madrid,418,David Alaba,59016,€4.00m,4000000.0,https://www.transfermarkt.com/david-alaba/profil/spieler/59016,david alaba,real madrid,2025,ES1
Real Madrid,418,Álvaro Carreras,811778,€50.00m,50000000.0,https://www.transfermarkt.com/alvaro-carreras/profil/spieler/811778,alvaro carreras,real madrid,2025,ES1
Real Madrid,418,Fran García,341264,€18.00m,18000000.0,https://www.transfermarkt.com/fran-garcia/profil/spieler/341264,fran garcia,real madrid,2025,ES1
Real Madrid,418,Ferland Mendy,291417,€10.00m,10000000.0,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,ferland mendy,real madrid,2025,ES1
Real Madrid,418,Trent Alexander-Arnold,314353,€75.00m,75000000.0,https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,trent alexander-arnold,real madrid,2025,ES1
Real Madrid,418,Daniel Carvajal,138927,€8.00m,8000000.0,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,daniel carvajal,real madrid,2025,ES1
Real Madrid,418,Aurélien Tchouaméni,413112,€75.00m,75000000.0,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,aurelien tchouameni,real madrid,2025,ES1
Real Madrid,418,Federico Valverde,369081,€130.00m,130000000.0,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,federico valverde,real madrid,2025,ES1
Real Madrid,418,Eduardo Camavinga,640428,€50.00m,50000000.0,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,eduardo camavinga,real madrid,2025,ES1
Real Madrid,418,Dani Ceballos,319745,€8.00m,8000000.0,https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,dani ceballos,real madrid,2025,ES1
Real Madrid,418,Jude Bellingham,581678,€180.00m,180000000.0,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,jude bellingham,real madrid,2025,ES1
Real Madrid,418,Arda Güler,861410,€60.00m,60000000.0,https://www.transfermarkt.com/arda-guler/profil/spieler/861410,arda guler,real madrid,2025,ES1
Real Madrid,418,Vinicius Junior,371998,€150.00m,150000000.0,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,vinicius junior,real madrid,2025,ES1
Real Madrid,418,Rodrygo,412363,€80.00m,80000000.0,https://www.transfermarkt.com/rodrygo/profil/spieler/412363,rodrygo,real madrid,2025,ES1
Real Madrid,418,Franco Mastantuono,1057316,€50.00m,50000000.0,https://www.transfermarkt.com/franco-mastantuono/profil/spieler/1057316,franco mastantuono,real madrid,2025,ES1
Real Madrid,418,Brahim Díaz,314678,€40.00m,40000000.0,https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,brahim diaz,real madrid,2025,ES1
Real Madrid,418,Kylian Mbappé,342229,€180.00m,180000000.0,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229,kylian mbappe,real madrid,2025,ES1
Real Madrid,418,Endrick,971570,€35.00m,35000000.0,https://www.transfermarkt.com/endrick/profil/spieler/971570,endrick,real madrid,2025,ES1
Real Madrid,418,Gonzalo García,935230,€15.00m,15000000.0,https://www.transfermarkt.com/gonzalo-garcia/profil/spieler/935230,gonzalo garcia,real madrid,2025,ES1
FC Barcelona,131,Joan García,561613,€25.00m,25000000.0,https://www.transfermarkt.com/joan-garcia/profil/spieler/561613,joan garcia,fc barcelona,2025,ES1
FC Barcelona,131,Marc-André ter Stegen,74857,€8.00m,8000000.0,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,marc-andre ter stegen,fc barcelona,2025,ES1
FC Barcelona,131,Wojciech Szczesny,44058,€1.00m,1000000.0,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058,wojciech szczesny,fc barcelona,2025,ES1
FC Barcelona,131,Pau Cubarsí,962110,€80.00m,80000000.0,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,pau cubarsi,fc barcelona,2025,ES1
FC Barcelona,131,Ronald Araujo,480267,€35.00m,35000000.0,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,ronald araujo,fc barcelona,2025,ES1
FC Barcelona,131,Eric García,466794,€25.00m,25000000.0,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,eric garcia,fc barcelona,2025,ES1
FC Barcelona,131,Andreas Christensen,196948,€12.00m,12000000.0,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,andreas christensen,fc barcelona,2025,ES1
FC Barcelona,131,Alejandro Balde,636688,€60.00m,60000000.0,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,alejandro balde,fc barcelona,2025,ES1
FC Barcelona,131,Gerard Martín,705395,€12.00m,12000000.0,https://www.transfermarkt.com/gerard-martin/profil/spieler/705395,gerard martin,fc barcelona,2025,ES1
FC Barcelona,131,Jules Koundé,411975,€65.00m,65000000.0,https://www.transfermarkt.com/jules-kounde/profil/spieler/411975,jules kounde,fc barcelona,2025,ES1
