club,club_id,player,player_id,market_value_str,market_value_eur,player_url,player_norm,club_norm,season,competition_code
Paris Saint-Germain,583,Gianluigi Donnarumma,315858,€40.00m,40000000.0,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858,gianluigi donnarumma,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Matvey Safonov,318470,€20.00m,20000000.0,https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470,matvey safonov,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Arnau Tenas,466783,€3.00m,3000000.0,https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,arnau tenas,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Louis Mouquet,810067,-,,https://www.transfermarkt.com/louis-mouquet/profil/spieler/810067,louis mouquet,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Willian Pacho,661171,€65.00m,65000000.0,https://www.transfermarkt.com/willian-pacho/profil/spieler/661171,willian pacho,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Marquinhos,181767,€35.00m,35000000.0,https://www.transfermarkt.com/marquinhos/profil/spieler/181767,marquinhos,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Lucas Beraldo,872171,€25.00m,25000000.0,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,lucas beraldo,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Milan Škriniar,204069,€15.00m,15000000.0,https://www.transfermarkt.com/milan-skriniar/profil/spieler/204069,milan skriniar,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Presnel Kimpembe,282041,€5.00m,5000000.0,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,presnel kimpembe,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Axel Tape,1077670,€2.00m,2000000.0,https://www.transfermarkt.com/axel-tape/profil/spieler/1077670,axel tape,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Noham Kamara,1275040,€500k,500000.0,https://www.transfermarkt.com/noham-kamara/profil/spieler/1275040,noham kamara,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Naoufel El Hannach,1053148,-,,https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148,naoufel el hannach,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Nuno Mendes,616341,€70.00m,70000000.0,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,nuno mendes,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Lucas Hernández,281963,€25.00m,25000000.0,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,lucas hernandez,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Achraf Hakimi,398073,€80.00m,80000000.0,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,achraf hakimi,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Yoram Zague,1047097,€2.50m,2500000.0,https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097,yoram zague,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Vitinha,487469,€80.00m,80000000.0,https://www.transfermarkt.com/vitinha/profil/spieler/487469,vitinha,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Gabriel Moscardo,1086636,€8.00m,8000000.0,https://www.transfermarkt.com/gabriel-moscardo/profil/spieler/1086636,gabriel moscardo,paris saint-germain,2024,FR1
Paris Saint-Germain,583,João Neves,670681,€80.00m,80000000.0,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,joao neves,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Warren Zaïre-Emery,810092,€55.00m,55000000.0,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,warren zaire-emery,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Fabián Ruiz,350219,€40.00m,40000000.0,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,fabian ruiz,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Carlos Soler,372246,€18.00m,18000000.0,https://www.transfermarkt.com/carlos-soler/profil/spieler/372246,carlos soler,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Senny Mayulu,903693,€15.00m,15000000.0,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,senny mayulu,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Kang-in Lee,557149,€25.00m,25000000.0,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,kang-in lee,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Marco Asensio,296622,€20.00m,20000000.0,https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,marco asensio,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Wassim Slama,1310346,-,,https://www.transfermarkt.com/wassim-slama/profil/spieler/1310346,wassim slama,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Khvicha Kvaratskhelia,502670,€90.00m,90000000.0,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,khvicha kvaratskhelia,paris saint-germain,2024,FR1
Paris Saint-Germain,583,Bradley Barcola,708265,€70.00m,70000000.0,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,bradley barcola,paris saint-germain,2024,FR1
