club,club_id,player,player_id,market_value_str,market_value_eur,player_url,player_norm,club_norm,season,competition_code
Manchester City,281,Ederson,238223,€20.00m,20000000.0,https://www.transfermarkt.com/ederson/profil/spieler/238223,ederson,manchester city,2024,GB1
Manchester City,281,Stefan Ortega,85941,€8.00m,8000000.0,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,stefan ortega,manchester city,2024,GB1
Manchester City,281,Marcus Bettinelli,116648,€600k,600000.0,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,marcus bettinelli,manchester city,2024,GB1
Manchester City,281,Scott Carson,14555,€100k,100000.0,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,scott carson,manchester city,2024,GB1
Manchester City,281,Spike Brits,1080903,-,,https://www.transfermarkt.com/spike-brits/profil/spieler/1080903,spike brits,manchester city,2024,GB1
Manchester City,281,Max Hudson,1082283,-,,https://www.transfermarkt.com/max-hudson/profil/spieler/1082283,max hudson,manchester city,2024,GB1
Manchester City,281,Josko Gvardiol,475959,€75.00m,75000000.0,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,josko gvardiol,manchester city,2024,GB1
Manchester City,281,Rúben Dias,258004,€65.00m,65000000.0,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,ruben dias,manchester city,2024,GB1
Manchester City,281,Abdukodir Khusanov,763079,€35.00m,35000000.0,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,abdukodir khusanov,manchester city,2024,GB1
Manchester City,281,Vitor Reis,1005575,€30.00m,30000000.0,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,vitor reis,manchester city,2024,GB1
Manchester City,281,Manuel Akanji,284730,€28.00m,28000000.0,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,manuel akanji,manchester city,2024,GB1
Manchester City,281,John Stones,186590,€25.00m,25000000.0,https://www.transfermarkt.com/john-stones/profil/spieler/186590,john stones,manchester city,2024,GB1
Manchester City,281,Nathan Aké,177476,€25.00m,25000000.0,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,nathan ake,manchester city,2024,GB1
Manchester City,281,Jahmai Simpson-Pusey,942497,€5.00m,5000000.0,https://www.transfermarkt.com/jahmai-simpson-pusey/profil/spieler/942497,jahmai simpson-pusey,manchester city,2024,GB1
Manchester City,281,Max Alleyne,843595,€500k,500000.0,https://www.transfermarkt.com/max-alleyne/profil/spieler/843595,max alleyne,manchester city,2024,GB1
Manchester City,281,Kaden Braithwaite,1078156,-,,https://www.transfermarkt.com/kaden-braithwaite/profil/spieler/1078156,kaden braithwaite,manchester city,2024,GB1
Manchester City,281,Rayan Aït-Nouri,578391,€35.00m,35000000.0,https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391,rayan ait-nouri,manchester city,2024,GB1
Manchester City,281,Nico O'Reilly,743413,€18.00m,18000000.0,https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,nico o'reilly,manchester city,2024,GB1
Manchester City,281,Josh Wilson-Esbrand,576121,€4.00m,4000000.0,https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,josh wilson-esbrand,manchester city,2024,GB1
Manchester City,281,Rico Lewis,701057,€40.00m,40000000.0,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,rico lewis,manchester city,2024,GB1
Manchester City,281,Matheus Nunes,601883,€35.00m,35000000.0,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,matheus nunes,manchester city,2024,GB1
Manchester City,281,Kyle Walker,95424,€4.00m,4000000.0,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,kyle walker,manchester city,2024,GB1
Manchester City,281,Issa Kaboré,649452,€4.00m,4000000.0,https://www.transfermarkt.com/issa-kabore/profil/spieler/649452,issa kabore,manchester city,2024,GB1
Manchester City,281,Rodri,357565,€110.00m,110000000.0,https://www.transfermarkt.com/rodri/profil/spieler/357565,rodri,manchester city,2024,GB1
Manchester City,281,Nico González,466805,€40.00m,40000000.0,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/466805,nico gonzalez,manchester city,2024,GB1
Manchester City,281,Kalvin Phillips,351749,€12.00m,12000000.0,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,kalvin phillips,manchester city,2024,GB1
Manchester City,281,Jacob Wright,983702,€800k,800000.0,https://www.transfermarkt.com/jacob-wright/profil/spieler/983702,jacob wright,manchester city,2024,GB1
Manchester City,281,Tijjani Reijnders,460939,€60.00m,60000000.0,https://www.transfermarkt.com/tijjani-reijnders/profil/spieler/460939,tijjani reijnders,manchester city,2024,GB1
Manchester City,281,Mateo Kovacic,51471,€20.00m,20000000.0,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,mateo kovacic,manchester city,2024,GB1
Manchester City,281,İlkay Gündoğan,53622,€5.00m,5000000.0,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,ilkay gundogan,manchester city,2024,GB1
Manchester City,281,Bernardo Silva,241641,€38.00m,38000000.0,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,bernardo silva,manchester city,2024,GB1
Manchester City,281,Kevin De Bruyne,88755,€20.00m,20000000.0,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,kevin de bruyne,manchester city,2024,GB1
Manchester City,281,James McAtee,583199,€20.00m,20000000.0,https://www.transfermarkt.com/james-mcatee/profil/spieler/583199,james mcatee,manchester city,2024,GB1
Manchester City,281,Claudio Echeverri,994536,€18.00m,18000000.0,https://www.transfermarkt.com/claudio-echeverri/profil/spieler/994536,claudio echeverri,manchester city,2024,GB1
Manchester City,281,Jérémy Doku,486049,€50.00m,50000000.0,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,jeremy doku,manchester city,2024,GB1
Manchester City,281,Savinho,743591,€50.00m,50000000.0,https://www.transfermarkt.com/savinho/profil/spieler/743591,savinho,manchester city,2024,GB1
Manchester City,281,Jack Grealish,203460,€28.00m,28000000.0,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,jack grealish,manchester city,2024,GB1
Manchester City,281,Phil Foden,406635,€100.00m,100000000.0,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,phil foden,manchester city,2024,GB1
