goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
13,0,0,35,58.33,11,61.11,10,66.67,7,3,83.46,46,58.97,794,18,8,11,10,0,0,0,5,1,0,0,0,0,96,6,217,16,0,0.0,28,77.78,4,18,3,3,34,20,10,38.24,1,9,7.24,1,0,0,Harry Kane,FC Bayern München,108579,2672
0,0,0,3,100.0,5,100.0,0,0.0,0,0,88.31,8,100.0,90,3,0,0,1,0,0,0,1,0,0,0,0,0,13,0,68,0,0,0.0,5,50.0,2,5,0,0,1,0,0,0.0,0,0,0.02,0,0,0,Emre Can,Borussia Dortmund,138156,2673
0,0,0,7,50.0,16,88.89,1,100.0,5,0,83.63,23,71.88,165,1,5,0,2,0,0,0,3,0,0,0,0,0,16,0,143,1,0,0.0,4,23.53,3,16,2,0,5,1,0,0.0,0,0,0.28,0,0,0,Dan-Axel Zagadou,VfB Stuttgart,826205,2677
0,1,0,22,66.67,12,60.0,3,50.0,13,1,89.39,34,64.15,540,6,3,2,6,0,0,0,4,0,0,0,0,0,66,0,379,2,0,0.0,43,64.18,8,33,3,0,8,1,3,0.0,0,0,0.19,0,0,0,Nico Schlotterbeck,Borussia Dortmund,940871,2673
1,3,0,20,54.05,2,40.0,5,71.43,8,2,92.9,22,52.38,777,7,3,2,10,0,0,0,5,1,0,0,0,0,241,4,798,17,12,30.77,69,80.23,8,6,10,0,10,4,3,10.0,1,0,0.89,0,1,0,Joshua Kimmich,FC Bayern München,259117,2672
0,0,0,7,70.0,5,55.56,0,0.0,6,1,95.32,12,63.16,272,1,1,0,5,0,0,0,0,0,0,0,0,0,54,1,224,1,0,0.0,5,62.5,6,10,2,0,0,0,0,0.0,0,0,,0,0,0,Min-jae Kim,FC Bayern München,896569,2672
4,2,0,41,58.57,3,25.0,11,44.0,16,3,89.32,44,53.66,765,14,3,4,9,0,0,0,9,2,0,0,0,0,149,6,485,23,10,23.81,14,43.75,6,16,8,1,18,7,4,22.22,0,1,2.5,0,0,0,Alejandro Grimaldo,Bayer 04 Leverkusen,177177,2681
0,0,0,1,100.0,2,100.0,1,100.0,0,0,75.45,3,100.0,180,0,0,0,2,11,7,4,4,0,1,3,2,3,1,0,83,0,0,0.0,18,40.91,0,4,0,0,0,0,0,0.0,0,0,,0,0,0,Karl Hein,SV Werder Bremen,991591,2534
0,1,0,11,91.67,17,73.91,0,0.0,8,0,84.83,28,80.0,360,3,0,0,4,0,0,0,4,0,0,0,0,0,28,0,246,0,0,0.0,16,36.36,5,36,1,0,5,1,1,0.0,0,0,0.29,0,0,0,Amos Pieper,SV Werder Bremen,851254,2534
6,4,0,35,43.75,2,22.22,17,45.95,4,4,85.49,37,41.57,805,14,10,12,10,0,0,0,5,1,0,0,0,0,151,4,330,20,1,4.35,15,83.33,5,0,4,7,32,14,6,18.75,1,3,5.76,0,0,0,Luis Díaz,FC Bayern München,883537,2672
0,0,0,1,50.0,2,66.67,0,0.0,0,0,66.82,3,60.0,900,1,1,0,10,34,28,6,13,2,4,4,6,5,25,1,290,1,0,0.0,107,42.63,0,11,0,0,0,0,0,0.0,0,0,,0,0,0,Marvin Schwäbe,1. FC Köln,187185,2671
5,2,0,25,45.45,3,42.86,5,35.71,9,3,83.22,28,45.16,594,11,7,9,9,0,0,0,7,3,0,0,0,0,100,3,243,10,3,25.0,9,60.0,0,3,5,0,22,8,6,22.73,0,0,1.64,0,0,0,Can Uzun,Eintracht Frankfurt,1440948,2674
1,3,0,34,65.38,7,46.67,6,60.0,21,0,83.61,41,61.19,531,7,8,3,7,0,0,0,3,1,0,0,0,0,68,1,306,4,3,33.33,26,56.52,6,26,3,0,5,2,1,20.0,0,1,0.22,0,0,0,Rasmus Kristensen,Eintracht Frankfurt,921789,2674
0,0,0,8,57.14,4,80.0,1,100.0,5,0,91.04,12,63.16,167,2,5,0,3,0,0,0,1,0,0,0,0,0,16,0,122,0,0,0.0,0,0.0,2,10,1,0,0,0,0,0.0,0,0,,0,1,0,Aarón Anselmino,Borussia Dortmund,1500263,2673
0,0,0,15,71.43,10,71.43,1,100.0,11,0,84.13,25,71.43,269,3,3,2,3,0,0,0,3,0,0,0,0,0,21,0,159,0,0,0.0,13,41.94,1,29,2,0,0,0,0,0.0,0,0,,0,0,0,Jordan Torunarigha,Hamburger SV,801003,2676
0,3,0,20,47.62,21,65.63,2,66.67,12,0,89.85,41,55.41,765,6,16,2,9,0,0,0,4,1,0,0,0,0,138,0,593,5,2,25.0,29,49.15,9,49,3,0,6,2,1,0.0,0,1,0.21,0,1,0,Ramy Bensebaini,Borussia Dortmund,577726,2673
4,3,0,41,40.59,1,16.67,17,35.42,7,3,83.94,42,39.25,767,17,10,10,10,0,0,0,5,1,0,0,0,0,230,4,413,19,6,20.0,7,53.85,4,2,11,5,36,18,13,11.11,2,3,4.65,0,0,1,Michael Olise,FC Bayern München,978838,2672
1,1,0,19,48.72,52,86.67,2,100.0,5,0,85.66,71,71.72,720,15,8,8,8,0,0,0,12,2,0,0,0,0,22,0,424,6,0,0.0,30,55.56,8,78,4,1,6,1,2,16.67,0,0,0.83,0,1,0,Luka Vušković,Hamburger SV,1405212,2676
1,0,0,12,52.17,0,0.0,3,33.33,2,0,75.68,12,48.0,180,7,1,2,2,0,0,0,4,1,0,0,0,0,9,3,28,3,2,15.38,1,50.0,0,0,2,0,4,1,2,25.0,0,0,0.13,0,0,0,Leo Scienza,1. FC Heidenheim,1386651,5885
2,1,0,16,69.57,17,65.38,1,33.33,15,2,91.5,33,67.35,866,0,5,0,10,0,0,0,12,2,0,0,0,0,92,2,764,5,1,33.33,38,46.91,6,38,0,0,8,3,1,25.0,0,0,0.74,0,0,0,Edmond Tapsoba,Bayer 04 Leverkusen,883262,2681
1,1,0,26,56.52,25,59.52,5,50.0,16,0,90.87,51,57.95,900,7,8,1,10,0,0,0,6,1,0,0,0,0,116,0,756,2,2,40.0,28,43.75,8,51,7,0,5,1,2,20.0,0,0,0.28,0,1,0,Waldemar Anton,Borussia Dortmund,799046,2673
3,4,0,38,47.5,8,66.67,10,50.0,19,1,83.95,46,50.0,857,9,13,14,10,0,0,0,15,2,0,0,0,0,183,3,455,15,8,21.62,36,51.43,10,7,6,0,22,6,10,13.64,0,0,3.1,0,0,0,Nadiem Amiri,1. FSV Mainz 05,327755,2556
0,0,0,27,69.23,35,70.0,4,100.0,9,0,88.37,62,69.66,637,15,10,0,8,0,0,0,8,1,0,0,0,0,56,0,509,1,0,0.0,33,53.23,13,54,2,1,7,4,1,0.0,0,0,0.34,0,0,0,Jeff Chabot,VfB Stuttgart,863271,2677
0,1,0,1,100.0,3,100.0,0,0.0,0,0,69.23,4,100.0,900,1,0,0,10,35,23,11,16,2,5,6,7,6,12,0,252,1,0,0.0,58,34.52,0,15,0,0,1,0,0,0.0,0,0,0.04,1,0,0,Kamil Grabara,VfL Wolfsburg,902080,2524
4,2,0,31,57.41,13,65.0,5,62.5,16,0,75.64,44,59.46,653,10,12,3,8,0,0,0,9,0,0,0,0,0,43,1,208,2,0,0.0,12,50.0,7,14,5,1,14,6,3,28.57,0,0,1.96,0,0,0,Jens Stage,SV Werder Bremen,830142,2534
