goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
14,0,0,15,41.67,26,72.22,6,60.0,2,1,65.89,41,56.94,948,7,10,6,11,0,0,0,6,1,0,0,0,0,33,3,85,5,0,0.0,0,0.0,0,20,1,11,45,27,2,31.11,1,0,11.09,0,0,0,Erling Haaland,Manchester City,839956,17
0,0,0,4,50.0,1,50.0,0,0.0,3,0,91.67,5,50.0,91,1,4,0,2,0,0,0,0,0,0,0,0,0,3,0,44,0,0,0.0,3,75.0,2,8,0,0,1,0,0,0.0,0,0,0.04,0,0,0,Jaydee Canvot,Crystal Palace,1471671,7
2,0,0,25,51.02,14,70.0,7,70.0,18,2,90.78,39,56.52,896,0,8,8,11,0,0,0,4,1,0,0,0,0,173,4,591,19,16,27.59,26,57.78,9,19,5,1,12,4,3,16.67,0,0,1.02,0,0,1,Declan Rice,Arsenal,856714,42
1,3,0,59,56.19,3,21.43,14,41.18,12,4,87.77,62,52.1,826,33,4,18,10,0,0,0,10,1,0,0,0,0,147,4,280,26,5,23.81,10,66.67,7,8,5,2,13,6,5,7.69,1,0,1.16,0,0,2,Jack Grealish,Everton,189061,48
1,4,0,39,60.94,28,70.0,3,75.0,23,3,83.45,67,64.42,990,13,12,7,11,0,0,0,8,2,0,0,0,0,144,5,494,16,10,31.25,52,58.43,13,42,6,0,6,3,2,16.67,0,0,0.37,0,2,0,Granit Xhaka,Sunderland,117777,41
3,2,0,56,59.57,4,33.33,5,38.46,34,1,90.68,60,56.6,945,17,14,8,11,0,0,0,10,1,0,0,0,0,129,1,574,6,1,100.0,15,53.57,26,12,8,0,10,4,6,30.0,0,0,0.56,0,1,0,Moisés Caicedo,Chelsea,987650,38
0,0,0,4,100.0,1,100.0,1,100.0,2,0,71.96,5,100.0,270,1,0,0,3,11,9,2,4,0,2,7,1,8,1,0,77,0,0,0.0,13,32.5,0,6,0,0,0,0,0,0.0,0,0,,1,0,0,James Trafford,Manchester City,980643,17
1,0,0,57,50.89,3,37.5,34,58.62,6,3,84.48,60,50.0,623,18,10,19,11,0,0,0,3,0,0,0,0,0,118,5,196,23,3,16.67,3,50.0,3,0,3,3,8,7,0,12.5,0,2,1.03,0,0,0,Jérémy Doku,Manchester City,934386,17
1,0,0,17,58.62,1,25.0,5,55.56,5,2,87.72,18,54.55,345,7,3,4,6,0,0,0,3,0,0,0,0,0,56,4,100,6,2,11.11,3,100.0,1,1,1,2,9,4,2,11.11,1,0,0.85,0,0,0,Alejandro Garnacho,Chelsea,1135873,38
1,0,0,35,68.63,27,65.85,0,0.0,22,1,85.74,62,67.39,900,13,7,5,10,0,0,0,9,0,0,0,0,0,67,3,439,7,0,0.0,26,40.0,12,53,4,3,8,2,3,12.5,2,0,0.86,1,0,0,Marc Guéhi,Crystal Palace,877994,7
