goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
27,0,0,56,49.56,18,37.5,36,70.59,11,12,85.16,74,45.96,2597,9,13,24,32,0,0,0,20,3,0,0,0,0,593,15,1039,63,2,20.0,31,64.58,4,13,7,18,128,59,29,21.09,2,31,,0,0,1,Karim Benzema,Real Madrid,3306,2829
1,0,0,3,75.0,6,75.0,1,100.0,2,0,83.33,9,75.0,90,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0.0,2,33.33,0,5,0,0,2,1,0,50.0,0,0,,0,1,0,Kike Hermoso,Real Betis,990802,2816
1,3,0,100,54.35,4,44.44,59,65.56,24,13,84.38,104,53.89,1411,17,11,28,21,0,0,0,14,0,0,0,0,0,285,13,562,46,29,20.14,24,70.59,8,2,16,4,46,8,9,2.17,2,4,,0,0,1,Ousmane Dembélé,Barcelona,818244,2817
1,4,0,81,57.45,9,47.37,9,52.94,34,3,94.88,90,56.25,2108,39,20,11,28,0,0,0,16,2,0,0,0,0,623,6,2039,51,21,24.14,217,86.8,12,11,22,1,46,12,11,2.17,0,0,,0,1,0,Toni Kroos,Real Madrid,26502,2829
2,3,0,123,61.19,17,48.57,25,75.76,43,10,87.64,140,59.32,2708,56,16,23,33,0,0,0,29,3,0,0,0,0,537,11,1744,67,52,36.36,139,69.85,29,15,32,0,16,6,5,12.5,0,0,,0,1,1,Dani Parejo,Villarreal,39182,2819
9,2,0,58,46.77,18,50.0,39,63.93,5,3,69.44,76,47.5,1194,14,11,29,17,0,0,0,10,4,0,0,0,0,135,7,300,30,4,33.33,30,69.77,6,13,6,5,38,17,9,23.68,0,8,,0,0,0,Gerard Moreno,Villarreal,146866,2819
17,6,0,215,47.46,3,27.27,95,45.45,46,10,85.85,218,46.98,2699,74,34,59,35,0,0,0,19,3,0,0,0,0,629,13,1056,68,10,22.73,42,80.77,6,0,35,11,80,43,18,21.25,0,26,,0,0,0,Vinícius Júnior,Real Madrid,868812,2829
1,11,0,136,55.51,101,66.45,19,70.37,79,3,86.03,237,59.7,2575,38,54,14,32,0,0,0,22,1,0,0,0,0,381,7,1688,27,4,23.53,175,76.09,38,59,37,3,41,9,13,2.44,1,4,,1,2,1,Casemiro,Real Madrid,122951,2829
18,8,0,115,53.49,22,40.0,51,61.45,14,6,75.51,137,50.74,3093,50,22,32,37,0,0,0,36,3,0,0,0,0,401,8,934,57,16,14.81,48,64.0,11,18,20,10,90,41,25,20.0,1,20,,0,0,0,Iago Aspas,Celta Vigo,19356,2821
4,3,0,178,56.51,5,35.71,65,62.5,32,10,84.78,183,55.62,2802,81,15,56,35,0,0,0,25,2,0,0,0,0,580,15,1164,107,53,30.64,52,71.23,17,3,28,8,41,21,10,9.76,0,5,,0,1,0,Iker Muniain,Athletic Club,71707,2825
2,11,0,71,52.99,14,36.84,6,27.27,47,10,86.58,85,49.42,2648,19,26,4,30,0,0,0,28,4,0,0,0,0,640,11,2071,60,23,19.01,98,54.14,33,33,20,1,31,6,9,6.45,2,11,,0,1,2,Jordi Alba,Barcelona,35199,2817
0,0,0,5,83.33,1,100.0,0,0.0,1,1,80.0,6,85.71,17,4,0,0,3,0,0,0,0,0,0,0,0,0,3,1,4,2,2,66.67,0,0.0,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Jofre Carreras,Espanyol,1019236,2814
0,0,0,8,61.54,2,33.33,1,100.0,7,0,88.1,10,52.63,180,0,2,0,2,0,0,0,2,0,0,0,0,0,10,0,74,2,0,0.0,1,16.67,3,3,3,1,2,1,1,0.0,0,0,,0,0,0,John Nwankwo,Elche,1094758,2846
