goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
1,0,0,27,71.05,1,50.0,14,93.33,8,0,82.02,28,70.0,267,5,2,4,3,0,0,0,3,0,0,0,0,0,32,2,73,9,0,0.0,5,62.5,4,0,4,2,14,5,3,7.14,2,1,1.78,0,0,0,Armand Laurienté,Lorient,932643,1656
16,0,0,164,49.1,1,25.0,102,58.96,26,16,83.12,165,48.82,2842,36,8,77,32,0,0,0,28,3,0,0,0,0,722,29,1605,95,34,37.36,87,71.31,2,0,16,12,129,57,35,12.4,7,6,15.49,0,0,2,Lionel Messi,Paris Saint-Germain,12994,1644
13,4,1,125,52.08,1,33.33,38,45.24,22,11,82.73,126,51.85,1552,65,25,37,20,0,0,0,14,0,0,0,0,0,405,15,982,49,18,33.33,43,66.15,4,1,10,9,38,20,8,34.21,2,5,8.08,0,1,0,Neymar,Paris Saint-Germain,124712,1644
7,3,0,148,55.22,9,37.5,40,60.61,64,10,84.32,157,53.77,2531,44,25,35,32,0,0,0,23,2,0,0,0,0,595,19,1323,101,52,31.71,28,58.33,17,7,35,7,42,23,10,16.67,0,2,8.34,1,0,0,Rémy Cabella,Lille,72998,1643
9,0,0,58,53.21,63,63.0,9,39.13,25,4,75.34,121,57.89,1328,24,12,15,16,0,0,0,15,2,0,0,0,0,183,4,443,26,3,23.08,23,71.88,14,5,11,6,47,27,10,19.15,1,6,5.58,0,0,0,Martin Terrier,Stade Rennais,846445,1658
5,6,0,109,49.77,6,33.33,19,57.58,71,8,83.03,115,48.52,2891,19,33,12,35,0,0,0,46,8,0,0,0,0,506,13,1576,89,89,31.56,256,70.33,10,25,53,1,52,25,10,9.62,2,2,6.03,0,2,1,Branco van den Boomen,Toulouse,190883,1681
0,0,0,9,56.25,4,80.0,1,33.33,5,0,87.1,13,61.9,161,3,2,1,2,0,0,0,2,0,0,0,0,0,24,0,108,3,1,100.0,10,76.92,1,3,2,0,5,1,3,0.0,0,0,0.37,0,0,0,Lucas Paquetá,Olympique Lyonnais,839981,1649
29,6,0,124,40.92,8,61.54,74,40.44,10,5,82.95,132,41.77,2822,40,19,42,34,0,0,0,32,1,0,0,0,0,559,17,1070,56,14,29.79,19,67.86,5,5,11,28,149,79,37,19.46,4,33,26.3,0,0,0,Kylian Mbappé,Paris Saint-Germain,826643,1644
0,0,0,0,0.0,0,0.0,0,0.0,0,0,69.23,0,0.0,90,0,0,0,1,3,2,1,0,0,2,0,0,0,5,0,18,0,0,0.0,8,53.33,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Joaquín Blázquez,Stade Brestois,940690,1715
7,4,1,73,39.89,10,23.26,14,45.16,45,10,80.76,83,36.73,3084,14,35,18,37,0,0,0,31,4,0,0,0,0,520,15,1394,100,74,32.03,113,61.75,31,27,44,7,73,21,23,9.59,3,2,8.71,0,0,2,Benjamin Bourigeaud,Stade Rennais,324399,1658
27,3,0,137,46.92,28,37.84,38,57.58,43,5,75.52,165,45.08,2937,56,64,46,35,0,0,0,37,3,0,0,0,0,323,6,657,48,3,8.57,29,58.0,15,4,19,21,115,55,28,23.48,3,15,24.16,0,0,0,Alexandre Lacazette,Olympique Lyonnais,50070,1649
12,4,3,213,52.46,13,37.14,72,63.16,46,4,77.86,226,51.25,2557,96,58,49,30,0,0,0,46,2,0,0,0,0,371,9,1104,57,51,21.7,146,60.33,30,11,47,1,64,30,17,18.75,2,0,8.55,1,0,1,Teji Savanier,Montpellier,156682,1642
6,1,1,110,57.29,39,49.37,28,44.44,41,5,63.93,149,54.98,1552,43,15,22,18,0,0,0,23,2,0,0,0,0,112,6,257,23,3,9.09,8,44.44,19,17,13,5,52,17,16,11.54,1,2,5.25,0,0,0,Dango Ouattara,Lorient,1106451,1656
0,0,0,1,33.33,6,75.0,1,100.0,0,0,60.04,7,63.64,1710,0,0,0,19,75,52,22,22,0,15,4,9,4,16,0,341,1,0,0.0,142,39.12,0,15,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Benjamin Lecomte,Montpellier,123207,1642
7,4,0,99,49.25,56,54.9,16,47.06,39,9,80.1,155,51.16,3062,44,37,25,38,0,0,0,20,2,0,0,0,0,399,11,1115,59,19,19.19,81,64.8,29,49,25,12,89,32,17,7.87,1,9,10.49,0,0,0,Florian Sotoca,RC Lens,788921,1648
1,0,0,1,100.0,0,0.0,0,0.0,1,0,93.33,1,100.0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,14,2,0,0.0,1,100.0,1,0,0,0,1,1,0,100.0,0,0,0.51,0,0,0,Ante Palaversa,Troyes,897598,1652
5,4,0,108,51.18,12,36.36,13,46.43,77,3,82.08,120,49.18,2838,18,35,15,37,0,0,0,17,4,0,0,0,0,379,10,1095,69,64,25.1,53,54.64,41,35,41,1,31,9,13,16.13,0,6,4.18,0,2,1,Przemysław Frankowski,RC Lens,286909,1648
4,5,1,191,59.13,29,60.42,62,65.96,75,4,85.18,220,59.3,2491,54,39,36,30,0,0,0,58,6,0,0,0,0,298,3,1489,33,22,22.92,121,62.05,44,28,25,0,41,15,7,9.76,3,0,3.17,1,2,0,Nabil Bentaleb,Angers,368120,1684
8,5,0,112,47.06,18,40.0,27,65.85,62,7,74.79,130,45.94,2480,23,36,32,34,0,0,0,33,2,0,0,0,0,331,6,721,60,34,30.63,43,51.19,37,8,44,4,49,25,7,16.33,0,6,5.31,0,0,1,Aleksandr Golovin,AS Monaco,318963,1653
6,1,0,73,43.71,13,26.53,15,30.0,40,5,74.97,86,39.81,2544,18,23,21,33,0,0,0,32,2,0,0,0,0,243,15,608,90,74,34.58,23,52.27,21,15,15,4,47,17,15,12.77,2,9,4.81,0,0,1,Franck Honorat,Stade Brestois,280453,1715
3,1,0,86,48.86,0,0.0,53,49.53,18,4,82.51,86,47.25,1057,15,11,17,22,0,0,0,10,0,0,0,0,0,230,12,420,30,24,32.88,13,68.42,2,1,8,4,42,15,16,7.14,1,2,3.61,0,0,0,Edon Zhegrova,Lille,887766,1643
0,1,0,0,0.0,0,0.0,0,0.0,0,0,76.47,0,0.0,90,0,0,0,1,5,2,3,1,0,1,0,0,0,1,0,13,0,0,0.0,5,55.56,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rémy Descamps,Nantes,788180,1647
0,0,0,0,0.0,0,0.0,0,0.0,0,0,37.5,0,0.0,81,0,0,0,1,4,3,1,0,0,1,0,0,0,0,0,12,0,0,0.0,8,29.63,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ghjuvanni Quilichini,Ajaccio,1133562,1660
5,5,0,239,50.64,12,32.43,68,50.37,108,5,84.67,251,49.31,3037,64,42,55,35,0,0,0,40,7,0,0,0,0,416,10,1662,68,33,24.26,105,63.25,34,32,70,1,45,18,12,11.11,1,2,3.55,0,1,1,Enzo Le Fée,Lorient,984014,1656
2,5,0,177,58.61,20,40.0,57,64.04,47,6,81.65,197,55.97,2427,73,36,44,30,0,0,0,40,5,0,0,0,0,289,6,890,57,46,37.4,44,47.83,26,17,14,2,38,13,7,5.26,0,1,2.58,0,0,0,Jean-Ricner Bellegarde,RC Strasbourg,845273,1659
