goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
1,2,0,39,59.09,1,14.29,7,50.0,20,2,91.16,40,54.79,965,12,3,5,11,0,0,0,9,0,0,0,0,0,182,2,691,23,16,32.0,58,72.5,16,9,12,0,8,4,3,12.5,0,0,0.44,0,1,0,Luka Modrić,Milan,15466,2692
5,1,0,21,51.22,5,62.5,2,50.0,13,1,90.23,26,53.06,700,6,9,3,9,0,0,0,6,2,0,0,0,0,151,2,554,17,14,35.9,31,53.45,4,6,7,0,25,8,7,20.0,1,0,2.58,0,0,0,Hakan Çalhanoğlu,Inter,135700,2697
0,0,0,0,0.0,0,0.0,0,0.0,0,0,74.0,0,0.0,90,0,0,0,1,3,1,2,0,0,0,4,1,4,4,0,37,0,0,0.0,9,40.91,1,2,0,0,0,0,0,0.0,0,0,,0,0,0,Federico Ravaglia,Bologna,850952,2685
2,1,0,24,57.14,1,20.0,1,50.0,17,4,81.34,25,53.19,777,6,12,2,11,0,0,0,7,2,0,0,0,0,132,14,279,32,36,40.45,12,37.5,8,13,4,3,17,5,4,11.76,0,1,0.93,0,0,0,Federico Dimarco,Inter,284361,2697
4,2,0,76,48.72,9,40.91,22,48.89,34,4,80.25,85,47.75,978,20,29,18,11,0,0,0,5,1,0,0,0,0,143,8,386,27,8,26.67,8,38.1,9,6,13,0,37,14,15,10.81,1,0,1.96,0,0,0,Nico Paz,Como,1171451,2704
4,0,0,19,55.88,2,22.22,6,40.0,6,2,89.12,21,48.84,344,7,2,4,7,0,0,0,2,0,0,0,0,0,48,5,131,14,5,50.0,3,75.0,2,4,1,2,10,7,0,40.0,0,0,2.26,0,0,0,Christian Pulišić,Milan,817957,2692
0,0,0,1,100.0,4,100.0,0,0.0,0,0,67.23,5,100.0,990,2,0,0,11,44,31,13,8,1,9,6,7,6,7,0,238,0,0,0.0,73,39.04,0,14,0,0,0,0,0,0.0,0,0,,0,0,0,Ivan Provedel,Lazio,308182,2699
1,1,0,28,52.83,19,65.52,1,33.33,18,3,88.32,47,57.32,866,9,20,1,10,0,0,0,7,3,0,0,0,0,136,3,620,9,8,25.0,64,66.67,6,25,3,2,10,4,2,10.0,1,0,0.88,0,0,0,Alessandro Bastoni,Inter,826188,2697
0,0,0,0,0.0,0,0.0,0,0.0,0,0,58.73,0,0.0,360,0,0,0,4,11,8,3,3,0,0,1,4,1,9,0,74,0,0,0.0,36,40.91,0,6,0,0,0,0,0,0.0,0,0,,0,0,0,Alberto Paleari,Torino,259281,2696
2,1,0,80,71.43,5,38.46,30,68.18,29,1,83.96,85,68.0,951,22,6,6,11,0,0,0,9,0,0,0,0,0,118,0,382,14,4,16.67,11,47.83,7,4,7,3,16,5,5,12.5,1,2,1.51,0,0,0,Alexis Saelemaekers,Milan,901891,2692
0,1,0,12,70.59,2,100.0,3,100.0,3,1,92.38,14,73.68,200,6,2,1,4,0,0,0,1,1,0,0,0,0,40,2,194,9,4,57.14,6,54.55,5,2,2,0,1,0,0,0.0,0,0,0.03,0,1,0,Nicolò Rovella,Lazio,937324,2699
0,0,0,5,100.0,6,60.0,1,100.0,4,0,93.98,11,73.33,180,0,0,0,2,0,0,0,1,0,0,0,0,0,10,0,125,1,0,0.0,5,83.33,0,8,0,0,1,0,0,0.0,0,0,0.1,0,0,0,Stefan de Vrij,Inter,91046,2697
0,0,0,2,66.67,0,0.0,0,0.0,2,0,95.24,2,50.0,90,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,80,1,0,0.0,3,60.0,2,2,0,0,1,1,0,0.0,0,0,0.05,0,1,0,Benjamin Pavard,Inter,787505,2697
0,3,0,41,60.29,17,80.95,2,40.0,25,0,87.67,58,65.17,761,16,15,5,10,0,0,0,4,3,0,0,0,0,163,1,569,12,1,33.33,47,67.14,16,18,5,0,12,3,4,0.0,1,0,0.57,1,2,0,Manuel Locatelli,Juventus,363860,2687
0,0,0,2,100.0,7,87.5,0,0.0,1,0,81.3,9,90.0,990,4,0,0,11,33,20,11,5,1,9,15,5,15,17,0,313,0,0,0.0,73,51.05,1,16,0,0,0,0,0,0.0,0,0,,1,0,0,Jean Butez,Como,599114,2704
0,0,0,10,52.63,17,68.0,1,50.0,5,0,91.64,27,61.36,360,4,5,3,4,0,0,0,2,0,0,0,0,0,19,0,307,2,0,0.0,7,46.67,3,16,0,0,3,0,1,0.0,0,0,0.24,0,0,0,Amir Rrahmani,Napoli,332155,2714
1,0,0,18,58.06,7,53.85,2,50.0,11,0,87.58,25,56.82,433,6,7,1,7,0,0,0,3,0,0,0,0,0,83,0,289,6,4,30.77,43,67.19,3,11,4,0,4,1,2,25.0,0,0,0.21,0,0,0,Nikola Moro,Bologna,814882,2685
