goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
1.47,0.0,0.0,3.97,58.33,1.25,61.11,1.13,66.67,0.79,0.34,83.46,5.21,58.97,90,2.04,0.91,1.25,1.13,0.0,0.0,0.0,0.57,0.11,0.0,0.0,0.0,0.0,10.88,0.68,24.6,1.81,0.0,0.0,3.17,77.78,0.45,2.04,0.34,0.34,3.85,2.27,1.13,38.24,0.11,1.02,0.82,0.11,0.0,0.0,Harry Kane,FC Bayern München,108579,2672
0.0,0.0,0.0,3.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,88.31,8.0,100.0,90,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,68.0,0.0,0.0,0.0,5.0,50.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,Emre Can,Borussia Dortmund,138156,2673
0.0,0.0,0.0,3.82,50.0,8.73,88.89,0.55,100.0,2.73,0.0,83.63,12.55,71.88,90,0.55,2.73,0.0,1.09,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,8.73,0.0,78.0,0.55,0.0,0.0,2.18,23.53,1.64,8.73,1.09,0.0,2.73,0.55,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,Dan-Axel Zagadou,VfB Stuttgart,826205,2677
0.0,0.17,0.0,3.67,66.67,2.0,60.0,0.5,50.0,2.17,0.17,89.39,5.67,64.15,90,1.0,0.5,0.33,1.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,11.0,0.0,63.17,0.33,0.0,0.0,7.17,64.18,1.33,5.5,0.5,0.0,1.33,0.17,0.5,0.0,0.0,0.0,0.03,0.0,0.0,0.0,Nico Schlotterbeck,Borussia Dortmund,940871,2673
0.12,0.35,0.0,2.32,54.05,0.23,40.0,0.58,71.43,0.93,0.23,92.9,2.55,52.38,90,0.81,0.35,0.23,1.16,0.0,0.0,0.0,0.58,0.12,0.0,0.0,0.0,0.0,27.92,0.46,92.43,1.97,1.39,30.77,7.99,80.23,0.93,0.69,1.16,0.0,1.16,0.46,0.35,10.0,0.12,0.0,0.1,0.0,0.12,0.0,Joshua Kimmich,FC Bayern München,259117,2672
0.0,0.0,0.0,2.32,70.0,1.65,55.56,0.0,0.0,1.99,0.33,95.32,3.97,63.16,90,0.33,0.33,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.87,0.33,74.12,0.33,0.0,0.0,1.65,62.5,1.99,3.31,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Min-jae Kim,FC Bayern München,896569,2672
0.47,0.24,0.0,4.82,58.57,0.35,25.0,1.29,44.0,1.88,0.35,89.32,5.18,53.66,90,1.65,0.35,0.47,1.06,0.0,0.0,0.0,1.06,0.24,0.0,0.0,0.0,0.0,17.53,0.71,57.06,2.71,1.18,23.81,1.65,43.75,0.71,1.88,0.94,0.12,2.12,0.82,0.47,22.22,0.0,0.12,0.29,0.0,0.0,0.0,Alejandro Grimaldo,Bayer 04 Leverkusen,177177,2681
0.0,0.0,0.0,0.5,100.0,1.0,100.0,0.5,100.0,0.0,0.0,75.45,1.5,100.0,90,0.0,0.0,0.0,1.0,5.5,3.5,2.0,2.0,0.0,0.5,1.5,1.0,1.5,0.5,0.0,41.5,0.0,0.0,0.0,9.0,40.91,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Karl Hein,SV Werder Bremen,991591,2534
0.0,0.25,0.0,2.75,91.67,4.25,73.91,0.0,0.0,2.0,0.0,84.83,7.0,80.0,90,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,61.5,0.0,0.0,0.0,4.0,36.36,1.25,9.0,0.25,0.0,1.25,0.25,0.25,0.0,0.0,0.0,0.07,0.0,0.0,0.0,Amos Pieper,SV Werder Bremen,851254,2534
0.67,0.45,0.0,3.91,43.75,0.22,22.22,1.9,45.95,0.45,0.45,85.49,4.14,41.57,90,1.57,1.12,1.34,1.12,0.0,0.0,0.0,0.56,0.11,0.0,0.0,0.0,0.0,16.88,0.45,36.89,2.24,0.11,4.35,1.68,83.33,0.56,0.0,0.45,0.78,3.58,1.57,0.67,18.75,0.11,0.34,0.64,0.0,0.0,0.0,Luis Díaz,FC Bayern München,883537,2672
0.0,0.0,0.0,0.1,50.0,0.2,66.67,0.0,0.0,0.0,0.0,66.82,0.3,60.0,90,0.1,0.1,0.0,1.0,3.4,2.8,0.6,1.3,0.2,0.4,0.4,0.6,0.5,2.5,0.1,29.0,0.1,0.0,0.0,10.7,42.63,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Marvin Schwäbe,1. FC Köln,187185,2671
