goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.61,0.08,0.0,3.63,49.72,0.49,40.0,1.27,56.36,1.31,0.33,82.55,4.12,48.33,90,1.1,0.86,0.82,1.22,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,24.16,0.65,45.76,3.55,1.22,16.67,2.98,64.6,0.24,0.65,1.02,0.0,3.18,1.27,0.9,19.23,0.16,0.16,,0.0,0.0,0.0,Kevin De Bruyne,Manchester City,70996,17
0.06,0.06,0.0,2.08,44.0,0.47,53.57,0.6,48.72,1.26,0.38,78.14,2.56,45.51,90,0.22,0.38,0.6,1.01,0.0,0.0,0.0,0.54,0.16,0.0,0.0,0.0,0.0,19.87,0.57,53.12,2.84,2.59,30.04,6.4,53.42,1.36,1.04,1.04,0.0,1.61,0.47,0.47,3.92,0.0,0.35,,0.0,0.0,0.0,Trent Alexander-Arnold,Liverpool,795064,44
0.1,0.1,0.0,2.3,43.64,0.48,45.45,0.77,50.0,1.25,0.38,80.88,2.78,43.94,90,0.29,0.48,0.86,1.06,0.0,0.0,0.0,0.77,0.19,0.0,0.0,0.0,0.0,15.83,0.48,42.22,2.97,3.17,38.37,5.76,58.82,0.86,1.15,0.86,0.0,2.11,0.86,0.67,4.55,0.0,0.0,,0.0,0.0,0.1,Christian Eriksen,Brentford,105734,50
0.69,0.06,0.0,3.04,46.58,0.48,31.37,1.52,55.43,0.45,0.21,86.6,3.52,43.7,90,1.07,0.42,1.37,1.04,0.0,0.0,0.0,0.78,0.12,0.0,0.0,0.0,0.0,11.48,0.3,26.2,2.18,1.25,21.88,0.48,55.17,0.39,0.24,0.54,0.51,2.56,1.46,0.51,26.74,0.06,0.51,,0.0,0.0,0.03,Heung-min Son,Tottenham Hotspur,111505,33
0.0,0.0,0.0,9.15,60.0,0.0,0.0,1.53,100.0,7.63,1.53,73.91,9.15,54.55,90,0.0,0.0,4.58,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.78,1.53,51.86,3.05,0.0,0.0,3.05,50.0,0.0,0.0,1.53,0.0,1.53,0.0,1.53,0.0,0.0,0.0,,0.0,0.0,0.0,Kenedy,Chelsea,801391,38
0.42,0.15,0.0,3.12,42.49,0.23,16.22,0.68,42.86,1.56,0.38,85.38,3.34,38.26,90,0.87,1.14,1.29,1.22,0.0,0.0,0.0,0.87,0.08,0.0,0.0,0.0,0.0,19.45,0.38,36.17,2.2,1.63,28.1,0.8,55.26,0.49,0.42,0.91,0.15,2.89,1.1,0.8,14.47,0.11,0.19,,0.0,0.0,0.0,Mason Mount,Chelsea,836694,38
0.24,0.19,0.05,4.82,60.98,0.82,44.74,1.73,76.6,1.59,0.43,89.56,5.64,57.92,90,1.49,0.96,1.06,1.25,0.0,0.0,0.0,0.82,0.19,0.0,0.0,0.0,0.0,20.24,0.43,59.5,2.36,1.16,22.22,2.07,71.67,0.82,0.87,0.63,0.05,1.78,0.48,0.63,13.51,0.05,0.19,,0.0,0.0,0.05,Reece James,Chelsea,885908,38
0.0,0.0,0.0,0.0,0.0,2.57,100.0,0.0,0.0,0.0,0.0,77.78,2.57,100.0,90,0.0,0.0,0.0,2.57,10.29,5.14,5.14,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.57,33.33,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Kristoffer Klaesson,Leeds United,858254,34
0.75,0.03,0.0,3.03,34.57,0.23,17.5,1.73,42.74,0.55,0.42,79.89,3.26,32.36,90,0.75,0.39,2.64,1.14,0.0,0.0,0.0,0.49,0.23,0.0,0.0,0.0,0.0,14.93,0.59,28.1,2.09,0.2,14.63,0.59,64.29,0.2,0.13,0.42,0.55,4.53,1.96,1.24,16.55,0.1,0.39,,0.0,0.0,0.03,Mohamed Salah,Liverpool,159665,44
0.42,0.0,0.0,4.41,63.64,2.1,66.67,0.21,33.33,3.57,0.0,65.02,6.5,64.58,90,0.63,0.63,0.21,1.26,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,8.81,0.0,27.69,1.47,2.52,42.86,3.57,40.48,2.1,2.1,1.26,0.0,0.42,0.42,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,Kieran Trippier,Newcastle United,69256,39
