goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.74,0.19,0.04,6.27,55.67,1.01,50.0,1.94,58.82,1.63,0.23,89.8,7.28,54.81,90,2.79,1.24,1.55,1.08,0.0,0.0,0.0,0.54,0.08,0.0,0.0,0.0,0.0,18.63,0.27,52.16,1.86,0.15,19.05,1.94,83.33,0.81,0.5,0.93,0.27,2.44,1.36,0.54,30.16,0.04,0.15,0.43,0.0,0.0,0.0,Jude Bellingham,Real Madrid,991011,2829
0.0,0.0,0.0,0.54,100.0,0.27,100.0,0.0,0.0,0.27,0.0,89.8,0.81,100.0,90,0.27,0.0,0.0,1.08,4.32,2.16,1.89,0.0,0.0,0.54,0.54,0.54,0.54,0.54,0.27,23.78,0.27,0.0,0.0,3.51,56.52,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Thibaut Courtois,Real Madrid,70988,2829
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41,0.0,0.0,90,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,11.0,57.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Dominik Greif,Mallorca,791046,2826
0.04,0.13,0.0,4.05,61.54,0.34,66.67,0.21,62.5,2.23,0.34,94.68,4.38,61.9,90,1.6,0.72,0.25,1.39,0.0,0.0,0.0,0.72,0.08,0.0,0.0,0.0,0.0,24.28,0.38,94.51,2.66,1.52,30.51,9.74,85.87,0.72,0.25,1.48,0.0,1.48,0.55,0.42,2.86,0.08,0.13,0.07,0.0,0.04,0.04,Toni Kroos,Real Madrid,26502,2829
0.3,0.2,0.03,3.25,55.06,0.27,21.05,0.96,70.73,0.36,0.33,78.43,3.51,49.07,90,1.96,0.63,1.19,1.16,0.0,0.0,0.0,1.33,0.13,0.0,0.0,0.0,0.0,14.85,0.7,29.77,3.02,1.43,28.86,1.52,56.79,0.33,0.2,0.46,0.3,2.62,0.93,0.6,11.39,0.07,0.4,0.38,0.0,0.0,0.03,Iago Aspas,Celta Vigo,19356,2821
0.31,0.38,0.0,7.54,53.26,0.62,29.09,2.93,59.38,1.58,0.19,86.22,8.16,50.12,90,3.04,1.19,2.58,1.12,0.0,0.0,0.0,1.04,0.12,0.0,0.0,0.0,0.0,18.75,0.46,44.31,3.12,1.66,28.29,2.73,71.72,0.38,0.23,0.92,0.42,2.46,1.0,0.77,12.5,0.12,0.12,0.32,0.0,0.0,0.0,Isco,Real Betis,103417,2816
0.15,0.15,0.0,3.18,54.36,0.24,30.77,1.02,64.15,0.93,0.27,90.54,3.42,51.58,90,1.26,0.45,0.84,1.08,0.0,0.0,0.0,1.17,0.09,0.0,0.0,0.0,0.0,17.93,0.42,63.51,2.91,1.26,26.75,2.55,72.03,0.6,0.48,0.81,0.18,1.29,0.51,0.33,11.63,0.03,0.18,0.22,0.0,0.03,0.0,İlkay Gündoğan,Barcelona,45853,2817
0.08,0.11,0.03,2.76,57.31,0.53,45.24,0.42,71.43,1.38,0.17,91.74,3.29,54.93,90,1.01,0.82,0.42,1.04,0.0,0.0,0.0,1.18,0.06,0.0,0.0,0.0,0.0,17.21,0.25,70.26,1.66,1.63,30.21,6.13,74.15,1.01,1.38,0.73,0.0,1.1,0.34,0.34,7.69,0.03,0.03,0.05,0.03,0.06,0.06,Aleix García,Girona FC,796047,24264
0.13,0.38,0.0,3.54,59.57,0.82,50.0,0.51,47.06,1.89,0.06,81.26,4.36,57.5,90,1.2,1.01,0.32,1.14,0.0,0.0,0.0,1.26,0.19,0.0,0.0,0.0,0.0,16.23,0.19,47.94,3.09,2.65,32.06,5.68,60.4,0.88,0.69,0.51,0.0,2.02,0.51,0.69,6.25,0.0,0.06,0.08,0.0,0.0,0.0,Ivan Rakitić,Sevilla,7635,2833
0.54,0.17,0.0,2.75,50.0,0.47,34.15,0.75,59.46,1.12,0.2,82.66,3.22,46.8,90,0.88,0.54,0.88,1.12,0.0,0.0,0.0,0.88,0.24,0.0,0.0,0.0,0.0,11.09,0.34,34.93,1.46,0.95,22.76,1.9,71.79,0.34,0.71,0.88,0.37,2.68,1.15,0.78,20.25,0.07,0.47,0.42,0.03,0.0,0.0,Antoine Griezmann,Atlético Madrid,85859,2836
0.11,0.38,0.0,4.29,58.65,1.26,57.5,0.71,61.9,2.36,0.0,93.11,5.55,58.38,90,1.21,1.04,0.93,1.1,0.0,0.0,0.0,1.15,0.22,0.0,0.0,0.0,0.0,21.94,0.22,83.9,1.21,0.55,40.0,2.53,67.65,0.77,1.48,0.6,0.0,0.38,0.22,0.11,28.57,0.05,0.05,0.04,0.0,0.05,0.05,Frenkie de Jong,Barcelona,795222,2817
0.29,0.08,0.0,5.55,56.6,0.46,39.29,2.3,55.56,1.09,0.17,80.56,6.01,54.75,90,2.17,0.88,1.13,1.25,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,0.0,12.03,0.42,23.89,2.46,1.55,25.52,0.92,68.75,0.46,0.21,0.58,0.17,1.92,0.88,0.5,15.22,0.04,0.33,0.15,0.0,0.04,0.04,Takefusa Kubo,Real Sociedad,880218,2824
0.06,0.06,0.0,2.6,55.26,0.65,67.74,0.68,51.16,1.45,0.22,91.17,3.25,57.38,90,0.46,0.59,0.37,1.14,0.0,0.0,0.0,0.62,0.06,0.0,0.0,0.0,0.0,18.74,0.28,58.45,1.52,0.19,20.0,2.69,68.5,1.33,0.93,0.56,0.19,1.73,0.59,0.43,3.57,0.06,0.0,0.11,0.0,0.0,0.0,Federico Valverde,Real Madrid,831808,2829
0.11,0.11,0.0,3.42,47.76,0.43,50.0,1.12,55.26,1.18,0.32,91.11,3.85,48.0,90,1.12,1.01,1.01,1.71,0.0,0.0,0.0,0.8,0.05,0.0,0.0,0.0,0.0,25.69,0.64,76.06,3.04,1.07,22.22,5.29,79.2,1.12,0.32,0.85,0.0,1.34,0.53,0.32,8.0,0.11,0.11,0.07,0.0,0.0,0.11,Luka Modrić,Real Madrid,15466,2829
0.4,0.0,0.0,4.28,46.9,1.09,49.09,1.74,54.43,1.01,0.24,79.54,5.37,47.33,90,1.53,0.89,2.14,1.21,0.0,0.0,0.0,1.7,0.12,0.0,0.0,0.0,0.0,13.12,0.36,30.93,2.22,0.28,25.93,2.14,67.09,0.36,0.93,0.57,0.28,2.54,0.85,0.77,15.87,0.12,0.69,0.39,0.0,0.0,0.08,Gerard Moreno,Villarreal,146866,2819
0.11,0.25,0.04,2.61,62.39,2.86,65.57,0.21,66.67,1.61,0.0,89.17,5.47,64.02,90,0.79,0.97,0.21,1.0,0.0,0.0,0.0,1.22,0.18,0.0,0.0,0.0,0.0,4.72,0.0,48.29,0.14,0.0,0.0,6.33,66.29,1.47,5.58,0.46,0.04,1.0,0.39,0.21,10.71,0.04,0.32,0.07,0.0,0.0,0.0,Sergio Ramos,Sevilla,10710,2833
0.2,0.12,0.0,7.5,57.37,0.08,15.38,2.87,54.69,2.5,0.2,84.11,7.58,55.72,90,2.13,0.94,1.07,1.52,0.0,0.0,0.0,1.27,0.08,0.0,0.0,0.0,0.0,17.04,0.53,35.35,1.56,1.07,29.89,0.7,70.83,0.78,0.37,1.23,0.12,2.38,0.86,0.57,8.62,0.2,0.16,0.21,0.0,0.0,0.0,Lamine Yamal,Barcelona,1402912,2817
0.72,0.34,0.0,6.59,45.07,0.05,12.5,3.13,40.63,0.87,0.24,78.14,6.63,44.23,90,2.6,1.15,1.92,1.25,0.0,0.0,0.0,0.53,0.05,0.0,0.0,0.0,0.0,12.88,0.43,23.37,1.54,0.29,10.71,1.54,61.54,0.05,0.0,0.43,0.82,3.75,1.88,0.77,19.23,0.0,0.48,0.63,0.05,0.05,0.05,Vinícius Júnior,Real Madrid,868812,2829
0.38,0.13,0.0,3.72,42.45,1.01,58.18,1.54,44.95,0.76,0.09,73.75,4.73,45.05,90,1.42,1.01,1.48,1.07,0.0,0.0,0.0,0.79,0.19,0.0,0.0,0.0,0.0,9.17,0.32,19.92,1.39,0.6,17.12,0.22,35.0,0.44,0.85,0.66,0.35,2.93,1.36,0.57,12.9,0.16,0.79,0.3,0.0,0.0,0.0,Iñaki Williams,Athletic Club,783374,2825
0.38,0.08,0.0,4.6,50.0,0.19,19.23,2.26,46.88,0.6,0.19,89.91,4.79,47.04,90,1.73,0.38,1.13,1.28,0.0,0.0,0.0,0.68,0.08,0.0,0.0,0.0,0.0,18.73,0.19,32.56,1.73,0.34,28.13,0.34,81.82,0.3,0.15,0.53,0.45,3.28,1.36,0.75,11.49,0.08,0.49,0.44,0.0,0.0,0.0,Rodrygo,Real Madrid,910536,2829
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26,0.0,0.0,90,0.0,0.0,0.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Iván Cuéllar,Mallorca,19013,2826
0.0,0.0,0.0,3.0,50.0,3.0,66.67,0.0,0.0,3.0,0.0,88.1,6.0,57.14,90,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,55.5,1.5,0.0,0.0,7.5,62.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antal Yaakobishvili,Girona FC,1471513,24264
