goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.34,0.0,0.0,9.1,71.05,0.34,50.0,4.72,93.33,2.7,0.0,82.02,9.44,70.0,90,1.69,0.67,1.35,1.01,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,10.79,0.67,24.61,3.03,0.0,0.0,1.69,62.5,1.35,0.0,1.35,0.67,4.72,1.69,1.01,7.14,0.67,0.34,0.6,0.0,0.0,0.0,Armand Laurienté,Lorient,932643,1656
0.51,0.0,0.0,5.19,49.1,0.03,25.0,3.23,58.96,0.82,0.51,83.12,5.23,48.82,90,1.14,0.25,2.44,1.01,0.0,0.0,0.0,0.89,0.1,0.0,0.0,0.0,0.0,22.86,0.92,50.83,3.01,1.08,37.36,2.76,71.31,0.06,0.0,0.51,0.38,4.09,1.81,1.11,12.4,0.22,0.19,0.49,0.0,0.0,0.06,Lionel Messi,Paris Saint-Germain,12994,1644
0.75,0.23,0.06,7.25,52.08,0.06,33.33,2.2,45.24,1.28,0.64,82.73,7.31,51.85,90,3.77,1.45,2.15,1.16,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,23.49,0.87,56.95,2.84,1.04,33.33,2.49,66.15,0.23,0.06,0.58,0.52,2.2,1.16,0.46,34.21,0.12,0.29,0.47,0.0,0.06,0.0,Neymar,Paris Saint-Germain,124712,1644
0.25,0.11,0.0,5.26,55.22,0.32,37.5,1.42,60.61,2.28,0.36,84.32,5.58,53.77,90,1.56,0.89,1.24,1.14,0.0,0.0,0.0,0.82,0.07,0.0,0.0,0.0,0.0,21.16,0.68,47.04,3.59,1.85,31.71,1.0,58.33,0.6,0.25,1.24,0.25,1.49,0.82,0.36,16.67,0.0,0.07,0.3,0.04,0.0,0.0,Rémy Cabella,Lille,72998,1643
0.61,0.0,0.0,3.93,53.21,4.27,63.0,0.61,39.13,1.69,0.27,75.34,8.2,57.89,90,1.63,0.81,1.02,1.08,0.0,0.0,0.0,1.02,0.14,0.0,0.0,0.0,0.0,12.4,0.27,30.02,1.76,0.2,23.08,1.56,71.88,0.95,0.34,0.75,0.41,3.19,1.83,0.68,19.15,0.07,0.41,0.38,0.0,0.0,0.0,Martin Terrier,Stade Rennais,846445,1658
0.16,0.19,0.0,3.39,49.77,0.19,33.33,0.59,57.58,2.21,0.25,83.03,3.58,48.52,90,0.59,1.03,0.37,1.09,0.0,0.0,0.0,1.43,0.25,0.0,0.0,0.0,0.0,15.75,0.4,49.06,2.77,2.77,31.56,7.97,70.33,0.31,0.78,1.65,0.03,1.62,0.78,0.31,9.62,0.06,0.06,0.19,0.0,0.06,0.03,Branco van den Boomen,Toulouse,190883,1681
0.0,0.0,0.0,5.03,56.25,2.24,80.0,0.56,33.33,2.8,0.0,87.1,7.27,61.9,90,1.68,1.12,0.56,1.12,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,13.42,0.0,60.37,1.68,0.56,100.0,5.59,76.92,0.56,1.68,1.12,0.0,2.8,0.56,1.68,0.0,0.0,0.0,0.21,0.0,0.0,0.0,Lucas Paquetá,Olympique Lyonnais,839981,1649
0.92,0.19,0.0,3.95,40.92,0.26,61.54,2.36,40.44,0.32,0.16,82.95,4.21,41.77,90,1.28,0.61,1.34,1.08,0.0,0.0,0.0,1.02,0.03,0.0,0.0,0.0,0.0,17.83,0.54,34.12,1.79,0.45,29.79,0.61,67.86,0.16,0.16,0.35,0.89,4.75,2.52,1.18,19.46,0.13,1.05,0.84,0.0,0.0,0.0,Kylian Mbappé,Paris Saint-Germain,826643,1644
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23,0.0,0.0,90,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,8.0,53.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joaquín Blázquez,Stade Brestois,940690,1715
0.2,0.12,0.03,2.13,39.89,0.29,23.26,0.41,45.16,1.31,0.29,80.76,2.42,36.73,90,0.41,1.02,0.53,1.08,0.0,0.0,0.0,0.9,0.12,0.0,0.0,0.0,0.0,15.18,0.44,40.68,2.92,2.16,32.03,3.3,61.75,0.9,0.79,1.28,0.2,2.13,0.61,0.67,9.59,0.09,0.06,0.25,0.0,0.0,0.06,Benjamin Bourigeaud,Stade Rennais,324399,1658
