goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,44.83,1.0,100.0,90,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Juan Musso,Atalanta,263651,2686
0.0,0.17,0.0,3.67,62.86,2.0,63.16,0.5,75.0,2.5,0.0,92.84,5.67,62.96,90,0.83,1.5,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,77.83,0.0,0.0,0.0,3.67,66.67,1.0,2.33,0.17,0.0,0.5,0.0,0.17,0.0,0.0,0.0,0.02,0.0,0.0,0.0,Bremer,Juventus,885197,2687
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22,0.0,0.0,90,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Daniele Padelli,Udinese,2899,2695
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.94,0.0,0.0,90,0.0,0.0,0.0,1.18,5.88,4.12,1.76,1.18,0.0,0.0,0.0,0.59,0.0,0.0,0.0,22.94,0.0,0.0,0.0,7.06,32.43,0.59,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Benjamin Siegrist,Genoa,137773,2713
0.23,0.23,0.0,2.71,55.14,0.73,45.71,0.14,42.86,1.97,0.28,90.2,3.44,52.82,90,0.6,1.01,0.41,1.33,0.0,0.0,0.0,0.83,0.09,0.0,0.0,0.0,0.0,17.35,0.5,64.62,2.29,2.43,43.44,4.41,66.21,0.83,1.01,0.69,0.05,2.11,0.69,0.64,10.87,0.05,0.0,0.2,0.0,0.0,0.05,Hakan Çalhanoğlu,Inter,135700,2697
0.38,0.13,0.0,5.58,59.06,0.51,32.0,0.7,39.29,1.08,0.19,86.49,6.08,55.17,90,3.8,0.38,1.77,1.52,0.0,0.0,0.0,0.89,0.06,0.0,0.0,0.0,0.0,15.27,0.51,36.13,2.54,1.46,37.1,2.28,72.0,0.13,0.13,0.7,0.38,3.17,1.2,0.82,12.0,0.19,0.38,0.4,0.0,0.0,0.0,Paulo Dybala,Roma,256219,2702
0.0,0.0,0.0,0.0,0.0,0.33,100.0,0.0,0.0,0.0,0.0,82.02,0.33,100.0,90,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,1.33,0.33,1.33,0.33,0.0,24.33,0.0,0.0,0.0,4.0,44.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Rui Patrício,Atalanta,17737,2686
0.27,0.33,0.0,5.96,59.08,0.67,47.62,1.46,54.32,1.26,0.2,84.89,6.62,57.68,90,3.26,1.16,1.33,1.13,0.0,0.0,0.0,1.1,0.13,0.0,0.0,0.0,0.0,11.25,0.23,27.48,1.83,1.0,19.23,1.06,60.38,0.96,0.53,0.53,0.17,1.6,0.57,0.4,16.67,0.07,0.3,0.21,0.0,0.07,0.0,Mattia Zaccagni,Lazio,293581,2699
0.94,0.07,0.0,2.25,38.22,1.91,42.15,0.45,50.0,0.52,0.3,78.06,4.16,39.93,90,1.27,1.2,1.8,1.35,0.0,0.0,0.0,0.94,0.11,0.0,0.0,0.0,0.0,7.42,0.22,16.26,1.42,0.15,26.67,0.52,66.67,0.15,0.64,0.49,0.67,3.9,1.42,0.75,24.04,0.07,0.22,0.72,0.0,0.0,0.0,Mateo Retegui,Atalanta,914501,2686
0.6,0.16,0.0,3.5,36.67,0.72,56.25,1.47,36.63,1.27,0.2,79.03,4.22,38.97,90,0.8,1.23,2.03,1.23,0.0,0.0,0.0,0.8,0.12,0.0,0.0,0.0,0.0,13.56,0.48,25.33,2.51,1.51,30.65,0.32,44.44,0.12,0.2,0.32,0.52,3.26,1.39,0.87,18.29,0.2,1.03,0.41,0.0,0.04,0.08,Ademola Lookman,Atalanta,824200,2686
