id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
647,Harry Kane,10,808,13,8.366532996296883,3,2.8801207672804594,34,16,0,0,F M S,Bayern Munich,9,5.3354261219501495,9.831385850906372,3.531370874494314
7108,Jonathan Burkardt,9,616,6,5.634284220635891,0,0.22233903408050537,20,6,1,0,F S,Eintracht Frankfurt,5,4.876507543027401,5.916361548006535,1.98979920335114
10408,Luis Díaz,10,819,6,5.643012389540672,4,2.636807356029749,32,20,4,0,M S,Bayern Munich,6,5.643012389540672,10.96442798525095,4.058289565145969
13013,Haris Tabakovic,9,579,6,5.422282733023167,2,0.9512688219547272,20,5,0,0,F S,Borussia M.Gladbach,6,4.664505995810032,3.395405761897564,0.5550754778087139
1236,Patrik Schick,8,563,5,4.740356549620628,1,0.5279076937586069,13,3,0,0,F S,Bayer Leverkusen,3,3.224803179502487,4.032388769090176,1.3143325671553612
3738,Serhou Guirassy,9,799,5,5.917862378060818,1,0.5606498643755913,26,7,2,0,F,Borussia Dortmund,5,5.160085700452328,5.958006329834461,1.483176564797759
7422,Christoph Baumgartner,10,784,5,4.0745110884308815,2,0.796425249427557,21,11,3,0,M S,RasenBallsport Leipzig,5,3.316734403371811,4.159908521920443,1.1548059862107038
10113,Fisnik Asllani,10,702,5,3.7044622860848904,2,1.317853145301342,26,11,1,0,F M S,Hoffenheim,5,3.7044622860848904,6.354914948344231,1.6801214274019003
12954,Can Uzun,9,613,5,1.7576221488416195,3,1.885833753272891,22,10,2,0,M,Eintracht Frankfurt,5,1.7576221488416195,5.667745344340801,2.3393345922231674
993,Serge Gnabry,9,528,4,1.8973355405032635,3,1.7336985310539603,16,8,1,0,M S,Bayern Munich,4,1.8973355405032635,4.866832032799721,2.304354541003704
4340,Grischa Prömel,10,298,4,2.0537610352039337,1,0.21241234801709652,11,3,0,0,M S,Hoffenheim,4,2.0537610352039337,2.5250691398978233,0.35997484624385834
8407,Tim Lemperle,9,660,4,3.075441963970661,1,1.514844061806798,15,9,1,0,F M S,Hoffenheim,3,2.317665256559849,4.419575683772564,1.028465835377574
9948,Michael Olise,10,763,4,4.769035816192627,3,2.289961924776435,36,18,3,0,M S,Bayern Munich,4,4.769035816192627,11.488686546683311,5.9716721549630165
10725,Danilho Doekhi,10,900,4,2.697510961443186,0,0.3777085728943348,18,4,1,0,D,Union Berlin,4,2.697510961443186,1.1631838865578175,0.746700081974268
10732,Jakub Kaminski,10,900,4,2.512438043951988,1,2.532519578933716,22,18,0,0,D F M,FC Cologne,4,2.512438043951988,4.608972053974867,1.6113908290863037
10734,Jens Stage,8,660,4,1.893908329308033,0,0.5632527098059654,14,3,2,0,M,Werder Bremen,4,1.893908329308033,2.712662272155285,1.0687781851738691
11866,Álex Grimaldo,9,774,4,2.272678120061755,3,3.1454339250922203,19,23,2,0,D,Bayer Leverkusen,3,1.51490150205791,6.279925383627415,4.390371166169643
13062,Mohammed Amoura,10,624,4,3.6044883551076055,1,2.2938651889562607,21,12,1,0,F M S,Wolfsburg,3,2.8467116774991155,4.750874802470207,1.7349887508898973
13852,Rômulo,10,812,4,4.724549073725939,3,1.2935726828873158,20,10,0,0,F S,RasenBallsport Leipzig,4,4.724549073725939,7.761524830013514,2.233887117356062
13857,Ernest Poku,9,474,4,1.5846699178218842,2,1.1552542708814144,9,10,0,0,M S,Bayer Leverkusen,4,1.5846699178218842,3.777679815888405,1.0878177620470524
13866,Ilyas Ansah,10,695,4,2.2575651006773114,0,0.3159295506775379,14,5,0,0,F M S,Union Berlin,4,2.2575651006773114,2.9463497065007687,1.3069633394479752
13911,Said El Mala,10,372,4,3.238121574744582,1,0.492474265396595,22,3,0,0,F M S,FC Cologne,4,3.238121574744582,4.357619382441044,0.793415579944849
82,Nadiem Amiri,10,865,3,3.0356792211532593,1,1.4227893762290478,22,16,4,0,M,Mainz 05,0,0.7623491957783699,2.384736469015479,1.417972480878234
956,Andrej Kramaric,10,611,3,2.046657856553793,3,2.01120797265321,14,14,1,0,M S,Hoffenheim,2,1.288881178945303,4.074889585375786,2.2563346195966005
5256,Oliver Burke,9,493,3,2.568314768373966,0,0.1449008844792843,10,4,0,0,F M S,Union Berlin,3,2.568314768373966,3.1677369698882103,0.5492717176675797
5266,Vincenzo Grifo,10,586,3,1.9465751945972443,1,2.312584226951003,10,17,0,0,M S,Freiburg,1,0.4311022460460663,3.192616071552038,1.5611112415790558
6496,Ermedin Demirovic,6,505,3,2.6299759969115257,1,0.39177749305963516,10,5,1,0,F,VfB Stuttgart,2,1.8721993193030357,2.768768809735775,1.2470280416309834
7749,Rayan Philippe,10,651,3,2.6182121708989143,0,0.7948643639683723,20,9,2,0,F M S,Hamburger SV,3,2.6182121708989143,3.0377192199230194,0.5998607333749533
8791,Ritsu Doan,10,830,3,2.4314912892878056,3,2.9942901208996773,19,13,1,0,F M,Eintracht Frankfurt,3,2.4314912892878056,6.219618160277605,3.165455710142851
10367,Tiago Tomás,10,446,3,2.482387736439705,0,0.6631660498678684,20,7,1,0,M S,VfB Stuttgart,3,2.482387736439705,3.1305480375885963,0.6136776730418205
10804,Deniz Undav,6,385,3,2.129801195114851,0,0.27856317162513733,21,5,2,0,F M S,VfB Stuttgart,3,2.129801195114851,3.75849786400795,1.5095234885811806
12038,Fabian Rieder,8,689,3,2.22436953894794,2,1.895893421024084,15,13,2,0,M,Augsburg,2,1.4665928799659014,2.99902780726552,0.5584186762571335
12904,Samuel Mbangula,9,609,3,0.7396261524409056,1,0.5521316006779671,5,6,0,0,F M S,Werder Bremen,3,0.7396261524409056,1.6934382356703281,0.5475688315927982
13561,Yan Diomande,10,538,3,1.9363852851092815,2,1.0540622286498547,12,9,2,0,F M S,RasenBallsport Leipzig,3,1.9363852851092815,5.979241356253624,3.9356320574879646
13885,Andréas Hountondji,9,485,3,2.4749275161884725,0,0.09602327086031437,12,3,1,0,F M S,St. Pauli,3,1.7171508981846273,1.1131643895059824,0
125,Maximilian Eggestein,10,900,2,1.4830500669777393,0,0.7103675156831741,11,5,1,0,M,Freiburg,2,1.4830500669777393,3.3351412415504456,2.1524945832788944
261,Julian Brandt,8,345,2,1.3255722243338823,2,1.6108672339469194,10,8,0,0,F M S,Borussia Dortmund,2,1.3255722243338823,2.4970962908118963,0.505832277238369
294,Gian-Luca Waldschmidt,6,205,2,1.8678196743130684,1,0.5775301139801741,8,4,0,0,F M S,FC Cologne,1,1.1100430116057396,1.5738274231553078,0.24685920681804419
419,Maximilian Mittelstädt,9,676,2,1.603735651820898,1,0.8454022035002708,12,9,2,0,D M S,VfB Stuttgart,1,0.8459589518606663,3.539279945194721,2.377986505627632
5969,Jean-Luc Dompe,9,647,2,0.916680802591145,0,2.1214941143989563,17,18,0,0,F M S,Hamburger SV,2,0.916680802591145,2.8534957468509674,0.8397861458361149
