id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8260,Erling Haaland,11,964,14,11.359739303588867,1,1.4061276093125343,45,5,0,0,F,Manchester City,14,10.598570436239243,11.617482960224152,1.5982153415679932
13222,Thiago,11,933,8,7.21218329668045,0,0.7825009971857071,25,5,3,0,F,Brentford,5,4.9286767318844795,6.3903599083423615,1.2710409872233868
501,Danny Welbeck,11,720,6,4.2200832813978195,0,0.2738901451230049,14,8,2,0,F S,Brighton,6,3.4589143842458725,4.78876493498683,1.2275542691349983
5735,Jean-Philippe Mateta,11,969,6,8.51247502118349,0,0.4580792933702469,32,3,2,0,F,Crystal Palace,4,6.990137226879597,7.423005733639002,0.8196825683116913
11363,Antoine Semenyo,11,990,6,5.323200466111302,3,0.457156028598547,23,11,2,0,M,Bournemouth,5,3.800862768664956,5.790692456066608,1.6888839900493622
6552,Bryan Mbeumo,11,973,5,4.284833405166864,1,2.496264163404703,26,18,0,0,M,Manchester United,5,4.284833405166864,7.3058386370539665,1.436300242319703
1250,Mohamed Salah,11,989,4,3.994213677942753,2,1.8717761971056461,25,21,1,0,M,Liverpool,3,3.2330448403954506,5.8607187718153,1.6715429574251175
6026,Richarlison,11,614,4,2.849821964278817,2,1.2957726418972015,19,6,2,0,F M S,Tottenham,4,2.849821964278817,5.156790504232049,1.369459394365549
7148,Wilson Isidor,11,700,4,2.974952593445778,0,0,24,0,0,0,F S,Sunderland,4,2.974952593445778,3.3161769807338715,0.5072057098150253
7254,Viktor Gyokeres,10,814,4,4.881660208106041,0,1.207115799188614,20,8,1,0,F,Arsenal,3,4.120491370558739,6.511527366936207,2.001145426183939
8117,Nick Woltemade,8,640,4,3.9454934746026993,0,0.20918566547334194,13,4,0,0,F,Newcastle United,3,3.184324637055397,1.9836668334901333,0.7875168342143297
8272,João Pedro,11,947,4,3.9758677259087563,3,2.6235423516482115,19,14,0,0,F M,Chelsea,4,3.9758677259087563,5.631228219717741,1.000950364395976
9307,Iliman Ndiaye,11,928,4,2.5238883085548878,1,2.391060523688793,12,14,2,0,M,Everton,3,1.7627194710075855,5.984219171106815,2.1263990299776196
10746,Jaidon Anthony,11,914,4,2.3945667445659637,1,0.4326093755662441,14,11,3,0,M,Burnley,4,2.3945667445659637,3.8155479431152344,1.3198428936302662
11504,Eli Junior Kroupi,8,250,4,1.9119495302438736,0,0.08710854221135378,10,2,1,0,F S,Bournemouth,4,1.9119495302438736,1.044780172407627,0.3366456627845764
1776,Jarrod Bowen,11,990,3,1.658348724246025,1,1.4210045505315065,26,11,0,0,F M,West Ham,3,1.658348724246025,3.47666285187006,0.7584487739950418
2203,Emiliano Buendía,9,428,3,1.238245657645166,2,1.1620461903512478,15,9,2,0,M S,Aston Villa,3,1.238245657645166,1.8525667674839497,0.5036918222904205
2248,Casemiro,10,645,3,1.0745699815452099,1,0.4137892536818981,10,6,3,1,M S,Manchester United,3,1.0745699815452099,1.4998140148818493,1.111115526407957
5675,Ismaila Sarr,9,805,3,4.154267720878124,1,1.109074303880334,14,8,1,0,F M,Crystal Palace,3,4.154267720878124,5.434374809265137,1.5158787071704865
6382,Pedro Neto,11,862,3,1.8565738871693611,2,1.9035465959459543,15,17,0,0,F M,Chelsea,3,1.8565738871693611,4.805419959127903,2.0629670582711697
7322,Bukayo Saka,9,690,3,2.747915300540626,0,2.530366186052561,17,17,0,0,F M S,Arsenal,2,1.9867464629933238,6.600178673863411,3.775908701121807
7365,Lucas Paquetá,11,969,3,1.4929357133805752,0,1.562420204281807,16,14,5,0,F M,West Ham,2,0.7317668758332729,2.455506347119808,1.2679464221000671
8327,Bruno Guimarães,10,900,3,1.8917494975030422,1,0.5730614922940731,14,15,3,0,M,Newcastle United,3,1.8917494975030422,4.196601551026106,1.9264341592788696
8995,Hugo Ekitike,10,655,3,2.262521579861641,1,0.41514328122138977,16,6,0,0,F S,Liverpool,3,2.262521579861641,3.5313738211989403,1.4665810316801071
9156,Kevin Schade,11,931,3,3.215640863403678,1,1.4681441355496645,18,12,4,0,F M S,Brentford,3,2.4544720258563757,4.666232753545046,0.9731279648840427
9453,Moisés Caicedo,11,943,3,0.8330750595778227,1,0.7116653509438038,10,6,2,0,M S,Chelsea,3,0.8330750595778227,6.321178222075105,5.52293654717505
9749,Donyell Malen,11,314,3,1.909611277282238,0,0.15197200328111649,12,3,0,0,F M S,Aston Villa,3,1.909611277282238,1.6823655143380165,0.16238738223910332
10050,Micky van de Ven,11,983,3,1.499996254220605,0,0.12338549271225929,7,2,2,0,D,Tottenham,3,1.499996254220605,2.018740290775895,2.018740290775895
10697,Ryan Gravenberch,9,786,3,0.38226825557649136,1,0.7412913125008345,12,7,2,0,M,Liverpool,3,0.38226825557649136,3.779879704117775,3.0171495378017426
11296,Cody Gakpo,11,819,3,3.6782854478806257,2,3.2310583107173443,27,21,0,0,M S,Liverpool,3,3.6782854478806257,6.877492040395737,1.5266358871012926
11356,Enzo Fernández,10,889,3,4.94063750654459,1,2.42340387403965,22,17,2,0,M,Chelsea,2,4.179468668997288,9.17838428914547,5.317462339997292
13729,Zian Flemming,8,346,3,1.442674733698368,0,0.2714919000864029,8,2,2,0,F S,Burnley,3,1.442674733698368,1.672539047896862,0.032663311809301376
468,Callum Wilson,8,370,2,1.8442000057548285,0,0.12942656129598618,10,2,0,0,F S,West Ham,2,1.8442000057548285,1.4142271876335144,0.23173749633133411
668,Idrissa Gueye,11,961,2,1.3139389865100384,0,0.32922540605068207,13,5,0,0,M,Everton,2,1.3139389865100384,4.6730256183072925,3.5571060283109546
1018,Josh Cullen,11,953,2,0.8289522547274828,1,0.7773617692291737,6,9,1,0,M,Burnley,2,0.8289522547274828,4.376621039584279,2.9315053671598434
1228,Bruno Fernandes,11,989,2,4.479846371337771,3,2.76447768881917,25,30,2,0,M,Manchester United,1,2.196339840069413,5.29923377558589,2.6117376163601875
1433,Federico Chiesa,8,80,2,1.0253721848130226,1,0.7863274216651917,7,1,1,0,S,Liverpool,2,1.0253721848130226,2.2629924342036247,0.45129282772541046
1653,Michael Keane,11,966,2,1.6266625374555588,0,0.097673699259758,9,1,0,0,D,Everton,2,1.6266625374555588,1.7223048461601138,1.0413420675322413
4456,Chris Wood,8,560,2,2.0672987550497055,0,0.17429565265774727,16,3,0,0,F S,Nottingham Forest,2,2.0672987550497055,2.1495288610458374,0.16340264305472374
5553,Declan Rice,11,897,2,1.3127557560801506,2,1.4129835236817598,12,18,0,0,M S,Arsenal,2,1.3127557560801506,5.556522086262703,4.14366452395916
5596,Harry Wilson,10,681,2,1.2768368739634752,0,0.48768405616283417,19,8,1,0,M S,Fulham,2,1.2768368739634752,1.8869315385818481,0.5115892868489027
6063,Jacob Murphy,10,590,2,2.1656143125146627,1,1.0306947510689497,26,6,0,0,F S,Newcastle United,2,2.1656143125146627,3.47651469707489,1.0207075234502554
6377,Joe Rodon,11,990,2,1.043833151459694,0,0.12877236306667328,8,2,0,0,D,Leeds,2,1.043833151459694,1.6165707502514124,1.5067398343235254
6544,Lukas Nmecha,11,271,2,1.7842656895518303,0,0,8,0,0,0,F S,Leeds,1,1.0230968296527863,1.3043982461094856,0.374255895614624
6615,Trevoh Chalobah,10,850,2,1.186815494671464,0,0.12196670472621918,9,2,2,1,D,Chelsea,2,1.186815494671464,4.456510536372662,4.3401069566607475
6837,Ryan Sessegnon,10,859,2,0.7265384215861559,0,1.2123570516705513,4,5,0,0,D,Fulham,2,0.7265384215861559,3.1536865681409836,2.1220762468874454
6857,Morgan Gibbs-White,11,923,2,2.667753078043461,1,0.6425457447767258,25,10,0,0,F M S,Nottingham Forest,2,2.667753078043461,4.3130082711577415,1.8975847661495209
7166,Mathias Jensen,9,200,2,0.28143508918583393,0,0.18495506420731544,4,3,0,0,M S,Brentford,2,0.28143508918583393,1.0659839529544115,0.612783782184124
7498,Lyle Foster,8,594,2,1.3705432750284672,1,0.6672525368630886,8,6,2,0,F S,Burnley,2,1.3705432750284672,2.242615096271038,0.4273011013865471
7526,Martín Zubimendi,11,949,2,0.5313357580453157,1,0.6237730737775564,9,9,2,0,M S,Arsenal,2,0.5313357580453157,4.304321890696883,3.711247831583023
7698,Leandro Trossard,9,654,2,2.168441753834486,2,1.1163398958742619,15,9,0,0,F M S,Arsenal,2,2.168441753834486,4.041639596223831,2.2617880031466484
8288,Tomas Soucek,8,447,2,1.866581104695797,0,0.029067160561680794,9,1,0,1,M S,West Ham,2,1.866581104695797,1.6429247930645943,0.8700357265770435
8864,Matthew Cash,11,975,2,0.22485878504812717,0,0.5716164084151387,11,8,3,0,D,Aston Villa,2,0.22485878504812717,2.2704521268606186,1.9565127491950989
9021,Pape Sarr,10,555,2,0.9797695456072688,2,0.6850563697516918,5,4,0,0,M S,Tottenham,2,0.9797695456072688,3.1380615942180157,2.927371211349964
9451,Chimuanya Ugochukwu,10,610,2,1.3471180647611618,0,0.07150717824697495,10,1,0,1,M S,Burnley,2,1.3471180647611618,2.008762676268816,1.2212484031915665
9662,Dango Ouattara,10,656,2,3.437867820262909,0,1.1373911201953888,18,4,2,0,M S,Brentford,2,3.437867820262909,4.864158451557159,1.1128421183675528
9780,Mathys Tel,8,252,2,0.3560841213911772,0,0,6,0,0,0,F S,Tottenham,2,0.3560841213911772,0.4666678197681904,0.1105836983770132
10715,João Palhinha,11,866,2,0.7767164781689644,1,0.43516744300723076,11,2,3,0,M S,Tottenham,2,0.7767164781689644,1.934159066528082,1.2791620874777436
10741,Marcus Tavernier,11,879,2,1.4686487587168813,1,1.7624464891850948,18,15,0,0,M S,Bournemouth,2,1.4686487587168813,3.9872313998639584,2.280006017535925
10760,Brennan Johnson,11,461,2,1.0511867552995682,0,0.44372049905359745,5,4,2,0,F M S,Tottenham,2,1.0511867552995682,1.7165229637175798,0.28549050725996494
11707,Jurriën Timber,11,890,2,1.2776657789945602,1,0.9014561558142304,11,13,2,0,D S,Arsenal,2,1.2776657789945602,4.580724768340588,3.7746276892721653
11966,Noah Okafor,8,541,2,1.653923287987709,0,0.7746322154998779,8,5,2,0,F M S,Leeds,2,1.653923287987709,3.1900714188814163,0.810862060636282
11974,Benjamin Sesko,11,615,2,3.761856776662171,1,0.4847502112388611,18,7,1,0,F S,Manchester United,2,3.761856776662171,4.524852715432644,0.4002477079629898
13364,Diego Gómez,10,547,2,2.032288234680891,0,0.9740652218461037,12,9,2,0,M S,Brighton,2,2.032288234680891,3.3549582734704018,0.9706983016803861
13715,Dan Ballard,9,579,2,1.7470791852101684,0,1.0168017446994781,12,5,0,0,D S,Sunderland,2,1.7470791852101684,1.3098980709910393,0.8320611789822578
204,Granit Xhaka,11,990,1,0.24137693271040916,3,2.042112287133932,6,16,4,0,M,Sunderland,1,0.24137693271040916,2.6333867302164435,1.969181314110756
489,James Milner,7,175,1,0.7611688375473022,1,0.4633796475827694,1,4,1,0,M S,Brighton,0,0,0.5852794460952282,0.5852794460952282
500,Alex Iwobi,11,931,1,0.8371508913114667,2,1.8233534842729568,14,19,2,0,M,Fulham,1,0.8371508913114667,3.4379802588373423,1.5823502391576767
592,Ross Barkley,5,58,1,0.32202692329883575,0,0.3553307205438614,4,2,0,0,S,Aston Villa,1,0.32202692329883575,0.6852806434035301,0.22694654762744904
675,Jack Grealish,10,829,1,1.8737524403259158,4,3.4008876904845238,13,24,2,0,M S,Everton,1,1.8737524403259158,6.592992007732391,2.1412268653512
885,Kyle Walker-Peters,10,444,1,1.1295292750000954,0,0.13329645618796349,4,3,1,0,D S,West Ham,1,1.1295292750000954,1.8009190633893013,0.706481009721756
1537,Sasa Lukic,9,691,1,1.7193342745304108,1,0.983442697674036,7,13,5,0,M,Fulham,1,1.7193342745304108,2.731437027454376,0.7413006536662579
1687,Harry Maguire,8,351,1,0.35102613642811775,1,0.19499868154525757,4,1,0,0,D S,Manchester United,1,0.35102613642811775,0.774635948240757,0.774635948240757
4105,Raúl Jiménez,10,448,1,1.765035629272461,1,0.4904111921787262,14,3,0,0,F S,Fulham,1,1.765035629272461,2.2061369344592094,0.27968066558241844
5304,Mikel Merino,10,397,1,1.4373040795326233,1,0.5563080236315727,5,4,0,0,F M S,Arsenal,1,1.4373040795326233,1.9676095619797707,0.9469901099801064
5555,Dominic Calvert-Lewin,9,613,1,1.6155789401382208,0,0.7184300236403942,17,8,0,0,F S,Leeds,1,1.6155789401382208,2.682124661281705,0.5580468010157347
5613,Gabriel,11,990,1,1.321236215531826,2,1.7131695747375488,8,4,1,0,D,Arsenal,1,1.321236215531826,3.851910028606653,3.756230864673853
5659,Nordi Mukiele,9,810,1,0.8902268391102552,1,0.7517716586589813,7,6,1,0,D,Sunderland,1,0.8902268391102552,2.0634785518050194,1.7426832355558872
5722,Ibrahim Sangare,8,516,1,0.9447829434648156,0,0.07227867096662521,6,2,2,0,M S,Nottingham Forest,1,0.9447829434648156,2.3438441902399063,1.789789080619812
6055,Phil Foden,9,711,1,0.9751958772540092,1,1.344886688515544,15,20,3,0,M S,Manchester City,1,0.9751958772540092,5.796380918473005,4.477533336728811
6108,Rodrigo Bentancur,10,675,1,0.6382630923762918,1,0.5836473405361176,6,5,1,0,M S,Tottenham,1,0.6382630923762918,1.8534781448543072,1.612062904983759
6456,Callum Hudson-Odoi,10,576,1,0.7168917469680309,0,1.9192444011569023,10,16,0,0,M S,Nottingham Forest,1,0.7168917469680309,4.124677814543247,1.927750114351511
6482,Eddie Nketiah,5,90,1,0.9629506766796112,0,0.8395494157448411,5,4,1,0,S,Crystal Palace,1,0.9629506766796112,1.8310335213318467,0.11832206789404154
6681,Harvey Barnes,11,461,1,0.9833566043525934,0,1.1124616973102093,12,7,0,0,F S,Newcastle United,1,0.9833566043525934,2.305517328903079,0.7949061263352633
6963,Justin Kluivert,10,384,1,0.4401937546208501,0,0.879981366917491,8,8,2,0,M S,Bournemouth,1,0.4401937546208501,1.7974675670266151,0.77530437707901
7078,Sean Longstaff,11,795,1,0.5164963230490685,2,1.9621873404830694,10,18,1,0,M S,Leeds,1,0.5164963230490685,2.6177475675940514,1.7294726222753525
7080,Matheus Cunha,10,670,1,1.4930388014763594,0,0.6064859181642532,22,9,0,0,F M S,Manchester United,1,1.4930388014763594,3.9841568395495415,2.2064750771969557
7230,Emile Smith-Rowe,11,176,1,0.831384526565671,0,0.18078146129846573,5,3,0,0,M S,Fulham,1,0.831384526565671,1.581049463711679,0.6316490722820163
7352,Tyler Adams,11,970,1,0.8258219249546528,1,0.0732995793223381,7,2,4,0,M,Bournemouth,1,0.8258219249546528,3.0916707403957844,2.95118036493659
7438,James Garner,11,990,1,0.8254898879677057,1,1.214849527925253,20,11,4,0,D M,Everton,1,0.8254898879677057,3.8669974878430367,3.2813875200226903
7603,Marc Guehi,10,900,1,1.1274596061557531,1,1.2390778311528265,8,7,0,0,D,Crystal Palace,1,1.1274596061557531,3.8053358709439635,2.38082308229059
7723,John McGinn,11,882,1,0.723931010812521,0,1.1098244413733482,11,11,1,0,M,Aston Villa,1,0.723931010812521,2.2822026889771223,1.3414375958964229
7752,Gabriel Martinelli,8,185,1,0.8312334343791008,0,0.10601583868265152,5,2,0,0,F S,Arsenal,1,0.8312334343791008,0.913587212562561,0.1547226905822754
7768,Mason Mount,8,359,1,0.814672589302063,0,0.5059789791703224,6,6,0,0,M S,Manchester United,1,0.814672589302063,1.3594021648168564,0.3388095274567604
7902,Matthijs de Ligt,11,990,1,1.1297423094511032,0,0.2317677140235901,7,2,0,0,D,Manchester United,1,1.1297423094511032,1.6467591226100922,1.282546654343605
7908,Marshall Munetsi,11,795,1,1.6099602784961462,1,0.38085445016622543,12,3,2,0,F M S,Wolverhampton Wanderers,1,1.6099602784961462,2.91306028701365,0.9853054648265243
8067,Reece James,11,690,1,0.7137596812099218,2,2.2439171001315117,9,13,2,0,D M S,Chelsea,1,0.7137596812099218,4.849692892283201,3.428212609142065
8094,Mathis Cherki,6,225,1,0.586555041372776,2,1.6321451421827078,8,5,0,0,F M S,Manchester City,1,0.586555041372776,2.0422886088490486,1.0404970198869705
8127,Amad Diallo Traore,10,762,1,1.7120859641581774,2,1.7611620426177979,16,13,1,0,D M S,Manchester United,1,1.7120859641581774,4.934547811746597,2.5824067536741495
8129,Riccardo Calafiori,11,890,1,2.14164474979043,2,0.3853544294834137,19,4,3,0,D,Arsenal,1,2.14164474979043,4.440442681312561,3.487583488225937
8204,Neco Williams,11,990,1,0.7011891342699528,0,0.7288546785712242,11,9,4,0,D,Nottingham Forest,1,0.7011891342699528,2.9662073887884617,1.9716388080269098
8214,Tyrick Mitchell,11,990,1,0.5398246496915817,0,0.7140533849596977,5,10,2,0,D,Crystal Palace,1,0.5398246496915817,3.17232399713248,2.3746996326372027
