id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3423,Kylian Mbappe-Lottin,12,1061,13,11.135383773595095,2,2.6629988960921764,58,32,2,0,F,Real Madrid,10,8.162273187190294,11.844307601451874,3.0108341202139854
227,Robert Lewandowski,9,432,7,6.8500706404447556,0,0.42753999680280685,22,2,1,0,F S,Barcelona,6,5.363515466451645,6.675543829798698,1.3010589629411697
10846,Julián Álvarez,12,972,7,6.512242458760738,2,3.944687347859144,30,26,1,0,F,Atletico Madrid,5,4.282409615814686,9.7255197763443,3.9347941987216473
9002,Vedat Muriqi,11,907,6,4.3771570436656475,0,0.12538825068622828,30,4,1,1,F,Mallorca,5,3.6338794343173504,4.876606866717339,1.7651072763837874
10930,Etta Eyong,12,1006,6,7.455085791647434,3,1.6703463960438967,28,8,2,0,F,"Levante,Villarreal",6,6.711808167397976,6.889039635658264,0.635459927842021
2234,Mikel Oyarzabal,12,1060,5,6.132470283657312,2,3.247882191091776,36,20,1,0,F,Real Sociedad,2,3.9026374481618404,7.947203561663628,3.1766968481242657
2543,Borja Iglesias,12,733,5,4.651836976408958,2,0.9285123702138662,21,9,2,0,F S,Celta Vigo,4,3.9085593707859516,6.045500043779612,1.656327050179243
6441,Ferrán Torres,11,728,5,5.686739951372147,1,1.7259163558483124,28,11,1,0,F M S,Barcelona,5,5.686739951372147,8.996082067489624,2.1472349986433983
6954,Juan Camilo Hernández,12,1048,5,3.6940058916807175,2,2.0910353045910597,37,14,1,0,F,Real Betis,5,3.6940058916807175,7.939105488359928,2.3899229364469647
7008,Vinícius Júnior,12,891,5,4.716555513441563,4,3.300292730331421,33,27,1,0,F M S,Real Madrid,4,3.2300002574920654,8.884495168924332,2.698186820372939
1235,Ante Budimir,11,915,4,4.365839213132858,0,0.19013910740613937,30,3,0,0,F S,Osasuna,2,2.136006359010935,2.560372471809387,0.6618976891040802
2252,Borja Mayoral,9,672,4,2.2312817722558975,1,0.5318673253059387,7,4,0,0,F S,Getafe,4,2.2312817722558975,1.9592138454318047,0.24291327595710754
2270,Antoine Griezmann,12,418,4,3.407647890970111,0,1.2515529096126556,18,11,0,0,F S,Atletico Madrid,4,3.407647890970111,5.827846586704254,1.7584690749645233
2589,Rafa Mir,12,877,4,3.3876878246665,0,0.27359805814921856,31,4,1,0,F M S,Elche,4,2.6445381566882133,3.6058580093085766,0.8743562363088131
4175,Pere Milla,10,699,4,3.715195156633854,0,1.8892087861895561,35,15,3,1,F M S,Espanyol,4,3.715195156633854,4.903800604864955,1.4320918582379818
6170,André Silva,11,616,4,3.4521498354151845,0,0.688881766051054,19,11,0,0,F S,Elche,4,3.4521498354151845,4.19812947511673,0.30884605273604393
8107,Jorge De Frutos,11,880,4,4.444470031186938,1,1.4378041997551918,19,13,1,0,F M,Rayo Vallecano,4,4.444470031186938,6.431483389809728,1.0379819013178349
9275,Iván Romero,9,742,4,3.8805624544620514,0,0.887079942971468,22,8,1,0,F,Levante,4,3.8805624544620514,4.8150831907987595,0.6052074283361435
11094,Antony,8,694,4,2.398012064397335,1,1.4962244667112827,28,14,1,0,M,Real Betis,4,2.398012064397335,6.181627929210663,3.3425633907318115
11527,Lamine Yamal,8,636,4,3.5167044922709465,4,2.0352021381258965,36,14,0,0,F M S,Barcelona,3,2.773426875472069,7.235053367912769,3.9863282591104507
12160,Alberto Moleiro,12,686,4,2.4736870117485523,2,1.5459051840007305,16,10,1,0,F M S,Villarreal,4,2.4736870117485523,4.9296834990382195,1.617229739204049
12322,Tajon Buchanan,12,719,4,1.2917988523840904,0,1.508893445134163,9,8,3,0,F M S,Villarreal,4,1.2917988523840904,4.530292322859168,1.7720046835020185
1709,Cristhian Stuani,8,177,3,2.948501229286194,0,0,5,0,2,0,F S,Girona,0,0.7186683118343353,1.2280937135219574,0.5094254016876221
2120,Gerard Moreno,5,322,3,1.4448571652173996,0,1.147827137261629,10,7,0,0,F,Villarreal,2,0.7015795558691025,2.8455576822161674,1.9154806323349476
6637,Hugo Duro,12,596,3,2.0557893961668015,0,0.8013681471347809,10,5,0,0,F S,Valencia,3,2.0557893961668015,3.0965391770005226,0.8230845425277948
7071,Álvaro García,12,791,3,3.3352875411510468,1,2.977826915681362,16,11,2,0,M S,Rayo Vallecano,3,3.3352875411510468,7.1107863541692495,0.7976717762649059
7810,Ruben Vargas,11,843,3,2.1222583539783955,4,1.764968678355217,21,11,1,0,F M S,Sevilla,2,1.3789807222783566,3.7242137417197227,1.3220976125448942
8026,Raphinha,6,398,3,2.3160031605511904,2,1.7994441706687212,16,12,2,0,F M S,Barcelona,3,2.3160031605511904,5.8543441593647,2.3617231249809265
