nombre,club_actual,temporada,liga,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,altura,valor,xG_xA_por_90,eficiencia_gol,asistencias_esperadas_por_90
aaron escandell,laliga,2023-2024,laliga,GK,1995,2,1,153.0,0.0,0.0,0,1,0,0,0,,,,,,,0,0,0,,0,0,0,0,0,,,,,
abdelkabir abqar,laliga,2024-2025,laliga,,,,,,,,,,,,,0.8577928,0.23812325,0.8577928,8,2.933803543448448,2.713847666978836,,,,,,,,,,,,,,
abdessamad ezzalzouli,laliga,2024-2025,laliga,,,,,,,,,,,,,9.586015,2.4090977,8.842737,26,13.69968931004405,4.313502963632345,,,,,,,,,,,,,,
abdou harroui,serie-a,2023-2024,serie-a,"MF,FW",1998,18,13,1019.0,3.0,3.0,2,0,43,38,56,3.3975055,1.7014152,2.6362066,16,4.9546966245397925,1.350578375160694,11,11,1,50.0,23,11,19,3,16,,,0.45,0.8830007724117837,0.15
abdul fatawu issahaku,premier-league,2024-2025,premier-league,FW,2004,11,6,579.0,0.0,2.0,0,0,42,17,60,0.4660487,1.4724965,0.4660487,6,2.3615895370021462,1.3566849753260612,13,2,6,57.9,21,15,7,0,7,,,0.3,0.0,0.23
abner,laliga,2023-2024,laliga,DF,2000,23,15,1400.0,0.0,1.0,3,0,14,33,58,0.17782322,1.2607838,0.17782322,8,5.191712699830532,4.443651057779789,15,9,1,50.0,25,19,23,5,18,,,0.09,0.0,0.08
adam armstrong,premier-league,2022-2023,premier-league,"FW,MF",1997,30,14,1335.0,2.0,1.0,2,0,39,16,70,2.4375014,1.7304165,2.4375014,11,4.704243279993534,1.2918517235666511,6,5,3,30.0,14,9,15,3,12,,,0.28,0.8205123389734088,0.12
adam aznou,laliga,2024-2025,laliga,DF,2006,13,10,876.0,0.0,0.0,1,0,16,25,26,0.27008438,0.5333969,0.27008438,6,2.35653112642467,1.700465090572834,20,8,0,48.8,28,21,24,8,16,,,0.08,0.0,0.05
adam lallana,premier-league,2024-2025,premier-league,MF,1988,14,5,361.0,0.0,2.0,4,0,6,24,10,0.15231557,0.5534783,0.15231557,4,1.702550608664751,1.124756133183837,4,4,0,16.7,8,5,4,1,3,,,0.18,0.0,0.14
adria alti,laliga,2024-2025,laliga,,,,,,,,,,,,,0.2496104,0.58576715,0.2496104,11,2.443735755048692,2.062911454588175,,,,,,,,,,,,,,
adrian,laliga,2024-2025,laliga,GK,1987,19,19,1710.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.0,0,2.354312153533101,2.354312153533101,0,0,0,0.0,0,0,0,0,0,,,0.0,,0.0
adrian,laliga,2024-2025,laliga,GK,1987,19,19,1710.0,0.0,0.0,3,0,0,0,0,0.6004659,0.062414594,0.6004659,1,0.9397268313914536,0.9397268313914536,0,0,0,0.0,0,0,0,0,0,,,0.03,0.0,0.0
adrian,laliga,2024-2025,laliga,GK,1987,19,19,1710.0,0.0,0.0,3,0,0,0,0,0.48031953,0.0,0.48031953,0,0.4884312395006418,0.008111709728837,0,0,0,0.0,0,0,0,0,0,,,0.03,0.0,0.0
adrian baquerin,laliga,2024-2025,laliga,FW,2007,5,0,49.0,0.0,0.0,0,0,0,1,0,,,,,,,0,1,0,,1,1,0,0,0,,,,,
agustin martegani,serie-a,2023-2024,serie-a,MF,2000,18,6,731.0,1.0,0.0,1,0,14,28,22,0.71159446,0.34115237,0.71159446,6,1.9232338862493636,1.1300806105136871,7,3,3,33.3,13,7,4,1,3,,,0.13,1.4052948032151913,0.04
alassane plea,bundesliga,2023-2024,bundesliga,"FW,MF",1993,27,24,1913.0,7.0,4.0,1,0,56,115,157,6.8796296,3.6423655,6.121853,36,13.662751639261842,5.829366076737642,5,8,4,46.7,17,7,11,0,11,,,0.5,1.017496637874456,0.17
alberto grassi,serie-a,2022-2023,serie-a,MF,1995,25,14,1194.0,0.0,0.0,3,0,5,50,10,0.49593747,0.27171636,0.49593747,6,1.7717564776539805,1.3973325937986374,13,13,0,62.5,26,21,23,12,11,,,0.06,0.0,0.02
alberto grassi,serie-a,2023-2024,serie-a,MF,1995,27,22,1807.0,0.0,1.0,6,1,13,75,13,0.9090436,0.838819,0.9090436,6,4.838489793241024,4.473317813128233,13,13,4,38.5,30,18,26,11,15,,,0.09,0.0,0.04
alberto grassi,serie-a,2024-2025,serie-a,MF,1995,28,27,2203.0,1.0,0.0,8,0,18,74,24,1.1658169,0.72576517,1.1658169,7,6.6722745527513325,4.9939055615104735,16,18,5,63.6,39,21,22,12,10,,,0.08,0.8577676282859154,0.03
alberto grassi,serie-a,2024-2025,serie-a,MF,1995,28,27,2203.0,1.0,0.0,8,0,18,74,24,1.1658169,0.72576517,1.1658169,7,6.6722745527513325,4.9939055615104735,16,18,5,63.6,39,21,22,12,10,,,0.08,0.8577676282859154,0.03
alberto perea,laliga,2022-2023,laliga,MF,1990,1,1,45.0,0.0,0.0,0,0,0,2,2,0.0,0.0,0.0,0,0.0,0.0,2,0,0,,2,0,2,0,2,,,0.0,,0.0
alberto perea,laliga,2023-2024,laliga,"MF,FW",1990,2,0,2.0,0.0,0.0,0,0,0,2,1,0.0,0.06456033,0.0,1,0.0645603314042091,0.0645603314042091,0,0,0,0.0,0,0,0,0,0,,,2.91,,2.91
alessio cragno,serie-a,2022-2023,serie-a,GK,1994,1,1,90.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.1198339983820915,0.1198339983820915,0,0,0,0.0,0,0,0,0,0,,,0.0,,0.0
alex centelles,laliga,2022-2023,laliga,DF,1997,15,11,1123.0,1.0,2.0,0,1,17,35,48,0.80875534,1.1211064,0.80875534,13,4.475170537829399,3.4672376923263077,16,3,3,72.7,22,14,13,2,11,,,0.15,1.2364678819129047,0.09
alex grimaldo,bundesliga,2024-2025,bundesliga,,,,,,,,,,,,,3.139214,8.451545,3.139214,74,13.696474827826025,8.669026328250766,,,,,,,,,,,,,,
alex kral,bundesliga,2022-2023,bundesliga,MF,1998,29,26,2357.0,0.0,0.0,3,0,41,100,70,1.5625385,0.5070485,1.5625385,11,6.027862414717674,4.629865577444434,10,22,2,45.9,34,24,31,6,25,,,0.08,0.0,0.02
