nombre,club_actual,temporada,liga
aaron ciammaglichella,torino,2024-2025,serie-a
aaron ciammaglichella,torino,2024-2025,serie-a
aaron cresswell,west ham,2022-2023,premier-league
aaron cresswell,west ham,2023-2024,premier-league
aaron cresswell,west ham,2024-2025,premier-league
aaron escandell,las palmas,2023-2024,laliga
aaron hickey,brentford,2022-2023,premier-league
aaron hickey,brentford,2023-2024,premier-league
aaron martin,genoa,2024-2025,serie-a
aaron martin,genoa,2024-2025,serie-a
aaron martin,mainz,2022-2023,bundesliga
aaron martin,genoa,2023-2024,serie-a
aaron ramsdale,arsenal,2023-2024,premier-league
aaron ramsdale,arsenal,2022-2023,premier-league
aaron ramsdale,southampton,2024-2025,premier-league
aaron ramsey,burnley,2023-2024,premier-league
aaron seydel,darmstadt,2023-2024,bundesliga
aaron wanbissaka,west ham,2024-2025,premier-league
aaron wanbissaka,manchester utd,2023-2024,premier-league
aaron wanbissaka,manchester utd,2022-2023,premier-league
aaron zehnter,augsburg,2022-2023,bundesliga
abde ezzalzouli,betis,2024-2025,laliga
abde ezzalzouli,barcelona,2023-2024,laliga
abde ezzalzouli,betis,2023-2024,laliga
abde ezzalzouli,osasuna,2022-2023,laliga
abdel abqar,alaves,2024-2025,laliga
abdel abqar,alaves,2023-2024,laliga
abdelhamid sabiri,sampdoria,2022-2023,serie-a
abdellah raihani,atletico madrid,2023-2024,laliga
abderrahman rebbach,alaves,2023-2024,laliga
abderrahman rebbach,alaves,2024-2025,laliga
abdon prats,mallorca,2023-2024,laliga
abdon prats,mallorca,2024-2025,laliga
abdon prats,mallorca,2022-2023,laliga
abdou diallo,rb leipzig,2022-2023,bundesliga
abdou harroui,sassuolo,2022-2023,serie-a
abdou harroui,hellas verona,2024-2025,serie-a
abdou harroui,frosinone,2023-2024,serie-a
abdou harroui,hellas verona,2024-2025,serie-a
abdoulaye doucoure,everton,2024-2025,premier-league
abdoulaye doucoure,everton,2022-2023,premier-league
abdoulaye doucoure,everton,2023-2024,premier-league
abdoulaye keita,getafe,2024-2025,laliga
abdukodir khusanov,manchester city,2024-2025,premier-league
abdul fatawu issahaku,leicester city,2024-2025,premier-league
abdul mumin,rayo vallecano,2024-2025,laliga
abdul mumin,rayo vallecano,2023-2024,laliga
abdul mumin,rayo vallecano,2022-2023,laliga
abel,osasuna,2024-2025,laliga
abel ruiz,girona,2024-2025,laliga
abner,betis,2022-2023,laliga
abner,betis,2023-2024,laliga
aboubacar bassinga,las palmas,2024-2025,laliga
adam armstrong,southampton,2022-2023,premier-league
adam armstrong,southampton,2024-2025,premier-league
adam aznou,valladolid,2024-2025,laliga
adam forshaw,leeds united,2022-2023,premier-league
adam hlozek,leverkusen,2023-2024,bundesliga
adam hlozek,leverkusen,2022-2023,bundesliga
adam lallana,brighton,2022-2023,premier-league
adam lallana,brighton,2023-2024,premier-league
adam lallana,southampton,2024-2025,premier-league
adam marusic,lazio,2024-2025,serie-a
adam marusic,lazio,2024-2025,serie-a
adam marusic,lazio,2022-2023,serie-a
adam marusic,lazio,2023-2024,serie-a
adam masina,torino,2023-2024,serie-a
adam masina,udinese,2023-2024,serie-a
adam masina,torino,2024-2025,serie-a
adam masina,udinese,2022-2023,serie-a
adam masina,torino,2024-2025,serie-a
adam obert,cagliari,2024-2025,serie-a
adam obert,cagliari,2024-2025,serie-a
adam obert,cagliari,2023-2024,serie-a
adam ounas,napoli,2022-2023,serie-a
adam smith,bournemouth,2023-2024,premier-league
adam smith,bournemouth,2022-2023,premier-league
adam smith,bournemouth,2024-2025,premier-league
adam webster,brighton,2024-2025,premier-league
adam webster,brighton,2022-2023,premier-league
adam webster,brighton,2023-2024,premier-league
adam wharton,crystal palace,2024-2025,premier-league
adam wharton,crystal palace,2023-2024,premier-league
adama boiro,athletic club,2024-2025,laliga
adama soumaoro,bologna,2022-2023,serie-a
adama traore,wolves,2022-2023,premier-league
adama traore,fulham,2023-2024,premier-league
adama traore,fulham,2024-2025,premier-league
ademola lookman,atalanta,2022-2023,serie-a
ademola lookman,atalanta,2023-2024,serie-a
ademola lookman,atalanta,2024-2025,serie-a
ademola lookman,atalanta,2024-2025,serie-a
adnan januzaj,sevilla,2022-2023,laliga
adnan januzaj,las palmas,2024-2025,laliga
adnan januzaj,sevilla,2023-2024,laliga
adolfo gaich,hellas verona,2022-2023,serie-a
adri bosch,granada,2023-2024,laliga
adri embarba,almeria,2022-2023,laliga
adri embarba,rayo vallecano,2024-2025,laliga
adri embarba,almeria,2023-2024,laliga
adri embarba,espanyol,2022-2023,laliga
adria altimira,leganes,2024-2025,laliga
adria altimira,villarreal,2023-2024,laliga
adria pedrosa,sevilla,2024-2025,laliga
adria pedrosa,sevilla,2023-2024,laliga
adria pedrosa,espanyol,2022-2023,laliga
adrian,betis,2024-2025,laliga
adrian baquerin,valladolid,2024-2025,laliga
adrian beck,heidenheim,2023-2024,bundesliga
adrian benedyczak,parma,2024-2025,serie-a
adrian benedyczak,parma,2024-2025,serie-a
adrian bernabe,parma,2024-2025,serie-a
adrian bernabe,parma,2024-2025,serie-a
adrian nino,atletico madrid,2024-2025,laliga
adrian rodriguez,alaves,2024-2025,laliga
adrien rabiot,juventus,2022-2023,serie-a
adrien rabiot,juventus,2023-2024,serie-a
adrien tameze,torino,2024-2025,serie-a
adrien tameze,torino,2024-2025,serie-a
adrien tameze,hellas verona,2022-2023,serie-a
adrien tameze,torino,2023-2024,serie-a
adu ares,athletic club,2022-2023,laliga
adu ares,athletic club,2023-2024,laliga
adu ares,athletic club,2024-2025,laliga
agustin alvarez,sassuolo,2022-2023,serie-a
agustin marchesin,celta vigo,2022-2023,laliga
agustin martegani,salernitana,2023-2024,serie-a
agustin rogel,hertha bsc,2022-2023,bundesliga
ahmed touba,lecce,2023-2024,serie-a
aiham ousou,cadiz,2023-2024,laliga
aihen munoz,real sociedad,2024-2025,laliga
aihen munoz,real sociedad,2022-2023,laliga
aihen munoz,real sociedad,2023-2024,laliga
aimar oroz,osasuna,2024-2025,laliga
aimar oroz,osasuna,2023-2024,laliga
aimar oroz,osasuna,2022-2023,laliga
aingeru olabarrieta,athletic club,2024-2025,laliga
aingeru olabarrieta,athletic club,2023-2024,laliga
