Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
keyliane abdallah,Marseille,1,0,0,100.0,1,1,0,0,0,0,0,0,2024-2025,ligue-1
yunis abdelhamid,Saint-Étienne,15,2,0,62.5,10,11,14,26,18,8,57,1,2024-2025,ligue-1
himad abdelli,Angers,13,20,15,31.3,15,32,26,24,1,23,28,2,2024-2025,ligue-1
mohamed abdelmoneim,Nice,12,6,3,59.1,13,14,15,11,5,6,56,1,2024-2025,ligue-1
ali abdi,Nice,18,14,11,65.1,28,25,20,20,6,14,37,0,2024-2025,ligue-1
matthis abline,Nantes,2,4,5,33.3,3,5,4,15,1,14,36,1,2024-2025,ligue-1
abner,Lyon,12,10,7,65.6,21,20,5,15,2,13,41,0,2024-2025,ligue-1
zakaria aboukhlal,Toulouse,7,8,7,17.4,4,13,6,16,1,15,9,0,2024-2025,ligue-1
akor adams,Montpellier,1,2,1,75.0,3,3,1,2,1,1,5,1,2024-2025,ligue-1
martin adeline,Reims,0,1,0,50.0,1,1,0,0,0,0,2,0,2024-2025,ligue-1
adryelson,Lyon,0,0,0,,0,0,1,0,0,0,1,0,2024-2025,ligue-1
emmanuel agbadou,Reims,19,3,3,73.1,19,17,19,22,13,9,64,1,2024-2025,ligue-1
jeremy agbonifo,Lens,6,0,1,42.9,3,6,1,2,1,1,0,1,2024-2025,ligue-1
ruben aguilar,Lens,17,12,5,61.5,24,18,13,25,3,22,23,0,2024-2025,ligue-1
naouirou ahamada,Rennes,0,0,0,,0,0,2,0,0,0,2,0,2024-2025,ligue-1
jeaneudes aholou,Angers,26,20,10,45.8,22,36,33,34,14,20,32,0,2024-2025,ligue-1
ayman aiki,Saint-Étienne,1,2,0,100.0,1,3,1,1,0,1,0,0,2024-2025,ligue-1
ludovic ajorque,Brest,3,12,11,31.3,10,19,6,20,5,15,26,0,2024-2025,ligue-1
umit akdag,Toulouse,3,4,1,41.7,5,4,11,10,8,2,19,0,2024-2025,ligue-1
sergio akieme,Reims,30,3,1,61.1,22,23,17,26,9,17,97,4,2024-2025,ligue-1
maghnes akliouche,Monaco,12,24,15,46.3,19,31,15,21,0,21,13,0,2024-2025,ligue-1
paul akouokou,Lyon,0,1,0,,0,0,1,0,0,0,0,1,2024-2025,ligue-1
clement akpa,Auxerre,36,12,7,67.4,31,34,42,38,14,24,141,2,2024-2025,ligue-1
chuba akpom,Lille,0,4,4,33.3,2,5,0,9,0,9,3,0,2024-2025,ligue-1
mohamed ali cho,Nice,4,5,4,33.3,4,9,5,17,1,16,8,0,2024-2025,ligue-1
jim allevinah,Angers,6,9,4,17.9,5,11,12,10,0,10,17,0,2024-2025,ligue-1
thiago almada,Lyon,7,5,2,33.3,7,8,7,2,0,2,6,3,2024-2025,ligue-1
jordan amavi,Brest,10,11,3,71.4,15,17,7,10,2,8,18,0,2024-2025,ligue-1
kelvin amian,Nantes,40,14,1,82.9,29,31,13,18,11,7,85,0,2024-2025,ligue-1
michael amir murillo,Marseille,30,13,6,69.6,32,31,18,21,8,13,70,4,2024-2025,ligue-1
samuel amoameyaw,Strasbourg,3,2,0,22.2,2,3,3,3,0,3,2,0,2024-2025,ligue-1
mathis amougou,Saint-Étienne,15,5,1,52.6,10,15,12,10,0,10,4,0,2024-2025,ligue-1
benjamin andre,Lille,31,60,12,56.3,54,57,48,42,6,36,56,0,2024-2025,ligue-1
kyllian antonio,Lens,2,0,1,33.3,1,2,3,3,0,3,3,1,2024-2025,ligue-1
dennis appiah,Saint-Étienne,42,22,7,57.7,41,43,29,36,8,28,89,2,2024-2025,ligue-1
carlens arcus,Angers,32,15,5,60.7,34,35,27,24,4,20,83,3,2024-2025,ligue-1
hakon arnar haraldsson,Lille,9,17,10,48.5,16,16,8,10,2,8,6,0,2024-2025,ligue-1
marco asensio,Paris S-G,1,3,0,0.0,0,3,0,1,0,1,1,0,2024-2025,ligue-1
lorenz assignon,Rennes,25,22,2,44.2,19,27,25,20,3,17,74,0,2024-2025,ligue-1
dehmaine assoumani,Nantes,0,4,2,80.0,4,3,1,1,0,1,4,0,2024-2025,ligue-1
