Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
james abankwah,Udinese,0,1,0,,0,1,0,4,2,2,5,0,2022-2023,serie-a
oliver abildgaard,Hellas Verona,6,3,1,43.8,7,6,5,7,1,6,17,0,2022-2023,serie-a
tammy abraham,Roma,4,8,5,18.8,3,10,3,10,4,6,14,0,2022-2023,serie-a
christian acella,Cremonese,1,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,serie-a
francesco acerbi,Inter,22,7,4,74.1,20,19,41,25,18,7,85,2,2022-2023,serie-a
yacine adli,Milan,2,4,0,100.0,2,3,1,2,0,2,1,0,2022-2023,serie-a
michel aebischer,Bologna,3,6,3,11.1,2,6,7,14,2,12,9,0,2022-2023,serie-a
felix afenagyan,Cremonese,4,1,2,20.0,2,3,1,5,1,4,6,0,2022-2023,serie-a
kevin agudelo,Spezia,22,30,19,42.4,25,38,10,39,5,34,6,0,2022-2023,serie-a
ola aina,Torino,5,8,4,60.0,9,13,11,12,2,10,26,0,2022-2023,serie-a
emanuel aiwum,Cremonese,36,17,2,70.2,33,34,25,28,16,12,52,3,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,25,19,9,54.8,23,37,13,35,4,31,27,0,2022-2023,serie-a
luis alberto,Lazio,18,20,11,31.9,23,29,9,35,6,29,4,0,2022-2023,serie-a
agustin alvarez,Sassuolo,0,5,1,25.0,1,3,3,5,1,4,3,0,2022-2023,serie-a
kelvin amian,Spezia,33,12,9,77.4,24,32,22,34,12,22,87,1,2022-2023,serie-a
bruno amione,Hellas Verona,1,0,0,50.0,1,1,0,1,0,1,4,0,2022-2023,serie-a
bruno amione,Sampdoria,36,14,0,44.2,19,33,25,26,11,15,62,1,2022-2023,serie-a
ethan ampadu,Spezia,33,28,5,41.5,17,37,36,48,23,25,98,0,2022-2023,serie-a
sofyan amrabat,Fiorentina,15,17,7,55.2,16,24,21,23,5,18,18,2,2022-2023,serie-a
felipe anderson,Lazio,31,41,8,35.2,31,50,31,58,6,52,27,0,2022-2023,serie-a
janis antiste,Sassuolo,1,0,0,100.0,1,0,0,0,0,0,0,0,2022-2023,serie-a
marcos antonio,Lazio,4,5,0,45.0,9,6,11,7,2,5,18,0,2022-2023,serie-a
valentin antov,Monza,3,3,0,20.0,1,5,4,5,4,1,14,1,2022-2023,serie-a
marko arnautovic,Bologna,2,5,2,16.7,1,6,2,11,1,10,10,0,2022-2023,serie-a
tolgay arslan,Udinese,13,15,1,35.9,14,18,12,19,0,19,9,1,2022-2023,serie-a
santiago ascacibar,Cremonese,17,10,2,40.0,14,14,13,14,2,12,11,0,2022-2023,serie-a
kristoffer askildsen,Lecce,2,3,2,40.0,4,3,11,15,4,11,6,0,2022-2023,serie-a
kristjan asllani,Inter,1,8,2,70.0,7,5,6,3,1,2,4,0,2022-2023,serie-a
emil audero,Sampdoria,0,0,0,0.0,0,0,0,0,0,0,7,1,2022-2023,serie-a
tommaso augello,Sampdoria,13,2,2,45.0,9,14,17,23,7,16,61,1,2022-2023,serie-a
carlos augusto,Monza,42,23,8,61.1,33,38,24,24,6,18,85,1,2022-2023,serie-a
kaan ayhan,Sassuolo,6,4,0,100.0,7,4,5,5,4,1,26,1,2022-2023,serie-a
jaime baez,Cremonese,3,0,1,50.0,3,2,0,0,0,0,2,1,2022-2023,serie-a
nedim bajrami,Empoli,3,3,2,66.7,4,4,7,5,0,5,4,0,2022-2023,serie-a
nedim bajrami,Sassuolo,6,2,4,45.5,5,7,7,9,1,8,6,0,2022-2023,serie-a
tiemoue bakayoko,Milan,4,1,0,100.0,3,5,0,0,0,0,0,1,2022-2023,serie-a
tommaso baldanzi,Empoli,9,13,3,21.9,7,12,2,21,1,20,5,0,2022-2023,serie-a
fode ballotoure,Milan,7,6,1,70.0,7,9,2,11,3,8,3,0,2022-2023,serie-a
lameck banda,Lecce,13,14,3,36.6,15,20,8,24,2,22,5,0,2022-2023,serie-a
filippo bandinelli,Empoli,19,26,10,37.8,17,34,18,20,7,13,40,0,2022-2023,serie-a
antonin barak,Hellas Verona,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
antonin barak,Fiorentina,5,7,9,37.5,6,9,3,16,2,14,13,0,2022-2023,serie-a
andrea barberis,Monza,4,3,0,45.5,5,2,8,0,0,0,1,0,2022-2023,serie-a
tommaso barbieri,Juventus,3,0,0,37.5,3,3,0,3,0,3,2,0,2022-2023,serie-a
francesco bardi,Bologna,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
nicolo barella,Inter,17,26,6,52.8,28,25,12,29,5,24,12,0,2022-2023,serie-a
enzo barrenechea,Juventus,3,4,1,60.0,3,3,2,3,0,3,3,0,2022-2023,serie-a
musa barrow,Bologna,10,6,5,57.1,8,4,1,25,1,24,7,0,2022-2023,serie-a
federico baschirotto,Lecce,35,5,0,61.1,22,30,36,45,29,16,192,0,2022-2023,serie-a
toma basic,Lazio,4,1,1,37.5,3,4,7,9,0,9,8,0,2022-2023,serie-a
alberto basso,Cremonese,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
alessandro bastoni,Inter,20,14,7,40.7,11,20,24,27,13,14,45,0,2022-2023,serie-a
simone bastoni,Spezia,23,19,5,45.5,15,24,8,20,5,15,14,0,2022-2023,serie-a
brian bayeye,Torino,3,0,0,100.0,1,0,1,1,1,0,2,0,2022-2023,serie-a
rodrigo becao,Udinese,50,17,3,75.5,40,36,26,44,24,20,68,2,2022-2023,serie-a
julius beck,Spezia,1,1,0,,0,1,0,0,0,0,0,0,2022-2023,serie-a
raoul bellanova,Inter,11,2,1,64.3,9,6,4,6,1,5,14,0,2022-2023,serie-a
andrea belotti,Roma,3,5,4,45.5,5,5,3,11,1,10,5,0,2022-2023,serie-a
marco benassi,Fiorentina,2,0,1,75.0,3,3,1,0,0,0,1,0,2022-2023,serie-a
marco benassi,Cremonese,9,11,6,62.5,15,15,12,13,1,12,19,0,2022-2023,serie-a
ismael bennacer,Milan,26,31,2,58.8,30,33,26,25,7,18,16,1,2022-2023,serie-a
domenico berardi,Sassuolo,8,10,5,22.5,9,14,19,13,0,13,18,0,2022-2023,serie-a
bartosz bereszynski,Sampdoria,15,11,2,65.4,17,18,21,18,4,14,25,0,2022-2023,serie-a
bartosz bereszynski,Napoli,1,1,1,100.0,2,2,3,4,0,4,3,0,2022-2023,serie-a
marco bertini,Lazio,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
beto,Udinese,0,9,7,23.5,4,9,6,18,3,15,30,0,2022-2023,serie-a
matteo bianchetti,Cremonese,21,9,2,62.5,20,19,20,31,17,14,111,0,2022-2023,serie-a
alessandro bianco,Fiorentina,2,3,0,66.7,2,2,0,1,0,1,0,0,2022-2023,serie-a
jaka bijol,Udinese,32,7,0,59.3,16,23,29,41,25,16,165,0,2022-2023,serie-a
cristiano biraghi,Fiorentina,29,29,7,49.2,32,38,14,32,7,25,42,1,2022-2023,serie-a
samuele birindelli,Monza,21,10,4,62.1,18,19,16,28,8,20,30,0,2022-2023,serie-a
kristijan bistrovic,Lecce,3,0,0,0.0,0,1,0,3,0,3,4,0,2022-2023,serie-a
alexis blin,Lecce,27,33,9,52.1,38,39,34,55,15,40,74,0,2022-2023,serie-a
jeremie boga,Atalanta,3,2,4,40.0,2,5,1,6,0,6,1,0,2022-2023,serie-a
emil bohinen,Salernitana,15,8,2,52.2,12,13,17,25,7,18,21,0,2022-2023,serie-a
giacomo bonaventura,Fiorentina,14,15,6,64.9,24,23,16,14,0,14,5,1,2022-2023,serie-a
federico bonazzoli,Salernitana,0,3,2,0.0,0,3,3,9,1,8,0,0,2022-2023,serie-a
warren bondo,Monza,1,0,0,,0,0,0,1,0,1,0,0,2022-2023,serie-a
kevin bonifazi,Bologna,7,6,0,50.0,6,8,12,11,8,3,39,0,2022-2023,serie-a
leonardo bonucci,Juventus,1,4,0,50.0,2,4,13,12,8,4,29,0,2022-2023,serie-a
erik botheim,Salernitana,3,4,4,46.2,6,7,0,3,0,3,4,0,2022-2023,serie-a
mehdi bourabia,Spezia,13,22,6,46.3,19,20,32,39,12,27,57,0,2022-2023,serie-a
edoardo bove,Roma,12,15,8,41.0,16,18,10,15,1,14,11,0,2022-2023,serie-a
jayden braaf,Hellas Verona,2,3,0,,0,3,2,1,0,1,1,0,2022-2023,serie-a
domagoj bradaric,Salernitana,14,8,4,43.8,7,19,21,20,5,15,44,0,2022-2023,serie-a
josip brekalo,Fiorentina,0,1,1,25.0,1,1,1,1,0,1,1,0,2022-2023,serie-a
gleison bremer,Juventus,23,5,1,73.1,19,20,42,44,22,22,120,2,2022-2023,serie-a
dylan bronn,Salernitana,17,16,1,66.7,20,18,20,32,20,12,58,1,2022-2023,serie-a
marcelo brozovic,Inter,13,22,2,29.7,11,22,22,23,7,16,28,0,2022-2023,serie-a
cristian buonaiuto,Cremonese,8,11,6,46.2,12,16,14,11,0,11,7,0,2022-2023,serie-a
alessandro buongiorno,Torino,22,16,0,51.6,16,25,60,38,19,19,105,2,2022-2023,serie-a
leonardo buta,Udinese,0,1,0,,0,1,0,0,0,0,0,0,2022-2023,serie-a
arthur cabral,Fiorentina,1,4,4,50.0,4,2,1,10,1,9,12,0,2022-2023,serie-a
liberato cacace,Empoli,12,8,5,60.0,9,10,4,15,7,8,16,0,2022-2023,serie-a
davide calabria,Milan,31,32,8,62.3,38,44,25,22,7,15,34,0,2022-2023,serie-a
mattia caldara,Spezia,10,11,2,45.0,9,14,17,23,16,7,88,2,2022-2023,serie-a
luca caldirola,Monza,19,4,3,50.0,13,14,25,32,18,14,66,1,2022-2023,serie-a
hakan calhanoglu,Inter,17,26,5,37.2,16,27,25,30,5,25,13,1,2022-2023,serie-a
mohamed camara,Roma,3,7,3,33.3,5,10,10,5,1,4,8,0,2022-2023,serie-a
nicolo cambiaghi,Empoli,11,12,7,29.6,8,22,9,19,1,18,8,0,2022-2023,serie-a
andrea cambiaso,Bologna,34,20,3,43.1,28,34,26,26,2,24,33,1,2022-2023,serie-a
matteo cancellieri,Lazio,5,3,2,55.6,5,4,1,4,0,4,2,0,2022-2023,serie-a
antonio candreva,Salernitana,13,2,2,28.9,11,7,17,7,3,4,32,0,2022-2023,serie-a
gianluca caprari,Monza,3,11,2,30.8,8,6,8,22,1,21,3,0,2022-2023,serie-a
francesco caputo,Sampdoria,0,0,3,0.0,0,1,1,0,0,0,3,0,2022-2023,serie-a
francesco caputo,Empoli,0,1,1,0.0,0,2,2,7,2,5,8,0,2022-2023,serie-a
andrea carboni,Monza,2,0,1,40.0,2,2,3,3,2,1,2,1,2022-2023,serie-a
franco carboni,Monza,1,0,0,0.0,0,1,1,3,0,3,0,0,2022-2023,serie-a
valentin carboni,Inter,0,1,0,33.3,1,1,0,1,0,1,0,0,2022-2023,serie-a
marco carnesecchi,Cremonese,1,0,0,50.0,1,1,0,0,0,0,11,2,2022-2023,serie-a
nicolo casale,Lazio,28,14,0,64.7,22,20,17,25,17,8,73,1,2022-2023,serie-a
tommaso cassandro,Lecce,0,1,0,,0,1,0,1,1,0,0,0,2022-2023,serie-a
michele castagnetti,Cremonese,20,24,2,33.3,18,21,15,14,4,10,22,0,2022-2023,serie-a
gaetano castrovilli,Fiorentina,1,7,2,22.2,2,8,8,5,1,4,5,0,2022-2023,serie-a
danilo cataldi,Lazio,7,15,3,35.0,14,16,24,23,9,14,33,0,2022-2023,serie-a
pietro ceccaroni,Lecce,0,0,0,,0,0,3,1,1,0,2,0,2022-2023,serie-a
federico ceccherini,Hellas Verona,15,9,1,56.5,13,19,19,17,10,7,55,0,2022-2023,serie-a
assan ceesay,Lecce,7,8,8,52.9,9,18,3,15,2,13,24,0,2022-2023,serie-a
emil ceide,Sassuolo,5,0,0,60.0,3,2,1,3,1,2,0,0,2022-2023,serie-a
zeki celik,Roma,19,21,2,58.5,24,21,14,33,6,27,36,2,2022-2023,serie-a
michele cerofolini,Fiorentina,0,0,0,,0,0,1,0,0,0,2,0,2022-2023,serie-a
federico chiesa,Juventus,6,6,10,35.7,5,11,0,13,1,12,1,0,2022-2023,serie-a
vlad chiriches,Cremonese,27,7,1,66.7,16,20,22,36,23,13,44,0,2022-2023,serie-a
daniel ciofani,Cremonese,1,2,3,57.1,4,3,2,7,1,6,10,0,2022-2023,serie-a
tio cipot,Spezia,6,3,3,75.0,6,7,0,0,0,0,2,0,2022-2023,serie-a
patrick ciurria,Monza,20,10,1,51.5,17,18,7,24,2,22,32,0,2022-2023,serie-a
nicolo cocetta,Udinese,0,0,0,0.0,0,0,1,1,1,0,1,0,2022-2023,serie-a
omar colley,Sampdoria,10,7,0,75.0,9,10,22,9,5,4,69,1,2022-2023,serie-a
lorenzo colombo,Lecce,1,9,7,42.9,6,9,2,22,0,22,7,0,2022-2023,serie-a
andrea colpani,Monza,6,5,3,66.7,8,9,3,14,2,12,6,0,2022-2023,serie-a
andrea consigli,Sassuolo,1,0,0,0.0,0,0,0,0,0,0,13,3,2022-2023,serie-a
