Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
oliver baumann,Hoffenheim,57,161,65.8,14.7,3,0.0,2022-2023,bundesliga
janis blaswich,RB Leipzig,29,75,69.3,26.9,7,14.3,2022-2023,bundesliga
fabian bredlow,Stuttgart,23,59,69.5,6.7,5,0.0,2022-2023,bundesliga
koen casteels,Wolfsburg,48,147,70.1,35.3,7,20.0,2022-2023,bundesliga
oliver christensen,Hertha BSC,68,163,61.3,9.1,6,16.7,2022-2023,bundesliga
finn dahmen,Mainz 05,16,44,65.9,0.0,3,66.7,2022-2023,bundesliga
tjark ernst,Hertha BSC,1,7,85.7,0.0,0,,2022-2023,bundesliga
ralf fahrmann,Schalke 04,13,55,78.2,41.7,2,0.0,2022-2023,bundesliga
mark flekken,Freiburg,44,150,74.0,38.2,6,0.0,2022-2023,bundesliga
rafa gikiewicz,Augsburg,41,136,70.6,21.7,4,66.7,2022-2023,bundesliga
lennart grill,Union Berlin,11,25,64.0,40.0,2,0.0,2022-2023,bundesliga
peter gulacsi,RB Leipzig,10,26,65.4,33.3,1,0.0,2022-2023,bundesliga
lukas hradecky,Leverkusen,47,142,71.8,27.3,7,0.0,2022-2023,bundesliga
gregor kobel,Dortmund,32,119,73.9,40.7,1,0.0,2022-2023,bundesliga
tomas koubek,Augsburg,22,65,66.2,9.1,0,,2022-2023,bundesliga
andrey lunyov,Leverkusen,2,4,50.0,0.0,0,,2022-2023,bundesliga
alexander meyer,Dortmund,12,32,62.5,14.3,0,,2022-2023,bundesliga
florian muller,Stuttgart,34,87,62.1,5.3,1,0.0,2022-2023,bundesliga
manuel neuer,Bayern Munich,11,44,79.5,33.3,2,0.0,2022-2023,bundesliga
rjan nyland,RB Leipzig,2,5,60.0,50.0,0,,2022-2023,bundesliga
jan olschowsky,Gladbach,11,31,67.7,0.0,1,0.0,2022-2023,bundesliga
jonas omlin,Gladbach,18,56,71.4,33.3,2,0.0,2022-2023,bundesliga
jiri pavlenka,Werder Bremen,61,170,65.3,12.1,3,33.3,2022-2023,bundesliga
diant ramaj,Eint Frankfurt,1,5,80.0,0.0,0,,2022-2023,bundesliga
manuel riemann,Bochum,72,200,68.0,14.7,14,27.3,2022-2023,bundesliga
frederik rnnow,Union Berlin,27,119,81.5,37.9,5,0.0,2022-2023,bundesliga
marvin schwabe,Köln,54,129,61.2,17.6,5,20.0,2022-2023,bundesliga
alexander schwolow,Schalke 04,58,138,60.9,9.1,4,0.0,2022-2023,bundesliga
tobias sippel,Gladbach,12,33,66.7,20.0,1,0.0,2022-2023,bundesliga
yann sommer,Gladbach,14,60,80.0,30.0,2,0.0,2022-2023,bundesliga
yann sommer,Bayern Munich,25,55,67.3,26.3,7,0.0,2022-2023,bundesliga
kevin trapp,Eint Frankfurt,51,130,62.3,18.2,2,0.0,2022-2023,bundesliga
sven ulreich,Bayern Munich,2,8,75.0,66.7,1,100.0,2022-2023,bundesliga
robin zentner,Mainz 05,39,109,67.0,26.9,5,25.0,2022-2023,bundesliga
michael zetterer,Werder Bremen,3,14,78.6,0.0,0,,2022-2023,bundesliga
