Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
julen agirrezabala,Athletic Club,4,12,66.7,100.0,0,,2023-2024,laliga
kepa arrizabalaga,Real Madrid,9,38,76.3,61.5,0,,2023-2024,laliga
augusto batalla,Granada,28,86,67.4,17.6,0,,2023-2024,laliga
yassine bounou,Sevilla,2,3,33.3,0.0,0,,2023-2024,laliga
claudio bravo,Betis,5,20,75.0,28.6,0,,2023-2024,laliga
dani cardenas,Rayo Vallecano,1,1,0.0,0.0,0,,2023-2024,laliga
thibaut courtois,Real Madrid,0,15,100.0,75.0,0,,2023-2024,laliga
cristian,Valencia,1,3,66.7,,0,,2023-2024,laliga
ivan cuellar,Mallorca,1,6,83.3,0.0,0,,2023-2024,laliga
stole dimitrievski,Rayo Vallecano,47,150,69.3,35.1,2,50.0,2023-2024,laliga
marko dmitrovic,Sevilla,25,68,66.2,15.4,2,0.0,2023-2024,laliga
jaume domenech,Valencia,3,12,75.0,0.0,0,,2023-2024,laliga
aaron escandell,Las Palmas,3,4,25.0,0.0,0,,2023-2024,laliga
aitor fernandez,Osasuna,9,20,60.0,16.7,1,0.0,2023-2024,laliga
raul fernandez,Granada,11,17,35.3,0.0,1,,2023-2024,laliga
fernando,Almería,10,23,56.5,0.0,0,,2023-2024,laliga
andre ferreira,Granada,29,77,66.2,0.0,3,0.0,2023-2024,laliga
daniel fuzato,Getafe,2,2,0.0,,0,,2023-2024,laliga
paulo gazzaniga,Girona,46,168,75.6,31.6,7,16.7,2023-2024,laliga
david gil,Cádiz,8,24,66.7,25.0,0,,2023-2024,laliga
dominik greif,Mallorca,0,4,100.0,100.0,0,,2023-2024,laliga
vicente guaita,Celta Vigo,39,120,70.8,23.1,5,0.0,2023-2024,laliga
sergio herrera,Osasuna,47,132,64.4,28.1,1,100.0,2023-2024,laliga
filip jrgensen,Villarreal,63,205,72.2,16.7,6,0.0,2023-2024,laliga
jeremias ledesma,Cádiz,47,151,70.2,26.5,2,0.0,2023-2024,laliga
andriy lunin,Real Madrid,17,65,75.4,47.6,1,0.0,2023-2024,laliga
giorgi mamardashvili,Valencia,41,145,73.8,35.1,6,50.0,2023-2024,laliga
diego marino,Almería,2,4,100.0,0.0,2,0.0,2023-2024,laliga
unai marrero,Real Sociedad,3,5,60.0,0.0,1,0.0,2023-2024,laliga
marc martinez,Granada,11,23,60.9,0.0,2,0.0,2023-2024,laliga
luis maximiano,Almería,63,175,66.3,18.2,7,20.0,2023-2024,laliga
rjan nyland,Sevilla,27,104,76.9,25.0,3,0.0,2023-2024,laliga
jan oblak,Atlético Madrid,43,144,70.8,34.2,2,0.0,2023-2024,laliga
jesus owono,Alavés,8,24,66.7,25.0,0,,2023-2024,laliga
inaki pena,Barcelona,17,39,56.4,20.0,0,,2023-2024,laliga
predrag rajkovic,Mallorca,43,138,71.7,25.0,5,20.0,2023-2024,laliga
pepe reina,Villarreal,2,9,77.8,0.0,0,,2023-2024,laliga
alex remiro,Real Sociedad,36,130,76.2,40.5,6,16.7,2023-2024,laliga
rui silva,Betis,36,120,75.8,32.1,8,12.5,2023-2024,laliga
unai simon,Athletic Club,33,122,73.8,44.4,5,75.0,2023-2024,laliga
antonio sivera,Alavés,38,123,75.6,29.4,8,0.0,2023-2024,laliga
david soria,Getafe,52,171,72.5,26.3,7,16.7,2023-2024,laliga
marcandre ter stegen,Barcelona,27,102,75.5,53.6,2,0.0,2023-2024,laliga
alvaro valles,Las Palmas,44,152,74.3,21.6,9,37.5,2023-2024,laliga
fran vieites,Betis,4,18,77.8,66.7,0,,2023-2024,laliga
ivan villar,Celta Vigo,18,44,63.6,0.0,3,33.3,2023-2024,laliga
