Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
dimitry bertaud,Montpellier,11,21,57.1,0.0,2,0.0,2024-2025,ligue-1
marco bizot,Brest,54,128,64.1,31.3,10,11.1,2024-2025,ligue-1
marcin buka,Nice,41,161,75.8,23.5,3,33.3,2024-2025,ligue-1
patrik carlgren,Nantes,7,28,75.0,25.0,0,,2024-2025,ligue-1
lucas chevalier,Lille,36,126,74.6,32.4,4,0.0,2024-2025,ligue-1
gregoire coudert,Brest,5,13,61.5,0.0,0,,2024-2025,ligue-1
theo de percin,Auxerre,3,9,77.8,50.0,2,50.0,2024-2025,ligue-1
remy descamps,Lyon,2,6,66.7,0.0,0,,2024-2025,ligue-1
arthur desmas,Le Havre,38,93,61.3,16.7,3,33.3,2024-2025,ligue-1
yehvann diouf,Reims,47,179,76.0,20.6,5,20.0,2024-2025,ligue-1
alex dominguez,Toulouse,0,0,,,0,,2024-2025,ligue-1
gianluigi donnarumma,Paris S-G,25,74,67.6,16.7,1,0.0,2024-2025,ligue-1
yahia fofana,Angers,51,186,74.2,21.2,4,0.0,2024-2025,ligue-1
gauthier gallon,Rennes,0,0,,,0,,2024-2025,ligue-1
mathieu gorgelin,Le Havre,33,82,63.4,6.3,3,0.0,2024-2025,ligue-1
kjetil haug,Toulouse,7,16,56.3,20.0,0,,2024-2025,ligue-1
karljohan johnsson,Strasbourg,6,22,77.3,0.0,1,0.0,2024-2025,ligue-1
herve koffi,Lens,8,26,76.9,0.0,2,0.0,2024-2025,ligue-1
philipp kohn,Monaco,19,63,71.4,42.1,1,0.0,2024-2025,ligue-1
alban lafont,Nantes,19,49,67.3,16.7,3,0.0,2024-2025,ligue-1
gautier larsonneur,Saint-Étienne,77,209,69.4,14.7,15,13.3,2024-2025,ligue-1
benjamin lecomte,Montpellier,68,173,64.2,3.3,7,14.3,2024-2025,ligue-1
donovan leon,Auxerre,48,164,73.8,28.1,6,16.7,2024-2025,ligue-1
anthony lopes,Nantes,26,71,69.0,16.7,5,0.0,2024-2025,ligue-1
radosaw majecki,Monaco,22,65,69.2,20.0,2,0.0,2024-2025,ligue-1
steve mandanda,Rennes,23,51,58.8,35.3,3,33.3,2024-2025,ligue-1
lucas perri,Lyon,44,160,74.4,30.3,3,0.0,2024-2025,ligue-1
ore petrovic,Strasbourg,38,147,78.9,32.3,8,12.5,2024-2025,ligue-1
guillaume restes,Toulouse,36,92,62.0,27.6,2,50.0,2024-2025,ligue-1
geronimo rulli,Marseille,47,135,67.4,14.7,6,50.0,2024-2025,ligue-1
mathew ryan,Lens,17,62,75.8,42.9,3,33.3,2024-2025,ligue-1
matvei safonov,Paris S-G,9,25,72.0,33.3,2,0.0,2024-2025,ligue-1
brice samba,Rennes,27,87,70.1,29.4,3,66.7,2024-2025,ligue-1
brice samba,Lens,14,54,81.5,46.7,4,0.0,2024-2025,ligue-1
arnau tenas,Paris S-G,1,4,75.0,0.0,0,,2024-2025,ligue-1
melvin zinga,Angers,2,4,75.0,0.0,1,0.0,2024-2025,ligue-1
