Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
emil audero,Como,18,34,58.8,0.0,4,0.0,2024-2025,serie-a
jean butez,Como,20,68,73.5,27.8,2,0.0,2024-2025,serie-a
elia caprile,Napoli,1,8,87.5,100.0,0,,2024-2025,serie-a
elia caprile,Cagliari,22,66,68.2,27.8,1,0.0,2024-2025,serie-a
marco carnesecchi,Atalanta,34,129,75.2,38.2,2,0.0,2024-2025,serie-a
leandro chichizola,Parma,3,6,50.0,0.0,0,,2024-2025,serie-a
giuseppe ciocci,Cagliari,0,0,,,0,,2024-2025,serie-a
michele di gregorio,Juventus,32,103,73.8,42.4,5,0.0,2024-2025,serie-a
wladimiro falcone,Lecce,58,181,72.4,23.7,10,11.1,2024-2025,serie-a
david de gea,Fiorentina,38,135,72.6,31.4,3,66.7,2024-2025,serie-a
pierluigi gollini,Genoa,15,32,62.5,14.3,4,25.0,2024-2025,serie-a
jesse joronen,Venezia,15,40,70.0,28.6,3,0.0,2024-2025,serie-a
nicola leali,Genoa,31,111,74.8,34.5,4,25.0,2024-2025,serie-a
mike maignan,Milan,41,136,70.6,32.4,2,50.0,2024-2025,serie-a
christos mandas,Lazio,7,27,74.1,44.4,0,,2024-2025,serie-a
josep martinez,Inter,3,14,78.6,60.0,0,,2024-2025,serie-a
andrea mazza,Monza,0,0,,,0,,2024-2025,serie-a
alex meret,Napoli,25,84,71.4,47.1,4,66.7,2024-2025,serie-a
vanja milinkovicsavic,Torino,42,173,77.5,27.0,7,57.1,2024-2025,serie-a
lorenzo montipo,Hellas Verona,64,161,61.5,22.2,4,33.3,2024-2025,serie-a
juan musso,Atalanta,0,4,100.0,100.0,0,,2024-2025,serie-a
maduka okoye,Udinese,40,110,67.3,16.0,5,0.0,2024-2025,serie-a
daniele padelli,Udinese,0,3,100.0,100.0,0,,2024-2025,serie-a
alberto paleari,Torino,3,7,57.1,0.0,0,,2024-2025,serie-a
rui patricio,Atalanta,3,14,78.6,33.3,0,,2024-2025,serie-a
simone perilli,Hellas Verona,2,11,81.8,0.0,0,,2024-2025,serie-a
mattia perin,Juventus,3,16,81.3,60.0,0,,2024-2025,serie-a
semuel pizzignacco,Monza,17,38,55.3,12.5,0,,2024-2025,serie-a
ivan provedel,Lazio,42,92,58.7,17.2,4,0.0,2024-2025,serie-a
ionut radu,Venezia,18,65,76.9,26.7,3,0.0,2024-2025,serie-a
federico ravaglia,Bologna,14,24,45.8,36.4,1,0.0,2024-2025,serie-a
pepe reina,Como,14,41,68.3,16.7,1,0.0,2024-2025,serie-a
razvan sava,Udinese,16,51,74.5,33.3,3,0.0,2024-2025,serie-a
simone scuffet,Napoli,1,4,75.0,0.0,0,,2024-2025,serie-a
simone scuffet,Cagliari,23,56,67.9,7.7,5,0.0,2024-2025,serie-a
jacopo seghetti,Empoli,3,6,50.0,0.0,0,,2024-2025,serie-a
alen sherri,Cagliari,11,31,64.5,14.3,0,,2024-2025,serie-a
benjamin siegrist,Genoa,2,12,83.3,0.0,0,,2024-2025,serie-a
marco silvestri,Empoli,11,27,59.3,0.0,0,,2024-2025,serie-a
ukasz skorupski,Bologna,33,82,61.0,29.6,2,50.0,2024-2025,serie-a
daniele sommariva,Genoa,1,3,66.7,,0,,2024-2025,serie-a
yann sommer,Inter,32,116,75.0,39.4,4,25.0,2024-2025,serie-a
marco sportiello,Milan,2,6,66.7,100.0,0,,2024-2025,serie-a
filip stankovic,Venezia,23,83,77.1,0.0,5,20.0,2024-2025,serie-a
zion suzuki,Parma,53,150,68.0,19.4,5,0.0,2024-2025,serie-a
mile svilar,Roma,35,151,79.5,42.1,4,0.0,2024-2025,serie-a
pietro terracciano,Fiorentina,3,13,76.9,33.3,0,,2024-2025,serie-a
stefano turati,Monza,52,145,65.5,6.7,4,50.0,2024-2025,serie-a
devis vasquez,Empoli,45,125,64.8,18.8,3,50.0,2024-2025,serie-a
