Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
oliver baumann,Hoffenheim,50.4,0.31,-5.6,35.3,529,8.1,43,2022-2023,bundesliga
janis blaswich,RB Leipzig,26.9,0.27,-2.1,14.9,288,6.9,39,2022-2023,bundesliga
fabian bredlow,Stuttgart,20.1,0.26,-1.9,20.3,203,5.9,15,2022-2023,bundesliga
koen casteels,Wolfsburg,43.9,0.27,-1.1,33.3,489,5.9,51,2022-2023,bundesliga
oliver christensen,Hertha BSC,57.9,0.33,-10.1,42.5,486,6.8,70,2022-2023,bundesliga
finn dahmen,Mainz 05,13.5,0.25,-2.5,42.9,158,10.8,8,2022-2023,bundesliga
tjark ernst,Hertha BSC,2.5,0.36,1.5,27.3,18,0.0,0,2022-2023,bundesliga
ralf fahrmann,Schalke 04,12.4,0.21,0.4,45.0,162,6.8,9,2022-2023,bundesliga
mark flekken,Freiburg,46.4,0.28,2.4,40.2,434,7.4,43,2022-2023,bundesliga
rafa gikiewicz,Augsburg,41.3,0.28,0.3,33.3,363,5.8,45,2022-2023,bundesliga
lennart grill,Union Berlin,9.0,0.28,-2.0,48.2,47,17.0,7,2022-2023,bundesliga
peter gulacsi,RB Leipzig,10.1,0.37,1.1,15.6,61,4.9,10,2022-2023,bundesliga
lukas hradecky,Leverkusen,41.3,0.25,-3.7,31.3,404,6.7,26,2022-2023,bundesliga
gregor kobel,Dortmund,33.8,0.29,2.8,20.9,295,5.1,37,2022-2023,bundesliga
tomas koubek,Augsburg,22.0,0.36,2.0,37.9,176,5.7,22,2022-2023,bundesliga
andrey lunyov,Leverkusen,1.4,0.35,-0.6,24.4,6,16.7,1,2022-2023,bundesliga
alexander meyer,Dortmund,7.9,0.25,-4.1,16.2,91,8.8,18,2022-2023,bundesliga
florian muller,Stuttgart,27.2,0.3,-6.8,26.9,260,2.3,28,2022-2023,bundesliga
manuel neuer,Bayern Munich,14.7,0.29,3.7,16.6,103,3.9,23,2022-2023,bundesliga
rjan nyland,RB Leipzig,1.8,0.36,0.8,32.5,28,0.0,0,2022-2023,bundesliga
jan olschowsky,Gladbach,11.4,0.39,0.4,28.5,59,10.2,4,2022-2023,bundesliga
jonas omlin,Gladbach,18.1,0.29,0.1,22.3,220,6.8,20,2022-2023,bundesliga
jiri pavlenka,Werder Bremen,51.9,0.29,-7.1,40.1,481,4.6,38,2022-2023,bundesliga
diant ramaj,Eint Frankfurt,1.0,0.2,0.0,9.5,15,6.7,1,2022-2023,bundesliga
manuel riemann,Bochum,69.0,0.3,0.0,66.8,536,5.8,121,2022-2023,bundesliga
frederik rnnow,Union Berlin,35.2,0.26,8.2,44.6,434,9.9,29,2022-2023,bundesliga
marvin schwabe,Köln,42.3,0.3,-8.7,28.8,468,4.1,22,2022-2023,bundesliga
alexander schwolow,Schalke 04,45.8,0.31,-12.2,46.4,321,2.2,23,2022-2023,bundesliga
tobias sippel,Gladbach,11.6,0.33,-0.4,33.5,88,2.3,4,2022-2023,bundesliga
yann sommer,Gladbach,16.7,0.25,3.7,23.0,162,3.1,13,2022-2023,bundesliga
yann sommer,Bayern Munich,23.7,0.32,-1.3,14.6,212,5.7,27,2022-2023,bundesliga
kevin trapp,Eint Frankfurt,42.3,0.32,-7.7,39.2,401,4.2,24,2022-2023,bundesliga
sven ulreich,Bayern Munich,2.4,0.18,0.4,20.5,34,5.9,4,2022-2023,bundesliga
robin zentner,Mainz 05,35.4,0.3,-3.6,50.0,321,13.4,53,2022-2023,bundesliga
michael zetterer,Werder Bremen,3.2,0.24,0.2,51.0,15,20.0,4,2022-2023,bundesliga
