Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
adrian,Betis,26.0,0.33,-1.0,28.0,257,5.4,16,2024-2025,laliga
julen agirrezabala,Athletic Club,10.5,0.27,1.5,37.5,143,14.0,17,2024-2025,laliga
augusto batalla,Rayo Vallecano,40.0,0.25,2.0,42.3,453,7.7,38,2024-2025,laliga
dani cardenas,Rayo Vallecano,5.6,0.29,-0.4,56.8,79,2.5,1,2024-2025,laliga
jasper cillessen,Las Palmas,44.3,0.3,4.3,39.5,413,3.1,20,2024-2025,laliga
diego conde,Villarreal,26.3,0.26,-5.7,22.7,323,5.6,16,2024-2025,laliga
thibaut courtois,Real Madrid,28.7,0.27,0.7,18.5,350,4.6,14,2024-2025,laliga
stole dimitrievski,Valencia,4.5,0.29,-1.5,49.6,51,5.9,16,2024-2025,laliga
marko dmitrovic,Leganés,50.2,0.3,3.2,65.3,579,8.5,53,2024-2025,laliga
aitor fernandez,Osasuna,1.2,0.23,1.2,70.6,14,7.1,1,2024-2025,laliga
alvaro fernandez,Sevilla,11.0,0.25,-5.0,39.7,105,6.7,14,2024-2025,laliga
andre ferreira,Valladolid,15.3,0.35,-4.7,37.0,92,4.3,3,2024-2025,laliga
fran,Real Madrid,0.9,0.43,-1.1,12.5,5,20.0,1,2024-2025,laliga
joan garcia,Espanyol,57.7,0.28,7.7,37.6,670,9.6,35,2024-2025,laliga
paulo gazzaniga,Girona,45.4,0.29,-4.6,21.6,419,8.6,33,2024-2025,laliga
dominik greif,Mallorca,33.9,0.28,0.9,41.9,511,2.9,21,2024-2025,laliga
vicente guaita,Celta Vigo,40.6,0.3,-7.4,18.4,436,6.0,44,2024-2025,laliga
sergio herrera,Osasuna,56.2,0.28,5.2,43.2,524,6.1,85,2024-2025,laliga
dinko horkas,Las Palmas,19.4,0.34,1.4,31.8,148,6.1,16,2024-2025,laliga
karl jakob hein,Valladolid,58.8,0.35,-8.2,32.6,474,7.2,34,2024-2025,laliga
luiz lucio reis junior,Villarreal,18.1,0.23,0.1,31.9,256,6.3,20,2024-2025,laliga
pau lopez,Girona,1.3,0.44,-0.7,35.3,17,17.6,1,2024-2025,laliga
andriy lunin,Real Madrid,6.4,0.32,-0.6,20.0,61,3.3,12,2024-2025,laliga
giorgi mamardashvili,Valencia,46.1,0.3,1.1,36.0,472,7.0,38,2024-2025,laliga
unai marrero,Real Sociedad,3.5,0.22,0.5,24.4,21,4.8,3,2024-2025,laliga
juan musso,Atlético Madrid,0.1,0.05,0.1,15.2,23,8.7,0,2024-2025,laliga
rjan nyland,Sevilla,37.1,0.31,-0.9,42.1,408,4.9,29,2024-2025,laliga
jan oblak,Atlético Madrid,25.6,0.19,-2.4,24.3,488,5.7,28,2024-2025,laliga
jesus owono,Alavés,5.4,0.37,-1.6,55.6,66,9.1,2,2024-2025,laliga
alex padilla,Athletic Club,4.8,0.26,-0.2,58.2,57,3.5,3,2024-2025,laliga
inaki pena,Barcelona,16.7,0.29,-1.3,10.8,143,2.1,89,2024-2025,laliga
arnau rafus,Valladolid,0.5,0.23,-1.5,34.2,14,7.1,1,2024-2025,laliga
alex remiro,Real Sociedad,38.0,0.26,-5.0,31.4,446,6.5,40,2024-2025,laliga
adrian rodriguez,Alavés,1.5,0.13,-0.5,92.3,33,0.0,0,2024-2025,laliga
leo roman,Mallorca,13.5,0.26,3.5,53.2,127,6.3,6,2024-2025,laliga
rui silva,Betis,18.4,0.3,1.4,26.0,194,5.2,31,2024-2025,laliga
unai simon,Athletic Club,16.3,0.24,2.3,36.2,249,7.6,28,2024-2025,laliga
antonio sivera,Alavés,39.0,0.28,2.0,71.8,453,6.6,29,2024-2025,laliga
david soria,Getafe,42.0,0.29,3.0,72.6,479,5.2,39,2024-2025,laliga
juan soriano,Leganés,8.8,0.36,2.8,56.5,130,5.4,0,2024-2025,laliga
wojciech szczesny,Barcelona,12.0,0.35,0.0,12.3,130,5.4,56,2024-2025,laliga
marcandre ter stegen,Barcelona,6.4,0.26,-2.6,12.1,83,6.0,13,2024-2025,laliga
fran vieites,Betis,4.7,0.42,-0.3,40.0,65,9.2,4,2024-2025,laliga
ivan villar,Celta Vigo,8.2,0.4,1.2,14.6,65,1.5,5,2024-2025,laliga
krapyvtsov vladyslav,Girona,6.3,0.31,-0.7,31.7,27,3.7,1,2024-2025,laliga
