Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
dogan alemdar,Rennes,6.5,0.29,-1.5,38.5,75,6.7,5,2022-2023,ligue-1
paul bernardoni,Angers,51.4,0.31,-7.6,39.5,357,5.9,18,2022-2023,ligue-1
marco bizot,Brest,54.9,0.26,2.9,38.2,520,5.8,25,2022-2023,ligue-1
ruben blanco,Marseille,3.9,0.2,-0.1,20.6,73,4.1,7,2022-2023,ligue-1
joaquin blazquez,Brest,0.2,0.06,0.2,61.1,11,18.2,0,2022-2023,ligue-1
marcin buka,Nice,3.1,0.52,1.1,20.4,26,7.7,3,2022-2023,ligue-1
matis carvalho,Montpellier,1.9,0.24,-1.1,78.9,38,5.3,0,2022-2023,ligue-1
lucas chevalier,Lille,30.5,0.27,2.5,26.2,317,6.9,25,2022-2023,ligue-1
benoit costil,Auxerre,34.0,0.33,-7.0,41.9,285,1.1,11,2022-2023,ligue-1
remy descamps,Nantes,1.5,0.25,0.5,25.0,11,9.1,0,2022-2023,ligue-1
mory diaw,Clermont Foot,55.4,0.28,8.4,40.0,464,7.3,25,2022-2023,ligue-1
yehvann diouf,Reims,37.0,0.27,7.0,28.3,430,9.3,35,2022-2023,ligue-1
ouparine djoco,Clermont Foot,1.0,0.34,-1.0,40.0,14,7.1,5,2022-2023,ligue-1
gianluigi donnarumma,Paris S-G,43.3,0.26,4.3,15.0,436,7.6,27,2022-2023,ligue-1
maxime dupe,Toulouse,54.2,0.28,0.2,24.4,517,5.8,21,2022-2023,ligue-1
yahia fofana,Angers,16.4,0.27,-1.6,35.2,143,11.9,9,2022-2023,ligue-1
gauthier gallon,Troyes,54.9,0.29,-8.1,35.2,496,6.7,9,2022-2023,ligue-1
leo jardim,Lille,8.6,0.4,-4.4,21.7,65,7.7,9,2022-2023,ligue-1
bingourou kamara,Montpellier,9.1,0.29,-1.9,42.1,52,5.8,2,2022-2023,ligue-1
alban lafont,Nantes,54.8,0.26,4.8,37.2,493,8.5,39,2022-2023,ligue-1
jeanlouis leca,Lens,1.6,0.4,0.6,44.8,20,5.0,0,2022-2023,ligue-1
benjamin lecomte,Montpellier,29.5,0.29,7.5,46.9,273,5.5,13,2022-2023,ligue-1
donovan leon,Auxerre,1.9,0.13,-0.1,63.6,41,0.0,2,2022-2023,ligue-1
benjamin leroy,Ajaccio,47.7,0.3,-11.3,52.4,389,4.6,54,2022-2023,ligue-1
alexandre letellier,Paris S-G,0.0,,0.0,0.0,1,0.0,0,2022-2023,ligue-1
mateusz lis,Troyes,16.4,0.28,0.4,38.7,154,7.8,13,2022-2023,ligue-1
anthony lopes,Lyon,41.4,0.27,4.4,31.3,358,5.3,25,2022-2023,ligue-1
pau lopez,Marseille,33.8,0.24,0.8,25.1,370,5.9,37,2022-2023,ligue-1
steve mandanda,Rennes,32.4,0.28,2.4,30.6,382,9.2,51,2022-2023,ligue-1
vito mannone,Lorient,25.2,0.29,1.2,25.9,344,3.5,9,2022-2023,ligue-1
yvon mvogo,Lorient,27.1,0.27,-0.9,34.0,381,5.5,7,2022-2023,ligue-1
alexander nubel,Monaco,49.5,0.24,-5.5,32.2,454,7.9,33,2022-2023,ligue-1
jonas omlin,Montpellier,24.1,0.28,0.1,32.1,209,6.7,12,2022-2023,ligue-1
patrick pentz,Reims,11.9,0.34,-1.1,44.7,103,7.8,4,2022-2023,ligue-1
ghjuvanni quilichini,Ajaccio,0.8,0.24,0.8,61.5,25,8.0,0,2022-2023,ligue-1
ionut radu,Auxerre,21.9,0.27,2.9,52.9,273,5.1,13,2022-2023,ligue-1
remy riou,Lyon,8.8,0.2,1.8,22.5,78,7.7,10,2022-2023,ligue-1
brice samba,Lens,32.4,0.24,5.4,35.5,384,8.9,41,2022-2023,ligue-1
kasper schmeichel,Nice,35.9,0.23,0.9,30.7,455,5.3,23,2022-2023,ligue-1
matz sels,Strasbourg,56.5,0.27,-2.5,44.8,504,6.2,32,2022-2023,ligue-1
francoisjoseph sollacaro,Ajaccio,9.1,0.34,-3.9,56.9,93,6.5,6,2022-2023,ligue-1
