Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
alisson,Liverpool,30.5,0.3,3.5,19.7,255,4.3,49,2024-2025,premier-league
alphonse areola,West Ham,35.4,0.31,-2.6,34.4,394,3.8,30,2024-2025,premier-league
kepa arrizabalaga,Bournemouth,41.0,0.28,2.0,33.2,367,6.0,54,2024-2025,premier-league
brandon austin,Tottenham,2.2,0.55,0.2,38.5,15,33.3,2,2024-2025,premier-league
altay bayndr,Manchester Utd,10.1,0.59,1.1,34.4,56,7.1,7,2024-2025,premier-league
daniel bentley,Wolves,3.9,0.33,-0.1,25.0,25,0.0,3,2024-2025,premier-league
martin dubravka,Newcastle Utd,12.9,0.32,0.9,15.8,127,7.9,11,2024-2025,premier-league
ederson,Manchester City,30.0,0.37,5.0,17.4,224,5.8,49,2024-2025,premier-league
ukasz fabianski,West Ham,22.6,0.29,1.6,41.9,220,4.5,12,2024-2025,premier-league
mark flekken,Brentford,52.7,0.26,-0.3,33.7,581,7.9,34,2024-2025,premier-league
fraser forster,Tottenham,16.5,0.36,1.5,21.3,81,4.9,3,2024-2025,premier-league
dean henderson,Crystal Palace,51.2,0.35,3.2,47.5,559,5.4,40,2024-2025,premier-league
mads hermansen,Leicester City,56.4,0.35,1.4,39.2,419,6.2,26,2024-2025,premier-league
vitezslav jaros,Liverpool,0.0,0.03,0.0,85.7,2,0.0,0,2024-2025,premier-league
sam johnstone,Wolves,13.0,0.29,-3.0,45.6,104,7.7,11,2024-2025,premier-league
filip jrgensen,Chelsea,9.3,0.3,0.3,18.1,53,3.8,2,2024-2025,premier-league
caoimhin kelleher,Liverpool,11.6,0.3,-0.4,28.6,113,5.3,9,2024-2025,premier-league
tom king,Wolves,0.0,,0.0,0.0,1,0.0,0,2024-2025,premier-league
antonin kinsky,Tottenham,10.5,0.33,1.5,26.9,112,8.9,9,2024-2025,premier-league
bernd leno,Fulham,48.9,0.29,-3.1,22.7,507,4.5,33,2024-2025,premier-league
joe lumley,Southampton,7.7,0.39,0.7,34.1,56,3.6,7,2024-2025,premier-league
emiliano martinez,Aston Villa,45.8,0.32,0.8,26.3,498,11.2,35,2024-2025,premier-league
alex mccarthy,Southampton,12.6,0.29,-0.4,33.3,74,10.8,0,2024-2025,premier-league
arijanet muric,Ipswich Town,31.4,0.29,-1.6,29.6,249,15.7,20,2024-2025,premier-league
neto,Bournemouth,4.3,0.35,2.3,43.5,30,6.7,3,2024-2025,premier-league
robin olsen,Aston Villa,6.3,0.4,0.3,42.7,40,7.5,0,2024-2025,premier-league
andre onana,Manchester Utd,44.0,0.31,1.0,29.7,399,5.5,23,2024-2025,premier-league
stefan ortega,Manchester City,16.3,0.31,-0.7,21.5,133,4.5,12,2024-2025,premier-league
alex palmer,Ipswich Town,25.1,0.35,-2.9,36.8,249,8.0,13,2024-2025,premier-league
jordan pickford,Everton,48.8,0.3,4.8,48.8,558,5.6,57,2024-2025,premier-league
nick pope,Newcastle Utd,34.8,0.28,1.8,25.7,359,10.9,64,2024-2025,premier-league
hakon rafn valdimarsson,Brentford,0.6,0.14,-0.4,42.6,16,12.5,0,2024-2025,premier-league
aaron ramsdale,Southampton,63.5,0.32,-2.5,44.6,457,5.5,20,2024-2025,premier-league
david raya,Arsenal,35.1,0.28,1.1,29.9,402,13.2,66,2024-2025,premier-league
jose sa,Wolves,42.8,0.33,-3.2,39.3,432,7.4,43,2024-2025,premier-league
robert sanchez,Chelsea,35.7,0.25,1.7,33.3,370,12.7,57,2024-2025,premier-league
matz sels,Nott'ham Forest,49.1,0.29,3.1,68.4,710,2.7,12,2024-2025,premier-league
jason steele,Brighton,0.5,0.12,-0.5,13.6,22,9.1,3,2024-2025,premier-league
jakub stolarczyk,Leicester City,15.4,0.35,-0.6,46.3,169,5.9,8,2024-2025,premier-league
mark travers,Bournemouth,9.5,0.38,4.5,41.7,63,1.6,5,2024-2025,premier-league
bart verbruggen,Brighton,51.0,0.31,-5.0,26.9,414,6.5,47,2024-2025,premier-league
guglielmo vicario,Tottenham,37.4,0.36,2.4,10.5,312,9.6,31,2024-2025,premier-league
christian walton,Ipswich Town,17.1,0.4,-1.9,42.6,111,10.8,2,2024-2025,premier-league
danny ward,Leicester City,2.8,0.28,-3.2,37.0,11,0.0,2,2024-2025,premier-league
