nombre,club_actual,temporada,liga
aaron anselmino,chelsea,2024-2025,premier-league
aaron ciammaglichella,torino,2024-2025,serie-a
aaron ciammaglichella,torino,2023-2024,serie-a
aaron ciammaglichella,brighton,2022-2023,premier-league
aaron ciammaglichella,nottham forest,2022-2023,premier-league
aaron ciammaglichella,torino,2022-2023,serie-a
aaron cresswell,west ham,2024-2025,premier-league
aaron cresswell,west ham,2022-2023,premier-league
aaron cresswell,west ham,2023-2024,premier-league
aaron hickey,brentford,2022-2023,premier-league
aaron hickey,brentford,2023-2024,premier-league
aaron hickey,brentford,2024-2025,premier-league
aaron ketodiyawa,wolverhampton wanderers,2023-2024,premier-league
aaron martin,mainz,2022-2023,bundesliga
aaron martin,genoa,2023-2024,serie-a
aaron martin,genoa,2024-2025,serie-a
aaron ramsdale,arsenal,2022-2023,premier-league
aaron ramsdale,arsenal,2024-2025,premier-league
aaron ramsdale,arsenal,2023-2024,premier-league
aaron ramsey,burnley,2023-2024,premier-league
aaron wanbissaka,manchester utd,2023-2024,premier-league
aaron wanbissaka,west ham,2024-2025,premier-league
aaron wanbissaka,manchester utd,2022-2023,premier-league
aaron zehnter,augsburg,2023-2024,bundesliga
aaron zehnter,augsburg,2022-2023,bundesliga
abdallah sima,brighton,2023-2024,premier-league
abde ezzalzouli,osasuna,2022-2023,laliga
abde ezzalzouli,barcelona,2022-2023,laliga
abde ezzalzouli,barcelona,2023-2024,laliga
abde ezzalzouli,betis,2024-2025,laliga
abdel abqar,alaves,2024-2025,laliga
abdel abqar,alaves,2023-2024,laliga
abdelhamid sabiri,fiorentina,2023-2024,serie-a
abdellah raihani,atletico madrid,2023-2024,laliga
abdellah raihani,atletico madrid,2022-2023,laliga
abdenego nankishi,werder bremen,2024-2025,bundesliga
abderrahman rebbach,alaves,2024-2025,laliga
abderrahman rebbach,alaves,2023-2024,laliga
abdon prats,mallorca,2023-2024,laliga
abdon prats,mallorca,2024-2025,laliga
abdon prats,mallorca,2022-2023,laliga
abdou diallo,rb leipzig,2022-2023,bundesliga
abdou harroui,sassuolo,2022-2023,serie-a
abdou harroui,hellas verona,2024-2025,serie-a
abdoulaye doucoure,everton,2022-2023,premier-league
abdoulaye doucoure,everton,2024-2025,premier-league
abdoulaye doucoure,everton,2023-2024,premier-league
abdoulaye kamara,dortmund,2023-2024,bundesliga
abdoulaye kamara,dortmund,2022-2023,bundesliga
abdoulaye keita,getafe,2024-2025,laliga
