Player,Pos,Squad,Height,Value,Season,Competition
manuel neuer,Goalkeeper,Bayern Munich,1.93,7000000.0,2022-2023,bundesliga
yann sommer,Goalkeeper,Bayern Munich,1.83,5000000.0,2022-2023,bundesliga
sven ulreich,Goalkeeper,Bayern Munich,1.92,700000.0,2022-2023,bundesliga
johannes schenk,Goalkeeper,Bayern Munich,1.91,300000.0,2022-2023,bundesliga
matthijs de ligt,Centre-Back,Bayern Munich,1.89,75000000.0,2022-2023,bundesliga
dayot upamecano,Centre-Back,Bayern Munich,1.86,60000000.0,2022-2023,bundesliga
benjamin pavard,Centre-Back,Bayern Munich,1.86,40000000.0,2022-2023,bundesliga
tanguy nianzou,Centre-Back,Bayern Munich,1.91,7500000.0,2022-2023,bundesliga
daley blind,Centre-Back,Bayern Munich,1.8,3000000.0,2022-2023,bundesliga
justin janitzek,Centre-Back,Bayern Munich,1.92,500000.0,2022-2023,bundesliga
liam morrison,Centre-Back,Bayern Munich,1.83,300000.0,2022-2023,bundesliga
gabriel marusic,Centre-Back,Bayern Munich,1.86,150000.0,2022-2023,bundesliga
alphonso davies,Left-Back,Bayern Munich,1.83,70000000.0,2022-2023,bundesliga
lucas hernandez,Left-Back,Bayern Munich,1.84,45000000.0,2022-2023,bundesliga
joao cancelo,Right-Back,Bayern Munich,1.82,50000000.0,2022-2023,bundesliga
noussair mazraoui,Right-Back,Bayern Munich,1.83,28000000.0,2022-2023,bundesliga
josip stanisic,Right-Back,Bayern Munich,1.87,12000000.0,2022-2023,bundesliga
bouna sarr,Right-Back,Bayern Munich,1.78,2000000.0,2022-2023,bundesliga
joshua kimmich,Defensive Midfield,Bayern Munich,1.77,75000000.0,2022-2023,bundesliga
ryan gravenberch,Defensive Midfield,Bayern Munich,1.9,30000000.0,2022-2023,bundesliga
aleksandar pavlovic,Defensive Midfield,Bayern Munich,1.88,,2022-2023,bundesliga
leon goretzka,Central Midfield,Bayern Munich,1.89,45000000.0,2022-2023,bundesliga
marcel sabitzer,Central Midfield,Bayern Munich,1.78,20000000.0,2022-2023,bundesliga
jamal musiala,Attacking Midfield,Bayern Munich,1.84,110000000.0,2022-2023,bundesliga
paul wanner,Attacking Midfield,Bayern Munich,1.85,3000000.0,2022-2023,bundesliga
arijon ibrahimovic,Attacking Midfield,Bayern Munich,1.78,1000000.0,2022-2023,bundesliga
kingsley coman,Left Winger,Bayern Munich,1.81,65000000.0,2022-2023,bundesliga
serge gnabry,Left Winger,Bayern Munich,1.76,55000000.0,2022-2023,bundesliga
sadio mane,Left Winger,Bayern Munich,1.74,25000000.0,2022-2023,bundesliga
leroy sane,Right Winger,Bayern Munich,1.83,65000000.0,2022-2023,bundesliga
thomas muller,Second Striker,Bayern Munich,1.85,12000000.0,2022-2023,bundesliga
gabriel vidovic,Second Striker,Bayern Munich,1.8,2500000.0,2022-2023,bundesliga
mathys tel,Centre-Forward,Bayern Munich,1.83,20000000.0,2022-2023,bundesliga
joshua zirkzee,Centre-Forward,Bayern Munich,1.93,9000000.0,2022-2023,bundesliga
eric maxim choupomoting,Centre-Forward,Bayern Munich,1.91,5000000.0,2022-2023,bundesliga
gregor kobel,Goalkeeper,Dortmund,1.96,35000000.0,2022-2023,bundesliga
marcel halstenberg,Goalkeeper,Dortmund,1.9,1500000.0,2022-2023,bundesliga
alexander meyer,Goalkeeper,Dortmund,1.95,1000000.0,2022-2023,bundesliga
luca unbehaun,Goalkeeper,Dortmund,1.87,650000.0,2022-2023,bundesliga
silas ostrzinski,Goalkeeper,Dortmund,1.98,150000.0,2022-2023,bundesliga
nico schlotterbeck,Centre-Back,Dortmund,1.91,40000000.0,2022-2023,bundesliga
niklas sule,Centre-Back,Dortmund,1.95,35000000.0,2022-2023,bundesliga
mats hummels,Centre-Back,Dortmund,1.91,6000000.0,2022-2023,bundesliga
soumaila coulibaly,Centre-Back,Dortmund,1.91,1000000.0,2022-2023,bundesliga
antonios papadopoulos,Centre-Back,Dortmund,1.86,600000.0,2022-2023,bundesliga
raphael guerreiro,Left-Back,Dortmund,1.7,20000000.0,2022-2023,bundesliga
tom rothe,Left-Back,Dortmund,1.93,3500000.0,2022-2023,bundesliga
nico schlotterbeck,Left-Back,Dortmund,1.8,1000000.0,2022-2023,bundesliga
julian ryerson,Right-Back,Dortmund,1.83,13000000.0,2022-2023,bundesliga
marius wolf,Right-Back,Dortmund,1.88,10000000.0,2022-2023,bundesliga
thomas meunier,Right-Back,Dortmund,1.91,5000000.0,2022-2023,bundesliga
felix passlack,Right-Back,Dortmund,1.7,1500000.0,2022-2023,bundesliga
mateu morey,Right-Back,Dortmund,1.73,1000000.0,2022-2023,bundesliga
emre can,Defensive Midfield,Dortmund,1.86,14000000.0,2022-2023,bundesliga
salih ozcan,Defensive Midfield,Dortmund,1.83,13000000.0,2022-2023,bundesliga
abdoulaye niakhate ndiaye,Defensive Midfield,Dortmund,1.85,1000000.0,2022-2023,bundesliga
mahmoud dahoud,Central Midfield,Dortmund,1.78,12000000.0,2022-2023,bundesliga
jude bellingham,Attacking Midfield,Dortmund,1.86,120000000.0,2022-2023,bundesliga
julian brandt,Attacking Midfield,Dortmund,1.85,40000000.0,2022-2023,bundesliga
gio reyna,Attacking Midfield,Dortmund,1.85,25000000.0,2022-2023,bundesliga
marco reus,Attacking Midfield,Dortmund,1.8,7000000.0,2022-2023,bundesliga
goktan gurpuz,Attacking Midfield,Dortmund,1.78,300000.0,2022-2023,bundesliga
jamie gittens,Left Winger,Dortmund,1.78,14000000.0,2022-2023,bundesliga
julien duranville,Left Winger,Dortmund,1.73,8500000.0,2022-2023,bundesliga
thorgan hazard,Left Winger,Dortmund,1.75,7000000.0,2022-2023,bundesliga
karim adeyemi,Right Winger,Dortmund,1.8,40000000.0,2022-2023,bundesliga
donyell malen,Right Winger,Dortmund,1.76,28000000.0,2022-2023,bundesliga
justin njinmah,Right Winger,Dortmund,1.85,800000.0,2022-2023,bundesliga
