Player,Pos,Squad,Height,Value,Season,Competition
thibaut courtois,Goalkeeper,Real Madrid,2.0,20000000.0,2024-2025,laliga
andriy lunin,Goalkeeper,Real Madrid,1.91,18000000.0,2024-2025,laliga
fran gonzalez,Goalkeeper,Real Madrid,1.99,400000.0,2024-2025,laliga
sergio mestre,Goalkeeper,Real Madrid,1.93,50000.0,2024-2025,laliga
dean huijsen,Centre-Back,Real Madrid,1.97,60000000.0,2024-2025,laliga
raul asencio,Centre-Back,Real Madrid,1.84,40000000.0,2024-2025,laliga
eder militao,Centre-Back,Real Madrid,1.86,30000000.0,2024-2025,laliga
antonio rudiger,Centre-Back,Real Madrid,1.9,20000000.0,2024-2025,laliga
david alaba,Centre-Back,Real Madrid,1.8,6000000.0,2024-2025,laliga
jacobo ramon,Centre-Back,Real Madrid,1.96,1000000.0,2024-2025,laliga
diego aguado,Centre-Back,Real Madrid,1.84,1000000.0,2024-2025,laliga
jesus vallejo,Centre-Back,Real Madrid,1.84,1000000.0,2024-2025,laliga
victor valdepenas,Centre-Back,Real Madrid,1.88,500000.0,2024-2025,laliga
mario rivas,Centre-Back,Real Madrid,,300000.0,2024-2025,laliga
fran garcia,Left-Back,Real Madrid,1.69,18000000.0,2024-2025,laliga
ferland mendy,Left-Back,Real Madrid,1.8,14000000.0,2024-2025,laliga
youssef enriquez,Left-Back,Real Madrid,1.7,500000.0,2024-2025,laliga
trent alexanderarnold,Right-Back,Real Madrid,1.8,75000000.0,2024-2025,laliga
daniel carvajal,Right-Back,Real Madrid,1.73,8000000.0,2024-2025,laliga
lucas vazquez,Right-Back,Real Madrid,1.73,3000000.0,2024-2025,laliga
david jimenez,Right-Back,Real Madrid,1.7,400000.0,2024-2025,laliga
jesus fortea,Right-Back,Real Madrid,1.79,200000.0,2024-2025,laliga
lorenzo aguado,Right-Back,Real Madrid,1.8,100000.0,2024-2025,laliga
aurelien tchouameni,Defensive Midfield,Real Madrid,1.88,75000000.0,2024-2025,laliga
mario martin,Defensive Midfield,Real Madrid,1.77,1500000.0,2024-2025,laliga
federico valverde,Central Midfield,Real Madrid,1.82,130000000.0,2024-2025,laliga
eduardo camavinga,Central Midfield,Real Madrid,1.82,60000000.0,2024-2025,laliga
dani ceballos,Central Midfield,Real Madrid,1.79,10000000.0,2024-2025,laliga
luka modric,Central Midfield,Real Madrid,1.72,4000000.0,2024-2025,laliga
chema andres,Central Midfield,Real Madrid,1.9,800000.0,2024-2025,laliga
jude bellingham,Attacking Midfield,Real Madrid,1.86,180000000.0,2024-2025,laliga
pol fortuny,Attacking Midfield,Real Madrid,1.75,400000.0,2024-2025,laliga
vinicius junior,Left Winger,Real Madrid,1.76,170000000.0,2024-2025,laliga
victor munoz,Left Winger,Real Madrid,1.73,1000000.0,2024-2025,laliga
hugo de llanos,Left Winger,Real Madrid,1.75,200000.0,2024-2025,laliga
rodrygo,Right Winger,Real Madrid,1.74,90000000.0,2024-2025,laliga
arda guler,Right Winger,Real Madrid,1.75,45000000.0,2024-2025,laliga
brahim diaz,Right Winger,Real Madrid,1.7,40000000.0,2024-2025,laliga
daniel yanez,Right Winger,Real Madrid,1.77,150000.0,2024-2025,laliga
kylian mbappe,Centre-Forward,Real Madrid,1.78,180000000.0,2024-2025,laliga
endrick,Centre-Forward,Real Madrid,1.73,35000000.0,2024-2025,laliga
gonzalo garcia,Centre-Forward,Real Madrid,1.82,8000000.0,2024-2025,laliga
marcandre ter stegen,Goalkeeper,FC Barcelona,1.87,12000000.0,2024-2025,laliga
inaki pena,Goalkeeper,FC Barcelona,1.84,8000000.0,2024-2025,laliga
wojciech szczesny,Goalkeeper,FC Barcelona,1.95,1000000.0,2024-2025,laliga
ander astralaga,Goalkeeper,FC Barcelona,1.9,800000.0,2024-2025,laliga
diego kochen,Goalkeeper,FC Barcelona,1.9,500000.0,2024-2025,laliga
aron yaakobishvili,Goalkeeper,FC Barcelona,1.85,300000.0,2024-2025,laliga
pau cubarsi,Centre-Back,FC Barcelona,1.84,80000000.0,2024-2025,laliga
ronald araujo,Centre-Back,FC Barcelona,1.92,35000000.0,2024-2025,laliga
eric garcia,Centre-Back,FC Barcelona,1.82,18000000.0,2024-2025,laliga
andreas christensen,Centre-Back,FC Barcelona,1.87,12000000.0,2024-2025,laliga
inigo martinez,Centre-Back,FC Barcelona,1.82,5000000.0,2024-2025,laliga
sergi dominguez,Centre-Back,FC Barcelona,1.91,1000000.0,2024-2025,laliga
alexis olmedo,Centre-Back,FC Barcelona,1.87,200000.0,2024-2025,laliga
andres cuenca,Centre-Back,FC Barcelona,1.81,200000.0,2024-2025,laliga
alvaro cortes,Centre-Back,FC Barcelona,1.89,150000.0,2024-2025,laliga
alejandro balde,Left-Back,FC Barcelona,1.75,60000000.0,2024-2025,laliga
gerard martin,Left-Back,FC Barcelona,1.86,12000000.0,2024-2025,laliga
alex valle,Left-Back,FC Barcelona,1.78,6000000.0,2024-2025,laliga
jules kounde,Right-Back,FC Barcelona,1.8,65000000.0,2024-2025,laliga
hector fort,Right-Back,FC Barcelona,1.85,10000000.0,2024-2025,laliga
landry farre,Right-Back,FC Barcelona,1.78,300000.0,2024-2025,laliga
marc casado,Defensive Midfield,FC Barcelona,1.72,30000000.0,2024-2025,laliga
marc bernal,Defensive Midfield,FC Barcelona,1.93,5000000.0,2024-2025,laliga
pedri,Central Midfield,FC Barcelona,1.74,140000000.0,2024-2025,laliga
gavi,Central Midfield,FC Barcelona,1.73,60000000.0,2024-2025,laliga
frenkie de jong,Central Midfield,FC Barcelona,1.81,45000000.0,2024-2025,laliga
guille fernandez,Central Midfield,FC Barcelona,1.81,3000000.0,2024-2025,laliga
dani olmo,Attacking Midfield,FC Barcelona,1.79,60000000.0,2024-2025,laliga
fermin lopez,Attacking Midfield,FC Barcelona,1.74,50000000.0,2024-2025,laliga
pablo torre,Attacking Midfield,FC Barcelona,1.73,6000000.0,2024-2025,laliga
noah darvich,Attacking Midfield,FC Barcelona,1.84,2000000.0,2024-2025,laliga
raphinha,Left Winger,FC Barcelona,1.76,90000000.0,2024-2025,laliga
ansu fati,Left Winger,FC Barcelona,1.78,5000000.0,2024-2025,laliga
dani rodriguez,Left Winger,FC Barcelona,1.7,200000.0,2024-2025,laliga
lamine yamal,Right Winger,FC Barcelona,1.8,200000000.0,2024-2025,laliga
toni fernandez,Right Winger,FC Barcelona,1.75,3000000.0,2024-2025,laliga
ferran torres,Centre-Forward,FC Barcelona,1.84,40000000.0,2024-2025,laliga
robert lewandowski,Centre-Forward,FC Barcelona,1.85,12000000.0,2024-2025,laliga
pau victor,Centre-Forward,FC Barcelona,1.84,4000000.0,2024-2025,laliga
jan oblak,Goalkeeper,Atlético de Madrid,1.88,20000000.0,2024-2025,laliga
juan musso,Goalkeeper,Atlético de Madrid,1.91,3500000.0,2024-2025,laliga
horatiu moldovan,Goalkeeper,Atlético de Madrid,1.86,2200000.0,2024-2025,laliga
alejandro iturbe,Goalkeeper,Atlético de Madrid,1.86,2000000.0,2024-2025,laliga
antonio gomis,Goalkeeper,Atlético de Madrid,1.91,150000.0,2024-2025,laliga
robin le normand,Centre-Back,Atlético de Madrid,1.87,40000000.0,2024-2025,laliga
jose maria gimenez,Centre-Back,Atlético de Madrid,1.85,20000000.0,2024-2025,laliga
clement lenglet,Centre-Back,Atlético de Madrid,1.86,7500000.0,2024-2025,laliga
santiago mourino,Centre-Back,Atlético de Madrid,1.86,3000000.0,2024-2025,laliga
axel witsel,Centre-Back,Atlético de Madrid,1.86,2000000.0,2024-2025,laliga
cesar azpilicueta,Centre-Back,Atlético de Madrid,1.78,1500000.0,2024-2025,laliga
ilias kostis,Centre-Back,Atlético de Madrid,1.88,500000.0,2024-2025,laliga
geronimo spina,Centre-Back,Atlético de Madrid,1.87,200000.0,2024-2025,laliga
reinildo mandava,Left-Back,Atlético de Madrid,1.8,5000000.0,2024-2025,laliga
javi galan,Left-Back,Atlético de Madrid,1.72,4000000.0,2024-2025,laliga
nahuel molina,Right-Back,Atlético de Madrid,1.75,20000000.0,2024-2025,laliga
carlos gimenez,Right-Back,Atlético de Madrid,1.8,250000.0,2024-2025,laliga
arthur vermeeren,Defensive Midfield,Atlético de Madrid,1.8,22000000.0,2024-2025,laliga
pablo barrios,Central Midfield,Atlético de Madrid,1.81,55000000.0,2024-2025,laliga
conor gallagher,Central Midfield,Atlético de Madrid,1.82,40000000.0,2024-2025,laliga
rodrigo de paul,Central Midfield,Atlético de Madrid,1.8,25000000.0,2024-2025,laliga
koke,Central Midfield,Atlético de Madrid,1.76,8000000.0,2024-2025,laliga
javi serrano,Central Midfield,Atlético de Madrid,1.78,700000.0,2024-2025,laliga
aitor gismera,Central Midfield,Atlético de Madrid,1.82,250000.0,2024-2025,laliga
marcos llorente,Right Midfield,Atlético de Madrid,1.84,25000000.0,2024-2025,laliga
thomas lemar,Attacking Midfield,Atlético de Madrid,1.71,5000000.0,2024-2025,laliga
samuel lino,Left Winger,Atlético de Madrid,1.77,22000000.0,2024-2025,laliga
rodrigo riquelme,Left Winger,Atlético de Madrid,1.74,12000000.0,2024-2025,laliga
rayane belaid,Left Winger,Atlético de Madrid,1.75,600000.0,2024-2025,laliga
marcos paulo,Left Winger,Atlético de Madrid,1.86,450000.0,2024-2025,laliga
giuliano simeone,Right Winger,Atlético de Madrid,1.73,35000000.0,2024-2025,laliga
