Player,Pos,Squad,Height,Value,Season,Competition
gianluigi donnarumma,Goalkeeper,Paris Saint-Germain,1.96,40000000.0,2024-2025,ligue-1
matvey safonov,Goalkeeper,Paris Saint-Germain,1.92,20000000.0,2024-2025,ligue-1
arnau tenas,Goalkeeper,Paris Saint-Germain,1.85,3000000.0,2024-2025,ligue-1
louis mouquet,Goalkeeper,Paris Saint-Germain,1.87,,2024-2025,ligue-1
willian pacho,Centre-Back,Paris Saint-Germain,1.87,65000000.0,2024-2025,ligue-1
marquinhos,Centre-Back,Paris Saint-Germain,1.83,35000000.0,2024-2025,ligue-1
lucas beraldo,Centre-Back,Paris Saint-Germain,1.86,25000000.0,2024-2025,ligue-1
milan skriniar,Centre-Back,Paris Saint-Germain,1.88,15000000.0,2024-2025,ligue-1
presnel kimpembe,Centre-Back,Paris Saint-Germain,1.83,5000000.0,2024-2025,ligue-1
axel tape,Centre-Back,Paris Saint-Germain,1.8,2000000.0,2024-2025,ligue-1
noham kamara,Centre-Back,Paris Saint-Germain,1.83,500000.0,2024-2025,ligue-1
naoufel el hannach,Centre-Back,Paris Saint-Germain,1.83,,2024-2025,ligue-1
nuno mendes,Left-Back,Paris Saint-Germain,1.8,70000000.0,2024-2025,ligue-1
lucas hernandez,Left-Back,Paris Saint-Germain,1.84,25000000.0,2024-2025,ligue-1
achraf hakimi,Right-Back,Paris Saint-Germain,1.81,80000000.0,2024-2025,ligue-1
yoram zague,Right-Back,Paris Saint-Germain,1.68,2500000.0,2024-2025,ligue-1
joao neves,Defensive Midfield,Paris Saint-Germain,1.74,80000000.0,2024-2025,ligue-1
gabriel moscardo,Defensive Midfield,Paris Saint-Germain,1.85,8000000.0,2024-2025,ligue-1
vitinha,Central Midfield,Paris Saint-Germain,1.72,80000000.0,2024-2025,ligue-1
warren zaireemery,Central Midfield,Paris Saint-Germain,1.78,55000000.0,2024-2025,ligue-1
fabian ruiz,Central Midfield,Paris Saint-Germain,1.89,40000000.0,2024-2025,ligue-1
carlos soler,Central Midfield,Paris Saint-Germain,1.8,18000000.0,2024-2025,ligue-1
senny mayulu,Central Midfield,Paris Saint-Germain,1.83,15000000.0,2024-2025,ligue-1
marco asensio,Attacking Midfield,Paris Saint-Germain,1.82,20000000.0,2024-2025,ligue-1
wassim slama,Attacking Midfield,Paris Saint-Germain,,,2024-2025,ligue-1
khvicha kvaratskhelia,Left Winger,Paris Saint-Germain,1.83,90000000.0,2024-2025,ligue-1
bradley barcola,Left Winger,Paris Saint-Germain,1.82,70000000.0,2024-2025,ligue-1
quentin ndjantou,Left Winger,Paris Saint-Germain,,,2024-2025,ligue-1
ousmane dembele,Right Winger,Paris Saint-Germain,1.78,90000000.0,2024-2025,ligue-1
desire doue,Right Winger,Paris Saint-Germain,1.81,90000000.0,2024-2025,ligue-1
kangin lee,Right Winger,Paris Saint-Germain,1.74,25000000.0,2024-2025,ligue-1
ibrahim mbaye,Right Winger,Paris Saint-Germain,1.75,3000000.0,2024-2025,ligue-1
goncalo ramos,Centre-Forward,Paris Saint-Germain,1.85,40000000.0,2024-2025,ligue-1
randal kolo muani,Centre-Forward,Paris Saint-Germain,1.87,30000000.0,2024-2025,ligue-1
radoslaw majecki,Goalkeeper,AS Monaco,1.93,6000000.0,2024-2025,ligue-1
philipp kohn,Goalkeeper,AS Monaco,1.9,5000000.0,2024-2025,ligue-1
jules stawiecki,Goalkeeper,AS Monaco,1.86,200000.0,2024-2025,ligue-1
yann lienard,Goalkeeper,AS Monaco,1.94,100000.0,2024-2025,ligue-1
wilfried singo,Centre-Back,AS Monaco,1.9,25000000.0,2024-2025,ligue-1
thilo kehrer,Centre-Back,AS Monaco,1.86,20000000.0,2024-2025,ligue-1
christian mawissa,Centre-Back,AS Monaco,1.84,15000000.0,2024-2025,ligue-1
mohammed salisu,Centre-Back,AS Monaco,1.88,12000000.0,2024-2025,ligue-1
guillermo maripan,Centre-Back,AS Monaco,1.93,4000000.0,2024-2025,ligue-1
bradel kiwa,Centre-Back,AS Monaco,1.91,,2024-2025,ligue-1
caio henrique,Left-Back,AS Monaco,1.78,15000000.0,2024-2025,ligue-1
ismail jakobs,Left-Back,AS Monaco,1.84,7000000.0,2024-2025,ligue-1
kassoum ouattara,Left-Back,AS Monaco,1.76,7000000.0,2024-2025,ligue-1
vanderson,Right-Back,AS Monaco,1.73,20000000.0,2024-2025,ligue-1
jordan teze,Right-Back,AS Monaco,1.83,9000000.0,2024-2025,ligue-1
denis zakaria,Defensive Midfield,AS Monaco,1.9,30000000.0,2024-2025,ligue-1
soungoutou magassa,Defensive Midfield,AS Monaco,1.9,12000000.0,2024-2025,ligue-1
moatasem almusrati,Defensive Midfield,AS Monaco,1.89,8000000.0,2024-2025,ligue-1
aladji bamba,Defensive Midfield,AS Monaco,,,2024-2025,ligue-1
samuel nibombe,Defensive Midfield,AS Monaco,1.98,,2024-2025,ligue-1
lamine camara,Central Midfield,AS Monaco,1.73,22000000.0,2024-2025,ligue-1
eliot matazo,Central Midfield,AS Monaco,1.7,2000000.0,2024-2025,ligue-1
edan diop,Central Midfield,AS Monaco,1.85,600000.0,2024-2025,ligue-1
mamadou coulibaly,Central Midfield,AS Monaco,,200000.0,2024-2025,ligue-1
mayssam benama,Central Midfield,AS Monaco,1.77,150000.0,2024-2025,ligue-1
aleksandr golovin,Attacking Midfield,AS Monaco,1.78,20000000.0,2024-2025,ligue-1
saimon bouabre,Attacking Midfield,AS Monaco,1.74,300000.0,2024-2025,ligue-1
eliesse ben seghir,Left Winger,AS Monaco,1.78,28000000.0,2024-2025,ligue-1
takumi minamino,Left Winger,AS Monaco,1.72,15000000.0,2024-2025,ligue-1
lucas michal,Left Winger,AS Monaco,,500000.0,2024-2025,ligue-1
maghnes akliouche,Right Winger,AS Monaco,1.83,45000000.0,2024-2025,ligue-1
krepin diatta,Right Winger,AS Monaco,1.75,7000000.0,2024-2025,ligue-1
mika biereth,Centre-Forward,AS Monaco,1.87,30000000.0,2024-2025,ligue-1
folarin balogun,Centre-Forward,AS Monaco,1.78,18000000.0,2024-2025,ligue-1
george ilenikhena,Centre-Forward,AS Monaco,1.85,15000000.0,2024-2025,ligue-1
breel embolo,Centre-Forward,AS Monaco,1.87,12000000.0,2024-2025,ligue-1
joan tincres,Centre-Forward,AS Monaco,1.82,100000.0,2024-2025,ligue-1
geronimo rulli,Goalkeeper,Olympique Marseille,1.89,8000000.0,2024-2025,ligue-1
jeffrey de lange,Goalkeeper,Olympique Marseille,1.9,2000000.0,2024-2025,ligue-1
ruben blanco,Goalkeeper,Olympique Marseille,1.88,1000000.0,2024-2025,ligue-1
jelle van neck,Goalkeeper,Olympique Marseille,1.91,50000.0,2024-2025,ligue-1
leonardo balerdi,Centre-Back,Olympique Marseille,1.87,20000000.0,2024-2025,ligue-1
lilian brassier,Centre-Back,Olympique Marseille,1.86,10000000.0,2024-2025,ligue-1
luiz felipe,Centre-Back,Olympique Marseille,1.87,5000000.0,2024-2025,ligue-1
derek cornelius,Centre-Back,Olympique Marseille,1.87,5000000.0,2024-2025,ligue-1
bamo meite,Centre-Back,Olympique Marseille,1.84,4000000.0,2024-2025,ligue-1
chancel mbemba,Centre-Back,Olympique Marseille,1.82,2000000.0,2024-2025,ligue-1
roggerio nyakossi,Centre-Back,Olympique Marseille,1.94,500000.0,2024-2025,ligue-1
quentin merlin,Left-Back,Olympique Marseille,1.74,15000000.0,2024-2025,ligue-1
ulisses garcia,Left-Back,Olympique Marseille,1.82,5000000.0,2024-2025,ligue-1
alexi koum,Left-Back,Olympique Marseille,1.8,100000.0,2024-2025,ligue-1
rony mimb baheng,Left-Back,Olympique Marseille,1.88,,2024-2025,ligue-1
amar dedic,Right-Back,Olympique Marseille,1.8,12000000.0,2024-2025,ligue-1
amir murillo,Right-Back,Olympique Marseille,1.84,10000000.0,2024-2025,ligue-1
pol lirola,Right-Back,Olympique Marseille,1.83,4000000.0,2024-2025,ligue-1
pierreemile hjbjerg,Defensive Midfield,Olympique Marseille,1.85,20000000.0,2024-2025,ligue-1
ismael bennacer,Defensive Midfield,Olympique Marseille,1.75,15000000.0,2024-2025,ligue-1
geoffrey kondogbia,Defensive Midfield,Olympique Marseille,1.88,7000000.0,2024-2025,ligue-1
adrien rabiot,Central Midfield,Olympique Marseille,1.91,25000000.0,2024-2025,ligue-1
ismael kone,Central Midfield,Olympique Marseille,1.88,9000000.0,2024-2025,ligue-1
valentin rongier,Central Midfield,Olympique Marseille,1.73,9000000.0,2024-2025,ligue-1
bilal nadir,Central Midfield,Olympique Marseille,1.79,5000000.0,2024-2025,ligue-1
gael lafont,Central Midfield,Olympique Marseille,1.8,,2024-2025,ligue-1
luis henrique,Right Midfield,Olympique Marseille,1.81,25000000.0,2024-2025,ligue-1
valentin carboni,Attacking Midfield,Olympique Marseille,1.85,12000000.0,2024-2025,ligue-1
amine harit,Attacking Midfield,Olympique Marseille,1.8,8000000.0,2024-2025,ligue-1
darryl bakola,Attacking Midfield,Olympique Marseille,1.78,200000.0,2024-2025,ligue-1
jonathan rowe,Left Winger,Olympique Marseille,1.73,12000000.0,2024-2025,ligue-1
enzo sternal,Left Winger,Olympique Marseille,1.74,1500000.0,2024-2025,ligue-1
salim ben seghir,Left Winger,Olympique Marseille,1.77,400000.0,2024-2025,ligue-1
mason greenwood,Right Winger,Olympique Marseille,1.81,40000000.0,2024-2025,ligue-1
keyliane abdallah,Right Winger,Olympique Marseille,1.85,100000.0,2024-2025,ligue-1
amine gouiri,Centre-Forward,Olympique Marseille,1.81,30000000.0,2024-2025,ligue-1
elye wahi,Centre-Forward,Olympique Marseille,1.84,22000000.0,2024-2025,ligue-1
neal maupay,Centre-Forward,Olympique Marseille,1.71,8000000.0,2024-2025,ligue-1
faris moumbagna,Centre-Forward,Olympique Marseille,1.85,5000000.0,2024-2025,ligue-1
