Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
brenden aaronson,Union Berlin,15,5,22,88,44.8,2023-2024,bundesliga
paxten aaronson,Eint Frankfurt,6,0,0,5,100.0,2023-2024,bundesliga
junior adamu,Freiburg,7,2,1,10,45.5,2023-2024,bundesliga
sargis adamyan,Köln,18,8,4,30,27.5,2023-2024,bundesliga
karim adeyemi,Dortmund,20,1,25,60,60.9,2023-2024,bundesliga
amine adli,Leverkusen,14,7,23,36,48.8,2023-2024,bundesliga
felix agu,Werder Bremen,15,2,46,71,38.5,2023-2024,bundesliga
ludovic ajorque,Mainz 05,28,5,3,49,46.2,2023-2024,bundesliga
kevin akpoguma,Hoffenheim,15,0,4,60,54.3,2023-2024,bundesliga
faride alidou,Köln,21,3,39,57,39.1,2023-2024,bundesliga
skelly alvero,Werder Bremen,2,0,0,9,85.7,2023-2024,bundesliga
nadiem amiri,Mainz 05,11,1,126,93,66.7,2023-2024,bundesliga
nadiem amiri,Leverkusen,1,0,1,8,,2023-2024,bundesliga
kofi amoako,Wolfsburg,0,0,0,0,,2023-2024,bundesliga
robert andrich,Leverkusen,23,0,14,122,47.6,2023-2024,bundesliga
waldemar anton,Stuttgart,25,0,14,203,65.3,2023-2024,bundesliga
christopher antwiadjei,Bochum,13,18,55,53,33.3,2023-2024,bundesliga
asaf arania,Darmstadt 98,0,0,0,0,,2023-2024,bundesliga
maximilian arnold,Wolfsburg,37,0,110,174,31.8,2023-2024,bundesliga
arthur,Leverkusen,2,0,7,10,40.0,2023-2024,bundesliga
takuma asano,Bochum,15,23,37,74,22.4,2023-2024,bundesliga
jonathan asp jensen,Bayern Munich,0,0,0,0,,2023-2024,bundesliga
noah atubolu,Freiburg,0,0,0,62,100.0,2023-2024,bundesliga
matthias bader,Darmstadt 98,17,1,32,121,39.3,2023-2024,bundesliga
ridle baku,Wolfsburg,24,3,54,124,43.8,2023-2024,bundesliga
samuel bamba,Dortmund,1,0,4,1,,2023-2024,bundesliga
aymen barkok,Mainz 05,15,0,13,18,44.0,2023-2024,bundesliga
leandro barreiro martins,Mainz 05,58,3,5,144,38.2,2023-2024,bundesliga
daniel batz,Mainz 05,0,0,0,5,100.0,2023-2024,bundesliga
maximilian bauer,Augsburg,13,0,1,27,50.0,2023-2024,bundesliga
elias baum,Eint Frankfurt,1,0,0,0,,2023-2024,bundesliga
oliver baumann,Hoffenheim,1,0,0,102,80.0,2023-2024,bundesliga
christoph baumgartner,RB Leipzig,27,1,8,40,40.8,2023-2024,bundesliga
ihlas bebou,Hoffenheim,24,7,35,60,41.6,2023-2024,bundesliga
adrian beck,Heidenheim,14,2,6,76,40.9,2023-2024,bundesliga
sheraldo becker,Union Berlin,6,4,57,48,0.0,2023-2024,bundesliga
chris bedia,Union Berlin,7,0,0,2,30.0,2023-2024,bundesliga
donny van de beek,Eint Frankfurt,7,5,7,15,44.4,2023-2024,bundesliga
kevin behrens,Wolfsburg,8,4,4,15,55.2,2023-2024,bundesliga
kevin behrens,Union Berlin,22,8,6,36,53.2,2023-2024,bundesliga
maximilian beier,Hoffenheim,21,13,38,62,33.3,2023-2024,bundesliga
stefan bell,Mainz 05,10,1,1,38,51.1,2023-2024,bundesliga
ramy bensebaini,Dortmund,15,0,21,84,58.1,2023-2024,bundesliga
mergim berisha,Hoffenheim,5,1,2,8,18.2,2023-2024,bundesliga
mergim berisha,Augsburg,0,1,1,1,66.7,2023-2024,bundesliga
