Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
nabil aberdin,Getafe,1,0,0,10,40.0,2023-2024,laliga
abner,Betis,16,2,26,79,58.3,2023-2024,laliga
abdel abqar,Alavés,33,1,2,109,52.0,2023-2024,laliga
marcos acuna,Sevilla,18,1,82,99,54.2,2023-2024,laliga
julen agirrezabala,Athletic Club,0,0,0,6,100.0,2023-2024,laliga
lucien agoume,Sevilla,19,0,2,48,56.3,2023-2024,laliga
joseph aidoo,Celta Vigo,4,0,0,22,60.9,2023-2024,laliga
ilias akhomach,Villarreal,41,4,29,70,30.0,2023-2024,laliga
sergio akieme,Almería,18,1,57,99,40.0,2023-2024,laliga
paul akouokou,Betis,1,0,0,0,,2023-2024,laliga
david alaba,Real Madrid,4,0,17,63,52.6,2023-2024,laliga
raul albiol,Villarreal,21,1,0,75,61.3,2023-2024,laliga
ruben alcaraz,Cádiz,84,1,36,234,49.0,2023-2024,laliga
omar alderete,Getafe,34,2,5,107,55.0,2023-2024,laliga
ivan alejo,Cádiz,49,9,151,87,45.5,2023-2024,laliga
carles alena,Getafe,22,3,33,53,36.7,2023-2024,laliga
mohamed ali cho,Real Sociedad,5,3,11,16,33.3,2023-2024,laliga
tadeo allende,Celta Vigo,2,3,10,19,55.6,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,12,1,18,43,21.1,2023-2024,laliga
marcos alonso,Barcelona,7,0,15,14,33.3,2023-2024,laliga
adria altimira,Villarreal,12,0,5,42,22.2,2023-2024,laliga
sergi altimira,Betis,8,0,1,41,33.3,2023-2024,laliga
gaston alvarez,Getafe,43,1,25,132,63.0,2023-2024,laliga
hugo alvarez,Celta Vigo,9,1,22,47,45.5,2023-2024,laliga
yeray alvarez,Athletic Club,15,0,1,68,74.1,2023-2024,laliga
selim amallah,Valencia,21,1,4,36,42.3,2023-2024,laliga
amath,Mallorca,10,4,7,21,54.5,2023-2024,laliga
miguel angel rubio,Granada,20,1,0,77,65.9,2023-2024,laliga
fabrizio angileri,Getafe,1,0,8,15,54.5,2023-2024,laliga
mauro arambarri,Getafe,18,0,6,27,38.5,2023-2024,laliga
jon aramburu,Real Sociedad,11,0,7,24,50.0,2023-2024,laliga
julian araujo,Las Palmas,13,2,23,81,58.0,2023-2024,laliga
ronald araujo,Barcelona,25,0,8,102,73.2,2023-2024,laliga
adu ares,Athletic Club,5,1,11,15,25.0,2023-2024,laliga
jesus areso,Osasuna,30,3,110,130,57.1,2023-2024,laliga
matias arezo,Granada,6,8,4,13,39.3,2023-2024,laliga
inigo arguibide,Osasuna,1,0,0,1,100.0,2023-2024,laliga
jose arnaiz,Osasuna,8,3,46,39,44.0,2023-2024,laliga
sergio arribas,Almería,14,1,60,91,44.2,2023-2024,laliga
kepa arrizabalaga,Real Madrid,0,0,0,17,100.0,2023-2024,laliga
iago aspas,Celta Vigo,19,12,149,99,18.9,2023-2024,laliga
ezequiel avila,Osasuna,8,4,79,37,33.3,2023-2024,laliga
ezequiel avila,Betis,3,0,12,9,44.4,2023-2024,laliga
cesar azpilicueta,Atlético Madrid,29,0,11,72,47.7,2023-2024,laliga
iddrisu baba,Almería,29,0,4,123,63.8,2023-2024,laliga
sran babic,Almería,2,0,0,4,75.0,2023-2024,laliga
loic bade,Sevilla,24,1,2,151,66.7,2023-2024,laliga
alex baena,Villarreal,52,8,175,116,40.0,2023-2024,laliga
eric bailly,Villarreal,6,0,0,51,68.2,2023-2024,laliga
cedric bakambu,Betis,4,3,0,4,30.0,2023-2024,laliga
alejandro balde,Barcelona,9,4,37,67,48.0,2023-2024,laliga
