Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
yunis abdelhamid,Reims,49,2,5,263,64.6,2022-2023,ligue-1
himad abdelli,Angers,43,1,35,180,43.9,2022-2023,ligue-1
salis abdul samed,Lens,71,0,10,213,45.2,2022-2023,ligue-1
laurent abergel,Lorient,28,0,6,193,34.8,2022-2023,ligue-1
matthis abline,Auxerre,14,5,6,13,28.6,2022-2023,ligue-1
matthis abline,Rennes,3,1,2,2,20.0,2022-2023,ligue-1
zakaria aboukhlal,Toulouse,41,20,29,130,27.9,2022-2023,ligue-1
mohamed achi,Nantes,2,0,1,2,,2022-2023,ligue-1
martin adeline,Reims,5,0,0,11,54.5,2022-2023,ligue-1
emmanuel agbadou,Reims,29,0,2,248,62.5,2022-2023,ligue-1
lucien agoume,Troyes,30,1,9,84,63.3,2022-2023,ligue-1
ruben aguilar,Monaco,15,1,39,80,46.2,2022-2023,ligue-1
amar ahmed,Troyes,1,0,0,2,0.0,2022-2023,ligue-1
jeaneudes aholou,Strasbourg,39,1,5,91,59.1,2022-2023,ligue-1
ludovic ajorque,Strasbourg,14,1,0,21,60.2,2022-2023,ligue-1
maghnes akliouche,Monaco,7,1,10,23,25.0,2022-2023,ligue-1
dogan alemdar,Rennes,0,0,0,6,100.0,2022-2023,ligue-1
jim allevinah,Clermont Foot,22,1,65,153,41.4,2022-2023,ligue-1
mickael alphonse,Ajaccio,19,0,27,89,54.2,2022-2023,ligue-1
ibrahim amadou,Angers,4,0,1,29,54.5,2022-2023,ligue-1
ayoub amraoui,Nice,5,0,14,12,0.0,2022-2023,ligue-1
benjamin andre,Lille,57,1,14,278,59.9,2022-2023,ligue-1
komnen andric,Clermont Foot,16,7,1,37,43.3,2022-2023,ligue-1
houssem aouar,Lyon,7,0,6,35,60.0,2022-2023,ligue-1
adil aouchiche,Lorient,4,0,17,14,0.0,2022-2023,ligue-1
dennis appiah,Nantes,16,1,21,50,50.0,2022-2023,ligue-1
stredair appuah,Nantes,0,0,2,5,25.0,2022-2023,ligue-1
tairyk arconte,Brest,1,1,1,3,50.0,2022-2023,ligue-1
mohamed el arouch,Lyon,0,0,1,1,,2022-2023,ligue-1
lorenz assignon,Rennes,4,0,4,19,66.7,2022-2023,ligue-1
youcef atal,Nice,9,3,40,51,56.3,2022-2023,ligue-1
valentin atangana edoa,Reims,7,2,1,10,100.0,2022-2023,ligue-1
mathias autret,Auxerre,7,2,65,73,27.8,2022-2023,ligue-1
cedric avinel,Ajaccio,12,0,0,93,71.7,2022-2023,ligue-1
loic bade,Rennes,3,0,0,4,50.0,2022-2023,ligue-1
benoit badiashile,Monaco,10,0,0,67,75.0,2022-2023,ligue-1
eric bailly,Marseille,10,0,0,42,50.0,2022-2023,ligue-1
denys bain,Auxerre,2,0,0,5,75.0,2022-2023,ligue-1
brandon baiye,Clermont Foot,0,0,0,2,0.0,2022-2023,ligue-1
cedric bakambu,Marseille,2,0,1,5,57.1,2022-2023,ligue-1
thierno balde,Troyes,8,2,37,143,25.9,2022-2023,ligue-1
carlos baleba,Lille,13,0,1,38,46.7,2022-2023,ligue-1
leonardo balerdi,Marseille,53,0,6,204,63.1,2022-2023,ligue-1
folarin balogun,Reims,38,29,23,86,19.7,2022-2023,ligue-1
abdoulaye bamba,Angers,10,4,19,68,54.8,2022-2023,ligue-1
jonathan bamba,Lille,33,12,79,200,36.4,2022-2023,ligue-1
bradley barcola,Lyon,24,7,21,60,33.3,2022-2023,ligue-1
melvin bard,Nice,30,2,70,180,58.9,2022-2023,ligue-1
ross barkley,Nice,14,1,46,58,25.0,2022-2023,ligue-1
mickael barreto,Ajaccio,20,0,76,100,56.3,2022-2023,ligue-1
cyrille bayala,Ajaccio,29,7,44,150,41.8,2022-2023,ligue-1
yanis begraoui,Toulouse,0,1,0,3,,2022-2023,ligue-1
alexis beka beka,Nice,11,0,17,44,42.9,2022-2023,ligue-1
jeremie bela,Clermont Foot,7,0,34,29,100.0,2022-2023,ligue-1
reda belahyane,Nice,5,0,0,23,,2022-2023,ligue-1
youcef belaili,Ajaccio,25,4,42,75,43.8,2022-2023,ligue-1
youcef belaili,Brest,11,2,21,19,66.7,2022-2023,ligue-1
haris belkebla,Brest,33,0,11,197,40.0,2022-2023,ligue-1
jeanricner bellegarde,Strasbourg,36,1,123,157,40.0,2022-2023,ligue-1
jeanuel belocian,Rennes,6,0,3,28,77.8,2022-2023,ligue-1
eliesse ben seghir,Monaco,17,3,7,49,36.0,2022-2023,ligue-1
salim ben seghir,Marseille,0,0,0,2,,2022-2023,ligue-1
wissam ben yedder,Monaco,18,22,17,58,35.7,2022-2023,ligue-1
nabil bentaleb,Angers,39,0,96,231,61.7,2022-2023,ligue-1
patrick berg,Lens,1,0,0,1,,2022-2023,ligue-1
mitchell van bergen,Reims,10,3,59,56,38.5,2022-2023,ligue-1
quentin bernard,Auxerre,6,0,14,39,27.3,2022-2023,ligue-1
paul bernardoni,Angers,1,0,0,17,85.7,2022-2023,ligue-1
juan bernat,Paris S-G,7,0,16,86,37.5,2022-2023,ligue-1
jason berthomier,Clermont Foot,0,0,0,2,0.0,2022-2023,ligue-1
el bilal toure,Reims,3,0,0,3,33.3,2022-2023,ligue-1
jeanclaude billong,Clermont Foot,0,0,1,3,50.0,2022-2023,ligue-1
veljko birmancevic,Toulouse,5,0,5,25,20.0,2022-2023,ligue-1
marco bizot,Brest,0,0,0,29,83.3,2022-2023,ligue-1
ruben blanco,Marseille,0,0,0,7,100.0,2022-2023,ligue-1
ludovic blas,Nantes,59,4,128,169,34.6,2022-2023,ligue-1
miha blazic,Angers,12,0,1,113,69.8,2022-2023,ligue-1
joaquin blazquez,Brest,0,0,0,0,,2022-2023,ligue-1
myron boadu,Monaco,7,5,1,11,55.0,2022-2023,ligue-1
jerome boateng,Lyon,1,0,1,18,87.5,2022-2023,ligue-1
antonin bobichon,Angers,0,0,2,2,0.0,2022-2023,ligue-1
quentin boisgard,Lorient,3,0,8,9,100.0,2022-2023,ligue-1
neto borges,Clermont Foot,21,5,84,186,61.0,2022-2023,ligue-1
kenjivan boto,Auxerre,2,0,4,8,33.3,2022-2023,ligue-1
kouame botue,Ajaccio,5,0,0,13,37.0,2022-2023,ligue-1
badredine bouanani,Nice,9,1,47,43,12.5,2022-2023,ligue-1
hicham boudaoui,Nice,31,0,23,152,42.9,2022-2023,ligue-1
franci bouebari,Strasbourg,2,0,1,0,50.0,2022-2023,ligue-1
sofiane boufal,Angers,20,2,37,36,10.0,2022-2023,ligue-1
ismael boura,Lens,0,0,7,9,33.3,2022-2023,ligue-1
benjamin bourigeaud,Rennes,35,2,231,176,23.8,2022-2023,ligue-1
bilal brahimi,Nice,3,6,76,31,33.3,2022-2023,ligue-1
lilian brassier,Brest,42,0,33,201,62.2,2022-2023,ligue-1
andreas bruus,Troyes,11,2,67,76,15.8,2022-2023,ligue-1
joe bryan,Nice,4,1,3,16,0.0,2022-2023,ligue-1
adam buksa,Lens,5,0,1,2,16.7,2022-2023,ligue-1
maxime busi,Reims,19,0,27,74,46.7,2022-2023,ligue-1
marcin buka,Nice,0,0,0,3,,2022-2023,ligue-1
remy cabella,Lille,25,2,164,137,37.5,2022-2023,ligue-1
jimmy cabot,Lens,14,1,50,50,50.0,2022-2023,ligue-1
jens cajuste,Reims,33,0,7,101,43.3,2022-2023,ligue-1
duje caletacar,Marseille,0,0,0,0,100.0,2022-2023,ligue-1
mahdi camara,Brest,22,0,15,114,44.2,2022-2023,ligue-1
mohamed camara,Monaco,45,0,4,195,56.0,2022-2023,ligue-1
ousmane camara,Auxerre,2,0,2,2,0.0,2022-2023,ligue-1
ousmane camara,Angers,5,0,0,36,71.4,2022-2023,ligue-1
axel camblan,Brest,4,0,2,5,70.0,2022-2023,ligue-1
pierrick capelle,Angers,32,0,46,107,35.1,2022-2023,ligue-1
maxence caqueret,Lyon,45,4,99,215,43.2,2022-2023,ligue-1
irvin cardona,Brest,5,5,1,7,44.4,2022-2023,ligue-1
igor carioca,Lorient,7,0,14,33,57.1,2022-2023,ligue-1
matis carvalho,Montpellier,0,0,0,0,50.0,2022-2023,ligue-1
jeancharles castelletto,Nantes,28,0,13,175,64.7,2022-2023,ligue-1
yoann cathline,Lorient,11,1,48,62,20.0,2022-2023,ligue-1
maximiliano caufriez,Clermont Foot,29,1,3,142,57.1,2022-2023,ligue-1
fabien centonze,Nantes,14,0,67,108,63.5,2022-2023,ligue-1
florian chabrolle,Ajaccio,2,0,1,22,25.0,2022-2023,ligue-1
el chadaille bitshiabu,Paris S-G,4,0,0,41,60.0,2022-2023,ligue-1
fares chaibi,Toulouse,34,8,57,109,37.5,2022-2023,ligue-1
muhammed cham,Clermont Foot,17,1,73,106,31.6,2022-2023,ligue-1
gaetan charbonnier,Auxerre,3,3,1,6,30.0,2022-2023,ligue-1
brendan chardonnet,Brest,39,0,6,149,68.7,2022-2023,ligue-1
xavier chavalerin,Troyes,31,2,29,139,55.2,2022-2023,ligue-1
ivane chegra,Ajaccio,3,2,4,12,50.0,2022-2023,ligue-1
rayan cherki,Lyon,16,4,91,94,18.2,2022-2023,ligue-1
ilyes cheti,Angers,4,0,5,18,,2022-2023,ligue-1
lucas chevalier,Lille,0,0,0,55,100.0,2022-2023,ligue-1
pedro chirivella,Nantes,20,0,13,126,52.9,2022-2023,ligue-1
joris chotard,Montpellier,33,3,33,188,37.5,2022-2023,ligue-1
yanis cimignani,Ajaccio,5,0,10,12,0.0,2022-2023,ligue-1
souleymane cisse,Clermont Foot,2,0,0,3,100.0,2022-2023,ligue-1
alexis claudemaurice,Nice,0,0,1,1,100.0,2022-2023,ligue-1
alexis claudemaurice,Lens,7,0,7,25,66.7,2022-2023,ligue-1
jonathan clauss,Marseille,25,3,110,180,37.0,2022-2023,ligue-1
marcus coco,Nantes,19,3,24,50,34.0,2022-2023,ligue-1
alexandre coeff,Auxerre,3,0,5,29,46.2,2022-2023,ligue-1
abdu conte,Troyes,12,4,37,71,69.6,2022-2023,ligue-1
sebastien corchia,Nantes,16,1,43,52,54.5,2022-2023,ligue-1
david costa,Lens,14,0,52,67,21.4,2022-2023,ligue-1
logan costa,Toulouse,2,0,0,24,62.5,2022-2023,ligue-1
nuno da costa,Auxerre,37,5,15,67,39.8,2022-2023,ligue-1
benoit costil,Auxerre,0,0,0,18,100.0,2022-2023,ligue-1
mathieu coutadeur,Ajaccio,6,0,5,150,40.9,2022-2023,ligue-1
nicolas cozza,Montpellier,8,3,14,62,47.7,2022-2023,ligue-1
damien da silva,Lyon,8,0,2,13,63.2,2022-2023,ligue-1
andrea dacourt,Nice,0,0,0,0,,2022-2023,ligue-1
colin dagba,Strasbourg,14,1,35,51,37.5,2022-2023,ligue-1
thijs dallinga,Toulouse,35,22,18,41,45.2,2022-2023,ligue-1
flavius daniliuc,Nice,2,0,2,5,100.0,2022-2023,ligue-1
kevin danois,Auxerre,0,0,0,0,,2022-2023,ligue-1
kevin danso,Lens,39,2,0,224,71.9,2022-2023,ligue-1
dante,Nice,38,0,2,261,72.5,2022-2023,ligue-1
achraf dari,Brest,13,2,1,78,59.3,2022-2023,ligue-1
jonathan david,Lille,41,23,7,89,20.0,2022-2023,ligue-1
thibault de smet,Reims,25,3,48,104,81.6,2022-2023,ligue-1
