Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
brenden aaronson,Union Berlin,365,77.3,240,85.8,130,80.8,32,59.4,1.9,2.0,0.1,30,14,3,2023-2024,bundesliga
paxten aaronson,Eint Frankfurt,41,82.0,25,80.0,22,90.9,2,0.0,0.1,0.1,0.9,4,2,0,2023-2024,bundesliga
junior adamu,Freiburg,18,60.0,17,88.2,9,11.1,1,0.0,0.1,0.0,-0.1,0,1,0,2023-2024,bundesliga
sargis adamyan,Köln,132,69.8,94,77.7,64,68.8,9,55.6,2.0,1.1,0.0,16,3,0,2023-2024,bundesliga
karim adeyemi,Dortmund,218,72.9,162,83.3,83,73.5,18,44.4,2.0,1.6,-1.0,9,10,1,2023-2024,bundesliga
amine adli,Leverkusen,367,80.0,291,86.6,110,82.7,18,38.9,2.3,2.9,3.7,19,18,3,2023-2024,bundesliga
felix agu,Werder Bremen,488,72.9,292,84.2,253,80.2,67,40.3,0.6,1.4,-0.6,18,16,7,2023-2024,bundesliga
ludovic ajorque,Mainz 05,318,70.2,241,71.4,145,72.4,19,78.9,1.0,1.6,-1.0,21,3,0,2023-2024,bundesliga
kevin akpoguma,Hoffenheim,611,85.9,302,91.1,307,90.2,79,63.3,0.3,0.4,-0.3,71,2,0,2023-2024,bundesliga
faride alidou,Köln,196,64.3,134,72.4,100,69.0,41,48.8,0.6,0.7,-0.6,14,7,3,2023-2024,bundesliga
skelly alvero,Werder Bremen,59,77.6,35,68.6,27,92.6,9,88.9,0.0,0.0,0.0,3,1,0,2023-2024,bundesliga
nadiem amiri,Mainz 05,567,71.1,291,84.9,263,77.9,201,46.8,4.3,4.1,-0.3,70,17,3,2023-2024,bundesliga
nadiem amiri,Leverkusen,92,92.0,72,97.2,19,89.5,1,100.0,0.0,0.1,0.0,8,2,0,2023-2024,bundesliga
kofi amoako,Wolfsburg,0,0.0,0,,0,,1,0.0,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
robert andrich,Leverkusen,1346,90.1,789,94.9,542,89.9,105,70.5,1.8,2.2,0.2,117,19,3,2023-2024,bundesliga
waldemar anton,Stuttgart,2330,88.8,955,94.7,1342,93.2,260,55.0,1.0,1.5,2.0,163,7,2,2023-2024,bundesliga
christopher antwiadjei,Bochum,274,60.4,187,82.4,143,55.9,80,38.8,3.5,3.0,-1.5,11,15,7,2023-2024,bundesliga
asaf arania,Darmstadt 98,4,100.0,3,100.0,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
maximilian arnold,Wolfsburg,1285,81.2,549,90.5,664,88.9,316,55.4,3.9,4.4,-2.9,151,28,11,2023-2024,bundesliga
