Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
max aarons,Valencia,47,71.2,30,80.0,30,70.0,4,25.0,0.0,0.0,0.0,2,0,0,2024-2025,laliga
rodrigo abajas,Valencia,17,58.6,14,78.6,7,57.1,7,28.6,0.0,0.0,0.0,0,0,0,2024-2025,laliga
abel,Osasuna,776,72.5,439,87.7,401,78.6,158,36.7,1.0,1.5,-1.0,57,18,13,2024-2025,laliga
nabil aberdin,Getafe,36,59.0,20,60.0,19,63.2,13,61.5,0.0,0.1,0.0,7,2,0,2024-2025,laliga
abdel abqar,Alavés,719,76.6,194,92.8,460,91.5,258,44.2,0.3,0.4,0.7,67,10,2,2024-2025,laliga
akor adams,Sevilla,20,74.1,12,75.0,9,77.8,5,60.0,0.0,0.0,0.0,3,1,0,2024-2025,laliga
adrian,Betis,474,76.6,76,97.4,268,98.9,269,49.8,0.0,0.0,0.0,4,0,0,2024-2025,laliga
julen agirrezabala,Athletic Club,281,68.4,46,100.0,165,100.0,196,35.7,0.0,0.0,0.0,1,0,0,2024-2025,laliga
lucien agoume,Sevilla,1007,81.5,601,90.7,425,84.0,142,55.6,2.5,1.6,0.5,126,19,3,2024-2025,laliga
alvaro aguado,Espanyol,193,77.8,81,77.8,116,85.3,40,70.0,0.6,0.4,0.4,31,8,3,2024-2025,laliga
lorenzo aguado,Real Madrid,1,100.0,0,,0,,1,100.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
nayef aguerd,Real Sociedad,1213,87.3,462,94.8,662,93.4,229,62.9,0.1,0.3,-0.1,87,3,1,2024-2025,laliga
joseph aidoo,Valladolid,337,89.2,87,92.0,226,95.1,63,65.1,0.0,0.1,0.0,9,2,0,2024-2025,laliga
joseph aidoo,Celta Vigo,6,85.7,1,100.0,5,100.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
ilias akhomach,Villarreal,136,73.5,88,86.4,63,73.0,14,57.1,1.0,1.7,-1.0,5,8,2,2024-2025,laliga
david alaba,Real Madrid,206,90.4,90,100.0,98,98.0,32,46.9,0.1,0.1,-0.1,11,1,0,2024-2025,laliga
ibrahim alani,Valladolid,71,83.5,25,92.0,39,94.9,15,53.3,0.0,0.0,0.0,7,0,0,2024-2025,laliga
raul albiol,Villarreal,727,89.4,225,94.7,463,93.5,115,66.1,0.0,0.1,0.0,26,1,0,2024-2025,laliga
omar alderete,Getafe,724,65.5,235,81.3,464,79.1,366,44.5,0.9,0.9,-0.9,132,15,2,2024-2025,laliga
carles alena,Getafe,93,79.5,55,81.8,44,86.4,11,54.5,0.1,0.1,-0.1,9,3,1,2024-2025,laliga
carles alena,Alavés,359,76.1,221,88.7,155,78.7,48,52.1,1.3,1.3,0.7,35,14,2,2024-2025,laliga
alfon,Celta Vigo,263,69.8,165,88.5,132,71.2,27,40.7,2.6,2.1,-0.6,8,7,1,2024-2025,laliga
tadeo allende,Celta Vigo,1,33.3,2,50.0,0,,0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,798,84.3,444,93.5,318,87.1,123,62.6,3.2,4.9,0.8,96,24,5,2024-2025,laliga
iker almena,Girona,23,71.9,14,92.9,14,71.4,1,0.0,0.7,0.4,0.3,0,0,0,2024-2025,laliga
marcos alonso,Celta Vigo,2139,89.2,902,94.5,1140,94.6,288,62.5,1.3,2.0,-1.3,226,21,6,2024-2025,laliga
adria altimira,Leganés,483,78.5,292,87.3,237,78.5,61,55.7,0.5,0.7,-0.5,34,10,2,2024-2025,laliga
sergi altimira,Betis,1123,89.3,608,92.1,480,92.3,101,81.2,1.7,1.2,-0.7,91,13,0,2024-2025,laliga
hugo alvarez,Celta Vigo,799,78.9,492,87.2,385,82.9,57,56.1,1.1,2.1,1.9,35,15,3,2024-2025,laliga
julian alvarez,Atlético Madrid,717,74.2,486,83.1,267,80.1,114,46.5,5.3,5.3,-1.3,45,38,5,2024-2025,laliga
yeray alvarez,Athletic Club,994,84.1,316,89.6,651,93.4,193,51.8,0.2,0.4,-0.2,80,3,2,2024-2025,laliga
selim amallah,Valladolid,318,78.3,177,91.0,118,83.9,76,59.2,1.1,1.1,-0.1,42,11,0,2024-2025,laliga
amath,Valladolid,86,76.8,53,92.5,32,81.3,15,53.3,0.5,0.5,0.5,4,4,2,2024-2025,laliga
marcos andre,Valladolid,138,65.7,103,76.7,65,64.6,18,77.8,0.8,0.3,1.2,13,3,0,2024-2025,laliga
leandro antonetti,Sevilla,2,50.0,2,100.0,1,0.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
antoniu,Espanyol,148,67.0,109,81.7,67,70.1,14,28.6,1.1,1.1,-0.1,10,7,3,2024-2025,laliga
antony,Betis,622,81.0,452,88.5,201,77.1,53,54.7,3.5,2.9,-1.5,34,43,7,2024-2025,laliga
anuar,Valladolid,411,81.4,249,87.1,191,82.7,31,54.8,1.2,0.7,-1.2,19,3,2,2024-2025,laliga
aritz arambarri,Leganés,49,73.1,13,84.6,41,82.9,12,33.3,0.0,0.0,0.0,1,0,0,2024-2025,laliga
mauro arambarri,Getafe,586,73.3,336,79.8,302,80.8,117,49.6,0.6,0.6,-0.6,74,4,1,2024-2025,laliga
jon aramburu,Real Sociedad,1190,78.4,711,89.9,593,77.6,122,40.2,1.1,1.4,-0.1,82,11,6,2024-2025,laliga
ronald araujo,Barcelona,666,91.9,234,93.2,406,95.6,70,71.4,0.4,0.2,0.6,51,3,0,2024-2025,laliga
adu ares,Athletic Club,5,55.6,5,60.0,3,66.7,0,,0.0,0.0,0.0,0,1,0,2024-2025,laliga
jesus areso,Osasuna,1139,72.4,624,88.3,631,72.9,219,46.6,3.5,3.1,-0.5,96,50,30,2024-2025,laliga
david arguelles,Getafe,3,60.0,4,75.0,0,,1,0.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
jose arnaiz,Osasuna,52,67.5,36,88.9,15,53.3,15,40.0,0.1,0.4,-0.1,2,4,3,2024-2025,laliga
sergio arribas,Betis,37,68.5,23,95.7,20,60.0,5,40.0,0.0,0.0,0.0,1,0,0,2024-2025,laliga
takuma asano,Mallorca,148,67.6,110,84.5,67,71.6,17,23.5,0.7,0.6,0.3,8,3,2,2024-2025,laliga
raul asencio,Real Madrid,927,93.8,429,96.5,460,96.3,82,69.5,0.6,0.4,0.4,47,3,0,2024-2025,laliga
iago aspas,Celta Vigo,661,75.4,429,81.4,253,79.4,105,69.5,4.6,3.9,0.4,74,35,4,2024-2025,laliga
yaser asprilla,Girona,471,72.1,257,85.2,239,77.0,115,53.9,2.8,3.4,-1.8,35,38,9,2024-2025,laliga
