Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
max aarons,Bournemouth,450,77.5,248,88.7,235,80.0,63,54.0,0.8,0.9,0.2,25,13,2,2023-2024,premier-league
joshua acheampong,Chelsea,1,50.0,0,,1,100.0,1,0.0,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
tyler adams,Bournemouth,59,83.1,39,89.7,24,75.0,8,75.0,0.1,0.0,-0.1,9,0,0,2023-2024,premier-league
tosin adarabioyo,Fulham,1028,84.5,307,90.2,699,89.7,177,65.0,0.1,0.3,-0.1,47,2,0,2023-2024,premier-league
elijah adebayo,Luton Town,144,70.6,122,77.0,60,68.3,6,50.0,0.7,0.4,-0.7,9,4,0,2023-2024,premier-league
simon adingra,Brighton,634,75.5,491,83.9,245,75.5,38,52.6,3.7,3.5,-2.7,17,33,11,2023-2024,premier-league
nayef aguerd,West Ham,943,80.1,360,93.1,493,91.7,297,48.1,0.3,0.4,-0.3,74,2,0,2023-2024,premier-league
brandon aguilera,Nott'ham Forest,4,50.0,6,50.0,2,50.0,0,,0.0,0.0,0.0,1,0,0,2023-2024,premier-league
naouirou ahamada,Crystal Palace,150,80.2,89,85.4,69,85.5,14,71.4,0.0,0.1,0.0,12,0,0,2023-2024,premier-league
anel ahmedhodzic,Sheffield Utd,749,75.4,386,86.5,425,81.9,137,39.4,0.8,0.6,-0.8,41,3,1,2023-2024,premier-league
ola aina,Nott'ham Forest,605,75.3,375,87.7,284,76.4,99,46.5,0.9,1.0,0.1,58,13,6,2023-2024,premier-league
rayan aitnouri,Wolves,1005,84.5,688,91.1,344,86.3,72,52.8,2.4,1.7,-1.4,60,13,4,2023-2024,premier-league
kristoffer ajer,Brentford,610,75.3,337,86.4,332,79.2,103,43.7,2.3,2.7,-1.3,56,10,3,2023-2024,premier-league
manuel akanji,Manchester City,2180,93.4,1136,96.0,975,94.7,163,77.3,0.5,1.8,-0.5,214,15,2,2023-2024,premier-league
nathan ake,Manchester City,1716,92.1,921,95.8,796,94.2,85,50.6,1.2,1.1,0.8,148,5,1,2023-2024,premier-league
thiago alcantara,Liverpool,7,70.0,3,100.0,4,75.0,2,50.0,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
trent alexanderarnold,Liverpool,1553,75.3,734,92.1,762,79.7,495,49.3,7.2,6.1,-3.2,202,57,18,2023-2024,premier-league
alisson,Liverpool,985,86.3,239,99.6,607,98.4,284,51.8,0.0,0.0,0.0,8,0,0,2023-2024,premier-league
miguel almiron,Newcastle Utd,668,83.4,456,90.1,250,83.2,38,55.3,2.6,2.4,-1.6,38,21,3,2023-2024,premier-league
edson alvarez,West Ham,1033,85.6,573,90.4,445,90.1,132,65.9,0.6,0.8,0.4,87,6,1,2023-2024,premier-league
julian alvarez,Manchester City,1011,80.4,679,90.6,328,82.9,145,40.0,6.4,6.3,1.6,43,41,4,2023-2024,premier-league
zeki amdouni,Burnley,396,79.2,265,81.5,161,87.6,35,68.6,1.4,1.3,-0.4,28,9,0,2023-2024,premier-league
sofyan amrabat,Manchester Utd,578,87.0,274,89.1,296,89.2,67,83.6,0.3,0.4,-0.3,62,6,1,2023-2024,premier-league
joachim andersen,Crystal Palace,1731,78.4,559,87.3,1041,91.3,547,51.4,2.8,2.3,0.2,171,17,8,2023-2024,premier-league
elliot anderson,Newcastle Utd,370,80.4,274,88.0,130,83.1,27,29.6,1.9,1.2,0.1,36,12,0,2023-2024,premier-league
jaidon anthony,Bournemouth,30,66.7,20,85.0,14,71.4,6,16.7,0.0,0.0,0.0,3,1,0,2023-2024,premier-league
michail antonio,West Ham,180,58.4,154,72.1,90,53.3,26,50.0,0.9,1.3,1.1,13,7,2,2023-2024,premier-league
antony,Manchester Utd,468,78.7,348,84.8,153,85.0,30,53.3,2.8,1.9,-1.8,26,29,3,2023-2024,premier-league
oliver arblaster,Sheffield Utd,351,79.6,201,86.6,167,88.0,50,52.0,0.8,0.9,-0.8,37,6,0,2023-2024,premier-league
cameron archer,Sheffield Utd,266,80.1,207,82.6,69,92.8,9,55.6,2.8,1.4,-1.8,11,7,2,2023-2024,premier-league
cameron archer,Aston Villa,5,83.3,6,83.3,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
alphonse areola,West Ham,562,64.8,76,97.4,246,99.6,538,44.8,0.0,0.0,0.0,8,0,0,2023-2024,premier-league
lorenz assignon,Burnley,352,72.6,225,80.9,194,78.4,31,32.3,2.6,1.6,-0.6,16,10,5,2023-2024,premier-league
serge aurier,Nott'ham Forest,348,77.7,225,84.9,156,83.3,45,37.8,0.5,0.5,1.5,31,9,4,2023-2024,premier-league
taiwo awoniyi,Nott'ham Forest,127,72.6,111,79.3,47,72.3,5,60.0,1.7,0.9,1.3,6,3,0,2023-2024,premier-league
jordan ayew,Crystal Palace,681,74.0,478,87.2,285,74.7,74,32.4,4.2,2.7,2.8,43,26,10,2023-2024,premier-league
benoit badiashile,Chelsea,1065,90.8,463,95.5,584,93.0,106,67.0,1.5,0.9,-0.5,48,4,0,2023-2024,premier-league
leon bailey,Aston Villa,573,72.5,391,83.6,242,76.0,82,58.5,9.2,7.3,-0.2,38,51,7,2023-2024,premier-league
stefan bajcetic,Liverpool,7,70.0,3,100.0,6,66.7,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
george baldock,Sheffield Utd,291,73.3,191,88.5,124,80.6,52,34.6,0.8,0.6,0.2,18,11,4,2023-2024,premier-league
carlos baleba,Brighton,713,92.0,429,93.7,278,96.0,30,80.0,0.3,0.3,-0.3,38,3,0,2023-2024,premier-league
fode ballotoure,Fulham,56,71.8,30,76.7,33,78.8,8,75.0,0.0,0.0,0.0,3,0,0,2023-2024,premier-league
shandon baptiste,Brentford,66,73.3,39,84.6,28,89.3,15,46.7,0.2,0.4,0.8,7,3,2,2023-2024,premier-league
valentin barco,Brighton,179,76.8,131,91.6,64,73.4,23,30.4,0.2,0.4,-0.2,10,3,0,2023-2024,premier-league
ross barkley,Luton Town,1218,82.6,611,90.0,533,88.7,226,65.0,3.7,2.7,0.3,138,27,1,2023-2024,premier-league
harvey barnes,Newcastle Utd,208,76.5,147,87.1,84,81.0,16,43.8,3.2,1.9,-0.2,11,17,3,2023-2024,premier-league
chris basham,Sheffield Utd,103,74.6,70,88.6,45,68.9,14,42.9,0.3,0.1,-0.3,7,2,0,2023-2024,premier-league
calvin bassey,Fulham,1440,86.0,514,94.0,855,92.0,246,57.3,0.0,0.2,0.0,80,2,0,2023-2024,premier-league
owen beck,Liverpool,3,75.0,3,66.7,1,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
donny van de beek,Manchester Utd,1,100.0,1,100.0,0,,0,,0.1,0.0,-0.1,0,0,0,2023-2024,premier-league
amarii bell,Luton Town,645,77.2,372,87.1,315,85.7,108,40.7,0.5,0.4,-0.5,63,8,0,2023-2024,premier-league
jeanricner bellegarde,Wolves,241,76.8,161,89.4,98,77.6,29,48.3,1.0,0.8,0.0,17,7,0,2023-2024,premier-league
anis ben slimane,Sheffield Utd,92,66.2,70,67.1,43,81.4,5,80.0,0.3,0.1,-0.3,6,2,0,2023-2024,premier-league
said benrahma,West Ham,193,75.1,138,84.1,76,73.7,15,53.3,1.4,0.8,-0.4,11,11,2,2023-2024,premier-league
rodrigo bentancur,Tottenham,674,84.3,426,90.1,282,86.5,41,70.7,0.5,1.1,0.5,69,11,1,2023-2024,premier-league
daniel bentley,Wolves,96,66.7,30,100.0,37,100.0,76,36.8,0.0,0.0,0.0,2,0,0,2023-2024,premier-league
johann berg gumundsson,Burnley,396,72.8,184,89.1,203,78.3,124,49.2,2.7,2.5,0.3,36,18,6,2023-2024,premier-league
sander berge,Burnley,1376,88.1,637,89.2,711,92.5,154,81.2,2.4,1.6,-0.4,129,16,1,2023-2024,premier-league
luke berry,Luton Town,64,64.6,45,84.4,32,56.3,15,40.0,0.3,0.1,0.7,5,0,0,2023-2024,premier-league
beto,Everton,108,60.0,98,67.3,53,64.2,7,71.4,0.9,0.3,-0.9,7,6,0,2023-2024,premier-league
jordan beyer,Burnley,766,89.0,298,90.6,446,94.4,92,69.6,0.3,0.2,0.7,28,1,0,2023-2024,premier-league
philip billing,Bournemouth,404,75.2,279,83.2,153,79.1,56,55.4,3.2,2.1,-1.2,39,15,4,2023-2024,premier-league
yves bissouma,Tottenham,1689,91.7,1006,94.2,651,93.2,84,81.0,0.4,1.7,-0.4,156,12,0,2023-2024,premier-league
benicio boaitey,Brighton,13,65.0,11,72.7,8,62.5,0,,0.1,0.1,-0.1,0,0,0,2023-2024,premier-league
oscar bobb,Manchester City,155,87.6,107,94.4,51,86.3,4,100.0,1.2,1.3,-0.2,3,19,1,2023-2024,premier-league
jayden bogle,Sheffield Utd,684,70.6,473,85.6,301,71.8,124,41.1,1.0,1.2,-1.0,45,20,5,2023-2024,premier-league
willy boly,Nott'ham Forest,502,74.8,229,87.8,303,78.5,110,44.5,1.3,0.8,-0.3,34,8,0,2023-2024,premier-league
sven botman,Newcastle Utd,921,90.6,382,93.5,489,93.9,132,74.2,1.0,0.6,1.0,38,1,0,2023-2024,premier-league
jarrod bowen,West Ham,484,68.9,341,83.3,188,75.0,71,47.9,5.5,4.8,0.5,29,13,3,2023-2024,premier-league
conor bradley,Liverpool,419,79.1,275,86.5,190,78.4,35,57.1,1.5,1.2,1.5,27,13,3,2023-2024,premier-league
jarrad branthwaite,Everton,1105,79.8,507,86.8,612,86.8,212,54.2,1.0,1.3,-1.0,60,1,0,2023-2024,premier-league
ben brereton,Sheffield Utd,201,75.6,151,85.4,76,76.3,16,68.8,1.5,1.1,-0.5,22,12,2,2023-2024,premier-league
rhian brewster,Sheffield Utd,52,68.4,41,85.4,22,45.5,7,57.1,0.1,0.1,-0.1,6,1,0,2023-2024,premier-league
armando broja,Chelsea,83,88.3,64,93.8,18,83.3,2,50.0,0.2,0.3,-0.2,2,2,0,2023-2024,premier-league
armando broja,Fulham,19,70.4,19,78.9,5,80.0,0,,0.4,0.0,0.6,4,1,0,2023-2024,premier-league
andre brooks,Sheffield Utd,196,75.4,131,83.2,97,82.5,19,31.6,0.1,0.3,-0.1,11,5,0,2023-2024,premier-league
david brooks,Bournemouth,95,72.0,55,85.5,42,81.0,23,43.5,1.0,0.5,0.0,14,12,3,2023-2024,premier-league
jacob brown,Luton Town,136,55.1,127,71.7,56,62.5,24,25.0,0.7,0.4,-0.7,6,3,1,2023-2024,premier-league
josh brownhill,Burnley,850,76.9,532,84.8,393,79.1,114,48.2,2.1,2.1,-0.1,71,16,0,2023-2024,premier-league
jacob bruun larsen,Burnley,378,71.9,257,80.9,162,74.1,64,60.9,1.5,1.8,-1.5,12,13,2,2023-2024,premier-league
hugo bueno,Wolves,318,78.3,237,89.0,117,78.6,27,40.7,0.8,0.7,-0.8,11,8,8,2023-2024,premier-league
santiago bueno,Wolves,426,88.8,192,92.2,237,94.1,37,48.6,0.1,0.0,-0.1,16,0,0,2023-2024,premier-league
facundo buonanotte,Brighton,404,84.5,306,88.2,109,87.2,15,60.0,1.8,1.2,-0.8,26,14,1,2023-2024,premier-league
reece burke,Luton Town,547,76.1,247,81.0,325,86.2,120,47.5,1.4,0.9,2.6,58,9,3,2023-2024,premier-league
dan burn,Newcastle Utd,1351,81.0,702,86.3,788,85.8,111,48.6,1.1,1.1,0.9,67,7,3,2023-2024,premier-league
mason burstow,Chelsea,3,75.0,3,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
moises caicedo,Chelsea,1907,90.0,1120,93.4,726,92.7,162,76.5,2.6,2.0,0.4,176,20,0,2023-2024,premier-league
tom cairney,Fulham,1126,88.5,644,93.6,454,93.0,109,62.4,2.3,2.5,1.7,84,25,4,2023-2024,premier-league
dominic calvertlewin,Everton,248,56.4,271,64.6,99,49.5,12,50.0,3.1,1.6,-1.1,13,12,0,2023-2024,premier-league
thomas cannon,Everton,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
diego carlos,Aston Villa,1184,88.4,378,94.4,749,95.3,199,53.8,0.1,0.4,-0.1,72,4,0,2023-2024,premier-league
cesare casadei,Chelsea,53,81.5,34,85.3,22,77.3,4,100.0,0.1,0.1,-0.1,2,0,0,2023-2024,premier-league
casemiro,Manchester Utd,1165,81.8,596,89.9,568,86.1,187,56.1,1.0,1.2,1.0,124,18,3,2023-2024,premier-league
kaelan casey,West Ham,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
matty cash,Aston Villa,985,80.4,545,89.9,501,82.8,131,48.1,2.3,2.5,-0.3,69,19,8,2023-2024,premier-league
timothy castagne,Fulham,1350,81.2,794,88.8,595,86.4,162,56.2,1.9,1.8,1.1,74,17,8,2023-2024,premier-league
jonny castro,Wolves,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
trevoh chalobah,Chelsea,700,89.4,302,92.1,397,95.0,70,50.0,0.1,0.4,-0.1,30,2,0,2023-2024,premier-league
calum chambers,Aston Villa,100,88.5,50,94.0,47,95.7,10,60.0,0.1,0.0,0.9,2,0,0,2023-2024,premier-league
youssef chermiti,Everton,35,60.3,32,59.4,19,63.2,1,100.0,0.8,0.3,-0.8,1,4,0,2023-2024,premier-league
ben chilwell,Chelsea,373,75.4,259,88.8,143,78.3,48,37.5,2.2,1.8,-1.2,29,2,2,2023-2024,premier-league
tawanda chirewa,Wolves,46,79.3,31,93.5,18,77.8,3,66.7,0.0,0.1,0.0,3,3,2,2023-2024,premier-league
leon chiwome,Wolves,19,86.4,13,92.3,6,100.0,1,100.0,0.0,0.0,0.0,2,0,0,2023-2024,premier-league
tahith chong,Luton Town,428,77.8,257,88.3,189,78.8,54,59.3,0.5,1.4,-0.5,35,20,8,2023-2024,premier-league
ryan christie,Bournemouth,988,76.0,467,85.4,510,83.3,253,56.5,5.4,5.4,-0.4,118,42,7,2023-2024,premier-league
carney chukwuemeka,Chelsea,115,85.8,88,93.2,31,83.9,5,80.0,0.3,0.3,0.7,4,6,0,2023-2024,premier-league
bobby clark,Liverpool,38,77.6,29,79.3,12,91.7,2,50.0,0.0,0.0,0.0,3,0,0,2023-2024,premier-league
jordan clark,Luton Town,369,71.9,231,77.9,173,78.6,63,52.4,1.3,1.2,-0.3,19,18,4,2023-2024,premier-league
nathaniel clyne,Crystal Palace,495,82.5,288,92.4,224,85.3,54,51.9,0.2,0.2,-0.2,33,4,2,2023-2024,premier-league
seamus coleman,Everton,207,67.6,132,84.1,103,73.8,51,31.4,1.0,0.7,-1.0,15,4,2,2023-2024,premier-league
nathan collins,Brentford,1261,81.3,528,87.5,757,87.2,214,54.2,2.2,1.1,-1.2,78,6,0,2023-2024,premier-league
levi colwill,Chelsea,965,83.0,495,89.7,508,89.8,117,43.6,1.2,0.5,-0.2,82,6,0,2023-2024,premier-league
lewis cook,Bournemouth,1135,76.3,539,85.0,616,87.5,257,43.6,4.3,3.0,-1.3,138,20,4,2023-2024,premier-league
jack cork,Burnley,25,75.8,16,81.3,10,100.0,3,33.3,0.0,0.0,0.0,5,0,0,2023-2024,premier-league
maxwel cornet,West Ham,36,73.5,34,79.4,8,75.0,1,0.0,0.2,0.0,-0.2,0,0,0,2023-2024,premier-league
vladimir coufal,West Ham,1154,69.3,669,89.1,627,71.5,254,33.1,4.0,3.0,3.0,98,38,21,2023-2024,premier-league
philippe coutinho,Aston Villa,20,83.3,14,78.6,9,88.9,0,,0.0,0.0,0.0,4,0,0,2023-2024,premier-league
aaron cresswell,West Ham,254,82.5,155,91.6,96,83.3,48,52.1,0.4,0.3,-0.4,15,4,0,2023-2024,premier-league
marc cucurella,Chelsea,1036,86.6,645,92.2,430,89.1,65,49.2,1.1,1.2,0.9,51,7,4,2023-2024,premier-league
josh cullen,Burnley,1173,85.4,667,92.5,521,89.4,127,54.3,1.8,2.3,1.2,119,17,3,2023-2024,premier-league
matheus cunha,Wolves,658,79.2,476,86.3,229,79.5,57,56.1,3.2,3.0,3.8,56,31,1,2023-2024,premier-league
sam curtis,Sheffield Utd,6,60.0,4,75.0,3,100.0,2,0.0,0.0,0.0,0.0,0,0,0,2023-2024,premier-league
mahmoud dahoud,Brighton,284,86.6,176,96.0,99,84.8,25,64.0,0.9,0.4,0.1,21,1,1,2023-2024,premier-league
ameen aldakhil,Burnley,537,84.3,220,94.5,321,87.2,77,54.5,0.1,0.6,-0.1,13,2,0,2023-2024,premier-league
diogo dalot,Manchester Utd,1486,81.2,817,89.2,701,81.9,213,65.3,2.9,2.4,0.1,107,31,16,2023-2024,premier-league
mikkel damsgaard,Brentford,300,69.4,194,77.8,151,76.8,55,47.3,1.4,0.9,0.6,50,11,1,2023-2024,premier-league
danilo,Nott'ham Forest,588,77.7,297,85.9,285,86.3,123,56.9,1.5,0.7,0.5,74,14,0,2023-2024,premier-league
arnaut danjuma,Everton,102,67.1,69,82.6,54,68.5,7,28.6,1.1,0.4,-1.1,6,2,0,2023-2024,premier-league
jayden danns,Liverpool,5,71.4,4,75.0,3,66.7,0,,0.0,0.0,0.0,0,1,0,2023-2024,premier-league
josh dasilva,Brentford,10,52.6,7,71.4,7,71.4,2,0.0,0.2,0.2,-0.2,0,0,0,2023-2024,premier-league
david datro fofana,Burnley,117,67.6,94,71.3,49,73.5,6,83.3,1.8,0.3,-0.8,9,5,1,2023-2024,premier-league
ben davies,Tottenham,766,90.1,324,93.5,413,93.9,81,74.1,0.4,0.6,-0.4,80,4,0,2023-2024,premier-league
tom davies,Sheffield Utd,68,68.7,50,82.0,27,74.1,7,28.6,0.1,0.2,-0.1,6,1,0,2023-2024,premier-league
craig dawson,Wolves,1104,86.5,333,88.9,679,94.3,237,66.7,1.4,0.6,-0.4,52,2,0,2023-2024,premier-league
kevin de bruyne,Manchester City,732,75.4,481,88.6,293,76.1,134,49.3,11.5,7.1,-1.5,67,56,12,2023-2024,premier-league
bobby de cordovareid,Fulham,364,74.7,240,87.9,157,71.3,37,45.9,1.8,1.2,0.2,25,17,5,2023-2024,premier-league
