Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
nabil aberdin,Getafe,37,49,1,1,87,0,,0,,183,0,0,1,1,2023-2024,laliga
abner,Betis,344,405,226,28,966,13,53.8,5,38.5,949,10,5,18,11,2023-2024,laliga
abdel abqar,Alavés,570,422,42,21,1032,5,60.0,1,20.0,1418,6,0,15,1,2023-2024,laliga
marcos acuna,Sevilla,270,476,253,10,984,21,47.6,8,38.1,1224,20,4,20,16,2023-2024,laliga
julen agirrezabala,Athletic Club,104,0,0,0,104,0,,0,,192,0,0,0,0,2023-2024,laliga
lucien agoume,Sevilla,108,245,83,12,430,8,87.5,1,12.5,590,3,2,4,4,2023-2024,laliga
joseph aidoo,Celta Vigo,132,107,6,2,240,2,100.0,0,0.0,322,0,0,1,2,2023-2024,laliga
ilias akhomach,Villarreal,89,271,403,70,745,128,44.5,59,46.1,2006,47,27,49,36,2023-2024,laliga
sergio akieme,Almería,338,420,216,20,959,40,52.5,18,45.0,1141,23,2,15,16,2023-2024,laliga
paul akouokou,Betis,10,14,3,0,26,0,,0,,8,0,0,0,0,2023-2024,laliga
david alaba,Real Madrid,474,457,80,11,1004,0,,0,,2011,11,0,5,1,2023-2024,laliga
raul albiol,Villarreal,853,605,26,14,1476,0,,0,,2552,1,0,10,3,2023-2024,laliga
ruben alcaraz,Cádiz,470,1193,328,28,1968,23,43.5,11,47.8,1909,27,3,28,27,2023-2024,laliga
omar alderete,Getafe,591,667,73,32,1316,13,69.2,3,23.1,2701,13,0,8,5,2023-2024,laliga
ivan alejo,Cádiz,139,241,335,21,701,61,39.3,31,50.8,1399,41,1,54,28,2023-2024,laliga
carles alena,Getafe,74,251,223,22,546,28,21.4,20,71.4,402,14,5,25,18,2023-2024,laliga
mohamed ali cho,Real Sociedad,10,47,53,9,106,20,35.0,9,45.0,363,11,4,10,2,2023-2024,laliga
tadeo allende,Celta Vigo,19,66,60,11,143,8,37.5,4,50.0,223,4,1,8,8,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,72,245,203,16,514,29,44.8,12,41.4,861,27,6,20,17,2023-2024,laliga
marcos alonso,Barcelona,59,100,89,7,246,6,50.0,2,33.3,388,10,2,2,3,2023-2024,laliga
adria altimira,Villarreal,200,278,82,2,552,16,68.8,4,25.0,644,6,0,7,5,2023-2024,laliga
sergi altimira,Betis,93,236,64,6,391,11,54.5,5,45.5,465,4,0,8,9,2023-2024,laliga
gaston alvarez,Getafe,508,648,178,22,1325,21,42.9,11,52.4,1283,12,0,27,10,2023-2024,laliga
hugo alvarez,Celta Vigo,96,188,263,32,536,29,55.2,11,37.9,1108,15,16,15,13,2023-2024,laliga
yeray alvarez,Athletic Club,344,440,31,7,810,3,66.7,1,33.3,1856,9,1,8,0,2023-2024,laliga
selim amallah,Valencia,48,133,117,16,293,42,42.9,15,35.7,358,13,2,29,15,2023-2024,laliga
amath,Mallorca,32,79,90,21,198,25,32.0,15,60.0,478,8,9,22,8,2023-2024,laliga
miguel angel rubio,Granada,567,381,30,17,975,7,71.4,1,14.3,1586,5,0,10,2,2023-2024,laliga
fabrizio angileri,Getafe,34,52,37,1,121,4,50.0,1,25.0,92,2,0,1,0,2023-2024,laliga
mauro arambarri,Getafe,30,115,44,6,188,6,33.3,4,66.7,214,6,0,5,5,2023-2024,laliga
jon aramburu,Real Sociedad,92,214,91,3,392,7,28.6,4,57.1,347,10,0,6,6,2023-2024,laliga
julian araujo,Las Palmas,306,535,178,14,1012,20,60.0,6,30.0,926,16,3,29,2,2023-2024,laliga
ronald araujo,Barcelona,732,1000,92,34,1811,11,72.7,2,18.2,3750,14,2,14,4,2023-2024,laliga
adu ares,Athletic Club,21,63,70,6,147,24,62.5,7,29.2,361,3,5,8,4,2023-2024,laliga
jesus areso,Osasuna,367,682,643,23,1669,82,53.7,34,41.5,2388,60,8,52,25,2023-2024,laliga
matias arezo,Granada,14,70,45,11,126,1,100.0,0,0.0,182,3,4,6,4,2023-2024,laliga
inigo arguibide,Osasuna,4,3,1,0,8,0,,0,,0,0,0,1,0,2023-2024,laliga
jose arnaiz,Osasuna,37,158,256,30,449,29,37.9,15,51.7,747,20,7,27,24,2023-2024,laliga
sergio arribas,Almería,118,498,411,78,1010,49,32.7,31,63.3,1685,39,12,40,16,2023-2024,laliga
kepa arrizabalaga,Real Madrid,471,3,0,0,474,0,,0,,808,0,0,0,0,2023-2024,laliga
iago aspas,Celta Vigo,99,650,816,137,1541,47,61.7,12,25.5,2527,61,25,52,36,2023-2024,laliga
ezequiel avila,Osasuna,41,183,253,28,474,18,27.8,10,55.6,429,16,5,12,1,2023-2024,laliga
ezequiel avila,Betis,9,47,69,10,125,4,50.0,1,25.0,184,4,1,5,3,2023-2024,laliga
cesar azpilicueta,Atlético Madrid,381,613,179,12,1168,6,16.7,3,50.0,2153,22,3,10,6,2023-2024,laliga
iddrisu baba,Almería,254,521,58,4,822,19,73.7,3,15.8,844,3,0,18,7,2023-2024,laliga
sran babic,Almería,29,38,2,1,69,0,,0,,199,1,0,0,0,2023-2024,laliga
loic bade,Sevilla,920,692,55,24,1648,21,52.4,10,47.6,2358,8,1,12,4,2023-2024,laliga
alex baena,Villarreal,224,650,693,102,1549,53,49.1,24,45.3,2765,58,23,66,33,2023-2024,laliga
eric bailly,Villarreal,282,175,9,3,459,8,87.5,0,0.0,816,2,0,4,3,2023-2024,laliga
cedric bakambu,Betis,3,35,28,11,66,3,33.3,2,66.7,110,2,3,11,4,2023-2024,laliga
alejandro balde,Barcelona,215,394,384,40,979,53,37.7,20,37.7,2213,36,20,32,16,2023-2024,laliga
ivan balliu,Rayo Vallecano,477,797,471,33,1736,20,35.0,10,50.0,1825,29,5,28,11,2023-2024,laliga
jonathan bamba,Celta Vigo,119,457,487,91,1037,106,39.6,53,50.0,2946,48,31,49,24,2023-2024,laliga
leo baptistao,Almería,123,416,267,67,793,28,42.9,14,50.0,1118,21,8,38,17,2023-2024,laliga
kike barja,Osasuna,15,55,98,14,165,22,50.0,8,36.4,357,8,5,17,7,2023-2024,laliga
ander barrenetxea,Real Sociedad,82,307,415,68,794,78,48.7,30,38.5,1479,35,22,55,45,2023-2024,laliga
pablo barrios,Atlético Madrid,239,622,238,15,1085,47,74.5,9,19.1,1661,39,3,40,23,2023-2024,laliga
marc bartra,Betis,86,49,7,4,141,2,100.0,0,0.0,215,3,0,1,2,2023-2024,laliga
augusto batalla,Granada,719,14,2,2,734,3,100.0,0,0.0,1348,0,0,1,0,2023-2024,laliga
bebe,Rayo Vallecano,8,55,88,7,144,22,54.5,9,40.9,390,10,5,10,3,2023-2024,laliga
sheraldo becker,Real Sociedad,13,85,207,42,300,8,50.0,3,37.5,591,9,8,15,5,2023-2024,laliga
hector bellerin,Betis,349,544,286,24,1170,48,35.4,30,62.5,1735,25,7,26,17,2023-2024,laliga
jude bellingham,Real Madrid,202,978,746,135,1896,97,51.5,35,36.1,3434,73,26,53,40,2023-2024,laliga
fran beltran,Celta Vigo,326,985,297,12,1593,24,50.0,12,50.0,2041,33,2,28,20,2023-2024,laliga
carlos benavidez,Alavés,173,348,113,11,628,4,50.0,2,50.0,508,10,1,11,5,2023-2024,laliga
yuri berchiche,Athletic Club,437,754,327,34,1504,13,69.2,2,15.4,1786,31,5,12,10,2023-2024,laliga
alex berenguer,Athletic Club,87,259,480,74,816,61,34.4,35,57.4,1430,35,23,42,36,2023-2024,laliga
antonio blanco,Alavés,339,740,224,18,1283,33,57.6,8,24.2,1271,15,3,19,22,2023-2024,laliga
daley blind,Girona,1192,1426,271,27,2869,26,65.4,9,34.6,4795,30,3,18,3,2023-2024,laliga
adri bosch,Granada,10,8,0,0,17,0,,0,,43,0,0,0,0,2023-2024,laliga
yassine bounou,Sevilla,30,1,0,0,31,0,,0,,64,0,0,0,0,2023-2024,laliga
lucas boye,Granada,133,560,454,119,1132,130,40.8,75,57.7,1036,42,16,114,86,2023-2024,laliga
darko brasanac,Osasuna,1,8,8,1,17,0,,0,,50,1,0,0,0,2023-2024,laliga
brau,Granada,4,4,6,1,14,1,100.0,0,0.0,45,2,0,1,0,2023-2024,laliga
claudio bravo,Betis,239,2,0,0,241,0,,0,,591,0,0,0,0,2023-2024,laliga
ben brereton,Villarreal,12,35,63,13,109,10,20.0,8,80.0,211,12,3,5,5,2023-2024,laliga
ante budimir,Osasuna,53,307,382,152,732,31,32.3,20,64.5,504,12,17,81,31,2023-2024,laliga
manu bueno,Sevilla,26,30,13,0,68,2,50.0,1,50.0,85,2,0,7,1,2023-2024,laliga
pablo busto,Betis,8,17,8,0,33,1,100.0,0,0.0,52,0,0,0,1,2023-2024,laliga
jose callejon,Granada,101,199,150,20,446,9,33.3,4,44.4,426,10,1,10,6,2023-2024,laliga
eduardo camavinga,Real Madrid,399,885,344,20,1605,69,52.2,18,26.1,3129,56,5,26,24,2023-2024,laliga
sergio camello,Rayo Vallecano,47,278,265,62,580,49,32.7,31,63.3,637,20,10,53,26,2023-2024,laliga
jose campana,Las Palmas,54,104,23,0,180,3,33.3,2,66.7,184,1,0,4,2,2023-2024,laliga
joao cancelo,Barcelona,452,1110,670,71,2206,111,55.0,38,34.2,3916,58,39,55,25,2023-2024,laliga
sergi canos,Valencia,83,230,280,55,583,38,47.4,18,47.4,839,13,11,30,12,2023-2024,laliga
etienne capoue,Villarreal,240,575,217,24,1020,45,48.9,21,46.7,1248,27,5,32,20,2023-2024,laliga
isaac carcelen,Cádiz,432,647,351,11,1425,22,59.1,9,40.9,1250,29,1,19,19,2023-2024,laliga
dani cardenas,Rayo Vallecano,41,0,0,0,41,0,,0,,79,0,0,0,0,2023-2024,laliga
marc cardona,Las Palmas,33,161,146,46,332,34,41.2,19,55.9,388,4,4,24,15,2023-2024,laliga
sergi cardona,Las Palmas,840,1175,586,67,2586,37,45.9,16,43.2,3162,49,6,47,22,2023-2024,laliga
johnny cardoso,Betis,222,512,111,12,830,20,55.0,8,40.0,904,10,0,16,15,2023-2024,laliga
carmona,Getafe,197,345,216,27,748,28,32.1,17,60.7,1012,19,6,29,14,2023-2024,laliga
yannick carrasco,Atlético Madrid,29,38,49,6,113,6,83.3,1,16.7,246,5,2,5,3,2023-2024,laliga
alvaro carreras,Granada,83,124,96,11,296,14,50.0,5,35.7,583,14,1,15,9,2023-2024,laliga
dani carvajal,Real Madrid,465,726,527,59,1697,22,40.9,11,50.0,1903,37,9,22,18,2023-2024,laliga
william carvalho,Betis,105,495,111,7,707,13,30.8,8,61.5,860,14,0,6,10,2023-2024,laliga
marc casado,Barcelona,4,6,1,0,11,0,,0,,14,0,0,0,0,2023-2024,laliga
catena,Osasuna,786,747,55,31,1574,7,42.9,4,57.1,1577,2,0,5,4,2023-2024,laliga
dani ceballos,Real Madrid,99,315,201,15,609,15,33.3,8,53.3,1097,17,1,9,13,2023-2024,laliga
alex centelles,Almería,208,284,149,8,635,9,44.4,5,55.6,687,13,3,10,6,2023-2024,laliga
franco cervi,Celta Vigo,94,160,116,14,366,6,0.0,5,83.3,532,11,1,9,3,2023-2024,laliga
pep chavarria,Rayo Vallecano,257,398,292,14,941,28,39.3,10,35.7,1338,32,4,25,7,2023-2024,laliga
andreas christensen,Barcelona,549,1077,104,18,1723,6,50.0,3,50.0,2934,18,1,6,9,2023-2024,laliga
chumi,Almería,830,582,58,11,1462,6,83.3,1,16.7,1960,10,0,14,4,2023-2024,laliga
victor chust,Cádiz,647,552,28,13,1223,2,50.0,1,50.0,1732,2,0,7,1,2023-2024,laliga
pathe ciss,Rayo Vallecano,330,672,133,26,1126,21,81.0,3,14.3,1188,9,2,19,18,2023-2024,laliga
silvi clua,Girona,4,6,0,0,10,0,,0,,8,0,0,2,0,2023-2024,laliga
saul coco,Las Palmas,873,800,30,11,1700,10,30.0,3,30.0,2391,6,0,10,9,2023-2024,laliga
santi comesana,Villarreal,265,593,229,32,1077,32,65.6,11,34.4,1414,25,7,22,19,2023-2024,laliga
copete,Mallorca,314,404,40,10,748,9,44.4,4,44.4,1081,5,0,11,3,2023-2024,laliga
