Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
yunis abdelhamid,Reims,1088,1275,123,39,2459,37,56.8,14,37.8,6123,21,3,27,23,2022-2023,ligue-1
himad abdelli,Angers,237,914,409,23,1516,76,56.6,28,36.8,3294,60,7,36,20,2022-2023,ligue-1
salis abdul samed,Lens,404,1502,340,16,2224,49,59.2,13,26.5,3457,56,3,39,32,2022-2023,ligue-1
laurent abergel,Lorient,581,1069,151,4,1779,41,56.1,14,34.1,2597,29,0,29,19,2022-2023,ligue-1
matthis abline,Auxerre,11,101,103,41,208,23,52.2,11,47.8,319,5,7,43,17,2022-2023,ligue-1
matthis abline,Rennes,1,15,22,15,37,0,,0,,105,1,2,10,1,2022-2023,ligue-1
zakaria aboukhlal,Toulouse,156,456,571,151,1163,109,38.5,57,52.3,2662,48,44,83,36,2022-2023,ligue-1
mohamed achi,Nantes,4,11,10,0,25,1,0.0,1,100.0,75,2,0,0,1,2022-2023,ligue-1
martin adeline,Reims,22,22,16,1,59,3,33.3,2,66.7,83,0,0,4,2,2022-2023,ligue-1
emmanuel agbadou,Reims,851,877,87,21,1798,14,57.1,6,42.9,3866,19,2,23,13,2022-2023,ligue-1
lucien agoume,Troyes,276,480,143,13,893,13,38.5,5,38.5,1227,10,0,9,11,2022-2023,ligue-1
ruben aguilar,Monaco,210,463,305,24,975,14,50.0,6,42.9,1501,23,3,14,4,2022-2023,ligue-1
amar ahmed,Troyes,3,8,7,0,18,1,100.0,0,0.0,21,1,0,4,2,2022-2023,ligue-1
jeaneudes aholou,Strasbourg,131,483,194,27,799,34,41.2,14,41.2,1220,18,9,34,15,2022-2023,ligue-1
ludovic ajorque,Strasbourg,32,172,136,50,335,5,60.0,2,40.0,202,7,1,19,10,2022-2023,ligue-1
maghnes akliouche,Monaco,23,85,105,17,210,13,46.2,7,53.8,351,5,2,8,7,2022-2023,ligue-1
dogan alemdar,Rennes,154,0,0,0,154,0,,0,,229,0,0,1,0,2022-2023,ligue-1
jim allevinah,Clermont Foot,257,502,396,65,1134,88,38.6,45,51.1,2685,62,14,46,40,2022-2023,ligue-1
mickael alphonse,Ajaccio,255,457,178,13,879,19,52.6,8,42.1,1528,25,0,15,14,2022-2023,ligue-1
ibrahim amadou,Angers,147,89,9,2,244,2,50.0,1,50.0,394,3,0,2,3,2022-2023,ligue-1
ayoub amraoui,Nice,69,93,50,1,210,4,50.0,1,25.0,396,5,0,3,1,2022-2023,ligue-1
benjamin andre,Lille,626,1774,363,35,2743,36,52.8,14,38.9,4605,47,0,38,34,2022-2023,ligue-1
komnen andric,Clermont Foot,44,346,210,52,595,15,40.0,7,46.7,477,13,4,47,31,2022-2023,ligue-1
houssem aouar,Lyon,51,279,134,28,461,23,43.5,11,47.8,739,19,4,8,13,2022-2023,ligue-1
adil aouchiche,Lorient,30,104,61,8,192,7,28.6,3,42.9,559,10,1,6,8,2022-2023,ligue-1
dennis appiah,Nantes,158,292,113,4,554,18,33.3,10,55.6,1173,13,0,12,10,2022-2023,ligue-1
stredair appuah,Nantes,4,21,20,2,43,5,80.0,1,20.0,197,6,2,4,2,2022-2023,ligue-1
tairyk arconte,Brest,4,10,22,5,35,5,60.0,2,40.0,32,1,2,4,2,2022-2023,ligue-1
mohamed el arouch,Lyon,3,1,1,0,4,1,0.0,1,100.0,33,0,0,0,0,2022-2023,ligue-1
lorenz assignon,Rennes,51,110,42,6,200,5,20.0,3,60.0,411,7,2,4,2,2022-2023,ligue-1
youcef atal,Nice,149,295,202,18,632,43,44.2,22,51.2,1605,29,8,10,5,2022-2023,ligue-1
valentin atangana edoa,Reims,21,32,24,8,76,5,0.0,3,60.0,135,3,2,3,4,2022-2023,ligue-1
mathias autret,Auxerre,123,366,239,24,721,25,40.0,14,56.0,950,12,3,18,4,2022-2023,ligue-1
cedric avinel,Ajaccio,508,369,5,2,876,1,0.0,0,0.0,1495,1,0,3,0,2022-2023,ligue-1
loic bade,Rennes,35,31,2,2,67,0,,0,,100,0,0,0,0,2022-2023,ligue-1
benoit badiashile,Monaco,240,324,13,7,568,1,0.0,1,100.0,1114,3,1,3,0,2022-2023,ligue-1
eric bailly,Marseille,159,181,20,10,357,4,50.0,2,50.0,619,2,0,8,3,2022-2023,ligue-1
denys bain,Auxerre,42,28,0,0,70,1,100.0,0,0.0,137,0,0,0,0,2022-2023,ligue-1
brandon baiye,Clermont Foot,10,24,8,1,42,1,100.0,0,0.0,54,0,0,1,1,2022-2023,ligue-1
cedric bakambu,Marseille,6,15,12,3,33,2,0.0,2,100.0,59,3,1,2,1,2022-2023,ligue-1
thierno balde,Troyes,395,425,339,34,1138,67,53.7,22,32.8,2996,51,11,38,15,2022-2023,ligue-1
carlos baleba,Lille,49,256,83,5,384,28,53.6,9,32.1,1027,16,2,12,17,2022-2023,ligue-1
leonardo balerdi,Marseille,869,1027,113,16,1997,14,64.3,4,28.6,4291,19,0,23,3,2022-2023,ligue-1
folarin balogun,Reims,72,385,525,198,963,87,40.2,44,50.6,1697,27,45,94,74,2022-2023,ligue-1
abdoulaye bamba,Angers,317,442,81,2,832,9,44.4,4,44.4,1112,5,0,9,4,2022-2023,ligue-1
