Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
james abankwah,Udinese,37,22,7,2,65,0,,0,,165,1,1,1,3,2024-2025,serie-a
saud abdulhamid,Roma,27,75,56,7,157,8,37.5,2,25.0,175,2,2,5,1,2024-2025,serie-a
oliver abildgaard,Como,1,1,0,0,2,0,,0,,0,0,0,0,0,2024-2025,serie-a
tammy abraham,Roma,0,2,2,1,4,0,,0,,1,0,0,1,0,2024-2025,serie-a
tammy abraham,Milan,46,172,149,57,365,14,28.6,10,71.4,205,6,4,22,13,2024-2025,serie-a
federico accornero,Genoa,2,3,3,0,8,0,,0,,18,1,0,2,0,2024-2025,serie-a
francesco acerbi,Inter,648,733,108,20,1484,4,75.0,1,25.0,2128,20,1,7,2,2024-2025,serie-a
che adams,Torino,53,387,371,104,801,37,29.7,22,59.5,702,18,9,63,34,2024-2025,serie-a
yacine adli,Fiorentina,177,607,248,11,1021,32,37.5,16,50.0,1680,28,3,19,8,2024-2025,serie-a
vasilije adzic,Juventus,5,8,11,2,24,1,0.0,1,100.0,10,1,0,1,1,2024-2025,serie-a
michel aebischer,Bologna,74,302,114,10,485,6,50.0,2,33.3,508,12,2,5,7,2024-2025,serie-a
honest ahanor,Genoa,27,43,38,7,106,1,0.0,0,0.0,119,1,0,7,2,2024-2025,serie-a
junior ajayi,Hellas Verona,0,3,2,0,5,0,,0,,7,0,0,1,0,2024-2025,serie-a
jeandaniel akpaakpro,Monza,157,258,99,7,505,38,31.6,19,50.0,818,15,2,24,2,2024-2025,serie-a
david akpan ankeye,Genoa,2,3,4,0,9,1,100.0,0,0.0,8,1,0,0,2,2024-2025,serie-a
faride alidou,Hellas Verona,5,11,17,0,31,4,50.0,2,50.0,44,3,0,1,1,2024-2025,serie-a
dele alli,Como,0,2,2,0,4,0,,0,,4,0,0,1,0,2024-2025,serie-a
pontus almqvist,Parma,67,154,253,53,462,50,40.0,28,56.0,1059,18,22,31,13,2024-2025,serie-a
giorgio altare,Venezia,235,216,57,6,505,6,83.3,1,16.7,404,10,0,5,5,2024-2025,serie-a
sofyan amrabat,Fiorentina,24,103,14,0,140,0,,0,,196,0,0,1,2,2024-2025,serie-a
angelino,Roma,640,1041,602,47,2266,27,40.7,11,40.7,3048,52,11,27,9,2024-2025,serie-a
lorenzo anghele,Juventus,0,5,1,0,5,1,100.0,0,0.0,3,1,0,0,0,2024-2025,serie-a
faustino anjorin,Empoli,132,357,153,17,628,41,39.0,22,53.7,1043,17,6,25,11,2024-2025,serie-a
marko arnautovic,Inter,6,64,128,39,198,3,66.7,1,33.3,119,3,2,13,3,2024-2025,serie-a
kristjan asllani,Inter,258,638,167,9,1059,6,16.7,4,66.7,1231,14,1,5,2,2024-2025,serie-a
arthur atta,Udinese,125,417,289,39,813,61,44.3,30,49.2,1219,31,10,34,22,2024-2025,serie-a
emil audero,Como,268,1,0,0,269,0,,0,,476,0,0,0,0,2024-2025,serie-a
tommaso augello,Cagliari,657,697,569,12,1902,43,55.8,18,41.9,2239,37,3,27,18,2024-2025,serie-a
carlos augusto,Inter,466,678,280,43,1413,12,58.3,5,41.7,1960,26,4,18,13,2024-2025,serie-a
yann aurel bisseck,Inter,509,778,181,43,1465,15,20.0,10,66.7,2687,27,3,16,7,2024-2025,serie-a
paulo azzi,Cagliari,66,97,84,8,242,13,61.5,4,30.8,450,10,3,3,4,2024-2025,serie-a
oussama el azzouzi,Bologna,3,15,2,0,20,0,,0,,20,0,0,0,0,2024-2025,serie-a
jacopo bacci,Empoli,4,10,0,0,14,0,,0,,1,0,0,0,0,2024-2025,serie-a
milan badelj,Genoa,268,623,129,13,1014,20,45.0,9,45.0,803,8,2,19,11,2024-2025,serie-a
mitchel bakker,Atalanta,2,5,3,0,10,0,,0,,15,0,0,0,0,2024-2025,serie-a
tommaso baldanzi,Roma,43,191,248,38,472,39,43.6,21,53.8,994,31,10,16,9,2024-2025,serie-a
keita balde,Monza,17,163,111,17,289,16,31.3,8,50.0,631,15,2,20,15,2024-2025,serie-a
botond balogh,Parma,731,476,25,8,1228,0,,0,,1401,3,0,9,1,2024-2025,serie-a
mario balotelli,Genoa,4,7,12,1,23,0,,0,,23,1,0,1,0,2024-2025,serie-a
lameck banda,Lecce,39,100,120,21,252,28,35.7,14,50.0,859,10,17,17,9,2024-2025,serie-a
