Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
max aarons,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
joshua acheampong,Chelsea,2,0,0.0,0.2,0.2,0.11,-0.2,2024-2025,premier-league
tyler adams,Bournemouth,9,2,0.0,1.6,1.6,0.18,-1.6,2024-2025,premier-league
tosin adarabioyo,Chelsea,13,2,0.08,0.9,0.9,0.07,0.1,2024-2025,premier-league
simon adingra,Brighton,33,8,0.06,2.5,2.5,0.07,-0.5,2024-2025,premier-league
emmanuel agbadou,Wolves,7,2,0.14,0.8,0.8,0.12,0.2,2024-2025,premier-league
asher agbinone,Crystal Palace,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,premier-league
ola aina,Nott'ham Forest,11,2,0.18,0.6,0.6,0.06,1.4,2024-2025,premier-league
rayan aitnouri,Wolves,36,10,0.11,2.7,2.7,0.08,1.3,2024-2025,premier-league
kristoffer ajer,Brentford,9,3,0.0,1.0,1.0,0.11,-1.0,2024-2025,premier-league
manuel akanji,Manchester City,15,2,0.0,1.6,1.6,0.1,-1.6,2024-2025,premier-league
nathan ake,Manchester City,3,0,0.0,0.2,0.2,0.07,-0.2,2024-2025,premier-league
carlos alcaraz,Southampton,1,1,0.0,0.1,0.1,0.07,-0.1,2024-2025,premier-league
carlos alcaraz,Everton,26,11,0.08,1.7,1.7,0.07,0.3,2024-2025,premier-league
trent alexanderarnold,Liverpool,45,8,0.07,1.9,1.9,0.04,1.1,2024-2025,premier-league
alisson,Liverpool,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
miguel almiron,Newcastle Utd,6,2,0.0,0.5,0.5,0.09,-0.5,2024-2025,premier-league
olabade aluko,Leicester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
edson alvarez,West Ham,12,1,0.0,0.4,0.4,0.03,-0.4,2024-2025,premier-league
will alves,Leicester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
harry amass,Manchester Utd,3,0,0.0,0.1,0.1,0.02,-0.1,2024-2025,premier-league
samuel amoameyaw,Southampton,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,premier-league
mathis amougou,Chelsea,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
joachim andersen,Crystal Palace,1,1,0.0,0.0,0.0,0.04,0.0,2024-2025,premier-league
joachim andersen,Fulham,19,4,0.0,1.0,1.0,0.05,-1.0,2024-2025,premier-league
elliot anderson,Nott'ham Forest,40,7,0.05,2.1,2.1,0.05,-0.1,2024-2025,premier-league
andre,Wolves,10,1,0.0,0.4,0.4,0.04,-0.4,2024-2025,premier-league
michail antonio,West Ham,19,4,0.05,2.2,2.2,0.12,-1.2,2024-2025,premier-league
antony,Manchester Utd,6,3,0.0,1.0,1.0,0.17,-1.0,2024-2025,premier-league
julian araujo,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
cameron archer,Southampton,28,10,0.07,5.7,4.9,0.18,-3.7,2024-2025,premier-league
alphonse areola,West Ham,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
joe aribo,Southampton,17,7,0.18,2.7,2.7,0.16,0.3,2024-2025,premier-league
adam armstrong,Southampton,25,7,0.08,3.3,2.3,0.09,-1.3,2024-2025,premier-league
harrison armstrong,Everton,1,0,0.0,0.4,0.4,0.37,-0.4,2024-2025,premier-league
kepa arrizabalaga,Bournemouth,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,premier-league
marco asensio,Aston Villa,22,9,0.14,4.4,2.9,0.13,-1.4,2024-2025,premier-league
brandon austin,Tottenham,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
taiwo awoniyi,Nott'ham Forest,10,4,0.1,2.1,2.1,0.21,-1.1,2024-2025,premier-league
yasin ayari,Brighton,28,8,0.07,2.4,2.4,0.09,-0.4,2024-2025,premier-league
jordan ayew,Crystal Palace,1,0,0.0,0.5,0.5,0.46,-0.5,2024-2025,premier-league
jordan ayew,Leicester City,31,8,0.13,3.2,2.4,0.08,1.8,2024-2025,premier-league
benoit badiashile,Chelsea,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
leon bailey,Aston Villa,28,6,0.04,1.7,1.7,0.06,-0.7,2024-2025,premier-league
carlos baleba,Brighton,44,11,0.07,3.1,3.1,0.07,-0.1,2024-2025,premier-league
ross barkley,Aston Villa,16,5,0.19,1.8,1.8,0.11,1.2,2024-2025,premier-league
harvey barnes,Newcastle Utd,63,20,0.14,7.2,7.2,0.11,1.8,2024-2025,premier-league
calvin bassey,Fulham,14,4,0.07,1.0,1.0,0.07,0.0,2024-2025,premier-league
altay bayndr,Manchester Utd,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jan bednarek,Southampton,5,2,0.4,0.7,0.7,0.13,1.3,2024-2025,premier-league
armel bella kotchap,Southampton,1,0,0.0,0.3,0.3,0.32,-0.3,2024-2025,premier-league
jeanricner bellegarde,Wolves,22,5,0.09,1.5,1.5,0.07,0.5,2024-2025,premier-league
rodrigo bentancur,Tottenham,22,5,0.09,1.3,1.3,0.06,0.7,2024-2025,premier-league
daniel bentley,Wolves,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
sander berge,Fulham,3,1,0.0,0.4,0.4,0.12,-0.4,2024-2025,premier-league
lucas bergvall,Tottenham,12,2,0.0,0.7,0.7,0.06,-0.7,2024-2025,premier-league
victor bernth kristiansen,Leicester City,3,0,0.0,0.3,0.3,0.11,-0.3,2024-2025,premier-league
beto,Everton,49,23,0.16,8.2,8.2,0.17,-0.2,2024-2025,premier-league
philip billing,Bournemouth,5,1,0.0,0.6,0.6,0.11,-0.6,2024-2025,premier-league
yves bissouma,Tottenham,11,4,0.18,0.6,0.6,0.06,1.4,2024-2025,premier-league
oscar bobb,Manchester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
lamare bogarde,Aston Villa,1,1,0.0,0.0,0.0,0.04,0.0,2024-2025,premier-league
willy boly,Nott'ham Forest,1,1,0.0,0.1,0.1,0.07,-0.1,2024-2025,premier-league
sven botman,Newcastle Utd,5,2,0.0,0.5,0.5,0.12,-0.5,2024-2025,premier-league
jarrod bowen,West Ham,86,36,0.14,8.6,7.8,0.09,4.4,2024-2025,premier-league
conor bradley,Liverpool,10,3,0.0,0.7,0.7,0.07,-0.7,2024-2025,premier-league
jarrad branthwaite,Everton,10,3,0.0,1.2,1.2,0.12,-1.2,2024-2025,premier-league
james bree,Southampton,4,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,premier-league
ben brereton,Southampton,11,1,0.0,0.9,0.9,0.08,-0.9,2024-2025,premier-league
nathan broadhead,Ipswich Town,13,8,0.15,1.7,1.7,0.13,0.3,2024-2025,premier-league
armando broja,Everton,4,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,premier-league
david brooks,Bournemouth,25,12,0.08,2.5,2.5,0.1,-0.5,2024-2025,premier-league
emi buendia,Aston Villa,5,0,0.0,0.7,0.7,0.13,-0.7,2024-2025,premier-league
santiago bueno,Wolves,6,3,0.0,0.4,0.4,0.07,-0.4,2024-2025,premier-league
