Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
james abankwah,Udinese,1,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,serie-a
saud abdulhamid,Roma,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,serie-a
oliver abildgaard,Como,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
tammy abraham,Roma,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
tammy abraham,Milan,26,11,0.08,7.1,5.4,0.21,-4.1,2024-2025,serie-a
federico accornero,Genoa,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
francesco acerbi,Inter,5,1,0.0,0.4,0.4,0.08,-0.4,2024-2025,serie-a
che adams,Torino,63,25,0.14,9.0,8.2,0.13,0.0,2024-2025,serie-a
yacine adli,Fiorentina,14,5,0.29,1.0,1.0,0.07,3.0,2024-2025,serie-a
vasilije adzic,Juventus,1,1,0.0,0.0,0.0,0.03,0.0,2024-2025,serie-a
michel aebischer,Bologna,10,5,0.0,0.4,0.4,0.04,-0.4,2024-2025,serie-a
honest ahanor,Genoa,3,1,0.0,0.5,0.5,0.17,-0.5,2024-2025,serie-a
junior ajayi,Hellas Verona,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
jeandaniel akpaakpro,Monza,4,2,0.0,0.3,0.3,0.08,-0.3,2024-2025,serie-a
david akpan ankeye,Genoa,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
faride alidou,Hellas Verona,1,0,0.0,0.0,0.0,0.01,0.0,2024-2025,serie-a
dele alli,Como,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
pontus almqvist,Parma,26,9,0.04,2.1,2.1,0.08,-1.1,2024-2025,serie-a
giorgio altare,Venezia,3,1,0.0,0.2,0.2,0.05,-0.2,2024-2025,serie-a
sofyan amrabat,Fiorentina,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
angelino,Roma,24,6,0.08,1.4,1.4,0.06,0.6,2024-2025,serie-a
lorenzo anghele,Juventus,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
faustino anjorin,Empoli,23,7,0.09,0.9,0.9,0.04,1.1,2024-2025,serie-a
marko arnautovic,Inter,14,6,0.29,3.3,3.3,0.23,0.7,2024-2025,serie-a
kristjan asllani,Inter,14,3,0.0,2.5,0.9,0.06,-0.5,2024-2025,serie-a
arthur atta,Udinese,26,7,0.0,1.3,1.3,0.05,-1.3,2024-2025,serie-a
emil audero,Como,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
tommaso augello,Cagliari,8,0,0.0,0.3,0.3,0.03,-0.3,2024-2025,serie-a
