Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
max aarons,Valencia,2000.0,4,1,120,0,0,2,0,0,6,10,2024-2025,laliga
rodrigo abajas,Valencia,2003.0,1,1,65,0,0,1,0,3,2,3,2024-2025,laliga
abel,Osasuna,2000.0,35,20,2074,2,0,3,0,50,77,92,2024-2025,laliga
nabil aberdin,Getafe,2002.0,7,4,263,0,0,1,0,2,6,2,2024-2025,laliga
abdel abqar,Alavés,1999.0,29,29,2463,0,1,13,0,16,79,4,2024-2025,laliga
akor adams,Sevilla,2000.0,4,1,134,0,0,0,0,0,5,5,2024-2025,laliga
adrian,Betis,1987.0,19,19,1710,0,0,3,0,0,0,0,2024-2025,laliga
julen agirrezabala,Athletic Club,2000.0,14,14,1206,0,0,1,1,0,0,0,2024-2025,laliga
lucien agoume,Sevilla,2002.0,35,24,2114,1,3,5,1,29,135,23,2024-2025,laliga
alvaro aguado,Espanyol,1996.0,16,4,443,0,1,3,0,15,37,4,2024-2025,laliga
lorenzo aguado,Real Madrid,2002.0,2,0,5,0,0,0,0,0,0,0,2024-2025,laliga
nayef aguerd,Real Sociedad,1996.0,21,21,1760,0,0,5,0,26,75,1,2024-2025,laliga
joseph aidoo,Valladolid,1995.0,8,6,583,0,0,0,0,1,14,0,2024-2025,laliga
joseph aidoo,Celta Vigo,1995.0,1,0,2,0,0,0,0,0,1,0,2024-2025,laliga
ilias akhomach,Villarreal,2004.0,11,7,584,1,0,1,0,30,12,64,2024-2025,laliga
david alaba,Real Madrid,1992.0,7,4,317,0,0,1,0,2,7,4,2024-2025,laliga
ibrahim alani,Valladolid,2006.0,3,1,160,0,0,0,0,2,5,1,2024-2025,laliga
raul albiol,Villarreal,1985.0,15,14,1188,0,0,5,0,3,34,0,2024-2025,laliga
omar alderete,Getafe,1996.0,34,34,2971,1,0,8,0,25,112,7,2024-2025,laliga
carles alena,Getafe,1998.0,10,5,452,0,0,1,0,3,12,10,2024-2025,laliga
carles alena,Alavés,1998.0,14,13,1090,0,2,1,0,18,58,43,2024-2025,laliga
alfon,Celta Vigo,1999.0,26,14,1371,5,2,1,1,89,22,170,2024-2025,laliga
tadeo allende,Celta Vigo,1999.0,1,0,2,0,0,1,0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,2000.0,34,24,1977,0,4,2,0,45,142,77,2024-2025,laliga
iker almena,Girona,2004.0,2,0,48,0,1,0,0,6,2,10,2024-2025,laliga
marcos alonso,Celta Vigo,1990.0,31,29,2647,3,0,10,2,64,215,49,2024-2025,laliga
adria altimira,Leganés,2001.0,22,19,1630,0,0,6,0,23,42,69,2024-2025,laliga
sergi altimira,Betis,2001.0,32,22,1972,0,1,4,0,25,99,30,2024-2025,laliga
hugo alvarez,Celta Vigo,2003.0,26,16,1572,4,3,6,0,74,60,171,2024-2025,laliga
julian alvarez,Atlético Madrid,2000.0,37,30,2509,17,4,5,0,79,92,162,2024-2025,laliga
yeray alvarez,Athletic Club,1995.0,21,20,1781,1,0,4,0,19,105,0,2024-2025,laliga
selim amallah,Valladolid,1996.0,24,18,1376,3,1,6,0,24,57,27,2024-2025,laliga
amath,Valladolid,1996.0,13,5,375,0,1,1,0,10,12,29,2024-2025,laliga
marcos andre,Valladolid,1996.0,22,14,1188,1,2,5,0,11,16,39,2024-2025,laliga
leandro antonetti,Sevilla,2003.0,2,0,28,0,0,0,0,1,0,3,2024-2025,laliga
antoniu,Espanyol,2002.0,26,13,1022,0,1,3,0,35,28,63,2024-2025,laliga
