Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
aaron ramsdale,arsenal,2022-2023,premier-league,Goalkeeper,3420.0,38.0,38.0,40000000.0,0.15660150013256074,0.0089,0.14770150013256075,Goalkeeper
inaki pena,barcelona,2022-2023,laliga,Goalkeeper,73.0,2.0,0.0,4000000.0,0.3534585951769446,0.0615,0.2919585951769446,Goalkeeper
lennart grill,union berlin,2022-2023,bundesliga,Goalkeeper,450.0,5.0,5.0,1000000.0,0.36503577001746557,0.010000000000000002,0.35503577001746556,Goalkeeper
sergio herrera,osasuna,2022-2023,laliga,Goalkeeper,1530.0,17.0,17.0,8000000.0,0.3860132924968572,0.0132,0.3728132924968572,Goalkeeper
marco carnesecchi,cremonese,2022-2023,serie-a,Goalkeeper,2430.0,27.0,27.0,13000000.0,0.14977070042419433,0.0047,0.14507070042419432,Goalkeeper
alphonse areola,west ham,2022-2023,premier-league,Goalkeeper,309.0,5.0,2.0,8000000.0,0.13132030249214172,0.0029,0.1284203024921417,Goalkeeper
jan oblak,atlético madrid,2022-2023,laliga,Goalkeeper,2492.0,28.0,28.0,35000000.0,0.36887146153180284,0.0012,0.36767146153180286,Goalkeeper
joel robles,leeds united,2022-2023,premier-league,Goalkeeper,360.0,4.0,4.0,1000000.0,0.1409520984888077,0.02,0.12095209848880768,Goalkeeper
asmir begovic,everton,2022-2023,premier-league,Goalkeeper,90.0,1.0,1.0,800000.0,0.16273249933719636,0.0,0.16273249933719636,Goalkeeper
dean henderson,nott'ham forest,2022-2023,premier-league,Goalkeeper,1620.0,18.0,18.0,18000000.0,0.15527630090141298,0.0075,0.14777630090141297,Goalkeeper
simone perilli,hellas verona,2022-2023,serie-a,Goalkeeper,90.0,1.0,1.0,200000.0,0.11705889998674393,0.0,0.11705889998674393,Goalkeeper
francesco bardi,bologna,2022-2023,serie-a,Goalkeeper,90.0,1.0,1.0,400000.0,0.1303473028898239,0.02,0.1103473028898239,Goalkeeper
kepa arrizabalaga,real madrid,2023-2024,laliga,Goalkeeper,1198.0,14.0,13.0,12000000.0,0.3159411353585644,0.0024,0.31354113535856437,Goalkeeper
janis blaswich,rb leipzig,2023-2024,bundesliga,Goalkeeper,1890.0,21.0,21.0,2000000.0,0.33554570682688784,0.0075000000000000015,0.32804570682688783,Goalkeeper
koen casteels,wolfsburg,2023-2024,bundesliga,Goalkeeper,2250.0,25.0,25.0,6000000.0,0.3500704331386576,0.013200000000000002,0.3368704331386576,Goalkeeper
jason steele,brighton,2023-2024,premier-league,Goalkeeper,1530.0,17.0,17.0,3500000.0,0.13917613770071513,0.003,0.13617613770071513,Goalkeeper
alexander nubel,stuttgart,2023-2024,bundesliga,Goalkeeper,2700.0,30.0,30.0,12000000.0,0.3767115917260362,0.0074,0.36931159172603617,Goalkeeper
andriy lunin,real madrid,2023-2024,laliga,Goalkeeper,1890.0,21.0,21.0,25000000.0,0.35338410178397106,0.0055000000000000005,0.34788410178397106,Goalkeeper
robert sanchez,chelsea,2023-2024,premier-league,Goalkeeper,1433.0,16.0,16.0,20000000.0,0.13692497692894834,0.014000000000000002,0.12292497692894834,Goalkeeper
