Player,Squad,Liga,Season,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err
jones elabdellaoui,celta vigo,La-Liga,2025-2026,0,0,0,0.0,0,0,0,0,0,0,1,0
abdel abqar,getafe,La-Liga,2025-2026,2,0,0,1.0,1,1,2,1,0,1,2,0
akor adams,sevilla,La-Liga,2025-2026,0,0,1,,0,0,0,2,0,2,5,0
david affengruber,elche,La-Liga,2025-2026,9,1,0,0.875,7,4,9,3,1,2,24,0
julen agirrezabala,valencia,La-Liga,2025-2026,0,0,0,,0,0,0,0,0,0,2,0
lucien agoume,sevilla,La-Liga,2025-2026,4,5,2,0.667,4,7,7,3,1,2,7,0
marc aguado,elche,La-Liga,2025-2026,2,2,0,0.667,2,2,7,1,1,0,6,0
lucas ahijado,oviedo,La-Liga,2025-2026,4,2,0,1.0,3,6,1,0,0,0,6,0
ilias akhomach,villarreal,La-Liga,2025-2026,0,1,0,,0,0,0,0,0,0,0,0
david alaba,real madrid,La-Liga,2025-2026,0,0,0,,0,0,0,2,2,0,1,0
alexandre alemao,rayo vallecano,La-Liga,2025-2026,0,0,0,,0,0,0,0,0,0,0,0
carles alena,alaves,La-Liga,2025-2026,3,5,0,1.0,4,5,2,4,1,3,5,0
trent alexanderarnold,real madrid,La-Liga,2025-2026,1,1,0,0.5,2,1,3,2,1,1,1,0
alfon,sevilla,La-Liga,2025-2026,0,0,1,1.0,1,0,1,0,0,0,5,0
thiago almada,atletico madrid,La-Liga,2025-2026,0,3,0,0.33299999999999996,1,2,1,1,1,0,0,0
domingos andre ribeiro almeida,valencia,La-Liga,2025-2026,0,0,0,,0,0,0,1,0,1,0,0
marcos alonso,celta vigo,La-Liga,2025-2026,1,1,1,1.0,1,1,3,1,1,0,18,0
sergi altimira,betis,La-Liga,2025-2026,7,11,1,0.636,7,10,10,6,3,3,8,0
carlos alvarez,levante,La-Liga,2025-2026,1,2,0,0.16699999999999998,1,2,2,0,0,0,0,0
hugo alvarez,celta vigo,La-Liga,2025-2026,1,0,1,1.0,1,2,3,1,0,1,1,0
julian alvarez,atletico madrid,La-Liga,2025-2026,0,2,0,0.33299999999999996,1,1,1,1,0,1,0,0
sofyan amrabat,betis,La-Liga,2025-2026,0,0,0,0.0,0,0,0,0,0,0,0,0
miguel angel rubio,espanyol,La-Liga,2025-2026,0,0,0,,0,0,0,2,1,1,8,0
antoniu,espanyol,La-Liga,2025-2026,1,0,0,1.0,1,1,0,0,0,0,0,0
antony,betis,La-Liga,2025-2026,0,0,0,0.0,0,0,0,2,0,2,0,0
mauro arambarri,getafe,La-Liga,2025-2026,2,9,1,0.41700000000000004,5,8,2,6,1,5,6,0
jon aramburu,real sociedad,La-Liga,2025-2026,7,4,0,0.526,10,8,3,3,3,0,6,1
ronald araujo,barcelona,La-Liga,2025-2026,0,1,0,1.0,1,1,3,1,1,0,8,0
jesus areso,athletic club,La-Liga,2025-2026,2,3,1,0.556,5,5,4,9,2,7,8,0
kervin arriaga,levante,La-Liga,2025-2026,0,0,0,,0,0,0,0,0,0,0,0
takuma asano,mallorca,La-Liga,2025-2026,0,0,0,0.0,0,0,0,1,0,1,0,0
raul asencio,real madrid,La-Liga,2025-2026,0,0,0,,0,0,0,1,1,0,3,0
iago aspas,celta vigo,La-Liga,2025-2026,1,2,0,0.33299999999999996,1,2,3,0,0,0,0,0
yaser asprilla,girona,La-Liga,2025-2026,0,3,1,1.0,1,2,3,1,0,1,3,0
