Player,Liga,Season,Pos,Squad,Height,Value
thibaut courtois,La-Liga,2024-2025,Goalkeeper,real madrid,2.0,20000000.0
andriy lunin,La-Liga,2024-2025,Goalkeeper,real madrid,1.91,18000000.0
fran gonzalez,La-Liga,2024-2025,Goalkeeper,real madrid,1.99,400000.0
sergio mestre,La-Liga,2024-2025,Goalkeeper,real madrid,1.93,50000.0
dean huijsen,La-Liga,2024-2025,Centre-Back,real madrid,1.97,60000000.0
raul asencio,La-Liga,2024-2025,Centre-Back,real madrid,1.84,40000000.0
eder militao,La-Liga,2024-2025,Centre-Back,real madrid,1.86,30000000.0
antonio rudiger,La-Liga,2024-2025,Centre-Back,real madrid,1.9,20000000.0
david alaba,La-Liga,2024-2025,Centre-Back,real madrid,1.8,6000000.0
jacobo ramon,La-Liga,2024-2025,Centre-Back,real madrid,1.96,1000000.0
diego aguado,La-Liga,2024-2025,Centre-Back,real madrid,1.84,1000000.0
jesus vallejo,La-Liga,2024-2025,Centre-Back,real madrid,1.84,1000000.0
victor valdepenas,La-Liga,2024-2025,Centre-Back,real madrid,1.88,500000.0
mario rivas,La-Liga,2024-2025,Centre-Back,real madrid,,300000.0
fran garcia,La-Liga,2024-2025,Left-Back,real madrid,1.69,18000000.0
ferland mendy,La-Liga,2024-2025,Left-Back,real madrid,1.8,14000000.0
youssef enriquez,La-Liga,2024-2025,Left-Back,real madrid,1.7,500000.0
trent alexanderarnold,La-Liga,2024-2025,Right-Back,real madrid,1.8,75000000.0
daniel carvajal,La-Liga,2024-2025,Right-Back,real madrid,1.73,8000000.0
lucas vazquez,La-Liga,2024-2025,Right-Back,real madrid,1.73,3000000.0
david jimenez,La-Liga,2024-2025,Right-Back,real madrid,1.7,400000.0
jesus fortea,La-Liga,2024-2025,Right-Back,real madrid,1.79,200000.0
lorenzo aguado,La-Liga,2024-2025,Right-Back,real madrid,1.8,100000.0
aurelien tchouameni,La-Liga,2024-2025,Defensive Midfield,real madrid,1.88,75000000.0
mario martin,La-Liga,2024-2025,Defensive Midfield,real madrid,1.77,1500000.0
federico valverde,La-Liga,2024-2025,Central Midfield,real madrid,1.82,130000000.0
eduardo camavinga,La-Liga,2024-2025,Central Midfield,real madrid,1.82,60000000.0
dani ceballos,La-Liga,2024-2025,Central Midfield,real madrid,1.79,10000000.0
luka modric,La-Liga,2024-2025,Central Midfield,real madrid,1.72,4000000.0
chema andres,La-Liga,2024-2025,Central Midfield,real madrid,1.9,800000.0
jude bellingham,La-Liga,2024-2025,Attacking Midfield,real madrid,1.86,180000000.0
arda guler,La-Liga,2024-2025,Attacking Midfield,real madrid,1.75,45000000.0
pol fortuny,La-Liga,2024-2025,Attacking Midfield,real madrid,1.75,400000.0
vinicius junior,La-Liga,2024-2025,Left Winger,real madrid,1.76,170000000.0
victor munoz,La-Liga,2024-2025,Left Winger,real madrid,1.73,1000000.0
hugo de llanos,La-Liga,2024-2025,Left Winger,real madrid,1.75,200000.0
rodrygo,La-Liga,2024-2025,Right Winger,real madrid,1.74,90000000.0
brahim diaz,La-Liga,2024-2025,Right Winger,real madrid,1.7,40000000.0
daniel yanez,La-Liga,2024-2025,Right Winger,real madrid,1.77,150000.0
