Player,Squad,Liga,Season,Fls,Off,Crosses,Recov,Aerialwon%
max aarons,valencia,La-Liga,2024-2025,0,0,5,7,0.667
rodrigo abajas,valencia,La-Liga,2024-2025,2,1,1,2,0.0
nabil aberdin,getafe,La-Liga,2024-2025,7,0,0,8,0.769
abdel abqar,alaves,La-Liga,2024-2025,47,2,5,87,0.5329999999999999
akor adams,sevilla,La-Liga,2024-2025,1,1,0,4,0.375
adrian,betis,La-Liga,2024-2025,0,0,0,20,0.667
julen agirrezabala,athletic club,La-Liga,2024-2025,3,0,0,21,1.0
lucien agoume,sevilla,La-Liga,2024-2025,49,2,18,136,0.512
alvaro aguado,espanyol,La-Liga,2024-2025,5,0,12,37,0.6
lorenzo aguado,real madrid,La-Liga,2024-2025,0,0,0,0,
nayef aguerd,real sociedad,La-Liga,2024-2025,11,0,2,73,0.6559999999999999
joseph aidoo,valladolid,La-Liga,2024-2025,4,0,0,25,0.529
joseph aidoo,celta vigo,La-Liga,2024-2025,0,0,0,1,
ilias akhomach,villarreal,La-Liga,2024-2025,9,1,18,30,0.5
david alaba,real madrid,La-Liga,2024-2025,2,0,3,8,0.8
ibrahim alani,valladolid,La-Liga,2024-2025,2,0,0,13,0.75
raul albiol,villarreal,La-Liga,2024-2025,11,0,0,44,0.674
omar alderete,getafe,La-Liga,2024-2025,33,8,6,115,0.664
carles alena,getafe,La-Liga,2024-2025,8,2,6,12,0.526
carles alena,alaves,La-Liga,2024-2025,11,0,31,47,0.6
alfon,celta vigo,La-Liga,2024-2025,15,6,40,37,0.17600000000000002
tadeo allende,celta vigo,La-Liga,2024-2025,0,0,0,1,
domingos andre ribeiro almeida,valencia,La-Liga,2024-2025,28,2,67,89,0.25
iker almena,girona,La-Liga,2024-2025,0,0,4,2,
marcos alonso,celta vigo,La-Liga,2024-2025,31,2,42,176,0.625
adria altimira,leganes,La-Liga,2024-2025,27,3,28,71,0.387
sergi altimira,betis,La-Liga,2024-2025,35,0,5,117,0.33299999999999996
hugo alvarez,celta vigo,La-Liga,2024-2025,25,3,31,78,0.33299999999999996
julian alvarez,atletico madrid,La-Liga,2024-2025,26,9,69,75,0.295
yeray alvarez,athletic club,La-Liga,2024-2025,15,0,3,83,0.5379999999999999
selim amallah,valladolid,La-Liga,2024-2025,32,1,31,73,0.23800000000000002
amath,valladolid,La-Liga,2024-2025,4,2,7,13,0.14300000000000002
marcos andre,valladolid,La-Liga,2024-2025,12,5,1,44,0.516
leandro antonetti,sevilla,La-Liga,2024-2025,0,0,0,3,
antoniu,espanyol,La-Liga,2024-2025,19,4,20,39,0.25
antony,betis,La-Liga,2024-2025,15,1,40,73,0.263
anuar,valladolid,La-Liga,2024-2025,30,10,22,71,0.397
aritz arambarri,leganes,La-Liga,2024-2025,0,0,0,4,0.429
mauro arambarri,getafe,La-Liga,2024-2025,51,3,14,137,0.522
jon aramburu,real sociedad,La-Liga,2024-2025,50,3,45,127,0.5479999999999999
ronald araujo,barcelona,La-Liga,2024-2025,9,0,0,27,0.623
adu ares,athletic club,La-Liga,2024-2025,0,0,1,1,
jesus areso,osasuna,La-Liga,2024-2025,31,8,169,118,0.5870000000000001
david arguelles,getafe,La-Liga,2024-2025,0,0,0,0,
jose arnaiz,osasuna,La-Liga,2024-2025,0,4,18,16,0.25
sergio arribas,betis,La-Liga,2024-2025,0,0,0,3,1.0
takuma asano,mallorca,La-Liga,2024-2025,5,6,20,42,0.161
raul asencio,real madrid,La-Liga,2024-2025,12,1,0,75,0.667
iago aspas,celta vigo,La-Liga,2024-2025,16,5,15,55,0.467
yaser asprilla,girona,La-Liga,2024-2025,12,1,93,62,0.5710000000000001
ezequiel avila,betis,La-Liga,2024-2025,13,5,29,28,0.429
adam aznou,valladolid,La-Liga,2024-2025,14,0,12,56,0.733
cesar azpilicueta,atletico madrid,La-Liga,2024-2025,8,3,5,28,0.5
papa ba,girona,La-Liga,2024-2025,1,0,1,1,
loic bade,sevilla,La-Liga,2024-2025,26,0,8,138,0.684
alex baena,villarreal,La-Liga,2024-2025,43,5,207,140,0.457
eric bailly,villarreal,La-Liga,2024-2025,7,0,0,19,0.611
stefan bajcetic,las palmas,La-Liga,2024-2025,21,0,4,61,0.5670000000000001
cedric bakambu,betis,La-Liga,2024-2025,23,12,2,25,0.316
alejandro balde,barcelona,La-Liga,2024-2025,16,0,67,122,0.64
ivan balliu,rayo vallecano,La-Liga,2024-2025,19,1,19,39,0.35
jonathan bamba,celta vigo,La-Liga,2024-2025,7,4,25,52,0.33299999999999996
adrian baquerin,valladolid,La-Liga,2024-2025,0,0,0,1,1.0
valentin barco,sevilla,La-Liga,2024-2025,7,0,24,16,0.0
borna barisic,leganes,La-Liga,2024-2025,0,0,0,0,
kike barja,osasuna,La-Liga,2024-2025,9,1,37,10,0.385
enzo barrenechea,valencia,La-Liga,2024-2025,25,0,3,117,0.607
ander barrenetxea,real sociedad,La-Liga,2024-2025,33,6,54,88,0.33299999999999996
pablo barrios,atletico madrid,La-Liga,2024-2025,28,0,26,131,0.625
thierno barry,villarreal,La-Liga,2024-2025,47,20,5,36,0.6729999999999999
marc bartra,betis,La-Liga,2024-2025,15,2,1,88,0.5429999999999999
aboubacar bassinga,las palmas,La-Liga,2024-2025,1,0,0,0,
augusto batalla,rayo vallecano,La-Liga,2024-2025,1,0,0,49,1.0
rafael bauza,espanyol,La-Liga,2024-2025,8,0,0,4,0.6
sheraldo becker,real sociedad,La-Liga,2024-2025,8,9,64,30,0.304
donny van de beek,girona,La-Liga,2024-2025,22,3,11,48,0.526
luken beitia,real sociedad,La-Liga,2024-2025,0,0,0,1,1.0
ismael bekhoucha,getafe,La-Liga,2024-2025,3,0,1,6,0.5
hector bellerin,betis,La-Liga,2024-2025,6,0,10,13,0.462
jude bellingham,real madrid,La-Liga,2024-2025,33,9,18,97,0.49200000000000005
fran beltran,celta vigo,La-Liga,2024-2025,34,0,5,119,0.413
carlos benavidez,alaves,La-Liga,2024-2025,18,1,1,32,0.5329999999999999
iker benito,osasuna,La-Liga,2024-2025,1,0,2,3,0.0
yuri berchiche,athletic club,La-Liga,2024-2025,18,4,42,121,0.583
alex berenguer,athletic club,La-Liga,2024-2025,29,5,178,113,0.35100000000000003
marc bernal,barcelona,La-Liga,2024-2025,4,0,0,9,0.14300000000000002
juan bernat,villarreal,La-Liga,2024-2025,0,1,9,13,0.7140000000000001
juan bernat,getafe,La-Liga,2024-2025,11,1,13,26,0.45799999999999996
juan berrocal,getafe,La-Liga,2024-2025,17,0,0,35,0.638
antonio blanco,alaves,La-Liga,2024-2025,66,0,29,164,0.444
daley blind,girona,La-Liga,2024-2025,19,1,42,116,0.415
adama boiro,athletic club,La-Liga,2024-2025,13,1,31,45,0.64
enzo boyomo,osasuna,La-Liga,2024-2025,43,0,2,121,0.45299999999999996
enzo boyomo,valladolid,La-Liga,2024-2025,3,0,0,11,0.375
darko brasanac,leganes,La-Liga,2024-2025,38,4,11,61,0.345
abel bretones,osasuna,La-Liga,2024-2025,25,3,85,106,0.541
tajon buchanan,villarreal,La-Liga,2024-2025,12,5,16,26,0.5
ante budimir,osasuna,La-Liga,2024-2025,47,15,6,54,0.507
manu bueno,sevilla,La-Liga,2024-2025,2,0,1,6,0.0
endika bujan,athletic club,La-Liga,2024-2025,0,0,1,0,
pau cabanes,villarreal,La-Liga,2024-2025,4,0,6,6,0.33299999999999996
pau cabanes,alaves,La-Liga,2024-2025,5,0,12,11,0.25
leandro cabrera,espanyol,La-Liga,2024-2025,24,0,17,83,0.647
fernando calero,espanyol,La-Liga,2024-2025,6,0,2,26,0.414
eduardo camavinga,real madrid,La-Liga,2024-2025,21,1,2,90,0.526
sergio camello,rayo vallecano,La-Liga,2024-2025,11,2,6,32,0.297
jose campana,las palmas,La-Liga,2024-2025,7,0,34,84,0.789
peio canales,athletic club,La-Liga,2024-2025,1,1,16,17,0.0
antonio candela,valladolid,La-Liga,2024-2025,5,2,20,23,0.273
sergi canos,valencia,La-Liga,2024-2025,12,1,18,20,0.33299999999999996
dani cardenas,rayo vallecano,La-Liga,2024-2025,0,0,0,6,
irvin cardona,espanyol,La-Liga,2024-2025,8,5,14,19,0.42100000000000004
marc cardona,las palmas,La-Liga,2024-2025,2,0,1,8,0.0
sergi cardona,villarreal,La-Liga,2024-2025,38,3,111,131,0.603
johnny cardoso,betis,La-Liga,2024-2025,38,0,3,138,0.617
jose carlos gonzalez,las palmas,La-Liga,2024-2025,0,0,0,0,
carmona,sevilla,La-Liga,2024-2025,49,1,41,164,0.623
sergio carreira,celta vigo,La-Liga,2024-2025,19,3,41,66,0.17600000000000002
dani carvajal,real madrid,La-Liga,2024-2025,3,0,14,21,0.583
william carvalho,betis,La-Liga,2024-2025,7,0,2,29,0.545
marc casado,barcelona,La-Liga,2024-2025,26,0,9,90,0.258
catena,osasuna,La-Liga,2024-2025,36,1,2,108,0.657
maximiliano caufriez,valencia,La-Liga,2024-2025,3,0,0,1,0.28600000000000003
dani ceballos,real madrid,La-Liga,2024-2025,13,0,14,87,0.667
franco cervi,celta vigo,La-Liga,2024-2025,4,0,6,12,0.4
raul chasco,valladolid,La-Liga,2024-2025,3,0,3,2,
pep chavarria,rayo vallecano,La-Liga,2024-2025,31,3,79,114,0.434
walid cheddira,espanyol,La-Liga,2024-2025,30,11,2,19,0.375
chema,real madrid,La-Liga,2024-2025,1,0,0,0,0.5
julian chicco,leganes,La-Liga,2024-2025,1,0,3,12,0.091
chiquinho,mallorca,La-Liga,2024-2025,6,0,9,10,0.0
andreas christensen,barcelona,La-Liga,2024-2025,5,0,0,14,0.7859999999999999
jasper cillessen,las palmas,La-Liga,2024-2025,0,0,0,20,0.5
pathe ciss,rayo vallecano,La-Liga,2024-2025,45,0,4,148,0.615
seydouba cisse,leganes,La-Liga,2024-2025,39,2,10,154,0.397
silvi clua,girona,La-Liga,2024-2025,5,0,0,4,0.667
eray comert,valladolid,La-Liga,2024-2025,18,0,0,51,0.45
santi comesana,villarreal,La-Liga,2024-2025,37,1,14,160,0.395
diego conde,villarreal,La-Liga,2024-2025,0,0,0,30,1.0
tomas conechny,alaves,La-Liga,2024-2025,28,5,31,45,0.535
copete,mallorca,La-Liga,2024-2025,27,0,7,46,0.628
iker cordoba,valencia,La-Liga,2024-2025,0,0,1,1,1.0
angel correa,atletico madrid,La-Liga,2024-2025,18,4,24,40,0.111
thierry correia,valencia,La-Liga,2024-2025,15,0,18,38,0.33299999999999996
coba da costa,getafe,La-Liga,2024-2025,10,0,41,35,0.5
logan costa,villarreal,La-Liga,2024-2025,19,2,5,104,0.5539999999999999
samu costa,mallorca,La-Liga,2024-2025,62,2,20,129,0.63
thibaut courtois,real madrid,La-Liga,2024-2025,0,0,0,45,1.0
juan cruz armada,osasuna,La-Liga,2024-2025,16,2,11,46,0.474
juan cruz,leganes,La-Liga,2024-2025,14,7,92,109,0.441
pau cubarsi,barcelona,La-Liga,2024-2025,24,0,2,102,0.585
cucho,betis,La-Liga,2024-2025,10,5,12,28,0.45299999999999996
arnaut danjuma,villarreal,La-Liga,2024-2025,1,3,0,2,1.0
arnaut danjuma,girona,La-Liga,2024-2025,16,14,76,40,0.25
sergi darder,mallorca,La-Liga,2024-2025,21,3,163,122,0.565
rodrigo de paul,atletico madrid,La-Liga,2024-2025,19,0,59,128,0.364
mouctar diakhaby,valencia,La-Liga,2024-2025,2,0,1,23,0.7829999999999999
assane diao,betis,La-Liga,2024-2025,4,2,4,12,0.5710000000000001
moussa diarra,alaves,La-Liga,2024-2025,28,1,23,76,0.517
brahim diaz,real madrid,La-Liga,2024-2025,14,1,8,54,0.17600000000000002
daniel diaz,real sociedad,La-Liga,2024-2025,1,0,0,0,1.0
pedro diaz,rayo vallecano,La-Liga,2024-2025,7,0,42,80,0.385
diego,leganes,La-Liga,2024-2025,22,7,5,25,0.341
stole dimitrievski,valencia,La-Liga,2024-2025,0,0,0,7,
yan diomande,leganes,La-Liga,2024-2025,8,2,12,41,0.2
alvaro djalo,athletic club,La-Liga,2024-2025,19,5,14,28,0.345
djene,getafe,La-Liga,2024-2025,40,1,32,102,0.589
marko dmitrovic,leganes,La-Liga,2024-2025,1,0,0,37,1.0
marc domenech,mallorca,La-Liga,2024-2025,5,0,4,8,0.5329999999999999
carlos dominguez,celta vigo,La-Liga,2024-2025,8,0,0,45,0.6509999999999999
israel dominguez,sevilla,La-Liga,2024-2025,0,1,0,0,0.0
sergi dominguez,barcelona,La-Liga,2024-2025,2,0,0,8,0.25
anastasios douvikas,celta vigo,La-Liga,2024-2025,10,9,1,15,0.37799999999999995
domingos duarte,getafe,La-Liga,2024-2025,24,0,0,63,0.609
duk,leganes,La-Liga,2024-2025,5,0,8,11,0.28600000000000003
pablo duran,celta vigo,La-Liga,2024-2025,32,7,18,46,0.289
hugo duro,valencia,La-Liga,2024-2025,38,7,7,46,0.369
chidera ejuke,sevilla,La-Liga,2024-2025,6,4,22,63,0.308
aritz elustondo,real sociedad,La-Liga,2024-2025,25,1,4,53,0.537
adri embarba,rayo vallecano,La-Liga,2024-2025,25,14,114,67,0.28300000000000003
endrick,real madrid,La-Liga,2024-2025,10,2,2,7,0.6
alfonso espino,rayo vallecano,La-Liga,2024-2025,18,0,24,55,0.56
dario essugo,las palmas,La-Liga,2024-2025,37,0,1,118,0.484
etienne etoo,rayo vallecano,La-Liga,2024-2025,0,1,0,0,0.75
karl etta,villarreal,La-Liga,2024-2025,0,0,0,0,1.0
edu exposito,espanyol,La-Liga,2024-2025,14,2,66,63,0.5
abde ezzalzouli,betis,La-Liga,2024-2025,23,4,49,102,0.413
ansu fati,barcelona,La-Liga,2024-2025,2,2,0,7,0.222
nabil fekir,betis,La-Liga,2024-2025,3,0,10,3,0.0
kiko femenia,villarreal,La-Liga,2024-2025,21,1,47,102,0.294
aitor fernandez,osasuna,La-Liga,2024-2025,0,0,0,2,
alvaro fernandez,sevilla,La-Liga,2024-2025,0,0,0,11,1.0
pelayo fernandez,rayo vallecano,La-Liga,2024-2025,2,0,0,4,0.5
roberto fernandez,espanyol,La-Liga,2024-2025,28,9,2,33,0.386
valery fernandez,mallorca,La-Liga,2024-2025,3,1,3,19,0.2
andre ferreira,valladolid,La-Liga,2024-2025,0,0,0,6,0.0
mateo flores,betis,La-Liga,2024-2025,4,0,1,12,0.0
pablo fornals,betis,La-Liga,2024-2025,12,3,54,114,0.462
hector fort,barcelona,La-Liga,2024-2025,8,0,12,32,0.3
dimitri foulquier,valencia,La-Liga,2024-2025,24,1,57,97,0.39399999999999996
juan foyth,villarreal,La-Liga,2024-2025,16,0,4,61,0.594
fran,real madrid,La-Liga,2024-2025,0,0,0,1,
alejandro frances,girona,La-Liga,2024-2025,20,1,25,37,0.316
enric franquesa,leganes,La-Liga,2024-2025,8,0,16,29,0.5
jorge de frutos,rayo vallecano,La-Liga,2024-2025,41,9,69,111,0.385
dario fuentes,sevilla,La-Liga,2024-2025,0,0,0,0,
manuel fuster,las palmas,La-Liga,2024-2025,12,1,67,63,0.188
javi galan,atletico madrid,La-Liga,2024-2025,38,4,57,71,0.5
inigo ruiz de galarreta,athletic club,La-Liga,2024-2025,43,1,29,120,0.4
conor gallagher,atletico madrid,La-Liga,2024-2025,32,1,13,107,0.3
facundo garces,alaves,La-Liga,2024-2025,7,0,1,14,0.48100000000000004
alvaro garcia,rayo vallecano,La-Liga,2024-2025,18,16,109,94,0.33299999999999996
eric garcia,barcelona,La-Liga,2024-2025,20,0,7,54,0.519
fran garcia,real madrid,La-Liga,2024-2025,13,4,66,106,0.447
gonzalo garcia,real madrid,La-Liga,2024-2025,0,0,0,1,1.0
joan garcia,espanyol,La-Liga,2024-2025,0,0,0,35,0.955
pablo garcia,betis,La-Liga,2024-2025,0,1,2,3,
ruben garcia,osasuna,La-Liga,2024-2025,36,10,136,122,0.431
unai garcia,osasuna,La-Liga,2024-2025,3,0,0,2,0.16699999999999998
yarek gasiorowski,valencia,La-Liga,2024-2025,5,0,3,40,0.649
gavi,barcelona,La-Liga,2024-2025,38,1,9,61,0.447
paulo gazzaniga,girona,La-Liga,2024-2025,1,0,0,47,0.33299999999999996
bryan gil,girona,La-Liga,2024-2025,22,4,78,78,0.0
dani gomez,valencia,La-Liga,2024-2025,7,10,0,14,0.226
moi gomez,osasuna,La-Liga,2024-2025,14,1,28,66,0.368
sergi gomez,espanyol,La-Liga,2024-2025,6,0,1,15,0.33299999999999996
sergio gomez,real sociedad,La-Liga,2024-2025,29,9,231,146,0.47600000000000003
unai gomez,athletic club,La-Liga,2024-2025,12,0,23,42,0.483
fabio gonzalez,las palmas,La-Liga,2024-2025,1,0,1,3,1.0
peter gonzalez,getafe,La-Liga,2024-2025,9,2,14,20,0.435
urko gonzalez,espanyol,La-Liga,2024-2025,15,1,3,71,0.5710000000000001
urko gonzalez,real sociedad,La-Liga,2024-2025,1,0,1,0,0.0
andoni gorosabel,athletic club,La-Liga,2024-2025,24,1,41,56,0.41700000000000004
jose gragera,espanyol,La-Liga,2024-2025,18,0,0,18,0.688
dominik greif,mallorca,La-Liga,2024-2025,0,0,0,42,0.778
antoine griezmann,atletico madrid,La-Liga,2024-2025,11,14,138,93,0.47700000000000004
florian grillitsch,valladolid,La-Liga,2024-2025,6,0,6,42,0.556
vicente guaita,celta vigo,La-Liga,2024-2025,0,0,0,75,1.0
sergi guardiola,rayo vallecano,La-Liga,2024-2025,9,2,4,7,0.33299999999999996
nemanja gudelj,sevilla,La-Liga,2024-2025,26,0,31,74,0.639
javier guerra,valencia,La-Liga,2024-2025,34,1,45,168,0.486
ander guevara,alaves,La-Liga,2024-2025,39,0,5,120,0.435
pape gueye,villarreal,La-Liga,2024-2025,31,4,20,126,0.574
hugo guillamon,valencia,La-Liga,2024-2025,6,1,1,21,0.556
carlos guirao,betis,La-Liga,2024-2025,4,0,0,6,0.667
arda guler,real madrid,La-Liga,2024-2025,15,4,57,56,0.389
gerard gumbau,rayo vallecano,La-Liga,2024-2025,21,2,38,27,0.436
jon guridi,alaves,La-Liga,2024-2025,35,5,17,86,0.41600000000000004
gorka guruzeta,athletic club,La-Liga,2024-2025,40,7,5,61,0.34299999999999997
miguel gutierrez,girona,La-Liga,2024-2025,29,6,153,144,0.2
munir el haddadi,leganes,La-Liga,2024-2025,14,7,13,33,0.294
sebastien haller,leganes,La-Liga,2024-2025,4,7,0,10,0.605
henrique,valladolid,La-Liga,2024-2025,5,0,3,9,0.33299999999999996
javi hernandez,leganes,La-Liga,2024-2025,49,5,52,112,0.47700000000000004
aridane hernandez,rayo vallecano,La-Liga,2024-2025,5,0,0,48,0.6779999999999999
jorge herrando,osasuna,La-Liga,2024-2025,25,0,2,36,0.725
ander herrera,athletic club,La-Liga,2024-2025,6,0,1,14,0.6
sergio herrera,osasuna,La-Liga,2024-2025,1,0,0,33,0.833
yangel herrera,girona,La-Liga,2024-2025,72,5,44,106,0.526
juan herzog,las palmas,La-Liga,2024-2025,6,0,0,41,0.638
omar el hilali,espanyol,La-Liga,2024-2025,52,7,57,132,0.545
roger hinojo,espanyol,La-Liga,2024-2025,0,0,2,0,0.0
dinko horkas,las palmas,La-Liga,2024-2025,1,0,0,14,
pablo ibanez,osasuna,La-Liga,2024-2025,28,0,13,56,0.442
stanis idumbo,sevilla,La-Liga,2024-2025,1,0,0,19,1.0
iglesias,getafe,La-Liga,2024-2025,45,1,84,107,0.479
borja iglesias,celta vigo,La-Liga,2024-2025,40,14,6,46,0.341
kelechi iheanacho,sevilla,La-Liga,2024-2025,5,7,0,7,0.2
isco,betis,La-Liga,2024-2025,23,4,92,71,0.382
diego iturralde,sevilla,La-Liga,2024-2025,1,0,0,1,1.0
ivan jaime pajuelo,valencia,La-Liga,2024-2025,8,1,6,19,0.5
karl jakob hein,valladolid,La-Liga,2024-2025,0,0,0,43,1.0
adnan januzaj,las palmas,La-Liga,2024-2025,5,0,65,30,0.222
mikel jauregizar,athletic club,La-Liga,2024-2025,46,0,27,144,0.493
john joe,getafe,La-Liga,2024-2025,1,0,0,3,0.5
jofre,espanyol,La-Liga,2024-2025,28,3,54,105,0.22699999999999998
frenkie de jong,barcelona,La-Liga,2024-2025,14,0,6,57,0.588
joan jordan,alaves,La-Liga,2024-2025,28,1,106,61,0.552
juanmi,getafe,La-Liga,2024-2025,19,6,0,23,0.429
juanmi,betis,La-Liga,2024-2025,6,1,1,14,0.857
juanpe,girona,La-Liga,2024-2025,4,0,1,22,0.735
abdulai juma bah,valladolid,La-Liga,2024-2025,6,0,0,35,0.705
luiz lucio reis junior,villarreal,La-Liga,2024-2025,0,0,0,18,0.857
vinicius junior,real madrid,La-Liga,2024-2025,30,10,56,71,0.125
stanko juric,valladolid,La-Liga,2024-2025,38,0,0,92,0.6940000000000001
willy kambwala,villarreal,La-Liga,2024-2025,5,0,0,30,0.47100000000000003
abdoulaye keita,getafe,La-Liga,2024-2025,6,0,1,6,0.5
kenedy,valladolid,La-Liga,2024-2025,0,0,0,1,
kike,alaves,La-Liga,2024-2025,49,22,13,90,0.524
koke,atletico madrid,La-Liga,2024-2025,23,0,22,122,0.47100000000000003
jules kounde,barcelona,La-Liga,2024-2025,22,7,63,107,0.5660000000000001
alex kral,espanyol,La-Liga,2024-2025,31,0,38,127,0.5760000000000001
