Player,Squad,Liga,Season,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,Pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA
jones elabdellaoui,celta vigo,La-Liga,2025-2026,21,0.8079999999999999,13,0.846,9,0.889,1,1.0,0.1,0.1,-0.1,0,1,1
abdel abqar,getafe,La-Liga,2025-2026,22,0.759,8,0.875,15,0.9329999999999999,5,0.2,0.0,0.0,0.0,2,0,0
akor adams,sevilla,La-Liga,2025-2026,16,0.615,11,0.818,10,0.6,1,1.0,0.1,0.0,+0.9,0,1,0
david affengruber,elche,La-Liga,2025-2026,249,0.902,120,0.925,127,0.945,23,0.609,0.0,0.1,0.0,15,2,0
julen agirrezabala,valencia,La-Liga,2025-2026,107,0.695,21,1.0,55,0.982,78,0.41,0.0,0.0,0.0,0,0,0
lucien agoume,sevilla,La-Liga,2025-2026,157,0.826,85,0.929,70,0.871,27,0.444,0.4,0.2,-0.4,26,3,0
marc aguado,elche,La-Liga,2025-2026,135,0.938,74,0.973,55,0.982,5,0.8,0.0,0.0,0.0,14,0,0
lucas ahijado,oviedo,La-Liga,2025-2026,37,0.698,24,0.75,19,0.737,8,0.625,0.0,0.0,0.0,2,0,0
ilias akhomach,villarreal,La-Liga,2025-2026,19,0.8640000000000001,7,1.0,9,0.889,5,0.8,0.2,0.3,-0.2,2,1,1
david alaba,real madrid,La-Liga,2025-2026,0,0.0,0,,0,,1,0.0,0.0,0.0,0.0,0,0,0
alexandre alemao,rayo vallecano,La-Liga,2025-2026,3,0.75,1,1.0,2,0.5,1,1.0,0.0,0.0,0.0,0,0,0
carles alena,alaves,La-Liga,2025-2026,146,0.8109999999999999,86,0.919,59,0.8640000000000001,26,0.462,0.6,0.9,+0.4,18,4,4
trent alexanderarnold,real madrid,La-Liga,2025-2026,111,0.787,68,0.9259999999999999,40,0.8,24,0.41700000000000004,0.0,0.1,0.0,10,0,0
alfon,sevilla,La-Liga,2025-2026,30,0.769,20,0.9,15,0.733,0,,0.1,0.1,-0.1,4,1,0
thiago almada,atletico madrid,La-Liga,2025-2026,107,0.843,52,0.9229999999999999,52,0.9420000000000001,15,0.467,0.6,0.4,-0.6,10,3,1
domingos andre ribeiro almeida,valencia,La-Liga,2025-2026,9,0.6920000000000001,3,1.0,7,0.7140000000000001,3,0.33299999999999996,0.0,0.0,0.0,1,1,0
marcos alonso,celta vigo,La-Liga,2025-2026,176,0.884,80,0.95,92,0.9129999999999999,22,0.636,0.0,0.2,0.0,20,1,0
sergi altimira,betis,La-Liga,2025-2026,232,0.924,120,0.9420000000000001,99,0.9390000000000001,24,0.833,0.2,0.2,+0.8,18,0,0
carlos alvarez,levante,La-Liga,2025-2026,47,0.662,27,0.778,29,0.759,9,0.33299999999999996,0.5,0.6,+0.5,12,4,0
hugo alvarez,celta vigo,La-Liga,2025-2026,62,0.838,39,0.872,27,0.9259999999999999,3,0.667,0.1,0.1,-0.1,3,5,0
julian alvarez,atletico madrid,La-Liga,2025-2026,103,0.763,69,0.841,35,0.914,20,0.35,1.0,0.9,0.0,6,8,0
sofyan amrabat,betis,La-Liga,2025-2026,13,0.929,5,1.0,6,0.833,3,1.0,0.0,0.0,0.0,2,0,0
miguel angel rubio,espanyol,La-Liga,2025-2026,36,0.818,19,0.9470000000000001,19,0.8420000000000001,5,0.2,0.0,0.0,0.0,1,0,0
antoniu,espanyol,La-Liga,2025-2026,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0
antony,betis,La-Liga,2025-2026,35,0.66,24,0.708,19,0.789,7,0.28600000000000003,0.1,0.1,-0.1,4,3,1
mauro arambarri,getafe,La-Liga,2025-2026,80,0.825,47,0.872,36,0.861,10,0.6,0.1,0.1,-0.1,4,1,0
jon aramburu,real sociedad,La-Liga,2025-2026,192,0.797,104,0.9420000000000001,100,0.79,24,0.542,0.2,0.1,-0.2,28,2,2
ronald araujo,barcelona,La-Liga,2025-2026,96,0.897,41,0.976,59,0.898,7,0.429,0.0,0.0,0.0,8,0,0
jesus areso,athletic club,La-Liga,2025-2026,119,0.735,66,0.8640000000000001,66,0.6970000000000001,24,0.583,0.3,0.3,-0.3,6,5,3
kervin arriaga,levante,La-Liga,2025-2026,6,0.857,2,1.0,4,1.0,0,,0.0,0.0,0.0,2,0,0
takuma asano,mallorca,La-Liga,2025-2026,14,0.609,16,0.688,5,0.6,0,,0.0,0.0,0.0,0,1,0
raul asencio,real madrid,La-Liga,2025-2026,2,0.667,2,0.5,1,1.0,0,,0.0,0.0,0.0,0,0,0
iago aspas,celta vigo,La-Liga,2025-2026,141,0.758,79,0.873,61,0.82,27,0.63,0.8,0.8,-0.8,16,11,3
yaser asprilla,girona,La-Liga,2025-2026,55,0.7859999999999999,21,0.9520000000000001,32,0.7809999999999999,13,0.6920000000000001,0.6,0.6,-0.6,2,6,1
ezequiel avila,betis,La-Liga,2025-2026,10,0.769,5,0.8,4,0.5,1,1.0,0.0,0.0,0.0,1,1,0
cesar azpilicueta,sevilla,La-Liga,2025-2026,47,0.7829999999999999,22,0.955,27,0.741,9,0.444,0.0,0.0,0.0,7,1,1
alex baena,atletico madrid,La-Liga,2025-2026,27,0.8440000000000001,11,1.0,18,0.778,3,0.667,0.5,0.2,-0.5,1,4,0
cedric bakambu,betis,La-Liga,2025-2026,8,0.667,10,0.7,1,0.0,0,,0.0,0.0,0.0,1,0,0
alejandro balde,barcelona,La-Liga,2025-2026,135,0.9179999999999999,85,0.941,57,0.895,3,0.667,0.4,0.7,-0.4,4,3,1
roony bardghji,barcelona,La-Liga,2025-2026,13,0.813,7,0.7140000000000001,7,0.857,2,1.0,0.2,0.1,-0.2,0,1,0
kike barja,osasuna,La-Liga,2025-2026,1,0.25,1,1.0,1,0.0,2,0.0,0.0,0.0,0.0,0,0,0
ander barrenetxea,real sociedad,La-Liga,2025-2026,125,0.7440000000000001,63,0.9209999999999999,72,0.792,24,0.41700000000000004,0.5,0.8,-0.5,6,6,2
pablo barrios,atletico madrid,La-Liga,2025-2026,205,0.82,122,0.877,85,0.894,30,0.5329999999999999,0.2,0.2,-0.2,27,8,2
marc bartra,betis,La-Liga,2025-2026,181,0.8959999999999999,61,0.951,91,0.9670000000000001,43,0.698,0.0,0.0,0.0,13,0,0
augusto batalla,rayo vallecano,La-Liga,2025-2026,99,0.6559999999999999,12,1.0,43,0.977,95,0.46299999999999997,0.0,0.0,0.0,8,1,0
samu becerra,rayo vallecano,La-Liga,2025-2026,5,0.833,2,1.0,4,0.75,0,,0.0,0.1,0.0,0,1,1
donny van de beek,girona,La-Liga,2025-2026,4,1.0,3,1.0,1,1.0,0,,0.0,0.0,0.0,1,0,0
ismael bekhoucha,getafe,La-Liga,2025-2026,14,0.583,11,0.727,6,0.667,4,0.5,1.0,0.0,0.0,2,0,0
hector bellerin,betis,La-Liga,2025-2026,200,0.84,114,0.904,96,0.885,19,0.474,0.8,0.7,-0.8,16,6,2
fran beltran,celta vigo,La-Liga,2025-2026,34,0.895,15,0.9329999999999999,19,0.9470000000000001,3,0.667,0.0,0.0,0.0,4,0,0
lucas beltran,valencia,La-Liga,2025-2026,3,1.0,3,1.0,0,,0,,0.0,0.0,0.0,1,0,0
carlos benavidez,alaves,La-Liga,2025-2026,4,0.8,5,0.8,0,,0,,0.0,0.0,0.0,0,0,0
iker benito,osasuna,La-Liga,2025-2026,14,0.737,12,0.833,7,0.5710000000000001,0,,0.0,0.0,0.0,0,0,0
yuri berchiche,athletic club,La-Liga,2025-2026,211,0.8079999999999999,123,0.862,118,0.831,12,0.583,0.5,0.2,-0.5,18,2,2
alex berenguer,athletic club,La-Liga,2025-2026,99,0.7170000000000001,64,0.875,35,0.7140000000000001,31,0.452,0.7,0.9,-0.7,4,9,3
marc bernal,barcelona,La-Liga,2025-2026,8,1.0,5,1.0,3,1.0,0,,0.6,0.2,+0.4,1,0,0
pedro bigas,elche,La-Liga,2025-2026,270,0.865,125,0.976,136,0.934,40,0.4,0.2,0.1,+0.8,27,4,2
antonio blanco,alaves,La-Liga,2025-2026,186,0.823,107,0.907,87,0.782,20,0.75,0.1,0.2,-0.1,22,0,0
daley blind,girona,La-Liga,2025-2026,178,0.899,76,0.9740000000000001,89,0.955,30,0.633,0.1,0.3,-0.1,22,5,1
rahim bonkano,oviedo,La-Liga,2025-2026,121,0.7659999999999999,79,0.924,48,0.792,20,0.35,0.0,0.1,0.0,3,7,1
