Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
max aarons,valencia,La-Liga,2024-2025,21,28,36,0,85,4,0.25,2,0.5,103,3,0,3,1
rodrigo abajas,valencia,La-Liga,2024-2025,8,19,9,1,36,1,1.0,0,0.0,67,2,1,0,2
nabil aberdin,getafe,La-Liga,2024-2025,21,56,10,2,87,3,0.667,1,0.33299999999999996,74,0,0,1,1
abdel abqar,alaves,La-Liga,2024-2025,659,545,58,25,1251,4,0.75,1,0.25,2013,7,0,18,3
akor adams,sevilla,La-Liga,2024-2025,4,18,12,1,34,1,1.0,0,0.0,0,0,0,2,0
adrian,betis,La-Liga,2024-2025,657,1,0,0,658,0,,0,,1161,0,0,1,0
julen agirrezabala,athletic club,La-Liga,2024-2025,436,1,0,0,437,0,,0,,682,0,0,1,0
lucien agoume,sevilla,La-Liga,2024-2025,386,867,248,19,1481,30,0.733,7,0.233,1597,23,2,26,13
alvaro aguado,espanyol,La-Liga,2024-2025,68,161,78,6,303,8,0.625,2,0.25,753,10,4,9,4
lorenzo aguado,real madrid,La-Liga,2024-2025,3,0,0,0,3,0,,0,,0,0,0,0,1
nayef aguerd,real sociedad,La-Liga,2024-2025,729,815,53,16,1594,10,0.5,2,0.2,3798,18,0,7,3
joseph aidoo,valladolid,La-Liga,2024-2025,265,168,2,1,431,1,1.0,0,0.0,678,0,0,0,1
joseph aidoo,celta vigo,La-Liga,2024-2025,4,4,0,0,8,0,,0,,8,0,0,0,1
ilias akhomach,villarreal,La-Liga,2024-2025,44,89,163,29,293,43,0.442,17,0.395,759,18,20,15,10
david alaba,real madrid,La-Liga,2024-2025,137,100,11,2,247,0,,0,,482,1,0,1,0
ibrahim alani,valladolid,La-Liga,2024-2025,36,74,4,0,113,1,1.0,0,0.0,130,0,0,1,2
raul albiol,villarreal,La-Liga,2024-2025,533,369,14,3,915,0,,0,,1226,1,0,3,1
omar alderete,getafe,La-Liga,2024-2025,681,796,122,39,1585,28,0.643,10,0.35700000000000004,2546,20,2,30,9
carles alena,getafe,La-Liga,2024-2025,26,84,56,10,163,4,0.75,1,0.25,169,2,1,3,6
carles alena,alaves,La-Liga,2024-2025,63,290,243,22,590,24,0.5,5,0.20800000000000002,671,25,2,23,14
alfon,celta vigo,La-Liga,2024-2025,44,139,374,114,551,63,0.397,31,0.49200000000000005,1693,39,47,29,20
tadeo allende,celta vigo,La-Liga,2024-2025,1,3,0,0,4,1,0.0,1,1.0,4,0,0,0,0
domingos andre ribeiro almeida,valencia,La-Liga,2024-2025,150,596,428,43,1162,54,0.40700000000000003,22,0.40700000000000003,1810,48,11,37,38
iker almena,girona,La-Liga,2024-2025,4,6,30,1,39,3,0.667,1,0.33299999999999996,152,3,1,1,0
marcos alonso,celta vigo,La-Liga,2024-2025,1022,1399,298,35,2680,25,0.64,8,0.32,6481,48,2,20,9
adria altimira,leganes,La-Liga,2024-2025,248,380,209,8,826,31,0.32299999999999995,12,0.387,1049,23,4,28,7
sergi altimira,betis,La-Liga,2024-2025,321,940,272,18,1521,24,0.667,7,0.292,1635,14,1,27,21
hugo alvarez,celta vigo,La-Liga,2024-2025,262,471,489,82,1214,72,0.444,38,0.528,2266,38,41,33,12
julian alvarez,atletico madrid,La-Liga,2024-2025,105,501,649,116,1234,65,0.523,28,0.431,2198,51,29,62,40
yeray alvarez,athletic club,La-Liga,2024-2025,554,825,55,14,1425,9,0.667,3,0.33299999999999996,3165,8,0,11,7
selim amallah,valladolid,La-Liga,2024-2025,101,334,184,18,606,68,0.485,27,0.397,836,17,6,35,25
amath,valladolid,La-Liga,2024-2025,24,71,73,12,166,16,0.43799999999999994,9,0.563,318,9,4,10,4
marcos andre,valladolid,La-Liga,2024-2025,46,208,128,32,372,41,0.415,18,0.439,345,9,5,40,23
leandro antonetti,sevilla,La-Liga,2024-2025,2,4,7,0,12,1,0.0,1,1.0,43,1,0,2,1
antoniu,espanyol,La-Liga,2024-2025,74,150,158,20,369,54,0.537,17,0.315,966,23,5,27,12
antony,betis,La-Liga,2024-2025,100,315,585,63,982,63,0.381,33,0.524,2729,77,30,53,20
anuar,valladolid,La-Liga,2024-2025,214,324,173,28,705,24,0.292,12,0.5,834,15,6,25,14
aritz arambarri,leganes,La-Liga,2024-2025,59,26,1,1,86,0,,0,,137,0,0,1,0
mauro arambarri,getafe,La-Liga,2024-2025,203,693,264,72,1143,34,0.529,12,0.353,863,8,3,60,29
jon aramburu,real sociedad,La-Liga,2024-2025,630,936,336,20,1887,37,0.21600000000000003,26,0.703,1502,20,0,34,12
ronald araujo,barcelona,La-Liga,2024-2025,227,542,32,9,798,1,0.0,1,1.0,1731,4,0,2,1
adu ares,athletic club,La-Liga,2024-2025,2,3,6,1,11,1,0.0,1,1.0,29,1,0,0,2
jesus areso,osasuna,La-Liga,2024-2025,423,767,730,23,1902,64,0.375,32,0.5,2869,66,9,62,29
