Player,Squad,Liga,Season,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG
jones elabdellaoui,celta vigo,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
abdel abqar,getafe,La-Liga,2025-2026,1,0,0.00,0.0,0.0,0.02,0.0
akor adams,sevilla,La-Liga,2025-2026,6,3,0.00,0.7,0.7,0.11,-0.7
david affengruber,elche,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
julen agirrezabala,valencia,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
lucien agoume,sevilla,La-Liga,2025-2026,1,1,1.00,0.1,0.1,0.09,+0.9
marc aguado,elche,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
lucas ahijado,oviedo,La-Liga,2025-2026,1,0,0.00,0.0,0.0,0.02,0.0
ilias akhomach,villarreal,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
david alaba,real madrid,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
alexandre alemao,rayo vallecano,La-Liga,2025-2026,3,1,0.00,0.2,0.2,0.07,-0.2
carles alena,alaves,La-Liga,2025-2026,3,0,0.00,0.1,0.1,0.03,-0.1
trent alexanderarnold,real madrid,La-Liga,2025-2026,1,0,0.00,0.0,0.0,0.02,0.0
alfon,sevilla,La-Liga,2025-2026,4,3,0.25,0.2,0.2,0.06,+0.8
thiago almada,atletico madrid,La-Liga,2025-2026,3,1,0.00,0.2,0.2,0.07,-0.2
domingos andre ribeiro almeida,valencia,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
marcos alonso,celta vigo,La-Liga,2025-2026,3,0,0.00,0.1,0.1,0.03,-0.1
sergi altimira,betis,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
carlos alvarez,levante,La-Liga,2025-2026,1,0,0.00,0.1,0.1,0.07,-0.1
hugo alvarez,celta vigo,La-Liga,2025-2026,1,1,1.00,0.1,0.1,0.05,+0.9
julian alvarez,atletico madrid,La-Liga,2025-2026,8,4,0.13,0.7,0.7,0.09,+0.3
sofyan amrabat,betis,La-Liga,2025-2026,1,0,0.00,0.1,0.1,0.06,-0.1
miguel angel rubio,espanyol,La-Liga,2025-2026,1,1,1.00,0.7,0.7,0.65,+0.3
antoniu,espanyol,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
antony,betis,La-Liga,2025-2026,6,3,0.00,0.2,0.2,0.04,-0.2
mauro arambarri,getafe,La-Liga,2025-2026,9,3,0.00,0.5,0.5,0.06,-0.5
jon aramburu,real sociedad,La-Liga,2025-2026,5,2,0.00,0.2,0.2,0.04,-0.2
ronald araujo,barcelona,La-Liga,2025-2026,1,0,0.00,0.0,0.0,0.03,0.0
jesus areso,athletic club,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
kervin arriaga,levante,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
takuma asano,mallorca,La-Liga,2025-2026,1,0,0.00,0.0,0.0,0.04,0.0
raul asencio,real madrid,La-Liga,2025-2026,1,1,0.00,0.1,0.1,0.07,-0.1
iago aspas,celta vigo,La-Liga,2025-2026,9,3,0.00,1.0,1.0,0.11,-1.0
yaser asprilla,girona,La-Liga,2025-2026,9,4,0.00,0.2,0.2,0.03,-0.2
ezequiel avila,betis,La-Liga,2025-2026,1,0,0.00,0.3,0.3,0.27,-0.3
cesar azpilicueta,sevilla,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
alex baena,atletico madrid,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
cedric bakambu,betis,La-Liga,2025-2026,2,1,0.50,0.3,0.3,0.13,+0.7
alejandro balde,barcelona,La-Liga,2025-2026,1,0,0.00,0.1,0.1,0.07,-0.1
roony bardghji,barcelona,La-Liga,2025-2026,2,1,0.00,0.0,0.0,0.02,0.0
kike barja,osasuna,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
ander barrenetxea,real sociedad,La-Liga,2025-2026,11,2,0.09,0.4,0.4,0.04,+0.6
pablo barrios,atletico madrid,La-Liga,2025-2026,6,1,0.17,0.7,0.7,0.11,+0.3
marc bartra,betis,La-Liga,2025-2026,2,1,0.50,0.1,0.1,0.04,+0.9
augusto batalla,rayo vallecano,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
samu becerra,rayo vallecano,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
donny van de beek,girona,La-Liga,2025-2026,1,1,0.00,0.0,0.0,0.03,0.0
ismael bekhoucha,getafe,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
hector bellerin,betis,La-Liga,2025-2026,3,3,0.00,0.1,0.1,0.05,-0.1
fran beltran,celta vigo,La-Liga,2025-2026,1,0,0.00,0.1,0.1,0.08,-0.1
lucas beltran,valencia,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
carlos benavidez,alaves,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
iker benito,osasuna,La-Liga,2025-2026,1,1,1.00,0.5,0.5,0.53,+0.5
yuri berchiche,athletic club,La-Liga,2025-2026,2,0,0.00,0.1,0.1,0.04,-0.1
alex berenguer,athletic club,La-Liga,2025-2026,6,2,0.00,0.4,0.4,0.07,-0.4
marc bernal,barcelona,La-Liga,2025-2026,0,0,,0.0,0.0,,0.0
