Player,Squad,Liga,Season,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR
max aarons,valencia,La-Liga,2024-2025,2000,4,1,120,0,0,2,0,0,6,10
rodrigo abajas,valencia,La-Liga,2024-2025,2003,1,1,65,0,0,1,0,3,2,3
nabil aberdin,getafe,La-Liga,2024-2025,2002,7,4,263,0,0,1,0,2,6,2
abdel abqar,alaves,La-Liga,2024-2025,1999,29,29,2463,0,1,13,0,16,79,4
akor adams,sevilla,La-Liga,2024-2025,2000,4,1,134,0,0,0,0,0,5,5
adrian,betis,La-Liga,2024-2025,1987,19,19,1710,0,0,3,0,0,0,0
julen agirrezabala,athletic club,La-Liga,2024-2025,2000,14,14,1206,0,0,1,1,0,0,0
lucien agoume,sevilla,La-Liga,2024-2025,2002,35,24,2114,1,3,5,1,29,135,23
alvaro aguado,espanyol,La-Liga,2024-2025,1996,16,4,443,0,1,3,0,15,37,4
lorenzo aguado,real madrid,La-Liga,2024-2025,2002,2,0,5,0,0,0,0,0,0,0
nayef aguerd,real sociedad,La-Liga,2024-2025,1996,21,21,1760,0,0,5,0,26,75,1
joseph aidoo,valladolid,La-Liga,2024-2025,1995,8,6,583,0,0,0,0,1,14,0
joseph aidoo,celta vigo,La-Liga,2024-2025,1995,1,0,2,0,0,0,0,0,1,0
ilias akhomach,villarreal,La-Liga,2024-2025,2004,11,7,584,1,0,1,0,30,12,64
david alaba,real madrid,La-Liga,2024-2025,1992,7,4,317,0,0,1,0,2,7,4
ibrahim alani,valladolid,La-Liga,2024-2025,2006,3,1,160,0,0,0,0,2,5,1
raul albiol,villarreal,La-Liga,2024-2025,1985,15,14,1188,0,0,5,0,3,34,0
omar alderete,getafe,La-Liga,2024-2025,1996,34,34,2971,1,0,8,0,25,112,7
carles alena,getafe,La-Liga,2024-2025,1998,10,5,452,0,0,1,0,3,12,10
carles alena,alaves,La-Liga,2024-2025,1998,14,13,1090,0,2,1,0,18,58,43
alfon,celta vigo,La-Liga,2024-2025,1999,26,14,1371,5,2,1,1,89,22,170
tadeo allende,celta vigo,La-Liga,2024-2025,1999,1,0,2,0,0,1,0,0,0,0
domingos andre ribeiro almeida,valencia,La-Liga,2024-2025,2000,34,24,1977,0,4,2,0,45,142,77
iker almena,girona,La-Liga,2024-2025,2004,2,0,48,0,1,0,0,6,2,10
marcos alonso,celta vigo,La-Liga,2024-2025,1990,31,29,2647,3,0,10,2,64,215,49
adria altimira,leganes,La-Liga,2024-2025,2001,22,19,1630,0,0,6,0,23,42,69
sergi altimira,betis,La-Liga,2024-2025,2001,32,22,1972,0,1,4,0,25,99,30
hugo alvarez,celta vigo,La-Liga,2024-2025,2003,26,16,1572,4,3,6,0,74,60,171
julian alvarez,atletico madrid,La-Liga,2024-2025,2000,37,30,2509,17,4,5,0,79,92,162
yeray alvarez,athletic club,La-Liga,2024-2025,1995,21,20,1781,1,0,4,0,19,105,0
selim amallah,valladolid,La-Liga,2024-2025,1996,24,18,1376,3,1,6,0,24,57,27
amath,valladolid,La-Liga,2024-2025,1996,13,5,375,0,1,1,0,10,12,29
marcos andre,valladolid,La-Liga,2024-2025,1996,22,14,1188,1,2,5,0,11,16,39
leandro antonetti,sevilla,La-Liga,2024-2025,2003,2,0,28,0,0,0,0,1,0,3
antoniu,espanyol,La-Liga,2024-2025,2002,26,13,1022,0,1,3,0,35,28,63
antony,betis,La-Liga,2024-2025,2000,17,15,1362,5,2,2,1,94,67,157
anuar,valladolid,La-Liga,2024-2025,1995,26,21,1720,2,0,7,0,24,30,68
aritz arambarri,leganes,La-Liga,2024-2025,1998,2,2,177,0,0,0,0,0,2,0
mauro arambarri,getafe,La-Liga,2024-2025,1995,35,31,2661,10,0,10,0,17,75,55
jon aramburu,real sociedad,La-Liga,2024-2025,2002,35,28,2460,1,1,8,0,26,97,53
ronald araujo,barcelona,La-Liga,2024-2025,1999,12,11,754,1,1,3,0,6,49,3
adu ares,athletic club,La-Liga,2024-2025,2001,1,0,19,0,0,0,0,1,3,2
jesus areso,osasuna,La-Liga,2024-2025,1999,36,35,3079,0,3,9,0,101,106,203
david arguelles,getafe,La-Liga,2024-2025,2002,1,0,7,0,0,0,0,1,0,0
jose arnaiz,osasuna,La-Liga,2024-2025,1995,15,1,133,0,0,0,0,6,4,20
sergio arribas,betis,La-Liga,2024-2025,2003,1,1,90,0,0,0,0,0,1,4
takuma asano,mallorca,La-Liga,2024-2025,1994,21,13,1054,2,1,0,0,28,20,76
raul asencio,real madrid,La-Liga,2024-2025,2003,23,18,1670,0,1,3,0,5,27,4
iago aspas,celta vigo,La-Liga,2024-2025,1987,30,19,1745,10,5,6,1,50,132,143
yaser asprilla,girona,La-Liga,2024-2025,2003,27,15,1405,3,1,2,0,72,77,140
ezequiel avila,betis,La-Liga,2024-2025,1994,19,6,677,2,0,5,1,12,18,48
adam aznou,valladolid,La-Liga,2024-2025,2006,13,10,876,0,0,1,0,16,25,26
cesar azpilicueta,atletico madrid,La-Liga,2024-2025,1989,14,10,875,1,0,1,0,13,66,20
papa ba,girona,La-Liga,2024-2025,2004,1,0,48,0,0,0,0,1,0,2
loic bade,sevilla,La-Liga,2024-2025,2000,32,31,2686,1,1,7,1,11,62,6
alex baena,villarreal,La-Liga,2024-2025,2001,32,30,2595,7,9,9,0,91,189,154
eric bailly,villarreal,La-Liga,2024-2025,1994,12,8,617,0,0,2,1,1,18,0
stefan bajcetic,las palmas,La-Liga,2024-2025,2004,14,12,969,1,0,4,0,8,39,9
cedric bakambu,betis,La-Liga,2024-2025,1991,25,6,710,2,2,4,0,9,14,43
alejandro balde,barcelona,La-Liga,2024-2025,2003,32,26,2284,0,4,2,0,107,93,246
ivan balliu,rayo vallecano,La-Liga,2024-2025,1992,25,12,1200,0,0,3,0,8,46,21
jonathan bamba,celta vigo,La-Liga,2024-2025,1996,12,10,811,0,1,1,0,31,30,71
adrian baquerin,valladolid,La-Liga,2024-2025,2007,5,0,49,0,0,0,0,0,1,0
valentin barco,sevilla,La-Liga,2024-2025,2004,7,3,288,0,0,0,0,4,13,13
borna barisic,leganes,La-Liga,2024-2025,1992,1,1,9,0,0,0,0,0,0,0
kike barja,osasuna,La-Liga,2024-2025,1997,15,3,315,0,1,3,0,22,4,39
enzo barrenechea,valencia,La-Liga,2024-2025,2001,30,26,2191,1,2,6,0,21,126,16
ander barrenetxea,real sociedad,La-Liga,2024-2025,2001,30,14,1263,1,3,6,0,43,48,152
pablo barrios,atletico madrid,La-Liga,2024-2025,2003,31,28,2330,1,4,4,1,29,142,69
thierno barry,villarreal,La-Liga,2024-2025,2002,35,25,2323,11,4,4,0,44,27,124
marc bartra,betis,La-Liga,2024-2025,1991,25,23,2099,2,1,2,0,7,68,1
aboubacar bassinga,las palmas,La-Liga,2024-2025,2005,1,0,4,0,0,0,0,0,0,0
augusto batalla,rayo vallecano,La-Liga,2024-2025,1996,32,32,2880,0,0,6,0,0,2,0
rafael bauza,espanyol,La-Liga,2024-2025,2005,5,2,183,0,0,1,0,1,7,3
sheraldo becker,real sociedad,La-Liga,2024-2025,1995,22,11,995,2,1,1,1,51,23,110
donny van de beek,girona,La-Liga,2024-2025,1997,26,16,1421,2,2,5,0,17,45,85
luken beitia,real sociedad,La-Liga,2024-2025,2004,1,0,8,0,0,0,0,0,0,0
ismael bekhoucha,getafe,La-Liga,2024-2025,2004,5,0,69,0,0,2,0,1,1,1
hector bellerin,betis,La-Liga,2024-2025,1995,9,6,580,0,2,1,0,3,24,22
jude bellingham,real madrid,La-Liga,2024-2025,2003,31,29,2488,9,8,5,1,74,199,143
fran beltran,celta vigo,La-Liga,2024-2025,1999,34,29,2421,2,1,3,0,28,152,29
carlos benavidez,alaves,La-Liga,2024-2025,1998,18,6,487,1,1,3,0,4,26,5
iker benito,osasuna,La-Liga,2024-2025,2002,2,0,37,0,0,0,0,2,0,4
yuri berchiche,athletic club,La-Liga,2024-2025,1990,30,22,2044,0,2,5,0,43,161,66
alex berenguer,athletic club,La-Liga,2024-2025,1995,36,28,2339,6,7,5,0,65,78,216
marc bernal,barcelona,La-Liga,2024-2025,2007,3,3,242,0,0,2,0,0,8,2
juan bernat,villarreal,La-Liga,2024-2025,1993,10,1,212,0,1,0,0,4,8,23
juan bernat,getafe,La-Liga,2024-2025,1993,14,9,699,0,1,0,0,2,14,36
juan berrocal,getafe,La-Liga,2024-2025,1999,19,11,1063,0,0,8,1,1,25,1
antonio blanco,alaves,La-Liga,2024-2025,2000,35,32,2727,0,1,11,1,13,146,19
daley blind,girona,La-Liga,2024-2025,1990,34,31,2780,0,2,2,0,71,272,61
adama boiro,athletic club,La-Liga,2024-2025,2002,18,13,1101,0,0,3,0,25,46,36
enzo boyomo,osasuna,La-Liga,2024-2025,2001,34,33,2987,2,0,5,0,16,111,7
enzo boyomo,valladolid,La-Liga,2024-2025,2001,3,3,270,0,0,0,0,1,7,0
darko brasanac,leganes,La-Liga,2024-2025,1992,30,15,1617,1,2,4,0,6,43,53
abel bretones,osasuna,La-Liga,2024-2025,2000,35,20,2074,2,0,3,0,50,77,92
tajon buchanan,villarreal,La-Liga,2024-2025,1999,13,4,416,1,2,2,0,19,5,45
ante budimir,osasuna,La-Liga,2024-2025,1991,38,34,2952,21,4,4,0,23,24,134
manu bueno,sevilla,La-Liga,2024-2025,2004,9,1,140,1,0,0,0,2,5,5
endika bujan,athletic club,La-Liga,2024-2025,2003,1,0,7,0,0,0,0,1,0,0
pau cabanes,villarreal,La-Liga,2024-2025,2005,10,0,163,1,0,0,0,10,11,33
pau cabanes,alaves,La-Liga,2024-2025,2005,6,2,188,0,0,1,0,15,5,15
leandro cabrera,espanyol,La-Liga,2024-2025,1991,33,32,2869,4,2,4,1,9,69,6
fernando calero,espanyol,La-Liga,2024-2025,1995,21,6,715,1,0,1,0,0,17,2
eduardo camavinga,real madrid,La-Liga,2024-2025,2002,19,11,1102,1,2,2,0,26,61,31
sergio camello,rayo vallecano,La-Liga,2024-2025,2001,23,14,1134,3,2,2,0,20,27,68
jose campana,las palmas,La-Liga,2024-2025,1993,25,15,1189,0,3,5,0,11,87,15
peio canales,athletic club,La-Liga,2024-2025,2005,8,2,259,0,0,0,0,6,6,11
antonio candela,valladolid,La-Liga,2024-2025,2000,12,12,906,0,0,1,0,16,22,29
sergi canos,valencia,La-Liga,2024-2025,1997,17,2,370,0,1,3,0,7,9,47
dani cardenas,rayo vallecano,La-Liga,2024-2025,1997,6,6,540,0,0,0,0,0,0,0
irvin cardona,espanyol,La-Liga,2024-2025,1997,16,5,606,1,1,1,0,14,15,43
marc cardona,las palmas,La-Liga,2024-2025,1995,11,0,132,0,0,2,0,2,3,12
sergi cardona,villarreal,La-Liga,2024-2025,1999,35,34,2945,1,7,11,0,52,77,198
johnny cardoso,betis,La-Liga,2024-2025,2001,28,24,2144,3,1,4,0,19,71,28
jose carlos gonzalez,las palmas,La-Liga,2024-2025,2006,1,0,11,0,0,0,0,0,0,1
carmona,sevilla,La-Liga,2024-2025,2002,35,35,2942,0,0,11,0,45,109,57
sergio carreira,celta vigo,La-Liga,2024-2025,2000,23,19,1656,0,4,1,0,39,53,140
dani carvajal,real madrid,La-Liga,2024-2025,1992,8,7,609,1,0,1,0,13,27,48
william carvalho,betis,La-Liga,2024-2025,1992,14,6,484,0,0,1,0,5,45,10
marc casado,barcelona,La-Liga,2024-2025,2003,23,20,1611,1,3,4,1,12,107,24
catena,osasuna,La-Liga,2024-2025,1994,35,35,3074,1,3,11,0,9,89,4
maximiliano caufriez,valencia,La-Liga,2024-2025,1997,1,1,90,0,0,0,0,0,1,0
dani ceballos,real madrid,La-Liga,2024-2025,1996,23,15,1215,0,0,4,0,42,150,17
franco cervi,celta vigo,La-Liga,2024-2025,1994,7,4,273,0,0,1,0,3,14,21
raul chasco,valladolid,La-Liga,2024-2025,2003,2,1,130,0,0,0,0,1,3,2
pep chavarria,rayo vallecano,La-Liga,2024-2025,1998,34,28,2585,0,1,3,0,59,114,133
walid cheddira,espanyol,La-Liga,2024-2025,1998,22,5,640,1,1,3,0,8,12,34
chema,real madrid,La-Liga,2024-2025,2005,2,0,12,0,0,0,0,0,0,0
julian chicco,leganes,La-Liga,2024-2025,1998,14,2,302,0,1,0,0,8,16,7
chiquinho,mallorca,La-Liga,2024-2025,2000,8,1,146,0,0,2,0,4,1,12
andreas christensen,barcelona,La-Liga,2024-2025,1996,5,2,254,0,0,3,0,1,15,1
jasper cillessen,las palmas,La-Liga,2024-2025,1989,27,27,2335,0,0,1,0,0,0,0
pathe ciss,rayo vallecano,La-Liga,2024-2025,1994,33,25,2140,4,1,12,0,19,128,12
seydouba cisse,leganes,La-Liga,2024-2025,2001,34,31,2435,3,1,3,1,26,110,42
silvi clua,girona,La-Liga,2024-2025,2005,4,2,163,0,0,0,0,4,3,3
eray comert,valladolid,La-Liga,2024-2025,1998,25,21,1779,0,0,6,0,9,48,5
santi comesana,villarreal,La-Liga,2024-2025,1996,35,30,2560,4,2,7,0,39,154,58
diego conde,villarreal,La-Liga,2024-2025,1998,22,22,1962,0,1,2,0,0,0,0
tomas conechny,alaves,La-Liga,2024-2025,1998,22,9,847,1,0,8,0,14,23,61
copete,mallorca,La-Liga,2024-2025,1999,25,16,1528,0,0,6,0,10,47,2
iker cordoba,valencia,La-Liga,2024-2025,2005,2,0,15,0,0,0,0,0,1,1
angel correa,atletico madrid,La-Liga,2024-2025,1995,31,3,805,4,1,3,1,30,25,85
thierry correia,valencia,La-Liga,2024-2025,1999,11,9,768,0,0,1,0,16,44,48
coba da costa,getafe,La-Liga,2024-2025,2002,19,12,1006,1,1,4,0,46,16,83
logan costa,villarreal,La-Liga,2024-2025,2001,32,28,2587,2,1,3,0,25,116,10
samu costa,mallorca,La-Liga,2024-2025,2000,32,31,2649,0,2,10,1,24,116,69
thibaut courtois,real madrid,La-Liga,2024-2025,1992,30,30,2700,0,0,1,0,0,0,0
juan cruz armada,osasuna,La-Liga,2024-2025,1992,25,19,1492,0,0,4,0,9,53,12
juan cruz,leganes,La-Liga,2024-2025,2000,34,26,2257,5,4,2,0,59,66,131
pau cubarsi,barcelona,La-Liga,2024-2025,2007,35,29,2618,0,3,3,0,26,191,6
cucho,betis,La-Liga,2024-2025,1999,15,14,1139,5,1,0,0,27,34,82
arnaut danjuma,villarreal,La-Liga,2024-2025,1997,3,3,200,2,0,1,0,4,1,17
arnaut danjuma,girona,La-Liga,2024-2025,1997,25,15,1335,2,0,2,0,91,41,185
sergi darder,mallorca,La-Liga,2024-2025,1993,38,34,2744,2,6,4,0,37,142,83
rodrigo de paul,atletico madrid,La-Liga,2024-2025,1994,34,23,2106,3,5,7,0,85,231,64
mouctar diakhaby,valencia,La-Liga,2024-2025,1996,13,7,653,2,0,0,0,5,14,2
assane diao,betis,La-Liga,2024-2025,2005,10,2,277,1,2,0,0,9,1,27
moussa diarra,alaves,La-Liga,2024-2025,2000,26,20,1866,0,0,6,0,12,70,31
brahim diaz,real madrid,La-Liga,2024-2025,1999,31,16,1385,4,2,0,0,39,74,110
